Выборы Президента Российской Федерации																																																																											
																																																																											
Наименование Избирательной комиссии:    Ковровская городская																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731					
		64.23%	71.09%	59.49%	69.73%	81.93%	63.85%	65.85%	62.52%	64.56%	67.04%	65.40%	66.56%	63.69%	71.88%	59.49%	66.20%	65.13%	64.44%	64.29%	62.65%	63.87%	56.50%	65.03%	61.50%	61.84%	61.68%	66.55%	63.68%	62.27%	64.00%	64.09%	66.70%	62.50%	57.84%	61.05%	69.80%	66.98%	64.97%	68.31%	62.71%	60.57%	63.09%	61.08%	64.62%	65.00%	71.45%	62.53%	63.85%	58.14%	63.54%	59.17%	56.66%	54.46%	56.58%	54.02%	60.24%	62.12%	65.71%	57.57%	59.75%	62.28%	62.46%	60.78%	62.60%	60.61%	71.64%	73.33%	66.67%	81.96%					
22	. Хакамада Ирина Муцуовна	2005	18	24	21	39	6	12	19	31	24	5	32	25	11	23	30	32	23	27	24	25	36	43	13	53	33	23	48	45	43	55	31	17	34	26	40	29	21	51	38	22	46	20	29	40	14	34	43	30	32	54	57	58	29	31	32	25	19	49	52	21	37	34	15	9	2	1	0	40					
		2.92%	3.31%	3.40%	2.25%	1.63%	1.27%	1.23%	1.74%	3.16%	2.23%	1.73%	3.36%	3.02%	2.15%	3.67%	2.65%	3.59%	2.26%	2.75%	2.86%	2.63%	2.94%	3.34%	1.15%	4.06%	2.94%	2.66%	4.02%	3.39%	3.10%	3.84%	2.78%	1.76%	3.03%	2.69%	2.75%	2.47%	1.55%	3.27%	3.32%	3.69%	3.68%	1.71%	3.02%	3.28%	1.93%	3.08%	4.12%	2.65%	2.95%	5.60%	4.39%	4.54%	3.03%	2.74%	2.70%	3.59%	3.04%	3.45%	3.55%	1.90%	3.99%	4.17%	3.98%	2.73%	1.49%	0.95%	0.00%	1.74%					
23	. Харитонов Николай Михайлович	11741	67	181	143	148	92	155	201	180	161	56	145	153	61	119	158	137	201	153	172	182	191	181	244	237	173	132	203	273	216	225	172	206	240	206	204	201	249	226	207	108	202	244	157	189	86	195	132	266	192	152	246	260	233	267	256	129	107	295	289	239	179	184	69	53	13	11	2	135					
		17.07%	12.34%	25.64%	15.29%	6.19%	19.45%	15.90%	18.37%	18.33%	14.95%	19.38%	15.25%	18.46%	11.91%	18.98%	13.95%	15.36%	19.74%	15.56%	20.53%	19.12%	15.62%	14.06%	21.59%	18.16%	15.42%	15.28%	16.99%	20.56%	15.58%	15.69%	15.44%	21.28%	21.39%	21.28%	14.00%	17.15%	18.32%	14.47%	18.08%	18.12%	16.17%	20.87%	16.34%	15.49%	11.86%	17.65%	12.66%	23.54%	17.68%	15.75%	18.94%	20.34%	24.32%	23.61%	21.57%	18.51%	17.15%	20.76%	19.71%	21.67%	19.31%	22.55%	18.30%	16.06%	9.70%	10.48%	9.52%	5.87%					
																																																																											
24	Против всех	3768	10	14	40	139	23	47	50	38	52	7	47	36	20	39	56	50	54	60	30	48	56	92	87	84	90	38	78	70	88	79	67	49	51	37	78	46	50	66	53	28	68	58	57	80	30	54	72	57	63	72	81	116	47	77	72	29	27	108	103	54	55	48	22	23	14	3	2	129					
		5.48%	1.84%	1.98%	4.28%	5.81%	4.86%	4.82%	4.57%	3.87%	4.83%	2.42%	4.94%	4.34%	3.91%	6.22%	4.94%	5.61%	5.30%	6.10%	3.58%	5.04%	4.58%	7.15%	7.70%	6.44%	8.02%	4.40%	6.53%	5.27%	6.35%	5.51%	6.01%	5.06%	4.55%	3.82%	5.35%	3.92%	3.68%	4.23%	4.63%	4.70%	5.44%	4.96%	5.93%	6.56%	4.14%	4.89%	6.90%	5.04%	5.80%	7.46%	6.24%	9.08%	4.91%	6.81%	6.07%	4.16%	4.33%	7.60%	7.03%	4.90%	5.93%	5.88%	5.84%	6.97%	10.45%	2.86%	9.52%	5.61%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
