Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Ики-Бурульская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	22	0	0	17	0	0	0	0	2	0	0	0	2	0	1									
		0.39%	0.00%	0.00%	1.65%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.44%	0.00%	0.58%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	444	3	2	248	72	27	2	12	15	1	23	9	23	4	3									
		7.90%	0.93%	0.74%	24.03%	11.73%	8.06%	1.24%	4.76%	2.73%	0.19%	5.62%	4.19%	5.10%	1.26%	1.75%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	58	1	1	36	9	0	0	3	6	1	1	0	0	0	0									
		1.03%	0.31%	0.37%	3.49%	1.47%	0.00%	0.00%	1.19%	1.09%	0.19%	0.24%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	205	5	20	93	19	4	5	6	33	1	4	2	8	3	2									
		3.65%	1.54%	7.43%	9.01%	3.09%	1.19%	3.11%	2.38%	6.00%	0.19%	0.98%	0.93%	1.77%	0.94%	1.17%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
