Выборы Президента Российской Федерации																																																																																																																																																
																																																																																																																																																
Наименование Избирательной комиссии:    Вологодская городская																																																																																																																																																
																																																																																																																																																
Итоги голосования 																																																																																																																																																
																																																																																																																																																
		Сумма	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412					
11	Число полученных открепительных  удостоверений	2580	15	20	20	21	25	10	25	15	20	20	10	20	20	20	15	10	20	14	15	16	10	15	10	20	25	15	20	20	20	15	30	30	23	5	20	15	30	20	20	25	20	25	20	10	10	45	30	20	25	15	22	10	20	10	15	20	20	25	20	25	30	20	40	15	20	10	20	25	15	15	25	25	10	26	20	15	35	16	14	17	20	32	15	40	22	25	15	20	5	5	15	15	15	25	25	15	23	15	20	120	15	15	40	38	20	20	22	25	20	15	10	15	20	20	20	20	15	40	130	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1986	15	18	18	19	14	10	24	13	17	16	9	16	14	11	12	5	18	10	15	11	5	9	7	16	16	11	13	19	15	7	22	23	21	3	13	12	29	13	6	21	14	16	15	9	9	43	17	17	21	10	19	8	18	4	10	19	10	20	11	16	25	10	36	13	20	10	15	16	9	13	14	20	6	25	14	11	28	11	13	16	16	23	12	34	20	25	7	17	3	1	13	15	14	20	18	13	21	10	12	115	10	14	32	35	20	17	16	20	17	11	6	13	19	16	19	20	15	24	47	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1889	26	9	20	24	19	21	39	12	13	8	5	10	9	6	20	11	12	8	17	3	5	8	10	5	4	22	23	12	11	11	5	11	7	2	6	24	17	9	17	25	13	8	15	18	14	34	18	19	18	10	9	13	10	5	7	21	18	7	5	15	21	15	16	10	7	14	11	9	8	6	17	15	2	11	18	16	15	9	13	8	7	20	17	25	8	9	8	6	6	15	3	8	8	10	12	10	6	9	12	15	22	18	21	17	8	18	18	11	6	12	12	12	13	12	12	12	14	20	14	16	3	64	5	40	17	35	3	11	22	37	10	17	14	11	4	5	45					
14	Число неиспользованных открепительных удостоверений	594	0	2	2	2	11	0	1	2	3	4	1	4	6	9	3	5	2	4	0	5	5	6	3	4	9	4	7	1	5	8	8	7	2	2	7	3	1	7	14	4	6	9	5	1	1	2	13	3	4	5	3	2	2	6	5	1	10	5	9	9	5	10	4	2	0	0	5	9	6	2	11	5	4	1	6	4	7	5	1	1	4	9	3	6	2	0	8	3	2	4	2	0	1	5	7	2	2	5	8	5	5	1	8	3	0	3	6	5	3	4	4	2	1	4	1	0	0	16	83	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																																
18	. Глазьев Сергей Юрьевич	6361	51	69	55	68	29	43	64	32	32	74	43	59	41	38	41	4	45	51	43	45	26	44	11	53	52	63	81	93	30	44	43	71	52	1	54	37	88	76	54	93	78	65	52	51	70	59	42	71	83	43	33	16	16	13	55	46	51	48	29	69	46	38	39	31	74	49	47	78	54	56	71	77	1	82	69	39	57	61	37	57	67	62	70	89	50	45	43	72	41	1	17	66	53	31	68	58	77	67	58	26	52	54	51	73	43	48	98	71	57	52	64	41	76	73	87	59	52	49	36	57	1	8	1	7	9	5	3	2	0	4	1	3	7	0	0	0	10					
		4.48%	4.95%	5.90%	5.41%	5.21%	2.61%	4.37%	5.87%	4.26%	3.51%	6.83%	5.06%	5.60%	4.90%	3.25%	3.63%	1.37%	3.30%	3.47%	3.27%	3.71%	3.27%	4.69%	3.32%	3.46%	3.37%	4.22%	5.62%	5.72%	4.85%	3.28%	2.95%	4.65%	3.99%	0.55%	4.24%	3.31%	5.69%	4.74%	4.18%	5.20%	4.55%	4.23%	4.10%	4.58%	5.64%	3.90%	4.25%	6.14%	4.98%	4.58%	3.38%	2.88%	3.18%	3.43%	6.06%	5.17%	4.11%	3.78%	3.85%	5.33%	4.11%	3.98%	3.03%	3.53%	4.55%	3.96%	5.05%	5.44%	4.29%	4.00%	4.97%	4.64%	0.57%	7.54%	5.78%	5.97%	4.03%	6.14%	4.19%	4.75%	5.06%	5.05%	5.41%	6.15%	4.56%	3.50%	3.99%	5.83%	5.09%	0.43%	3.51%	4.64%	4.77%	2.97%	4.44%	4.27%	4.61%	4.52%	4.56%	2.13%	4.88%	4.40%	3.64%	4.62%	4.13%	5.08%	6.08%	4.47%	4.87%	5.43%	5.00%	6.11%	5.45%	4.73%	6.38%	4.96%	4.30%	4.03%	3.62%	3.86%	0.26%	1.40%	0.76%	2.33%	4.71%	7.58%	3.00%	8.33%	0.00%	4.76%	4.17%	2.83%	5.60%	0.00%	0.00%	0.00%	3.41%					
19	. Малышкин Олег Александрович	2693	17	15	15	16	15	14	23	6	18	9	22	12	16	15	31	5	24	17	27	16	23	13	12	30	16	31	39	26	14	26	47	28	34	12	23	29	22	36	27	24	37	20	26	25	23	33	25	10	38	24	19	5	10	12	15	12	22	17	11	15	12	14	11	12	34	40	30	33	25	32	18	40	1	14	21	12	25	12	24	25	20	16	12	14	15	23	23	22	19	5	12	36	29	13	31	24	41	31	27	14	12	22	16	27	19	25	37	36	27	10	23	6	34	51	29	27	36	17	15	25	2	60	0	3	4	1	1	0	0	3	1	1	1	3	2	1	10					
		1.90%	1.65%	1.28%	1.48%	1.23%	1.35%	1.42%	2.11%	0.80%	1.98%	0.83%	2.59%	1.14%	1.91%	1.28%	2.75%	1.72%	1.76%	1.16%	2.05%	1.32%	2.89%	1.39%	3.63%	1.96%	1.04%	2.08%	2.71%	1.60%	2.26%	1.94%	3.22%	1.83%	2.61%	6.56%	1.80%	2.59%	1.42%	2.24%	2.09%	1.34%	2.16%	1.30%	2.05%	2.25%	1.85%	2.18%	2.53%	0.86%	2.28%	2.56%	1.94%	0.90%	1.99%	3.17%	1.65%	1.35%	1.77%	1.34%	1.46%	1.16%	1.07%	1.47%	0.85%	1.37%	2.09%	3.24%	3.23%	2.30%	1.98%	2.29%	1.26%	2.41%	0.57%	1.29%	1.76%	1.84%	1.77%	1.21%	2.71%	2.08%	1.51%	1.30%	0.93%	0.97%	1.37%	1.79%	2.13%	1.78%	2.36%	2.13%	2.48%	2.53%	2.61%	1.25%	2.02%	1.77%	2.46%	2.09%	2.12%	1.15%	1.13%	1.79%	1.14%	1.71%	1.83%	2.65%	2.30%	2.27%	2.31%	1.04%	1.80%	0.89%	2.44%	3.30%	2.13%	2.27%	2.98%	1.40%	1.51%	1.69%	0.52%	10.51%	0.00%	1.00%	2.09%	1.52%	1.00%	0.00%	0.00%	3.57%	4.17%	0.94%	0.80%	2.00%	2.90%	1.82%	3.41%					
20	. Миронов Сергей Михайлович	2119	21	10	17	14	19	12	10	14	13	17	12	7	11	18	21	8	17	33	23	22	10	12	5	33	19	31	14	15	15	20	27	20	19	3	11	10	37	27	39	29	27	27	17	11	17	20	5	18	23	13	7	6	2	3	13	14	20	17	5	20	19	9	13	20	32	20	4	20	24	30	25	23	4	13	5	7	19	15	11	12	28	21	14	21	17	19	12	19	10	2	1	27	13	13	36	22	29	33	26	6	15	12	24	19	20	22	27	24	23	15	24	20	14	23	17	22	15	17	14	15	11	5	1	8	2	1	1	0	0	1	2	1	2	3	0	1	4					
		1.49%	2.04%	0.86%	1.67%	1.07%	1.71%	1.22%	0.92%	1.86%	1.43%	1.57%	1.41%	0.66%	1.31%	1.54%	1.86%	2.75%	1.25%	2.24%	1.75%	1.81%	1.26%	1.28%	1.51%	2.15%	1.23%	2.08%	0.97%	0.92%	2.42%	1.49%	1.85%	1.31%	1.46%	1.64%	0.86%	0.89%	2.39%	1.68%	3.02%	1.62%	1.57%	1.76%	1.34%	0.99%	1.37%	1.32%	0.51%	1.56%	1.38%	1.39%	0.72%	1.08%	0.40%	0.79%	1.43%	1.57%	1.61%	1.34%	0.66%	1.54%	1.70%	0.94%	1.01%	2.28%	1.97%	1.62%	0.43%	1.40%	1.90%	2.14%	1.75%	1.39%	2.29%	1.20%	0.42%	1.07%	1.34%	1.51%	1.24%	1.00%	2.11%	1.71%	1.08%	1.45%	1.55%	1.48%	1.11%	1.54%	1.24%	0.85%	0.21%	1.90%	1.17%	1.25%	2.35%	1.62%	1.74%	2.23%	2.04%	0.49%	1.41%	0.98%	1.71%	1.20%	1.92%	2.33%	1.68%	1.51%	1.97%	1.57%	1.87%	2.98%	1.00%	1.49%	1.25%	1.85%	1.24%	1.40%	1.41%	1.01%	2.86%	0.88%	0.76%	2.67%	1.05%	1.52%	1.00%	0.00%	0.00%	1.19%	8.33%	0.94%	1.60%	2.00%	0.00%	1.82%	1.37%					
21	. Путин Владимир Владимирович	101645	702	779	662	918	785	693	760	532	611	741	575	730	599	833	848	233	970	1085	907	878	577	649	242	1079	1102	1060	1030	1152	441	987	1058	1126	931	138	933	819	1091	1091	918	1297	1191	1107	892	792	880	1072	730	791	1209	693	721	422	395	289	653	644	913	953	572	910	838	712	1070	643	1155	900	667	1005	902	975	1053	1188	138	711	855	401	1020	686	621	858	900	884	864	892	787	926	773	889	593	194	391	1039	784	786	1055	959	1131	1037	873	1029	727	887	1030	1185	731	683	1132	1148	811	677	863	469	1036	1121	916	864	879	930	777	1106	331	409	110	234	146	38	78	16	31	61	17	75	95	136	56	44	221					
		71.64%	68.09%	66.64%	65.16%	70.29%	70.78%	70.43%	69.66%	70.74%	67.07%	68.42%	67.73%	69.26%	71.57%	71.14%	75.18%	80.07%	71.17%	73.81%	68.92%	72.32%	72.49%	69.19%	73.11%	70.34%	71.42%	71.05%	71.53%	70.81%	71.24%	73.66%	72.47%	73.69%	71.45%	75.41%	73.18%	73.19%	70.52%	67.98%	71.05%	72.46%	69.41%	72.02%	70.29%	71.16%	70.85%	70.95%	73.81%	68.37%	72.57%	73.88%	73.80%	75.90%	78.53%	76.25%	72.00%	72.44%	73.63%	75.10%	75.96%	70.27%	74.82%	74.63%	83.01%	73.32%	71.08%	72.82%	71.72%	70.13%	71.59%	69.64%	73.69%	71.61%	78.86%	65.41%	71.61%	61.41%	72.14%	69.08%	70.25%	71.44%	67.92%	71.99%	66.72%	61.69%	71.81%	72.12%	71.64%	71.98%	73.66%	82.55%	80.79%	73.07%	70.63%	75.29%	68.86%	70.67%	67.77%	69.93%	68.58%	84.34%	68.26%	72.29%	73.52%	75.00%	70.29%	72.28%	70.27%	72.25%	69.32%	70.74%	67.37%	69.90%	74.32%	72.60%	67.16%	72.67%	72.70%	76.54%	78.09%	74.83%	86.20%	71.63%	83.97%	78.00%	76.44%	57.58%	78.00%	66.67%	91.18%	72.62%	70.83%	70.75%	76.00%	90.67%	81.16%	80.00%	75.43%					
22	. Хакамада Ирина Муцуовна	6885	75	66	74	59	61	64	48	40	54	71	36	59	37	57	46	9	52	71	51	55	33	31	18	64	82	93	63	106	34	47	68	105	60	4	51	55	103	88	76	82	112	76	66	62	71	89	42	79	77	40	49	15	12	15	40	43	70	41	31	63	50	35	45	41	61	51	44	75	59	67	49	74	6	63	61	43	73	54	41	61	69	67	89	110	57	34	61	81	33	2	14	46	55	44	79	63	101	69	55	37	72	67	57	85	69	62	72	64	53	49	59	33	66	59	76	56	52	30	36	48	4	10	9	10	3	1	3	2	1	1	0	3	0	2	2	0	9					
		4.85%	7.27%	5.65%	7.28%	4.52%	5.50%	6.50%	4.40%	5.32%	5.93%	6.56%	4.24%	5.60%	4.42%	4.87%	4.08%	3.09%	3.82%	4.83%	3.88%	4.53%	4.15%	3.30%	5.44%	4.17%	5.31%	6.23%	4.38%	6.52%	5.49%	3.51%	4.66%	6.87%	4.60%	2.19%	4.00%	4.92%	6.66%	5.48%	5.88%	4.58%	6.53%	4.94%	5.20%	5.57%	5.72%	5.89%	4.25%	6.83%	4.62%	4.26%	5.02%	2.70%	2.39%	3.96%	4.41%	4.84%	5.65%	3.23%	4.12%	4.86%	4.46%	3.67%	3.49%	4.68%	3.75%	4.13%	4.73%	5.23%	4.68%	4.79%	3.43%	4.46%	3.43%	5.80%	5.11%	6.58%	5.16%	5.44%	4.64%	5.08%	5.21%	5.46%	6.87%	7.61%	5.20%	2.65%	5.65%	6.56%	4.10%	0.85%	2.89%	3.23%	4.95%	4.21%	5.16%	4.64%	6.05%	4.65%	4.32%	3.03%	6.76%	5.46%	4.07%	5.38%	6.63%	6.56%	4.47%	4.03%	4.53%	5.12%	4.61%	4.92%	4.73%	3.82%	5.57%	4.71%	4.30%	2.47%	3.62%	3.25%	1.04%	1.75%	6.87%	3.33%	1.57%	1.52%	3.00%	8.33%	2.94%	1.19%	0.00%	2.83%	0.00%	1.33%	2.90%	0.00%	3.07%					
23	. Харитонов Николай Михайлович	16615	115	173	146	159	137	119	152	104	137	127	133	137	105	144	112	18	202	166	217	158	102	161	28	215	217	150	170	158	59	156	155	118	140	16	174	115	153	204	118	201	193	175	169	132	155	174	115	152	182	88	93	64	50	34	107	98	125	147	74	172	111	103	73	111	207	124	96	158	145	192	164	188	17	152	122	118	156	124	110	125	181	134	190	268	124	182	127	100	87	26	33	161	144	117	198	191	224	197	167	57	151	144	174	143	116	79	198	185	148	130	203	71	117	145	186	114	130	122	86	185	26	11	5	32	23	17	11	4	1	3	1	17	20	3	5	6	29					
		11.71%	11.15%	14.80%	14.37%	12.17%	12.35%	12.09%	13.93%	13.83%	15.04%	11.73%	15.67%	13.00%	12.54%	12.30%	9.93%	6.19%	14.82%	11.29%	16.49%	13.01%	12.81%	17.16%	8.46%	14.02%	14.06%	10.05%	11.81%	9.71%	9.53%	11.64%	10.62%	7.72%	10.74%	8.74%	13.65%	10.28%	9.89%	12.71%	9.13%	11.23%	11.25%	11.39%	13.32%	11.86%	12.48%	11.52%	11.63%	13.14%	10.92%	9.38%	9.52%	11.51%	9.94%	8.97%	11.80%	11.02%	10.08%	11.58%	9.83%	13.28%	9.91%	10.80%	5.66%	12.66%	12.74%	10.03%	10.32%	11.03%	11.51%	13.71%	11.48%	11.33%	9.71%	13.98%	10.22%	18.07%	11.03%	12.49%	12.44%	10.41%	13.66%	10.91%	14.67%	18.53%	11.31%	14.17%	11.77%	8.10%	10.81%	11.06%	6.82%	11.32%	12.97%	11.21%	12.92%	14.08%	13.42%	13.28%	13.12%	4.67%	14.18%	11.74%	12.42%	9.05%	11.15%	8.36%	12.29%	11.64%	12.65%	13.58%	15.85%	10.58%	8.39%	9.39%	13.64%	9.59%	10.75%	10.04%	8.64%	12.52%	6.77%	1.93%	3.82%	10.67%	12.04%	25.76%	11.00%	16.67%	2.94%	3.57%	4.17%	16.04%	16.00%	2.00%	7.25%	10.91%	9.90%					
																																																																																																																																																
24	Против всех	4759	43	51	40	59	53	31	30	19	43	39	20	46	25	56	24	13	43	29	36	35	22	21	9	55	51	57	35	67	22	45	59	54	56	2	24	43	49	80	54	56	70	63	40	22	24	54	24	32	46	32	50	23	17	9	18	27	32	38	26	39	35	35	37	15	54	43	34	59	43	38	43	64	7	49	54	28	50	34	35	57	55	37	48	50	42	48	29	46	18	4	6	42	21	32	54	38	60	39	60	49	33	34	35	38	35	24	40	51	39	20	40	31	45	64	44	39	39	47	31	37	7	62	5	6	4	3	2	0	1	11	1	4	0	2	2	2	7					
