Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Ольгинская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733	УИК  734	УИК  735	УИК  736	УИК  737	УИК  738	УИК  739	УИК  740	УИК  741	УИК  742	УИК  743	УИК  744	УИК  745					
		0.27%	0.0%	0.31%	0.32%	0.0%	0.46%	0.61%	0.0%	0.0%	1.05%	0.0%	0.0%	0.0%	0.38%	0.17%	1.58%	0.44%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	58	0	2	14	10	5	3	0	0	0	0	0	0	5	7	0	8	4	0					
		1.06%	0.0%	0.62%	1.15%	2.33%	2.33%	0.92%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.96%	1.25%	0.0%	1.76%	1.39%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0					
		0.07%	0.44%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.17%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	13	1	0	4	2	0	0	0	1	1	0	0	0	2	0	0	0	1	1					
		0.23%	0.44%	0.0%	0.32%	0.46%	0.0%	0.0%	0.0%	1.29%	1.05%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.34%	0.54%					
27	"10. ""Аграрная партия России"""	175	7	6	31	7	5	9	3	2	2	1	3	11	13	52	7	5	3	8					
		3.22%	3.12%	1.88%	2.55%	1.63%	2.33%	2.76%	3.37%	2.59%	2.10%	1.29%	3.70%	5.02%	2.51%	9.30%	11.11%	1.10%	1.04%	4.37%					
28	"11. ""Истинные патриоты России"""	7	0	0	0	0	2	1	0	1	0	2	0	0	0	1	0	0	0	0					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.93%	0.30%	0.0%	1.29%	0.0%	2.59%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	27	0	1	3	3	1	2	1	0	0	0	0	2	4	4	0	4	0	2					
		0.49%	0.0%	0.31%	0.24%	0.70%	0.46%	0.61%	1.12%	0.0%	0.0%	0.0%	0.0%	0.91%	0.77%	0.71%	0.0%	0.88%	0.0%	1.09%					
30	"13. ""Демократическая партия России"""	27	2	3	4	2	2	5	0	0	0	0	0	0	3	4	0	0	1	1					
		0.49%	0.89%	0.94%	0.32%	0.46%	0.93%	1.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%	0.71%	0.0%	0.0%	0.34%	0.54%					
31	"14. ""Великая Россия - Евразийский Союз"""	12	1	3	4	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1					
		0.22%	0.44%	0.94%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.17%	1.58%	0.0%	0.0%	0.54%					
32	"15. ""Партия СЛОН"""	14	1	0	1	2	2	3	1	0	0	0	0	0	3	1	0	0	0	0					
		0.25%	0.44%	0.0%	0.08%	0.46%	0.93%	0.92%	1.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%	0.17%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	250	5	14	66	30	9	15	2	6	2	2	1	3	23	19	0	30	15	8					
		4.61%	2.23%	4.40%	5.43%	7.00%	4.20%	4.60%	2.24%	7.79%	2.10%	2.59%	1.23%	1.36%	4.45%	3.39%	0.0%	6.63%	5.22%	4.37%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	2	2	1	1	2	0	0	0	1	0	1	2	2	2	0	2	0	1					
		0.35%	0.89%	0.62%	0.08%	0.23%	0.93%	0.0%	0.0%	0.0%	1.05%	0.0%	1.23%	0.91%	0.38%	0.35%	0.0%	0.44%	0.0%	0.54%					
35	"18. ""ЛДПР"""	1161	32	33	321	95	52	110	14	17	12	15	15	30	138	101	12	95	25	44					
		21.41%	14.28%	10.37%	26.44%	22.19%	24.29%	33.74%	15.73%	22.07%	12.63%	19.48%	18.51%	13.69%	26.74%	18.06%	19.04%	21.01%	8.71%	24.04%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	96	11	5	19	8	2	2	0	1	1	0	0	1	5	12	1	13	8	7					
		1.77%	4.91%	1.57%	1.56%	1.86%	0.93%	0.61%	0.0%	1.29%	1.05%	0.0%	0.0%	0.45%	0.96%	2.14%	1.58%	2.87%	2.78%	3.82%					
37	"20. ""Политическая партия ""Единая Россия"""	1904	91	169	348	117	64	112	50	21	49	40	43	88	136	186	25	159	144	62					
		35.11%	40.62%	53.14%	28.66%	27.33%	29.90%	34.35%	56.17%	27.27%	51.57%	51.94%	53.08%	40.18%	26.35%	33.27%	39.68%	35.17%	50.17%	33.87%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	0	0	0	0	1	0	1	0	0	0	0	1	3	0	0	0	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%	0.45%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	9	0	0	4	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0					
		0.16%	0.0%	0.0%	0.32%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.17%	0.0%	0.22%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	824	35	48	209	92	30	27	5	15	15	12	7	44	89	54	3	80	37	22					
		15.19%	15.62%	15.09%	17.21%	21.49%	14.01%	8.28%	5.61%	19.48%	15.78%	15.58%	8.64%	20.09%	17.24%	9.66%	4.76%	17.69%	12.89%	12.02%					
																									
41	Против всех	286	17	13	62	22	16	11	4	2	3	2	6	10	34	30	3	16	20	15					
		5.27%	7.58%	4.08%	5.10%	5.14%	7.47%	3.37%	4.49%	2.59%	3.15%	2.59%	7.40%	4.56%	6.58%	5.36%	4.76%	3.53%	6.96%	8.19%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
