Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Барышская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1201	50	65	50	30	25	10	30	40	25	40	25	40	20	25	25	10	20	30	30	10	40	25	10	10	10	20	25	10	52	50	25	38	10	25	20	10	10	10	10	20	10	11	25	10	10	20	25	25	25	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1122	50	65	43	30	25	9	26	38	25	14	25	37	11	25	25	10	20	30	30	10	40	15	10	10	10	20	25	10	52	50	25	21	10	25	20	10	10	10	10	20	10	11	25	10	10	20	25	25	25	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	323	34	28	33	5	3	7	29	8	7	11	18	12	12	6	5	1	1	4	12	3	2	0	0	4	3	0	3	1	4	3	2	6	2	3	5	1	2	3	1	2	0	1	1	6	3	3	2	8	12	1									
14	Число погашенных неиспользованных открепительных удостоверений	79	0	0	7	0	0	1	4	2	0	26	0	3	9	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	298	19	7	14	6	1	2	2	12	1	7	3	20	6	6	2	2	1	10	5	3	5	2	3	0	0	0	0	0	27	35	10	48	0	7	4	1	0	9	1	2	0	3	1	0	0	0	6	2	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	158	15	9	2	7	0	1	5	4	0	3	8	8	8	1	8	2	1	7	5	1	7	2	2	4	0	2	0	0	3	10	4	7	0	0	2	0	1	0	2	0	2	1	3	1	0	1	0	4	4	1									
		0.84%	2.01%	1.43%	0.34%	1.15%	0.00%	0.22%	1.03%	0.65%	0.00%	0.62%	1.67%	1.06%	1.10%	0.28%	2.07%	1.20%	0.41%	1.16%	0.86%	0.75%	1.62%	0.75%	1.19%	2.48%	0.00%	0.58%	0.00%	0.00%	0.47%	1.18%	1.19%	1.17%	0.00%	0.00%	0.56%	0.00%	0.64%	0.00%	1.23%	0.00%	0.97%	0.68%	0.80%	0.63%	0.00%	0.46%	0.00%	0.90%	0.61%	0.37%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	516	23	20	18	10	14	10	16	20	12	14	15	22	21	7	13	4	3	18	19	3	18	16	0	3	3	5	12	1	24	24	10	21	6	6	5	0	2	2	3	6	4	7	3	7	3	5	8	1	25	4									
		2.74%	3.09%	3.17%	3.07%	1.64%	4.15%	2.19%	3.29%	3.23%	4.23%	2.89%	3.14%	2.91%	2.89%	1.94%	3.37%	2.41%	1.24%	2.99%	3.26%	2.26%	4.16%	5.97%	0.00%	1.86%	3.70%	1.45%	4.35%	0.70%	3.80%	2.83%	2.98%	3.51%	6.32%	1.52%	1.40%	0.00%	1.28%	1.04%	1.85%	1.90%	1.93%	4.73%	0.80%	4.38%	3.45%	2.29%	1.70%	0.22%	3.81%	1.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	331	23	18	17	5	3	8	10	9	5	10	14	14	12	8	5	0	0	13	11	2	6	5	3	2	2	9	5	0	23	12	3	10	0	6	6	0	1	3	1	2	4	2	0	0	4	3	1	18	11	2									
		1.76%	3.09%	2.86%	2.90%	0.82%	0.89%	1.75%	2.05%	1.45%	1.76%	2.07%	2.93%	1.85%	1.65%	2.22%	1.30%	0.00%	0.00%	2.16%	1.89%	1.50%	1.39%	1.87%	1.79%	1.24%	2.47%	2.61%	1.81%	0.00%	3.64%	1.42%	0.89%	1.67%	0.00%	1.52%	1.68%	0.00%	0.64%	1.56%	0.62%	0.63%	1.93%	1.35%	0.00%	0.00%	4.60%	1.38%	0.21%	4.04%	1.68%	0.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11645	363	286	278	401	184	301	208	330	183	302	282	418	426	255	227	134	172	373	369	73	178	144	119	117	38	256	185	108	375	509	229	375	65	318	282	141	111	152	75	221	147	94	271	117	52	146	382	274	417	182									
		61.86%	48.72%	45.40%	47.44%	65.74%	54.60%	66.01%	42.71%	53.31%	64.44%	62.40%	58.99%	55.29%	58.68%	70.83%	58.81%	80.72%	71.07%	61.86%	63.29%	54.89%	41.11%	53.73%	70.83%	72.67%	46.91%	74.20%	67.03%	75.52%	59.34%	60.02%	68.15%	62.71%	68.42%	80.71%	78.77%	89.81%	71.15%	79.17%	46.30%	70.16%	71.01%	63.51%	71.88%	73.13%	59.77%	66.97%	81.28%	61.43%	63.57%	68.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	51	4	3	5	2	0	0	1	3	0	3	1	2	1	1	1	0	3	3	1	1	2	2	1	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	3	0									
		0.27%	0.54%	0.48%	0.85%	0.33%	0.00%	0.00%	0.21%	0.48%	0.00%	0.62%	0.21%	0.26%	0.14%	0.28%	0.26%	0.00%	1.24%	0.50%	0.17%	0.75%	0.46%	0.75%	0.60%	0.62%	0.00%	0.29%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.46%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	41	0	1	0	0	0	1	1	3	0	2	2	2	1	0	0	2	0	1	2	1	1	2	0	0	1	0	0	0	7	4	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	1	0	0									
		0.22%	0.00%	0.16%	0.00%	0.00%	0.00%	0.22%	0.21%	0.48%	0.00%	0.41%	0.42%	0.26%	0.14%	0.00%	0.00%	1.20%	0.00%	0.17%	0.34%	0.75%	0.23%	0.75%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	1.11%	0.47%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.64%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.38%	0.00%	0.22%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2505	130	104	127	87	62	56	117	122	45	61	60	128	111	34	55	12	31	84	81	19	78	27	15	15	10	32	32	16	48	92	35	43	8	7	30	7	14	11	28	34	29	24	40	6	8	34	31	72	110	43									
		13.31%	17.45%	16.51%	21.67%	14.26%	18.40%	12.28%	24.02%	19.71%	15.85%	12.60%	12.55%	16.93%	15.29%	9.44%	14.25%	7.23%	12.81%	13.93%	13.89%	14.29%	18.01%	10.07%	8.93%	9.32%	12.35%	9.28%	11.59%	11.19%	7.59%	10.85%	10.42%	7.19%	8.42%	1.78%	8.38%	4.46%	8.97%	5.73%	17.28%	10.79%	14.01%	16.22%	10.61%	3.75%	9.20%	15.60%	6.60%	16.14%	16.77%	16.10%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	59	1	3	2	0	1	1	7	1	0	0	0	0	1	1	3	2	0	5	5	0	1	0	1	1	2	0	0	0	4	3	0	3	0	0	0	0	1	0	1	2	0	0	0	2	0	0	0	4	1	0									
		0.31%	0.13%	0.48%	0.34%	0.00%	0.30%	0.22%	1.44%	0.16%	0.00%	0.00%	0.00%	0.00%	0.14%	0.28%	0.78%	1.20%	0.00%	0.83%	0.86%	0.00%	0.23%	0.00%	0.60%	0.62%	2.47%	0.00%	0.00%	0.00%	0.63%	0.35%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.62%	0.63%	0.00%	0.00%	0.00%	1.25%	0.00%	0.00%	0.00%	0.90%	0.15%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	74	5	6	4	4	5	2	3	2	1	3	1	2	0	0	2	0	0	3	1	1	3	2	0	0	0	1	1	0	4	2	2	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	2	1	3	4									
		0.39%	0.67%	0.95%	0.68%	0.66%	1.48%	0.44%	0.62%	0.32%	0.35%	0.62%	0.21%	0.26%	0.00%	0.00%	0.52%	0.00%	0.00%	0.50%	0.17%	0.75%	0.69%	0.75%	0.00%	0.00%	0.00%	0.29%	0.36%	0.00%	0.63%	0.24%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.32%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.43%	0.22%	0.46%	1.50%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	5	1	0									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.16%	0.00%	0.30%	0.00%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	1.12%	0.15%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	116	6	7	5	2	5	0	4	4	1	4	2	4	5	1	3	0	0	4	3	2	4	0	5	0	1	1	2	0	5	8	3	3	0	0	0	0	0	0	1	2	2	0	5	1	1	3	0	4	2	1									
		0.62%	0.81%	1.11%	0.85%	0.33%	1.48%	0.00%	0.82%	0.65%	0.35%	0.83%	0.42%	0.53%	0.69%	0.28%	0.78%	0.00%	0.00%	0.66%	0.51%	1.50%	0.92%	0.00%	2.98%	0.00%	1.23%	0.29%	0.72%	0.00%	0.79%	0.94%	0.89%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.63%	0.97%	0.00%	1.33%	0.63%	1.15%	1.38%	0.00%	0.90%	0.30%	0.37%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2558	123	120	88	72	53	42	80	95	30	56	74	103	100	45	53	5	29	66	75	22	114	54	17	11	13	34	29	12	121	156	40	124	13	51	27	7	21	17	48	39	8	19	43	17	13	15	42	41	53	28									
		13.59%	16.51%	19.05%	15.02%	11.80%	15.73%	9.21%	16.43%	15.35%	10.56%	11.57%	15.48%	13.62%	13.77%	12.50%	13.73%	3.01%	11.98%	10.95%	12.86%	16.54%	26.33%	20.15%	10.12%	6.83%	16.05%	9.86%	10.51%	8.39%	19.15%	18.40%	11.90%	20.74%	13.68%	12.94%	7.54%	4.46%	13.46%	8.85%	29.63%	12.38%	3.86%	12.84%	11.41%	10.63%	14.94%	6.88%	8.94%	9.19%	8.08%	10.49%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	68	2	0	5	1	0	1	7	3	1	2	1	4	4	1	0	0	0	4	1	1	2	0	2	1	0	0	0	2	7	1	1	0	0	0	0	0	1	0	0	2	0	0	2	1	2	0	0	4	1	1									
		0.36%	0.27%	0.00%	0.85%	0.16%	0.00%	0.22%	1.44%	0.48%	0.35%	0.41%	0.21%	0.53%	0.55%	0.28%	0.00%	0.00%	0.00%	0.66%	0.17%	0.75%	0.46%	0.00%	1.19%	0.62%	0.00%	0.00%	0.00%	1.40%	1.11%	0.12%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.63%	0.00%	0.00%	0.53%	0.63%	2.30%	0.00%	0.00%	0.90%	0.15%	0.37%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	479	35	38	25	17	5	33	15	19	5	12	15	31	26	6	10	4	3	9	6	5	11	14	3	6	9	4	7	4	3	11	8	10	2	3	4	2	1	1	2	2	10	1	2	5	4	2	4	5	19	1									
		2.54%	4.70%	6.03%	4.27%	2.79%	1.48%	7.24%	3.08%	3.07%	1.76%	2.48%	3.14%	4.10%	3.58%	1.67%	2.59%	2.41%	1.24%	1.49%	1.03%	3.76%	2.54%	5.22%	1.79%	3.73%	11.11%	1.16%	2.54%	2.80%	0.47%	1.30%	2.38%	1.67%	2.11%	0.76%	1.12%	1.27%	0.64%	0.52%	1.23%	0.63%	4.83%	0.68%	0.53%	3.13%	4.60%	0.92%	0.85%	1.12%	2.90%	0.37%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
