Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Невьянская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544	УИК  545	УИК  546					
22	"5. ""За Русь Святую"""	106	12	2	11	11	4	7	7	3	3	1	4	3	5	0	0	1	6	4	5	0	0	0	6	0	0	0	0	1	1	2	1	0	2	0	3	1					
		0.62%	1.37%	0.20%	0.94%	1.02%	0.30%	0.69%	0.80%	0.55%	0.86%	0.25%	1.04%	0.93%	1.10%	0.0%	0.0%	2.17%	0.56%	0.37%	0.49%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.62%	3.03%	0.61%	0.42%	0.0%	0.50%	0.0%	2.70%	0.37%					
23	"6. ""Объединенная Российская партия ""Русь"""	44	0	0	6	4	7	3	3	0	2	0	3	1	2	1	0	0	1	3	0	0	0	1	2	1	0	0	0	1	0	1	1	0	1	0	0	0					
		0.25%	0.0%	0.0%	0.51%	0.37%	0.53%	0.29%	0.34%	0.0%	0.57%	0.0%	0.78%	0.31%	0.44%	0.98%	0.0%	0.0%	0.09%	0.27%	0.0%	0.0%	0.0%	0.57%	0.24%	0.51%	0.0%	0.0%	0.0%	0.62%	0.0%	0.30%	0.42%	0.0%	0.25%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	107	5	12	5	7	7	6	3	3	4	3	2	3	3	1	1	0	5	7	4	1	1	1	9	0	1	6	0	0	0	1	1	0	2	0	1	2					
		0.63%	0.57%	1.24%	0.43%	0.65%	0.53%	0.59%	0.34%	0.55%	1.14%	0.77%	0.52%	0.93%	0.66%	0.98%	0.70%	0.0%	0.47%	0.64%	0.39%	0.36%	0.67%	0.57%	1.08%	0.0%	0.98%	1.97%	0.0%	0.0%	0.0%	0.30%	0.42%	0.0%	0.50%	0.0%	0.90%	0.75%					
25	"8. ""Народно-республиканская партия России"""	34	3	1	0	1	1	2	2	1	0	0	2	0	1	0	1	0	0	0	3	1	0	1	3	0	1	0	1	0	0	2	1	0	0	1	4	1					
		0.20%	0.34%	0.10%	0.0%	0.09%	0.07%	0.19%	0.22%	0.18%	0.0%	0.0%	0.52%	0.0%	0.22%	0.0%	0.70%	0.0%	0.0%	0.0%	0.29%	0.36%	0.0%	0.57%	0.36%	0.0%	0.98%	0.0%	1.26%	0.0%	0.0%	0.61%	0.42%	0.0%	0.0%	1.09%	3.60%	0.37%					
26	"9. ""Российская экологическая партия ""Зеленые"""	63	6	4	6	5	9	6	3	1	1	0	2	2	4	1	0	0	3	1	2	0	1	0	0	2	0	1	0	0	0	0	1	0	1	1	0	0					
		0.37%	0.68%	0.41%	0.51%	0.46%	0.68%	0.59%	0.34%	0.18%	0.28%	0.0%	0.52%	0.62%	0.88%	0.98%	0.0%	0.0%	0.28%	0.09%	0.19%	0.0%	0.67%	0.0%	0.0%	1.02%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.25%	1.09%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	447	18	12	27	25	22	28	14	13	12	13	4	8	7	0	3	3	19	29	18	5	3	0	45	15	7	20	7	5	0	15	7	5	26	5	1	6					
		2.63%	2.05%	1.24%	2.33%	2.33%	1.68%	2.76%	1.60%	2.41%	3.44%	3.36%	1.04%	2.5%	1.54%	0.0%	2.11%	6.52%	1.78%	2.68%	1.76%	1.82%	2.01%	0.0%	5.44%	7.65%	6.86%	6.57%	8.86%	3.10%	0.0%	4.62%	2.97%	5.88%	6.58%	5.49%	0.90%	2.26%					
28	"11. ""Истинные патриоты России"""	22	1	0	1	2	3	0	1	0	1	1	0	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3					
		0.12%	0.11%	0.0%	0.08%	0.18%	0.22%	0.0%	0.11%	0.0%	0.28%	0.25%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.09%	0.0%	1.13%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	158	4	7	10	20	15	10	9	5	4	3	0	6	2	0	1	0	13	4	7	2	0	1	7	5	0	5	0	2	1	2	0	0	5	2	4	2					
		0.93%	0.45%	0.72%	0.86%	1.86%	1.14%	0.98%	1.03%	0.92%	1.14%	0.77%	0.0%	1.87%	0.44%	0.0%	0.70%	0.0%	1.22%	0.37%	0.68%	0.72%	0.0%	0.57%	0.84%	2.55%	0.0%	1.64%	0.0%	1.24%	3.03%	0.61%	0.0%	0.0%	1.26%	2.19%	3.60%	0.75%					
30	"13. ""Демократическая партия России"""	38	1	2	2	0	5	1	2	3	1	1	0	2	3	1	0	0	1	1	4	0	0	0	4	0	0	1	0	0	0	1	0	2	0	0	0	0					
		0.22%	0.11%	0.20%	0.17%	0.0%	0.38%	0.09%	0.22%	0.55%	0.28%	0.25%	0.0%	0.62%	0.66%	0.98%	0.0%	0.0%	0.09%	0.09%	0.39%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.30%	0.0%	2.35%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	54	1	2	5	2	4	5	2	0	0	1	2	1	3	3	0	0	7	3	1	1	0	0	1	0	5	0	3	1	0	1	0	0	0	0	0	0					
		0.31%	0.11%	0.20%	0.43%	0.18%	0.30%	0.49%	0.22%	0.0%	0.0%	0.25%	0.52%	0.31%	0.66%	2.94%	0.0%	0.0%	0.65%	0.27%	0.09%	0.36%	0.0%	0.0%	0.12%	0.0%	4.90%	0.0%	3.79%	0.62%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	31	3	3	2	0	2	1	1	1	0	0	0	1	1	0	0	0	2	3	0	0	1	2	4	0	0	2	0	0	0	2	0	0	0	0	0	0					
		0.18%	0.34%	0.31%	0.17%	0.0%	0.15%	0.09%	0.11%	0.18%	0.0%	0.0%	0.0%	0.31%	0.22%	0.0%	0.0%	0.0%	0.18%	0.27%	0.0%	0.0%	0.67%	1.15%	0.48%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1000	48	57	79	82	87	74	77	35	20	21	22	21	22	2	13	3	63	73	54	13	11	8	32	6	4	11	0	0	0	9	18	3	18	0	5	9					
		5.90%	5.48%	5.92%	6.82%	7.64%	6.66%	7.31%	8.83%	6.50%	5.74%	5.44%	5.75%	6.56%	4.86%	1.96%	9.15%	6.52%	5.92%	6.76%	5.29%	4.74%	7.38%	4.62%	3.87%	3.06%	3.92%	3.61%	0.0%	0.0%	0.0%	2.77%	7.65%	3.52%	4.55%	0.0%	4.50%	3.39%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	27	2	0	5	3	2	3	0	0	0	1	0	0	2	0	0	0	1	1	2	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1					
		0.15%	0.22%	0.0%	0.43%	0.27%	0.15%	0.29%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.09%	0.09%	0.19%	0.0%	0.0%	1.15%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.37%					
35	"18. ""ЛДПР"""	2352	134	142	160	143	176	110	97	86	45	57	56	81	66	16	12	11	147	139	124	21	33	21	118	20	8	67	14	33	3	35	32	13	62	19	14	37					
		13.88%	15.31%	14.76%	13.81%	13.33%	13.47%	10.88%	11.12%	15.98%	12.93%	14.76%	14.65%	25.31%	14.60%	15.68%	8.45%	23.91%	13.82%	12.88%	12.16%	7.66%	22.14%	12.13%	14.28%	10.20%	7.84%	22.03%	17.72%	20.49%	9.09%	10.80%	13.61%	15.29%	15.69%	20.87%	12.61%	13.96%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	322	16	14	18	19	30	21	25	7	10	3	8	3	12	2	4	1	19	11	33	4	3	3	23	4	1	2	0	2	0	5	6	3	6	1	1	2					
		1.90%	1.82%	1.45%	1.55%	1.77%	2.29%	2.07%	2.86%	1.30%	2.87%	0.77%	2.09%	0.93%	2.65%	1.96%	2.81%	2.17%	1.78%	1.01%	3.23%	1.45%	2.01%	1.73%	2.78%	2.04%	0.98%	0.65%	0.0%	1.24%	0.0%	1.54%	2.55%	3.52%	1.51%	1.09%	0.90%	0.75%					
37	"20. ""Политическая партия ""Единая Россия"""	7234	355	423	485	471	498	404	353	219	174	175	176	106	190	50	66	16	448	459	402	139	78	98	327	94	54	128	38	97	19	178	95	32	176	45	31	135					
		42.71%	40.57%	43.97%	41.88%	43.93%	38.13%	39.96%	40.48%	40.70%	50.0%	45.33%	46.07%	33.12%	42.03%	49.01%	46.47%	34.78%	42.14%	42.53%	39.45%	50.72%	52.34%	56.64%	39.58%	47.95%	52.94%	42.10%	48.10%	60.24%	57.57%	54.93%	40.42%	37.64%	44.55%	49.45%	27.92%	50.94%					
38	"21. ""Российская Конституционно-демократическая партия"""	45	0	1	0	0	3	1	2	1	1	0	4	2	1	0	0	0	3	2	1	9	0	4	4	0	0	0	0	1	0	0	2	1	1	1	0	0					
		0.26%	0.0%	0.10%	0.0%	0.0%	0.22%	0.09%	0.22%	0.18%	0.28%	0.0%	1.04%	0.62%	0.22%	0.0%	0.0%	0.0%	0.28%	0.18%	0.09%	3.28%	0.0%	2.31%	0.48%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.85%	1.17%	0.25%	1.09%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	54	6	3	7	2	3	4	2	0	1	3	1	5	1	0	0	0	4	1	0	1	0	0	5	0	0	2	0	0	0	0	0	0	1	2	0	0					
		0.31%	0.68%	0.31%	0.60%	0.18%	0.22%	0.39%	0.22%	0.0%	0.28%	0.77%	0.26%	1.56%	0.22%	0.0%	0.0%	0.0%	0.37%	0.09%	0.0%	0.36%	0.0%	0.0%	0.60%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	2.19%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1593	109	87	110	89	140	119	96	56	21	43	24	27	38	7	9	3	82	73	158	30	9	9	95	19	4	14	3	3	5	23	17	4	26	2	16	23					
		9.40%	12.45%	9.04%	9.49%	8.30%	10.71%	11.77%	11.00%	10.40%	6.03%	11.13%	6.28%	8.43%	8.40%	6.86%	6.33%	6.52%	7.71%	6.76%	15.50%	10.94%	6.04%	5.20%	11.50%	9.69%	3.92%	4.60%	3.79%	1.86%	15.15%	7.09%	7.23%	4.70%	6.58%	2.19%	14.41%	8.67%					
																																											
41	Против всех	634	27	42	44	38	73	46	31	21	6	14	6	7	12	4	16	1	37	52	43	7	0	3	24	9	3	7	3	6	2	7	13	3	12	1	8	6					
		3.74%	3.08%	4.36%	3.79%	3.54%	5.58%	4.54%	3.55%	3.90%	1.72%	3.62%	1.57%	2.18%	2.65%	3.92%	11.26%	2.17%	3.48%	4.81%	4.21%	2.55%	0.0%	1.73%	2.90%	4.59%	2.94%	2.30%	3.79%	3.72%	6.06%	2.16%	5.53%	3.52%	3.03%	1.09%	7.20%	2.26%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
