Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Абдулинская городская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35									
		3.00%	3.10%	2.62%	5.30%	2.16%	2.58%	3.04%	2.92%	2.27%	1.84%	3.97%	3.57%	2.55%	8.12%	1.75%	3.45%	3.90%	6.76%	0.75%	1.68%	2.73%	1.33%	2.87%	1.63%	5.88%	2.08%	3.47%	3.08%	2.52%	1.54%	0.00%	2.63%	1.24%	3.14%	4.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	172	8	5	10	11	10	14	14	7	23	15	5	1	2	1	3	1	2	2	2	1	0	3	1	2	13	0	2	4	2	0	4	0	3	1									
		1.79%	1.18%	1.09%	2.21%	2.38%	1.84%	2.36%	2.27%	1.77%	3.53%	2.59%	3.57%	0.64%	0.74%	0.88%	1.72%	1.30%	1.35%	1.50%	0.84%	0.91%	0.00%	1.44%	0.81%	1.68%	3.39%	0.00%	1.54%	1.26%	3.08%	0.00%	1.75%	0.00%	0.94%	0.58%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3959	229	161	181	144	190	227	204	149	230	218	50	77	98	43	92	34	56	72	115	52	31	89	62	46	197	87	51	142	18	48	102	177	178	109									
		41.10%	33.83%	35.15%	39.96%	31.10%	34.99%	38.34%	33.06%	37.63%	35.28%	37.65%	35.71%	49.04%	36.16%	37.72%	52.87%	44.16%	37.84%	54.14%	48.32%	47.27%	41.33%	42.58%	50.41%	38.66%	51.30%	60.42%	39.23%	44.65%	27.69%	42.11%	44.74%	73.14%	55.97%	63.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	41	3	1	0	0	6	0	5	2	4	6	0	0	1	1	0	1	1	0	2	1	0	0	1	0	0	0	2	1	0	0	2	0	0	1									
		0.43%	0.44%	0.22%	0.00%	0.00%	1.10%	0.00%	0.81%	0.51%	0.61%	1.04%	0.00%	0.00%	0.37%	0.88%	0.00%	1.30%	0.68%	0.00%	0.84%	0.91%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	1.54%	0.31%	0.00%	0.00%	0.88%	0.00%	0.00%	0.58%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	1	1	0	0	1	0	0	0	1	0	2	1	1	0	0	0	1	0	2	0	1	1	0	0	4	0	0	0	2	0	1	2	0	2									
		0.25%	0.15%	0.22%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.15%	0.00%	1.43%	0.64%	0.37%	0.00%	0.00%	0.00%	0.68%	0.00%	0.84%	0.00%	1.33%	0.48%	0.00%	0.00%	1.04%	0.00%	0.00%	0.00%	3.08%	0.00%	0.44%	0.83%	0.00%	1.16%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2306	191	133	111	152	162	155	173	97	166	167	33	27	56	35	32	11	20	22	68	21	16	53	29	15	64	24	39	85	13	32	21	12	51	20									
		23.94%	28.21%	29.04%	24.50%	32.83%	29.83%	26.18%	28.04%	24.49%	25.46%	28.84%	23.57%	17.20%	20.66%	30.70%	18.39%	14.29%	13.51%	16.54%	28.57%	19.09%	21.33%	25.36%	23.58%	12.61%	16.67%	16.67%	30.00%	26.73%	20.00%	28.07%	9.21%	4.96%	16.04%	11.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	35	3	0	5	2	1	4	1	3	3	1	0	1	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0									
		0.36%	0.44%	0.00%	1.10%	0.43%	0.18%	0.68%	0.16%	0.76%	0.46%	0.17%	0.00%	0.64%	0.00%	0.00%	2.30%	1.30%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.54%	0.88%	0.44%	0.00%	0.63%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	53	3	2	2	2	5	1	3	0	7	5	1	0	3	0	2	0	0	0	0	0	0	2	1	1	0	0	0	1	1	1	1	0	8	1									
		0.55%	0.44%	0.44%	0.44%	0.43%	0.92%	0.17%	0.49%	0.00%	1.07%	0.86%	0.71%	0.00%	1.11%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.81%	0.84%	0.00%	0.00%	0.00%	0.31%	1.54%	0.88%	0.44%	0.00%	2.52%	0.58%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	0	1	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1									
		0.11%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	1.43%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	1.54%	0.88%	0.44%	0.00%	0.00%	0.58%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	69	1	3	5	1	9	5	0	4	3	5	1	1	1	2	0	1	0	2	2	0	2	1	1	0	1	0	3	4	2	0	4	2	2	1									
		0.72%	0.15%	0.66%	1.10%	0.22%	1.66%	0.84%	0.00%	1.01%	0.46%	0.86%	0.71%	0.64%	0.37%	1.75%	0.00%	1.30%	0.00%	1.50%	0.84%	0.00%	2.67%	0.48%	0.81%	0.00%	0.26%	0.00%	2.31%	1.26%	3.08%	0.00%	1.75%	0.83%	0.63%	0.58%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2266	188	113	94	110	124	146	164	108	183	118	33	35	76	30	30	25	52	26	37	29	24	43	18	41	76	26	28	59	20	27	63	38	57	25									
		23.52%	27.77%	24.67%	20.75%	23.76%	22.84%	24.66%	26.58%	27.27%	28.07%	20.38%	23.57%	22.29%	28.04%	26.32%	17.24%	32.47%	35.14%	19.55%	15.55%	26.36%	32.00%	20.57%	14.63%	34.45%	19.79%	18.06%	21.54%	18.55%	30.77%	23.68%	27.63%	15.70%	17.92%	14.53%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	49	5	1	0	3	5	1	5	1	2	2	1	1	0	0	0	0	1	2	1	1	0	2	2	0	2	0	0	3	0	0	2	2	4	0									
		0.51%	0.74%	0.22%	0.00%	0.65%	0.92%	0.17%	0.81%	0.25%	0.31%	0.35%	0.71%	0.64%	0.00%	0.00%	0.00%	0.00%	0.68%	1.50%	0.42%	0.91%	0.00%	0.96%	1.63%	0.00%	0.52%	0.00%	0.00%	0.94%	0.00%	0.00%	0.88%	0.83%	1.26%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	166	11	10	9	8	10	14	20	8	11	10	3	4	3	0	3	0	2	4	1	0	0	7	4	0	9	0	1	3	0	2	6	0	3	0									
		1.72%	1.62%	2.18%	1.99%	1.73%	1.84%	2.36%	3.24%	2.02%	1.69%	1.73%	2.14%	2.55%	1.11%	0.00%	1.72%	0.00%	1.35%	3.01%	0.42%	0.00%	0.00%	3.35%	3.25%	0.00%	2.34%	0.00%	0.77%	0.94%	0.00%	1.75%	2.63%	0.00%	0.94%	0.00%									
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
