Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Невинномысская городская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	810	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	224	7	2	4	7	3	2	2	3	2	6	2	6	3	1	10	1	2	3	5	2	3	0	4	1	7	9	10	4	4	4	1	9	1	3	9	9	5	6	3	7	3	5	2	2	3	5	3	0	3	10	7	3	4	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	205	3	3	9	9	2	2	5	2	4	0	7	4	5	2	3	2	2	1	3	1	2	16	1	2	4	3	2	5	1	7	0	3	2	4	6	3	2	2	3	3	8	2	1	2	12	0	2	2	1	6	10	6	8	5									
14	Число погашенных неиспользованных открепительных удостоверений	586	8	13	11	8	12	13	13	12	13	9	13	9	12	14	5	14	13	12	10	13	12	15	11	14	8	6	5	11	11	11	14	6	14	12	6	6	10	9	12	8	12	10	13	13	12	10	12	15	12	5	8	12	11	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	0	1	0	0	0	0	0	2	1	0	1	2	3	0	1	0	1	0	1	1	0	0	0	0	3	1	4	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	2	1	2	0	1	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	656	9	5	15	2	10	4	3	5	19	15	6	16	7	4	22	16	7	23	18	17	17	19	14	11	22	23	14	18	7	11	8	15	12	2	4	20	6	18	8	20	3	3	6	16	10	16	20	11	27	5	14	11	6	16									
		1.97%	1.62%	1.04%	1.85%	0.47%	1.98%	0.86%	0.88%	1.79%	3.82%	1.76%	1.60%	2.30%	1.58%	0.87%	2.53%	3.11%	1.49%	1.70%	3.14%	2.71%	2.57%	1.99%	2.52%	2.12%	2.19%	2.27%	1.79%	2.25%	1.48%	2.37%	1.97%	1.66%	2.25%	0.56%	0.84%	2.34%	1.17%	1.83%	1.17%	4.14%	0.65%	0.46%	1.36%	3.55%	1.23%	2.55%	2.31%	2.45%	4.10%	0.80%	1.87%	2.65%	0.97%	3.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1080	26	13	30	19	18	13	2	12	19	42	5	25	12	12	33	23	13	22	23	23	15	28	18	21	37	32	18	29	16	18	9	29	13	11	14	12	1	38	26	13	12	15	11	12	28	28	29	14	25	28	20	11	42	22									
		3.24%	4.69%	2.71%	3.71%	4.44%	3.57%	2.80%	0.59%	4.29%	3.82%	4.92%	1.34%	3.59%	2.71%	2.61%	3.79%	4.47%	2.77%	1.63%	4.01%	3.67%	2.27%	2.94%	3.24%	4.05%	3.69%	3.15%	2.30%	3.63%	3.39%	3.87%	2.22%	3.22%	2.44%	3.06%	2.93%	1.40%	0.19%	3.87%	3.80%	2.69%	2.58%	2.31%	2.50%	2.66%	3.43%	4.46%	3.34%	3.12%	3.80%	4.46%	2.67%	2.65%	6.82%	4.23%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	745	12	3	25	7	12	10	6	2	15	32	6	23	15	10	13	19	9	20	17	13	15	15	7	14	20	14	20	22	14	12	9	26	10	8	18	20	2	26	18	13	13	20	12	13	12	10	8	6	10	14	22	8	11	14									
		2.23%	2.17%	0.63%	3.09%	1.64%	2.38%	2.16%	1.76%	0.71%	3.02%	3.75%	1.60%	3.30%	3.39%	2.18%	1.49%	3.70%	1.91%	1.48%	2.97%	2.07%	2.27%	1.57%	1.26%	2.70%	1.99%	1.38%	2.56%	2.75%	2.97%	2.58%	2.22%	2.88%	1.88%	2.23%	3.77%	2.34%	0.39%	2.65%	2.63%	2.69%	2.80%	3.08%	2.73%	2.88%	1.47%	1.59%	0.92%	1.34%	1.52%	2.23%	2.94%	1.93%	1.79%	2.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14436	226	271	340	236	208	269	159	122	171	324	159	269	169	212	358	211	175	618	230	268	264	433	311	184	397	535	342	346	187	212	174	355	218	162	203	378	263	407	263	174	191	318	191	183	353	270	359	229	331	276	267	183	268	214									
		43.28%	40.79%	56.58%	42.03%	55.14%	41.27%	57.97%	46.76%	43.57%	34.41%	37.94%	42.51%	38.65%	38.24%	46.19%	41.10%	41.05%	37.23%	45.81%	40.14%	42.74%	39.88%	45.39%	56.04%	35.52%	39.54%	52.71%	43.73%	43.30%	39.62%	45.59%	42.86%	39.36%	40.90%	45.13%	42.47%	44.21%	51.17%	41.45%	38.45%	36.02%	41.08%	48.92%	43.41%	40.58%	43.26%	42.99%	41.41%	51.00%	50.30%	43.95%	35.65%	44.10%	43.51%	41.15%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	425	1	3	19	10	7	7	6	3	6	13	8	5	5	9	7	4	2	12	7	1	5	15	3	10	14	15	13	12	5	6	7	14	18	6	6	0	4	14	8	9	7	8	6	11	9	11	13	7	2	4	13	6	5	4									
		1.27%	0.18%	0.63%	2.35%	2.34%	1.39%	1.51%	1.76%	1.07%	1.21%	1.52%	2.14%	0.72%	1.13%	1.96%	0.80%	0.78%	0.43%	0.89%	1.22%	0.16%	0.76%	1.57%	0.54%	1.93%	1.39%	1.48%	1.66%	1.50%	1.06%	1.29%	1.72%	1.55%	3.38%	1.67%	1.26%	0.00%	0.78%	1.43%	1.17%	1.86%	1.51%	1.23%	1.36%	2.44%	1.10%	1.75%	1.50%	1.56%	0.30%	0.64%	1.74%	1.45%	0.81%	0.77%									
24	"6. Политическая партия ""Гражданская Платформа"""	55	1	0	0	0	0	1	0	1	0	3	1	3	1	0	2	1	2	3	2	2	1	1	0	1	0	2	2	1	1	0	0	3	2	1	1	5	0	1	0	0	1	0	1	0	0	2	0	0	2	0	1	0	1	2									
		0.16%	0.18%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.36%	0.00%	0.35%	0.27%	0.43%	0.23%	0.00%	0.23%	0.19%	0.43%	0.22%	0.35%	0.32%	0.15%	0.10%	0.00%	0.19%	0.00%	0.20%	0.26%	0.13%	0.21%	0.00%	0.00%	0.33%	0.38%	0.28%	0.21%	0.58%	0.00%	0.10%	0.00%	0.00%	0.22%	0.00%	0.23%	0.00%	0.00%	0.32%	0.00%	0.00%	0.30%	0.00%	0.13%	0.00%	0.16%	0.38%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6639	123	89	171	43	99	77	75	54	112	156	78	134	96	85	168	73	87	229	118	116	131	250	87	122	188	148	152	164	107	77	84	173	128	82	108	187	113	218	159	121	120	135	103	89	155	120	193	79	69	117	157	75	126	119									
		19.90%	22.20%	18.58%	21.14%	10.05%	19.64%	16.59%	22.06%	19.29%	22.54%	18.27%	20.86%	19.25%	21.72%	18.52%	19.29%	14.20%	18.51%	16.98%	20.59%	18.50%	19.79%	26.21%	15.68%	23.55%	18.73%	14.58%	19.44%	20.53%	22.67%	16.56%	20.69%	19.18%	24.02%	22.84%	22.59%	21.87%	21.98%	22.20%	23.25%	25.05%	25.81%	20.77%	23.41%	19.73%	18.99%	19.11%	22.26%	17.59%	10.49%	18.63%	20.96%	18.07%	20.45%	22.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	182	4	2	2	2	5	1	1	3	3	4	0	10	6	4	4	8	0	8	3	5	9	5	1	2	1	5	3	7	2	1	2	4	2	2	3	7	2	8	5	1	2	0	3	3	5	3	3	0	2	1	4	1	3	5									
		0.55%	0.72%	0.42%	0.25%	0.47%	0.99%	0.22%	0.29%	1.07%	0.60%	0.47%	0.00%	1.44%	1.36%	0.87%	0.46%	1.56%	0.00%	0.59%	0.52%	0.80%	1.36%	0.52%	0.18%	0.39%	0.10%	0.49%	0.38%	0.88%	0.42%	0.22%	0.49%	0.44%	0.38%	0.56%	0.63%	0.82%	0.39%	0.81%	0.73%	0.21%	0.43%	0.00%	0.68%	0.67%	0.61%	0.48%	0.35%	0.00%	0.30%	0.16%	0.53%	0.24%	0.49%	0.96%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	374	3	3	7	7	3	4	2	5	2	9	2	15	3	3	17	5	8	7	5	13	13	9	5	5	15	11	13	8	6	8	8	9	7	2	2	8	0	12	6	9	3	0	11	13	8	9	10	6	8	7	5	6	1	8									
		1.12%	0.54%	0.63%	0.87%	1.64%	0.60%	0.86%	0.59%	1.79%	0.40%	1.05%	0.53%	2.16%	0.68%	0.65%	1.95%	0.97%	1.70%	0.52%	0.87%	2.07%	1.96%	0.94%	0.90%	0.97%	1.49%	1.08%	1.66%	1.00%	1.27%	1.72%	1.97%	0.99%	1.31%	0.56%	0.42%	0.94%	0.00%	1.22%	0.88%	1.86%	0.65%	0.00%	2.50%	2.88%	0.98%	1.43%	1.15%	1.34%	1.22%	1.11%	0.67%	1.45%	0.16%	1.54%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	69	3	0	1	0	0	1	3	2	0	0	0	0	0	1	2	0	0	0	0	1	2	5	0	2	1	1	5	2	1	0	0	1	2	3	1	2	0	3	0	1	2	3	0	1	6	0	1	3	1	1	1	0	2	2									
		0.21%	0.54%	0.00%	0.12%	0.00%	0.00%	0.22%	0.88%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.23%	0.00%	0.00%	0.00%	0.00%	0.16%	0.30%	0.52%	0.00%	0.39%	0.10%	0.10%	0.64%	0.25%	0.21%	0.00%	0.00%	0.11%	0.38%	0.84%	0.21%	0.23%	0.00%	0.31%	0.00%	0.21%	0.43%	0.46%	0.00%	0.22%	0.74%	0.00%	0.12%	0.67%	0.15%	0.16%	0.13%	0.00%	0.32%	0.38%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	411	4	6	9	6	6	5	2	0	12	8	5	12	4	5	15	6	10	10	10	9	10	17	7	5	24	10	16	11	3	5	4	6	8	3	3	8	2	10	14	5	6	6	3	10	4	7	16	5	10	2	8	9	4	6									
		1.23%	0.72%	1.25%	1.11%	1.40%	1.19%	1.08%	0.59%	0.00%	2.41%	0.94%	1.34%	1.72%	0.90%	1.09%	1.72%	1.17%	2.13%	0.74%	1.75%	1.44%	1.51%	1.78%	1.26%	0.97%	2.39%	0.99%	2.05%	1.38%	0.64%	1.08%	0.99%	0.67%	1.50%	0.84%	0.63%	0.94%	0.39%	1.02%	2.05%	1.04%	1.29%	0.92%	0.68%	2.22%	0.49%	1.11%	1.85%	1.11%	1.52%	0.32%	1.07%	2.17%	0.65%	1.15%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4657	72	51	101	48	77	45	42	35	77	147	49	95	81	71	129	74	73	154	81	82	92	84	53	67	183	128	117	105	69	75	54	168	65	43	65	113	85	134	91	56	64	93	64	64	143	95	120	49	114	97	120	57	82	64									
		13.96%	12.99%	10.65%	12.48%	11.21%	15.28%	9.70%	12.35%	12.50%	15.49%	17.21%	13.10%	13.65%	18.33%	15.47%	14.81%	14.40%	15.53%	11.42%	14.14%	13.08%	13.90%	8.81%	9.55%	12.93%	18.23%	12.61%	14.96%	13.14%	14.62%	16.13%	13.30%	18.63%	12.20%	11.98%	13.60%	13.22%	16.54%	13.65%	13.30%	11.59%	13.76%	14.31%	14.55%	14.19%	17.52%	15.13%	13.84%	10.91%	17.33%	15.45%	16.02%	13.73%	13.31%	12.31%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	148	4	0	2	1	2	2	1	0	4	1	0	2	4	2	2	2	3	6	3	5	1	10	2	2	0	8	4	4	5	2	3	2	3	3	1	4	0	5	3	1	0	1	3	0	6	3	4	3	4	2	3	1	5	4									
		0.44%	0.72%	0.00%	0.25%	0.23%	0.40%	0.43%	0.29%	0.00%	0.80%	0.12%	0.00%	0.29%	0.90%	0.44%	0.23%	0.39%	0.64%	0.44%	0.52%	0.80%	0.15%	1.05%	0.36%	0.39%	0.00%	0.79%	0.51%	0.50%	1.06%	0.43%	0.74%	0.22%	0.56%	0.84%	0.21%	0.47%	0.00%	0.51%	0.44%	0.21%	0.00%	0.15%	0.68%	0.00%	0.74%	0.48%	0.46%	0.67%	0.61%	0.32%	0.40%	0.24%	0.81%	0.77%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2403	35	18	56	26	30	16	23	19	43	63	37	62	26	25	66	56	67	205	34	58	66	32	35	47	75	58	48	33	39	27	30	72	25	19	36	49	26	61	57	35	29	48	22	24	49	39	49	26	42	49	87	39	38	27									
		7.20%	6.32%	3.76%	6.92%	6.07%	5.95%	3.45%	6.76%	6.79%	8.65%	7.38%	9.89%	8.91%	5.88%	5.45%	7.58%	10.89%	14.26%	15.20%	5.93%	9.25%	9.97%	3.35%	6.31%	9.07%	7.47%	5.71%	6.14%	4.13%	8.26%	5.81%	7.39%	7.98%	4.69%	5.29%	7.53%	5.73%	5.06%	6.21%	8.33%	7.25%	6.24%	7.38%	5.00%	5.32%	6.00%	6.21%	5.65%	5.79%	6.38%	7.80%	11.62%	9.40%	6.17%	5.19%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
