Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Гатчинская городская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474					
		5.35%	6.93%	5.75%	7.00%	4.79%	5.68%	8.72%	6.86%	5.15%	4.73%	6.84%	8.07%	6.01%	5.56%	6.12%	4.42%	5.28%	4.42%	5.32%	4.20%	4.37%	4.18%	5.74%	3.82%	4.41%	3.14%	4.21%	4.67%	4.08%	4.78%	5.15%	4.55%	5.52%	4.71%					
23	. Харитонов Николай Михайлович	4423	118	169	143	146	152	143	136	144	169	155	138	118	131	114	75	124	127	136	121	160	141	99	134	119	97	136	84	151	149	156	164	128	146					
		10.68%	9.18%	8.83%	10.21%	10.14%	8.54%	10.06%	11.66%	11.41%	13.54%	12.05%	12.11%	10.91%	10.41%	10.25%	7.37%	12.35%	10.80%	11.14%	10.37%	12.71%	11.12%	9.80%	12.19%	10.29%	9.52%	13.98%	10.06%	11.00%	10.96%	11.63%	10.67%	10.10%	9.41%					
																																								
24	Против всех	1652	43	98	53	59	75	67	50	65	47	49	48	41	42	34	35	40	44	44	44	42	53	33	36	34	49	30	23	64	59	54	69	52	76					
		3.99%	3.35%	5.12%	3.79%	4.10%	4.22%	4.71%	4.29%	5.15%	3.77%	3.81%	4.21%	3.79%	3.34%	3.06%	3.44%	3.98%	3.74%	3.60%	3.77%	3.34%	4.18%	3.27%	3.28%	2.94%	4.81%	3.08%	2.75%	4.66%	4.34%	4.03%	4.49%	4.10%	4.90%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
