Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Чистопольская 																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК  2855	УИК  2856	УИК  2857	УИК  2858	УИК  2859	УИК  2860	УИК  2861	УИК  2862	УИК  2863	УИК  2864	УИК  2865	УИК  2866	УИК  2867	УИК  2868	УИК  2869	УИК  2870	УИК  2871	УИК  2872	УИК  2873	УИК  2874	УИК  2875	УИК  2876	УИК  2877	УИК  2878	УИК  2879	УИК  2880	УИК  2881	УИК  2882	УИК  2883	УИК  2884	УИК  2885	УИК  2886	УИК  2887	УИК  2888	УИК  2889	УИК  2890	УИК  2891	УИК  2892	УИК  2893	УИК  2894	УИК  2895	УИК  2896					
14	Число погашенных открепительных удостоверений	349	7	10	5	7	9	7	9	10	7	8	9	2	5	8	7	9	9	8	9	8	10	7	10	7	10	5	10	9	2	1	28	10	10	6	1	9	38	7	0	10	2	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
18	"1. ""ЕДИНЕНИЕ"""	190	8	0	0	2	3	0	4	0	1	17	0	12	20	15	2	3	0	0	0	11	4	16	9	0	2	0	0	0	3	6	16	0	0	2	1	0	8	2	4	2	13	4					
		1.38%	1.20%	0.0%	0.0%	0.54%	1.19%	0.0%	0.79%	0.0%	0.44%	3.71%	0.0%	2.73%	4.20%	3.39%	1.28%	0.76%	0.0%	0.0%	0.0%	3.48%	1.49%	2.71%	7.96%	0.0%	1.06%	0.0%	0.0%	0.0%	1.04%	1.41%	4.59%	0.0%	0.0%	0.44%	0.18%	0.0%	2.11%	1.96%	0.98%	1.42%	3.14%	0.78%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	36	2	0	0	0	2	0	4	0	0	1	0	0	2	1	2	1	0	0	0	0	0	1	3	3	1	0	0	0	1	1	2	0	0	0	0	0	1	0	4	0	4	0					
		0.26%	0.30%	0.0%	0.0%	0.0%	0.79%	0.0%	0.79%	0.0%	0.0%	0.21%	0.0%	0.0%	0.42%	0.22%	1.28%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	2.65%	0.60%	0.53%	0.0%	0.0%	0.0%	0.34%	0.23%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.98%	0.0%	0.96%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	87	4	0	0	3	3	0	6	2	0	2	0	7	4	2	2	0	0	0	0	0	5	4	1	0	3	0	0	0	2	5	6	0	1	1	0	0	4	0	6	2	4	8					
		0.63%	0.60%	0.0%	0.0%	0.81%	1.19%	0.0%	1.19%	1.96%	0.0%	0.43%	0.0%	1.59%	0.84%	0.45%	1.28%	0.0%	0.0%	0.0%	0.0%	0.0%	1.86%	0.67%	0.88%	0.0%	1.59%	0.0%	0.0%	0.0%	0.69%	1.17%	1.72%	0.0%	0.42%	0.22%	0.0%	0.0%	1.05%	0.0%	1.47%	1.42%	0.96%	1.57%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	83	7	0	0	1	4	0	4	0	0	2	0	6	3	4	0	0	0	0	0	0	0	4	2	5	2	0	0	0	8	5	7	2	0	0	0	0	1	0	9	0	3	4					
		0.60%	1.05%	0.0%	0.0%	0.27%	1.58%	0.0%	0.79%	0.0%	0.0%	0.43%	0.0%	1.36%	0.63%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%	1.76%	1.00%	1.06%	0.0%	0.0%	0.0%	2.77%	1.17%	2.01%	0.90%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	2.21%	0.0%	0.72%	0.78%					
22	"5. ""За Русь Святую"""	35	2	0	0	0	3	0	3	0	0	1	0	2	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	5	1	0	0	0	0	1	0	1	0	1	4	4					
		0.25%	0.30%	0.0%	0.0%	0.0%	1.19%	0.0%	0.59%	0.0%	0.0%	0.21%	0.0%	0.45%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	1.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	1.17%	0.28%	0.0%	0.0%	0.0%	0.0%	0.90%	0.0%	0.98%	0.0%	0.71%	0.96%	0.78%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	1	2	2	0	0	0	0	0	0	1	2	0	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.22%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.80%	0.0%	0.0%	0.0%	0.0%	0.34%	0.47%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.49%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	25	1	0	0	1	0	0	2	0	1	0	0	0	4	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	3	4	0	0	0	0	0	1	2	0	1	0	0					
		0.18%	0.15%	0.0%	0.0%	0.27%	0.0%	0.0%	0.39%	0.0%	0.44%	0.0%	0.0%	0.0%	0.84%	0.22%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	1.96%	0.0%	0.71%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	11	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.19%	0.0%	0.0%	0.21%	0.0%	0.0%	0.42%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.19%					
26	"9. ""Российская экологическая партия ""Зеленые"""	16	0	0	0	0	0	0	1	0	0	2	0	0	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	1	0	0	1					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.43%	0.0%	0.0%	0.63%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.24%	0.0%	0.0%	0.19%					
27	"10. ""Аграрная партия России"""	234	2	2	7	1	8	12	31	3	5	0	5	3	5	5	1	1	0	0	0	25	3	18	3	4	1	4	0	0	6	15	5	11	0	5	0	2	14	3	7	3	7	7					
		1.70%	0.30%	1.86%	2.50%	0.27%	3.17%	4.58%	6.17%	2.94%	2.24%	0.0%	0.92%	0.68%	1.05%	1.13%	0.64%	0.25%	0.0%	0.0%	0.0%	7.91%	1.11%	3.05%	2.65%	0.80%	0.53%	1.02%	0.0%	0.0%	2.08%	3.53%	1.43%	5.0%	0.0%	1.10%	0.0%	1.80%	3.70%	2.94%	1.71%	2.14%	1.69%	1.37%					
28	"11. ""Истинные патриоты России"""	37	2	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	7	1	0	0	0	0	0	2	2	0	4	0	6	0	0	2	0	0	0	0	6					
		0.27%	0.30%	0.0%	0.0%	0.27%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.21%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	1.18%	0.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.47%	0.0%	1.81%	0.0%	1.32%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	1.18%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	62	3	0	0	1	5	0	3	0	0	2	1	1	4	2	2	0	0	0	0	0	0	3	4	2	0	2	0	0	2	4	5	1	0	0	0	0	3	0	4	0	4	4					
		0.45%	0.45%	0.0%	0.0%	0.27%	1.98%	0.0%	0.59%	0.0%	0.0%	0.43%	0.18%	0.22%	0.84%	0.45%	1.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	3.53%	0.40%	0.0%	0.51%	0.0%	0.0%	0.69%	0.94%	1.43%	0.45%	0.0%	0.0%	0.0%	0.0%	0.79%	0.0%	0.98%	0.0%	0.96%	0.78%					
30	"13. ""Демократическая партия России"""	17	5	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0					
		0.12%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.65%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.88%	0.20%	0.0%	0.0%	0.0%	0.0%	0.34%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.71%	0.24%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	40	4	0	0	0	0	5	1	0	0	1	1	3	6	0	0	1	0	0	0	0	0	3	0	0	0	0	3	0	1	2	1	0	0	0	0	1	1	1	1	0	2	2					
		0.29%	0.60%	0.0%	0.0%	0.0%	0.0%	1.90%	0.19%	0.0%	0.0%	0.21%	0.18%	0.68%	1.26%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.34%	0.47%	0.28%	0.0%	0.0%	0.0%	0.0%	0.90%	0.26%	0.98%	0.24%	0.0%	0.48%	0.39%					
32	"15. ""Партия СЛОН"""	6	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1					
		0.04%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	0.0%	0.19%					
33	"16. ""Родина"" (народно-патриотический союз)"""	218	5	6	0	1	3	2	19	1	2	9	1	5	11	5	0	6	0	0	0	9	2	2	1	0	1	0	0	0	9	23	18	1	0	1	0	5	15	1	7	4	19	24					
		1.59%	0.75%	5.60%	0.0%	0.27%	1.19%	0.76%	3.78%	0.98%	0.89%	1.96%	0.18%	1.13%	2.31%	1.13%	0.0%	1.53%	0.0%	0.0%	0.0%	2.84%	0.74%	0.33%	0.88%	0.0%	0.53%	0.0%	0.0%	0.0%	3.12%	5.42%	5.17%	0.45%	0.0%	0.22%	0.0%	4.50%	3.96%	0.98%	1.71%	2.85%	4.60%	4.72%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	22	1	0	0	0	0	0	0	1	0	2	1	4	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	3	1					
		0.16%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.0%	0.43%	0.18%	0.91%	0.21%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.72%	0.19%					
35	"18. ""ЛДПР"""	465	1	8	19	12	13	10	28	7	0	8	3	22	27	16	2	3	0	0	0	11	4	10	2	6	3	0	0	0	17	29	31	2	0	1	2	6	29	5	23	32	35	38					
		3.39%	0.15%	7.47%	6.81%	3.26%	5.15%	3.81%	5.57%	6.86%	0.0%	1.74%	0.55%	5.01%	5.67%	3.61%	1.28%	0.76%	0.0%	0.0%	0.0%	3.48%	1.49%	1.69%	1.76%	1.20%	1.59%	0.0%	0.0%	0.0%	5.90%	6.83%	8.90%	0.90%	0.0%	0.22%	0.37%	5.40%	7.67%	4.90%	5.65%	22.85%	8.47%	7.48%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	247	9	0	0	4	3	0	15	0	2	2	3	9	14	22	2	2	0	0	0	0	10	27	4	9	9	0	0	0	5	14	24	1	0	12	0	2	12	2	8	7	8	6					
		1.80%	1.35%	0.0%	0.0%	1.08%	1.19%	0.0%	2.98%	0.0%	0.89%	0.43%	0.55%	2.05%	2.94%	4.97%	1.28%	0.51%	0.0%	0.0%	0.0%	0.0%	3.73%	4.57%	3.53%	1.80%	4.78%	0.0%	0.0%	0.0%	1.73%	3.30%	6.89%	0.45%	0.0%	2.64%	0.0%	1.80%	3.17%	1.96%	1.96%	4.99%	1.93%	1.18%					
37	"20. ""Политическая партия ""Единая Россия"""	10401	572	71	223	334	194	213	306	76	188	390	508	279	286	300	142	338	267	212	180	232	230	373	69	438	143	335	242	134	172	216	141	183	209	385	526	58	237	60	306	61	271	301					
		75.90%	86.01%	66.35%	79.92%	91.00%	76.98%	81.29%	60.95%	74.50%	84.30%	85.15%	94.42%	63.55%	60.08%	67.87%	91.02%	86.66%	83.96%	90.21%	99.44%	73.41%	85.82%	63.22%	61.06%	87.95%	76.06%	86.11%	94.53%	100.0%	59.72%	50.94%	40.51%	83.18%	88.18%	84.98%	99.24%	52.25%	62.69%	58.82%	75.18%	43.57%	65.61%	59.25%					
38	"21. ""Российская Конституционно-демократическая партия"""	31	0	0	0	0	1	0	1	0	0	0	0	3	6	1	0	1	0	0	0	2	0	2	0	0	0	0	3	0	0	3	1	0	0	0	0	0	0	1	1	0	1	4					
		0.22%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.68%	1.26%	0.22%	0.0%	0.25%	0.0%	0.0%	0.0%	0.63%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	0.70%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.24%	0.0%	0.24%	0.78%					
39	"22. ""Развитие предпринимательства"""	16	2	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	2	0	0	0	1	0	0	0	2					
		0.11%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.47%	0.28%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	0.0%	0.39%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	935	15	9	5	5	4	20	44	8	11	9	4	73	54	55	1	20	47	23	1	21	3	71	4	17	8	29	6	0	34	51	54	8	5	32	1	21	35	14	13	20	10	70					
		6.82%	2.25%	8.41%	1.79%	1.36%	1.58%	7.63%	8.76%	7.84%	4.93%	1.96%	0.74%	16.62%	11.34%	12.44%	0.64%	5.12%	14.77%	9.78%	0.55%	6.64%	1.11%	12.03%	3.53%	3.41%	4.25%	7.45%	2.34%	0.0%	11.80%	12.02%	15.51%	3.63%	2.10%	7.06%	0.18%	18.91%	9.25%	13.72%	3.19%	14.28%	2.42%	13.77%					
																																																	
41	Против всех	284	12	5	3	1	2	0	22	2	5	5	4	3	5	5	0	9	0	0	0	3	5	38	5	4	6	11	2	0	18	21	16	7	1	6	0	11	9	0	6	2	20	10					
		2.07%	1.80%	4.67%	1.07%	0.27%	0.79%	0.0%	4.38%	1.96%	2.24%	1.09%	0.74%	0.68%	1.05%	1.13%	0.0%	2.30%	0.0%	0.0%	0.0%	0.94%	1.86%	6.44%	4.42%	0.80%	3.19%	2.82%	0.78%	0.0%	6.25%	4.95%	4.59%	3.18%	0.42%	1.32%	0.0%	9.90%	2.38%	0.0%	1.47%	1.42%	4.84%	1.96%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
