Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																													
Дата голосования: 04.12.2011																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Балаковская																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588					
		11.73%	13.77%	11.23%	13.33%	15.94%	16.08%	12.65%	13.12%	13.97%	12.66%	12.53%	12.23%	10.69%	12.82%	12.61%	13.02%	11.72%	12.20%	12.11%	9.48%	13.67%	11.65%	11.40%	11.95%	11.40%	10.63%	12.61%	8.68%	12.69%	10.68%	10.79%	12.27%	12.34%	11.61%	7.23%	12.82%	9.35%	15.55%	11.67%	11.30%	16.05%	11.52%	11.30%	12.42%	12.87%	12.11%	12.98%	11.47%	12.41%	12.45%	11.22%	12.25%	13.11%	13.39%	12.09%	10.83%	11.83%	11.48%	15.30%	12.89%	13.99%	14.42%	12.78%	13.50%	12.14%	11.71%	12.50%	13.48%	13.73%	12.14%	13.79%	5.73%	20.00%	9.54%	7.69%	10.76%	8.26%	8.42%	8.00%	9.16%	9.89%	1.92%	10.00%	5.83%	6.29%	4.92%	10.91%	8.55%	4.65%	18.18%	8.88%	10.48%	0.60%	11.21%	8.99%	2.97%	10.00%	8.85%	3.02%	9.58%	8.30%	7.16%	11.48%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	895	15	10	10	8	3	14	15	10	10	13	13	16	9	10	7	6	8	13	11	10	13	12	13	8	5	11	9	10	9	9	11	7	22	10	11	22	4	14	14	6	11	14	14	11	18	11	8	8	10	5	12	18	19	18	17	18	15	9	18	21	18	10	18	16	7	8	20	12	3	19	2	4	3	2	3	3	6	1	4	3	1	0	0	0	0	0	1	1	0	1	1	1	0	4	1	0	9	3	1	1	2	0					
		0.99%	1.21%	0.86%	1.03%	0.83%	0.38%	1.20%	1.33%	0.88%	1.07%	1.15%	1.57%	1.54%	0.95%	0.86%	0.69%	0.54%	0.70%	1.19%	1.02%	0.79%	1.36%	1.29%	1.13%	0.77%	1.02%	0.81%	0.87%	0.73%	0.86%	0.65%	0.80%	1.12%	1.62%	1.34%	1.50%	2.10%	1.22%	1.18%	1.06%	0.82%	1.29%	1.16%	0.94%	0.84%	1.40%	1.03%	0.66%	0.73%	1.05%	0.42%	1.26%	1.31%	1.33%	1.15%	1.04%	1.16%	1.08%	0.87%	1.93%	1.97%	1.41%	0.94%	1.23%	1.06%	0.78%	0.63%	1.68%	1.31%	1.46%	1.40%	0.46%	0.69%	0.53%	0.64%	0.79%	0.38%	1.20%	0.29%	1.59%	0.43%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	1.16%	0.00%	0.26%	0.95%	0.20%	0.00%	1.38%	0.19%	0.00%	1.59%	0.24%	0.22%	0.40%	0.57%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	21963	346	356	279	251	189	297	301	278	212	308	189	278	248	329	290	299	355	309	328	328	325	284	335	302	89	440	329	328	257	373	346	195	391	136	179	292	83	293	334	195	261	324	382	328	312	277	341	302	247	330	245	351	331	357	375	335	392	245	207	264	282	279	413	410	273	352	317	226	50	296	48	116	123	31	64	91	70	45	14	112	49	18	9	24	34	59	133	12	5	85	23	2	24	34	20	30	102	52	51	35	41	27					
		24.48%	28.02%	30.53%	28.62%	25.98%	23.74%	25.56%	26.68%	24.58%	22.75%	27.18%	22.88%	26.78%	26.05%	28.22%	28.60%	26.74%	30.92%	28.35%	30.48%	26.07%	34.10%	30.54%	29.23%	28.93%	18.20%	32.26%	31.73%	24.06%	24.50%	26.83%	25.13%	31.25%	28.73%	18.21%	24.42%	27.86%	25.30%	24.60%	25.32%	26.75%	30.67%	26.91%	25.65%	25.13%	24.22%	25.86%	27.93%	27.55%	25.84%	27.43%	25.65%	25.56%	23.21%	22.71%	22.94%	21.54%	28.12%	23.58%	22.23%	24.79%	22.10%	26.22%	28.31%	27.04%	30.43%	27.67%	26.71%	24.62%	24.27%	21.83%	11.01%	20.00%	21.73%	9.94%	16.80%	11.39%	14.03%	12.86%	5.58%	16.05%	15.71%	9.47%	8.74%	7.95%	8.81%	21.45%	28.42%	13.95%	11.36%	22.19%	21.90%	0.40%	22.43%	11.76%	3.71%	9.38%	18.05%	4.13%	11.36%	13.83%	11.75%	11.07%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2687	44	21	27	35	23	40	44	44	38	63	23	50	38	55	30	33	51	42	48	46	28	37	41	40	8	44	26	40	24	38	41	17	54	10	21	29	10	27	25	16	22	33	38	30	28	43	53	42	19	25	32	50	48	53	68	48	37	35	30	41	54	58	38	51	29	43	42	47	7	46	3	17	11	2	7	2	4	2	1	3	1	2	0	1	2	0	6	0	0	12	1	1	0	4	2	0	8	19	10	2	3	0					
		2.99%	3.56%	1.80%	2.77%	3.62%	2.89%	3.44%	3.90%	3.89%	4.08%	5.56%	2.78%	4.82%	3.99%	4.72%	2.96%	2.95%	4.44%	3.85%	4.46%	3.66%	2.94%	3.98%	3.58%	3.83%	1.64%	3.23%	2.51%	2.93%	2.29%	2.73%	2.98%	2.72%	3.97%	1.34%	2.86%	2.77%	3.05%	2.27%	1.90%	2.19%	2.59%	2.74%	2.55%	2.30%	2.17%	4.01%	4.34%	3.83%	1.99%	2.08%	3.35%	3.64%	3.37%	3.37%	4.16%	3.09%	2.65%	3.37%	3.22%	3.85%	4.23%	5.45%	2.60%	3.36%	3.23%	3.38%	3.54%	5.12%	3.40%	3.39%	0.69%	2.93%	1.94%	0.64%	1.84%	0.25%	0.80%	0.57%	0.40%	0.43%	0.32%	1.05%	0.00%	0.33%	0.52%	0.00%	1.28%	0.00%	0.00%	3.13%	0.95%	0.20%	0.00%	1.38%	0.37%	0.00%	1.42%	1.51%	2.23%	0.79%	0.86%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	37841	455	417	310	347	283	451	394	402	361	364	330	360	349	413	335	419	345	360	426	457	340	337	431	387	245	493	404	599	464	523	574	225	495	420	314	422	128	507	543	265	334	505	611	531	547	408	446	387	385	452	359	497	554	630	692	684	531	420	386	389	498	397	506	564	329	501	429	333	88	555	323	223	294	173	220	557	296	225	181	396	224	131	83	234	294	155	233	62	27	197	52	440	53	188	433	237	326	1107	275	167	236	157					
		42.18%	36.84%	35.76%	31.79%	35.92%	35.55%	38.81%	34.93%	35.54%	38.73%	32.13%	39.95%	34.68%	36.66%	35.42%	33.04%	37.48%	30.05%	33.03%	39.59%	36.33%	35.68%	36.24%	37.61%	37.07%	50.10%	36.14%	38.96%	43.95%	44.23%	37.63%	41.68%	36.06%	36.37%	56.22%	42.84%	40.27%	39.02%	42.57%	41.17%	36.35%	39.25%	41.94%	41.03%	40.69%	42.47%	38.10%	36.53%	35.31%	40.27%	37.57%	37.59%	36.20%	38.85%	40.08%	42.32%	43.99%	38.09%	40.42%	41.46%	36.53%	39.03%	37.31%	34.68%	37.20%	36.68%	39.39%	36.14%	36.27%	42.72%	40.93%	74.08%	38.45%	51.94%	55.45%	57.74%	69.71%	59.32%	64.29%	72.11%	56.73%	71.79%	68.95%	80.58%	77.48%	76.17%	56.36%	49.79%	72.09%	61.36%	51.44%	49.52%	88.53%	49.53%	65.05%	80.33%	74.06%	57.70%	87.93%	61.25%	66.01%	67.62%	64.34%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	488	7	6	7	3	10	6	6	11	5	10	5	10	7	6	8	8	10	5	2	6	4	5	3	11	2	7	6	6	3	6	3	7	14	2	4	7	3	5	2	4	5	3	7	6	5	8	7	14	4	7	2	8	9	9	8	14	11	6	10	8	9	11	4	10	6	6	6	8	1	6	0	4	0	0	0	0	2	1	2	3	0	0	0	0	1	0	0	0	0	0	2	1	1	4	0	0	1	2	3	0	1	0					
		0.54%	0.57%	0.51%	0.72%	0.31%	1.26%	0.52%	0.53%	0.97%	0.54%	0.88%	0.61%	0.96%	0.74%	0.51%	0.79%	0.72%	0.87%	0.46%	0.19%	0.48%	0.42%	0.54%	0.26%	1.05%	0.41%	0.51%	0.58%	0.44%	0.29%	0.43%	0.22%	1.12%	1.03%	0.27%	0.55%	0.67%	0.91%	0.42%	0.15%	0.55%	0.59%	0.25%	0.47%	0.46%	0.39%	0.75%	0.57%	1.28%	0.42%	0.58%	0.21%	0.58%	0.63%	0.57%	0.49%	0.90%	0.79%	0.58%	1.07%	0.75%	0.71%	1.03%	0.27%	0.66%	0.67%	0.47%	0.51%	0.87%	0.49%	0.44%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.40%	0.29%	0.80%	0.43%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	1.90%	0.20%	0.93%	1.38%	0.00%	0.00%	0.18%	0.16%	0.67%	0.00%	0.29%	0.00%					
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
