Выборы Президента Российской Федерации																																																																	
																																																																	
"Наименование Избирательной комиссии:    Нижний Новгород, Московская"																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК  1554	УИК  1555	УИК  1556	УИК  1557	УИК  1558	УИК  1559	УИК  1560	УИК  1561	УИК  1562	УИК  1563	УИК  1564	УИК  1565	УИК  1566	УИК  1567	УИК  1568	УИК  1569	УИК  1570	УИК  1571	УИК  1572	УИК  1573	УИК  1574	УИК  1575	УИК  1576	УИК  1577	УИК  1578	УИК  1579	УИК  1580	УИК  1581	УИК  1582	УИК  1583	УИК  1584	УИК  1585	УИК  1586	УИК  1587	УИК  1588	УИК  1589	УИК  1590	УИК  1591	УИК  1592	УИК  1593	УИК  1594	УИК  1595	УИК  1596	УИК  1597	УИК  1598	УИК  1599	УИК  1600	УИК  1601	УИК  1602	УИК  1603	УИК  1604	УИК  1605	УИК  1606	УИК  1607	УИК  1608	УИК  1609	УИК  1610	УИК  1611					
11	Число полученных открепительных  удостоверений	972	12	20	20	20	15	20	15	20	20	25	20	20	15	15	15	15	20	20	10	15	15	15	25	15	15	15	20	15	15	15	20	15	15	15	15	15	15	15	15	15	20	15	15	10	20	15	20	15	15	15	15	20	15	20	20	20	15	15					
12	Число выданных открепительных удостоверений	551	3	10	15	10	6	11	8	10	11	18	6	7	9	5	7	12	16	15	5	10	5	6	14	7	8	2	17	7	11	11	7	2	9	7	9	6	10	11	10	10	9	11	14	2	12	11	10	14	8	10	11	12	14	12	6	16	6	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	488	0	9	8	5	8	6	4	7	10	10	5	3	9	5	4	3	4	7	4	3	7	7	12	9	11	10	9	11	5	16	22	8	5	12	22	16	8	10	16	13	13	11	8	16	7	10	3	3	6	2	7	7	2	2	3	16	18	11					
14	Число неиспользованных открепительных удостоверений	421	9	10	5	10	9	9	7	10	9	7	14	13	6	10	8	3	4	5	5	5	10	9	11	8	7	13	3	8	4	4	13	13	6	8	6	9	5	4	5	5	11	4	1	8	8	4	10	1	7	5	4	8	1	8	14	4	9	5					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																	
18	. Глазьев Сергей Юрьевич	2490	21	76	74	59	36	58	51	42	52	42	47	51	49	40	49	49	34	52	12	47	44	21	42	55	67	40	73	41	35	38	57	27	41	44	37	43	35	30	43	47	34	46	21	8	33	70	44	34	28	45	48	45	39	47	32	43	42	30					
		4.42%	4.05%	6.24%	6.24%	5.78%	3.80%	4.73%	4.55%	4.34%	4.38%	4.30%	5.10%	5.44%	4.98%	4.54%	5.36%	4.16%	3.57%	4.76%	2.21%	4.39%	4.59%	2.38%	4.11%	5.26%	6.27%	4.29%	5.51%	4.20%	2.52%	3.93%	4.35%	4.03%	4.32%	4.85%	4.30%	4.34%	4.83%	4.10%	4.89%	4.99%	3.74%	4.59%	3.66%	4.08%	3.00%	6.35%	4.30%	3.36%	3.25%	4.54%	4.07%	4.36%	4.24%	4.32%	3.24%	3.83%	4.26%	3.41%					
19	. Малышкин Олег Александрович	888	13	21	20	8	16	21	13	16	16	19	10	14	14	15	13	17	15	20	27	20	18	14	17	10	22	10	26	9	25	13	27	9	13	6	12	9	6	9	10	17	11	30	18	5	17	18	22	13	10	10	12	10	14	20	9	25	16	18					
		1.58%	2.51%	1.73%	1.69%	0.78%	1.69%	1.71%	1.16%	1.65%	1.35%	1.94%	1.08%	1.49%	1.42%	1.70%	1.42%	1.44%	1.57%	1.83%	4.98%	1.87%	1.88%	1.58%	1.66%	0.96%	2.06%	1.07%	1.96%	0.92%	1.80%	1.34%	2.06%	1.34%	1.37%	0.66%	1.39%	0.91%	0.83%	1.23%	1.14%	1.80%	1.21%	2.99%	3.14%	2.55%	1.55%	1.63%	2.15%	1.29%	1.16%	1.01%	1.02%	0.97%	1.52%	1.84%	0.91%	2.23%	1.62%	2.05%					
20	. Миронов Сергей Михайлович	519	8	10	9	8	8	11	7	10	14	5	8	12	3	6	7	13	9	9	2	15	11	4	16	15	16	10	5	7	18	9	7	1	8	9	13	10	6	3	6	10	12	4	7	0	10	6	8	14	9	8	15	9	6	11	12	15	11	4					
		0.92%	1.54%	0.82%	0.76%	0.78%	0.84%	0.90%	0.62%	1.03%	1.18%	0.51%	0.87%	1.28%	0.31%	0.68%	0.77%	1.10%	0.94%	0.82%	0.37%	1.40%	1.15%	0.45%	1.57%	1.44%	1.50%	1.07%	0.38%	0.72%	1.30%	0.93%	0.53%	0.15%	0.84%	0.99%	1.51%	1.01%	0.83%	0.41%	0.68%	1.06%	1.32%	0.40%	1.22%	0.00%	0.91%	0.54%	0.78%	1.38%	1.05%	0.81%	1.27%	0.87%	0.65%	1.01%	1.21%	1.34%	1.11%	0.45%					
21	. Путин Владимир Владимирович	36843	357	737	736	606	615	798	727	627	757	621	585	609	636	588	567	805	616	756	345	709	612	629	665	638	696	625	871	656	937	691	904	471	599	568	529	637	470	490	578	579	590	652	394	150	765	715	652	637	576	671	808	690	612	695	639	718	652	585					
		65.39%	68.92%	60.56%	62.11%	59.35%	64.94%	65.14%	64.80%	64.77%	63.72%	63.56%	63.45%	64.93%	64.70%	66.67%	61.97%	68.39%	64.64%	69.23%	63.65%	66.26%	63.82%	71.15%	65.07%	61.05%	65.11%	66.99%	65.69%	67.14%	67.56%	71.46%	69.06%	70.30%	63.12%	62.56%	61.44%	64.28%	64.92%	66.94%	65.68%	61.46%	64.98%	65.00%	68.76%	76.53%	69.61%	64.88%	63.67%	63.01%	66.90%	67.64%	68.47%	66.86%	66.59%	63.94%	64.68%	63.94%	66.06%	66.48%					
22	. Хакамада Ирина Муцуовна	4128	32	66	77	70	73	111	86	76	77	83	69	66	96	57	59	61	54	63	25	61	72	51	68	63	58	53	105	63	87	55	79	46	96	76	63	77	80	76	80	79	72	68	34	10	84	76	79	85	63	78	86	103	86	103	67	104	70	71					
		7.33%	6.18%	5.42%	6.50%	6.86%	7.71%	9.06%	7.66%	7.85%	6.48%	8.50%	7.48%	7.04%	9.77%	6.46%	6.45%	5.18%	5.67%	5.77%	4.61%	5.70%	7.51%	5.77%	6.65%	6.03%	5.43%	5.68%	7.92%	6.45%	6.27%	5.69%	6.04%	6.87%	10.12%	8.37%	7.32%	7.77%	11.05%	10.38%	9.09%	8.39%	7.93%	6.78%	5.93%	5.10%	7.64%	6.90%	7.71%	8.41%	7.32%	7.86%	7.29%	9.98%	9.36%	9.48%	6.78%	9.26%	7.09%	8.07%					
23	. Харитонов Николай Михайлович	8333	71	221	200	209	148	154	185	140	207	152	157	127	134	123	168	167	165	135	96	159	147	125	173	199	156	150	167	145	211	112	178	93	140	144	149	151	73	77	111	151	147	143	71	18	130	165	157	164	130	127	160	110	111	142	166	159	148	115					
		14.79%	13.71%	18.16%	16.88%	20.47%	15.63%	12.57%	16.49%	14.46%	17.42%	15.56%	17.03%	13.54%	13.63%	13.95%	18.36%	14.19%	17.31%	12.36%	17.71%	14.86%	15.33%	14.14%	16.93%	19.04%	14.59%	16.08%	12.59%	14.84%	15.21%	11.58%	13.60%	13.88%	14.75%	15.86%	17.31%	15.24%	10.08%	10.52%	12.61%	16.03%	16.19%	14.26%	12.39%	9.18%	11.83%	14.97%	15.33%	16.22%	15.10%	12.80%	13.56%	10.66%	12.08%	13.06%	16.80%	14.16%	14.99%	13.07%					
																																																																	
24	Против всех	2902	13	82	63	55	45	72	50	56	59	51	42	55	46	47	50	62	56	53	33	55	52	39	39	62	43	41	78	56	67	40	51	19	49	53	57	59	52	44	52	51	36	54	27	4	56	48	53	55	41	49	48	59	50	67	62	51	42	51					
		5.15%	2.51%	6.74%	5.32%	5.39%	4.75%	5.88%	4.46%	5.79%	4.97%	5.22%	4.56%	5.86%	4.68%	5.33%	5.46%	5.27%	5.88%	4.85%	6.09%	5.14%	5.42%	4.41%	3.82%	5.93%	4.02%	4.39%	5.88%	5.73%	4.83%	4.14%	3.90%	2.84%	5.16%	5.84%	6.62%	5.95%	7.18%	6.01%	5.91%	5.41%	3.96%	5.38%	4.71%	2.04%	5.10%	4.36%	5.18%	5.44%	4.76%	4.94%	4.07%	5.72%	5.44%	6.16%	6.28%	4.54%	4.26%	5.80%					
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
