Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Кежемская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  1432	УИК  1433	УИК  1434	УИК  1435	УИК  1436	УИК  1437	УИК  1438	УИК  1439	УИК  1440	УИК  1441	УИК  1442	УИК  1443	УИК  1444	УИК  1445	УИК  1446	УИК  1447	УИК  1448	УИК  1449	УИК  1450	УИК  1451	УИК  1452	УИК  1453	УИК  1454					
		0.63%	1.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.90%	0.84%	0.41%	0.41%	0.70%	0.00%	0.91%	1.23%	1.01%	1.40%	0.00%	0.70%	3.03%					
21	. Путин Владимир Владимирович	5205	112	27	85	120	131	306	55	58	99	76	787	641	688	761	87	67	419	54	254	214	35	111	18					
		63.34%	66.67%	90.00%	68.55%	64.86%	59.82%	74.63%	68.75%	86.57%	63.87%	77.55%	58.91%	59.91%	56.58%	61.77%	61.27%	72.04%	76.46%	66.67%	64.14%	75.09%	32.71%	78.17%	54.55%					
22	. Хакамада Ирина Муцуовна	238	2	2	2	2	8	8	3	1	1	3	57	30	53	36	3	0	6	1	8	4	2	4	2					
		2.90%	1.19%	6.67%	1.61%	1.08%	3.65%	1.95%	3.75%	1.49%	0.65%	3.06%	4.27%	2.80%	4.36%	2.92%	2.11%	0.00%	1.09%	1.23%	2.02%	1.40%	1.87%	2.82%	6.06%					
23	. Харитонов Николай Михайлович	932	32	0	10	37	50	40	13	5	26	11	133	114	103	91	20	9	44	11	77	33	53	16	4					
		11.34%	19.05%	0.00%	8.06%	20.00%	22.83%	9.76%	16.25%	7.46%	16.77%	11.22%	9.96%	10.65%	8.47%	7.39%	14.08%	9.68%	8.03%	13.58%	19.44%	11.58%	49.53%	11.27%	12.12%					
																														
24	Против всех	184	3	0	2	5	1	8	1	0	0	1	35	36	25	38	7	0	9	0	2	4	3	3	1					
		2.24%	1.79%	0.00%	1.61%	2.70%	0.46%	1.95%	1.25%	0.00%	0.00%	1.02%	2.62%	3.36%	2.06%	3.08%	4.93%	0.00%	1.64%	0.00%	0.51%	1.40%	2.80%	2.11%	3.03%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
