Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Перемышльская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	165	4	1	21	4	7	5	12	15	9	32	3	1	8	6	25	5	7									
		2.65%	0.98%	0.68%	4.65%	2.41%	2.89%	2.60%	3.05%	2.72%	3.69%	2.42%	2.34%	0.89%	3.08%	1.82%	3.50%	1.50%	3.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	136	9	0	7	0	1	6	8	16	4	39	2	0	4	5	22	5	8									
		2.19%	2.21%	0.00%	1.55%	0.00%	0.41%	3.13%	2.03%	2.90%	1.64%	2.95%	1.56%	0.00%	1.54%	1.52%	3.08%	1.50%	3.67%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3566	233	100	274	102	155	141	227	289	143	703	90	80	142	210	353	208	116									
		57.38%	57.25%	67.57%	60.62%	61.45%	64.05%	73.44%	57.61%	52.36%	58.61%	53.18%	70.31%	71.43%	54.62%	63.64%	49.44%	62.28%	53.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	30	4	0	1	1	2	1	3	3	0	6	1	0	1	1	3	0	3									
		0.48%	0.98%	0.00%	0.22%	0.60%	0.83%	0.52%	0.76%	0.54%	0.00%	0.45%	0.78%	0.00%	0.38%	0.30%	0.42%	0.00%	1.38%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	1	0	0	0	0	1	0	3	0	1	1	0	1	1	0	0	0									
		0.14%	0.25%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.54%	0.00%	0.08%	0.78%	0.00%	0.38%	0.30%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1035	73	18	71	25	34	8	75	97	36	229	11	14	52	55	140	66	31									
		16.65%	17.94%	12.16%	15.71%	15.06%	14.05%	4.17%	19.04%	17.57%	14.75%	17.32%	8.59%	12.50%	20.00%	16.67%	19.61%	19.76%	14.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	0	0	1	0	0	0	1	0	2	10	1	0	3	1	4	0	2									
		0.40%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.25%	0.00%	0.82%	0.76%	0.78%	0.00%	1.15%	0.30%	0.56%	0.00%	0.92%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	41	2	1	4	0	2	2	4	6	1	12	0	0	2	2	3	0	0									
		0.66%	0.49%	0.68%	0.88%	0.00%	0.83%	1.04%	1.02%	1.09%	0.41%	0.91%	0.00%	0.00%	0.77%	0.61%	0.42%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	1	0	0	1	0	0	0	1	2	2	0	0	0	0	1	0	0									
		0.13%	0.25%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.18%	0.82%	0.15%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	46	2	4	4	2	2	1	1	4	2	10	0	1	2	2	6	2	1									
		0.74%	0.49%	2.70%	0.88%	1.20%	0.83%	0.52%	0.25%	0.72%	0.82%	0.76%	0.00%	0.89%	0.77%	0.61%	0.84%	0.60%	0.46%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	710	42	17	43	20	25	16	35	72	29	158	14	13	27	31	104	28	36									
		11.42%	10.32%	11.49%	9.51%	12.05%	10.33%	8.33%	8.88%	13.04%	11.89%	11.95%	10.94%	11.61%	10.38%	9.39%	14.57%	8.38%	16.51%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	52	14	1	3	0	0	7	6	3	1	10	0	0	0	0	3	2	2									
		0.84%	3.44%	0.68%	0.66%	0.00%	0.00%	3.65%	1.52%	0.54%	0.41%	0.76%	0.00%	0.00%	0.00%	0.00%	0.42%	0.60%	0.92%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	230	13	1	9	7	8	1	13	25	11	63	2	2	10	11	37	10	7									
		3.70%	3.19%	0.68%	1.99%	4.22%	3.31%	0.52%	3.30%	4.53%	4.51%	4.77%	1.56%	1.79%	3.85%	3.33%	5.18%	2.99%	3.21%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
