Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																						
																																																																						
Наименование Избирательной комиссии:    Белореченская городская																																																																						
																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																						
																																																																						
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	593	29	22	13	18	14	18	9	18	9	16	16	16	20	14	15	12	20	17	20	10	5	3	21	2	14	9	6	1	2	8	10	9	5	1	4	14	11	5	3	3	8	1	1	2	14	16	6	1	12	0	2	2	11	2	1	0	5	14	1	3	13	11	5					
		1.52%	3.09%	2.27%	1.26%	1.66%	1.53%	1.69%	1.53%	1.82%	0.80%	1.32%	1.35%	1.40%	1.99%	1.61%	1.43%	1.26%	1.84%	3.36%	2.22%	1.18%	0.50%	1.10%	1.84%	0.66%	1.88%	1.00%	2.63%	0.41%	1.04%	2.5%	1.57%	1.48%	1.31%	0.8%	2.75%	2.16%	1.27%	0.77%	1.5%	1.60%	1.29%	0.64%	0.31%	2.19%	1.53%	1.85%	2.85%	0.46%	1.73%	0.0%	1.51%	0.29%	1.76%	0.68%	0.46%	0.0%	1.16%	1.69%	0.71%	2.45%	1.47%	2.02%	1.79%					
30	"13. ""Демократическая партия России"""	112	0	1	1	5	1	4	1	0	0	0	1	1	1	4	5	0	0	1	0	1	3	0	5	1	6	3	0	0	1	13	1	0	3	0	0	0	1	0	1	4	1	0	0	0	3	1	1	1	1	2	0	10	0	3	0	0	4	8	0	0	5	2	1					
		0.28%	0.0%	0.10%	0.09%	0.46%	0.10%	0.37%	0.17%	0.0%	0.0%	0.0%	0.08%	0.08%	0.09%	0.46%	0.47%	0.0%	0.0%	0.19%	0.0%	0.11%	0.30%	0.0%	0.43%	0.33%	0.80%	0.33%	0.0%	0.0%	0.52%	4.06%	0.15%	0.0%	0.78%	0.0%	0.0%	0.0%	0.11%	0.0%	0.5%	2.13%	0.16%	0.0%	0.0%	0.0%	0.32%	0.11%	0.47%	0.46%	0.14%	1.02%	0.0%	1.49%	0.0%	1.03%	0.0%	0.0%	0.92%	0.97%	0.0%	0.0%	0.56%	0.36%	0.35%					
31	"14. ""Великая Россия - Евразийский Союз"""	85	0	2	1	1	1	4	1	0	1	1	1	1	1	2	3	2	0	1	0	0	2	0	4	1	1	0	0	1	0	2	0	0	3	2	1	3	3	0	0	1	3	1	1	0	3	0	1	1	4	1	0	5	2	1	0	2	1	2	0	0	5	1	4					
		0.21%	0.0%	0.20%	0.09%	0.09%	0.10%	0.37%	0.17%	0.0%	0.08%	0.08%	0.08%	0.08%	0.09%	0.23%	0.28%	0.21%	0.0%	0.19%	0.0%	0.0%	0.20%	0.0%	0.35%	0.33%	0.13%	0.0%	0.0%	0.41%	0.0%	0.62%	0.0%	0.0%	0.78%	1.6%	0.68%	0.46%	0.34%	0.0%	0.0%	0.53%	0.48%	0.64%	0.31%	0.0%	0.32%	0.0%	0.47%	0.46%	0.57%	0.51%	0.0%	0.74%	0.32%	0.34%	0.0%	0.46%	0.23%	0.24%	0.0%	0.0%	0.56%	0.18%	1.43%					
32	"15. ""Партия СЛОН"""	55	0	1	2	1	1	0	2	2	5	2	1	1	0	1	2	3	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	1	1	2	1	1	0	0	2	1	1	2	1	2	1	1	0	0	0	2	1	0					
		0.14%	0.0%	0.10%	0.19%	0.09%	0.10%	0.0%	0.34%	0.20%	0.44%	0.16%	0.08%	0.08%	0.0%	0.11%	0.19%	0.31%	0.18%	0.0%	0.22%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.11%	0.15%	0.0%	0.0%	0.0%	0.0%	0.31%	1.09%	0.21%	0.11%	0.47%	0.0%	0.0%	1.02%	0.75%	0.14%	0.32%	0.34%	0.93%	0.23%	0.23%	0.0%	0.0%	0.0%	0.22%	0.18%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3971	83	122	139	119	14	122	105	131	140	156	154	143	137	106	133	115	140	89	92	81	118	32	84	23	64	96	4	17	16	36	52	70	30	11	20	69	85	69	11	6	25	18	17	2	111	90	24	17	55	25	9	30	45	20	9	26	60	36	6	5	53	30	24					
		10.18%	8.86%	12.62%	13.56%	11.01%	1.53%	11.48%	17.94%	13.27%	12.45%	12.94%	13.07%	12.56%	13.67%	12.22%	12.72%	12.07%	12.93%	17.62%	10.24%	9.63%	11.91%	11.76%	7.38%	7.61%	8.63%	10.71%	1.75%	7.05%	8.33%	11.25%	8.20%	11.55%	7.87%	8.8%	13.79%	10.64%	9.88%	10.66%	5.5%	3.20%	4.03%	11.53%	5.34%	2.19%	12.13%	10.42%	11.42%	7.94%	7.94%	12.82%	6.81%	4.48%	7.21%	6.89%	4.22%	6.04%	13.92%	4.36%	4.31%	4.09%	5.99%	5.51%	8.63%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	155	7	1	3	0	1	3	1	0	2	4	5	3	0	2	2	4	3	2	2	4	2	0	11	0	5	3	1	1	3	4	0	3	0	2	0	4	0	1	1	0	4	2	1	1	1	6	0	0	5	1	0	5	8	4	7	3	4	3	0	0	5	4	1					
		0.39%	0.74%	0.10%	0.29%	0.0%	0.10%	0.28%	0.17%	0.0%	0.17%	0.33%	0.42%	0.26%	0.0%	0.23%	0.19%	0.42%	0.27%	0.39%	0.22%	0.47%	0.20%	0.0%	0.96%	0.0%	0.67%	0.33%	0.43%	0.41%	1.56%	1.25%	0.0%	0.49%	0.0%	1.6%	0.0%	0.61%	0.0%	0.15%	0.5%	0.0%	0.64%	1.28%	0.31%	1.09%	0.10%	0.69%	0.0%	0.0%	0.72%	0.51%	0.0%	0.74%	1.28%	1.37%	3.28%	0.69%	0.92%	0.36%	0.0%	0.0%	0.56%	0.73%	0.35%					
35	"18. ""ЛДПР"""	5628	149	170	154	166	141	188	81	137	146	161	167	202	141	110	123	148	150	52	126	105	160	48	153	42	121	151	28	60	34	40	116	85	79	25	18	105	137	83	42	17	112	14	41	7	111	126	20	39	83	37	13	47	67	31	25	50	67	152	8	19	115	64	19					
		14.43%	15.91%	17.59%	15.02%	15.37%	15.47%	17.70%	13.84%	13.88%	12.98%	13.36%	14.17%	17.75%	14.07%	12.68%	11.77%	15.54%	13.86%	10.29%	14.03%	12.48%	16.16%	17.64%	13.44%	13.90%	16.32%	16.85%	12.28%	24.89%	17.70%	12.5%	18.29%	14.02%	20.73%	20.0%	12.41%	16.20%	15.93%	12.82%	21.0%	9.09%	18.06%	8.97%	12.89%	7.69%	12.13%	14.60%	9.52%	18.22%	11.99%	18.97%	9.84%	7.02%	10.73%	10.68%	11.73%	11.62%	15.54%	18.44%	5.75%	15.57%	13.00%	11.76%	6.83%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	659	14	12	12	21	15	24	5	21	15	15	13	15	25	7	21	19	17	7	12	15	22	9	17	4	11	6	3	6	1	6	11	6	10	4	2	5	16	0	1	5	16	8	7	2	23	13	3	3	12	5	2	15	18	11	3	9	8	18	5	1	19	2	6					
		1.68%	1.49%	1.24%	1.17%	1.94%	1.64%	2.25%	0.85%	2.12%	1.33%	1.24%	1.10%	1.31%	2.49%	0.80%	2.00%	1.99%	1.57%	1.38%	1.33%	1.78%	2.22%	3.30%	1.49%	1.32%	1.48%	0.66%	1.31%	2.48%	0.52%	1.87%	1.73%	0.99%	2.62%	3.2%	1.37%	0.77%	1.86%	0.0%	0.5%	2.67%	2.58%	5.12%	2.20%	2.19%	2.51%	1.50%	1.42%	1.40%	1.73%	2.56%	1.51%	2.24%	2.88%	3.79%	1.40%	2.09%	1.85%	2.18%	3.59%	0.81%	2.14%	0.36%	2.15%					
37	"20. ""Политическая партия ""Единая Россия"""	13675	351	338	364	371	324	350	185	380	399	436	457	374	375	320	398	369	385	158	325	333	348	73	388	123	229	401	63	73	69	61	223	173	89	40	46	191	314	210	64	75	203	50	126	44	283	276	74	85	265	50	25	254	200	124	47	151	111	322	41	30	359	241	69					
		35.06%	37.5%	34.98%	35.51%	34.35%	35.56%	32.95%	31.62%	38.50%	35.49%	36.18%	38.79%	32.86%	37.42%	36.90%	38.08%	38.76%	35.58%	31.28%	36.19%	39.59%	35.15%	26.83%	34.09%	40.72%	30.90%	44.75%	27.63%	30.29%	35.93%	19.06%	35.17%	28.54%	23.35%	32.0%	31.72%	29.47%	36.51%	32.45%	32.0%	40.10%	32.74%	32.05%	39.62%	48.35%	30.92%	31.98%	35.23%	39.71%	38.29%	25.64%	18.93%	37.96%	32.05%	42.75%	22.06%	35.11%	25.75%	39.07%	29.49%	24.59%	40.61%	44.30%	24.82%					
38	"21. ""Российская Конституционно-демократическая партия"""	83	4	2	1	1	1	1	0	1	0	2	3	1	4	0	1	1	2	1	4	0	1	1	1	0	3	2	2	0	2	2	1	3	1	0	0	4	1	2	0	0	0	0	2	0	1	0	0	0	1	0	4	3	4	2	0	3	0	1	1	1	1	2	1					
		0.21%	0.42%	0.20%	0.09%	0.09%	0.10%	0.09%	0.0%	0.10%	0.0%	0.16%	0.25%	0.08%	0.39%	0.0%	0.09%	0.10%	0.18%	0.19%	0.44%	0.0%	0.10%	0.36%	0.08%	0.0%	0.40%	0.22%	0.87%	0.0%	1.04%	0.62%	0.15%	0.49%	0.26%	0.0%	0.0%	0.61%	0.11%	0.30%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.10%	0.0%	0.0%	0.0%	0.14%	0.0%	3.03%	0.44%	0.64%	0.68%	0.0%	0.69%	0.0%	0.12%	0.71%	0.81%	0.11%	0.36%	0.35%					
