Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Новомосковская 																																																																																										
																																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																										
																																																																																										
		Сумма	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №5081	УИК №5082	УИК №5083					
14	Число погашенных открепительных удостоверений	379	5	10	0	0	8	2	7	1	6	6	1	5	0	0	0	0	2	3	7	6	0	0	17	0	7	3	11	3	4	7	10	3	4	3	8	1	8	9	13	6	4	22	14	8	0	7	9	13	1	4	4	0	2	0	10	3	7	4	6	4	5	0	3	3	4	1	3	4	5	5	4	1	5	5	5	5	5	4	1	3	0	0	0					
15	Число открепительных удостоверений выданных ТИК	55	2	1	1	2	0	1	0	0	0	3	0	1	2	3	1	1	0	1	1	1	0	0	1	0	1	0	0	0	2	0	1	0	0	0	1	0	2	1	0	0	1	2	2	2	3	1	1	0	0	0	1	0	1	0	2	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																										
18	"1. ""ЕДИНЕНИЕ"""	658	10	2	15	13	5	6	9	8	7	6	4	6	7	17	19	5	12	5	10	20	1	6	10	2	7	10	8	10	11	10	9	3	15	15	9	2	5	13	13	5	5	13	4	13	6	5	8	11	4	0	11	0	5	4	13	8	7	8	5	14	3	11	1	1	1	19	20	1	9	0	4	10	6	1	3	2	10	2	18	14	7	10	11					
		0.96%	1.38%	0.56%	1.28%	0.97%	0.51%	0.53%	0.98%	0.97%	0.67%	0.58%	0.32%	0.82%	0.49%	1.16%	1.17%	0.36%	0.94%	0.48%	0.88%	1.47%	1.29%	24.0%	0.77%	0.16%	0.62%	0.98%	0.72%	1.15%	0.90%	0.88%	0.89%	0.36%	1.08%	1.55%	0.79%	0.19%	0.44%	1.23%	1.00%	0.49%	0.46%	0.96%	0.30%	1.21%	0.47%	0.50%	0.80%	0.79%	0.28%	0.0%	1.17%	0.0%	1.34%	0.96%	1.18%	0.71%	0.60%	1.12%	0.75%	6.93%	1.93%	4.02%	0.54%	0.37%	0.76%	2.20%	2.01%	0.57%	4.86%	0.0%	2.06%	1.62%	3.26%	0.97%	1.98%	1.25%	1.98%	0.42%	6.69%	4.63%	0.51%	1.45%	1.81%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3418	31	15	57	69	50	40	41	45	31	40	48	54	70	55	109	65	52	34	43	50	3	2	69	69	59	43	30	37	39	33	36	38	62	45	37	35	39	32	50	35	39	56	49	29	52	43	50	44	52	1	25	2	6	8	18	15	18	15	12	2	2	5	4	2	1	13	19	4	3	0	2	9	1	0	4	3	16	13	2	16	533	263	175					
		4.98%	4.28%	4.22%	4.90%	5.16%	5.16%	3.54%	4.47%	5.48%	2.99%	3.88%	3.92%	7.38%	4.90%	3.78%	6.74%	4.76%	4.08%	3.31%	3.82%	3.68%	3.89%	8.0%	5.37%	5.61%	5.26%	4.24%	2.73%	4.27%	3.19%	2.92%	3.58%	4.63%	4.49%	4.66%	3.28%	3.33%	3.44%	3.03%	3.85%	3.49%	3.63%	4.14%	3.72%	2.72%	4.08%	4.37%	5.01%	3.16%	3.74%	1.28%	2.66%	2.29%	1.61%	1.93%	1.64%	1.34%	1.55%	2.10%	1.81%	0.99%	1.29%	1.83%	2.19%	0.74%	0.76%	1.50%	1.91%	2.29%	1.62%	0.0%	1.03%	1.45%	0.54%	0.0%	2.64%	1.87%	3.18%	2.74%	0.74%	5.29%	38.84%	38.22%	28.87%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3197	36	27	49	50	41	81	30	24	46	51	50	23	58	38	70	48	56	66	41	58	3	0	51	86	28	51	46	39	45	93	53	61	94	59	94	74	40	36	79	64	42	53	54	41	45	55	29	52	73	2	36	5	7	10	43	74	57	31	26	4	1	4	8	9	2	37	30	5	5	1	6	19	7	3	2	2	5	10	5	11	123	58	66					
		4.66%	4.97%	7.60%	4.21%	3.73%	4.23%	7.17%	3.27%	2.92%	4.44%	4.95%	4.08%	3.14%	4.06%	2.61%	4.32%	3.52%	4.39%	6.43%	3.64%	4.27%	3.89%	0.0%	3.97%	6.99%	2.49%	5.03%	4.18%	4.50%	3.68%	8.24%	5.27%	7.44%	6.81%	6.11%	8.34%	7.05%	3.53%	3.40%	6.08%	6.38%	3.91%	3.92%	4.10%	3.84%	3.53%	5.60%	2.90%	3.74%	5.26%	2.56%	3.84%	5.74%	1.88%	2.42%	3.91%	6.61%	4.92%	4.36%	3.93%	1.98%	0.64%	1.46%	4.39%	3.37%	1.53%	4.29%	3.01%	2.87%	2.70%	1.69%	3.09%	3.07%	3.80%	2.91%	1.32%	1.25%	0.99%	2.11%	1.85%	3.64%	8.96%	8.43%	10.89%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4131	29	18	65	82	67	79	55	70	64	57	101	66	91	97	131	96	88	67	56	83	9	2	72	101	72	60	81	64	62	35	55	48	99	64	54	57	70	73	69	38	54	56	72	89	80	43	61	54	54	1	33	5	4	12	22	34	25	7	12	3	3	4	5	10	3	12	12	0	0	0	4	12	1	2	0	3	7	10	3	0	350	171	151					
		6.02%	4.00%	5.07%	5.58%	6.13%	6.92%	6.99%	5.99%	8.53%	6.18%	5.53%	8.25%	9.02%	6.37%	6.67%	8.10%	7.04%	6.90%	6.53%	4.97%	6.11%	11.68%	8.0%	5.61%	8.21%	6.42%	5.92%	7.37%	7.39%	5.07%	3.10%	5.47%	5.86%	7.17%	6.63%	4.79%	5.43%	6.18%	6.91%	5.31%	3.79%	5.03%	4.14%	5.47%	8.34%	6.28%	4.37%	6.11%	3.88%	3.89%	1.28%	3.52%	5.74%	1.07%	2.90%	2.00%	3.03%	2.15%	0.98%	1.81%	1.48%	1.93%	1.46%	2.74%	3.74%	2.30%	1.39%	1.20%	0.0%	0.0%	0.0%	2.06%	1.94%	0.54%	1.94%	0.0%	1.87%	1.39%	2.11%	1.11%	0.0%	25.51%	24.85%	24.91%					
22	"5. ""За Русь Святую"""	479	1	1	9	7	10	7	9	5	9	8	9	1	12	7	16	9	6	2	7	6	1	0	9	7	4	8	8	6	13	8	3	3	4	7	3	3	11	6	13	7	4	8	9	2	5	8	11	11	5	1	9	0	3	5	20	13	13	7	14	2	1	5	0	4	0	9	19	1	0	2	2	3	2	1	2	1	1	2	5	4	0	0	0					
		0.69%	0.13%	0.28%	0.77%	0.52%	1.03%	0.62%	0.98%	0.60%	0.86%	0.77%	0.73%	0.13%	0.84%	0.48%	0.98%	0.66%	0.47%	0.19%	0.62%	0.44%	1.29%	0.0%	0.70%	0.56%	0.35%	0.79%	0.72%	0.69%	1.06%	0.70%	0.29%	0.36%	0.28%	0.72%	0.26%	0.28%	0.97%	0.56%	1.00%	0.69%	0.37%	0.59%	0.68%	0.18%	0.39%	0.81%	1.10%	0.79%	0.36%	1.28%	0.96%	0.0%	0.80%	1.21%	1.82%	1.16%	1.12%	0.98%	2.12%	0.99%	0.64%	1.83%	0.0%	1.49%	0.0%	1.04%	1.91%	0.57%	0.0%	3.38%	1.03%	0.48%	1.08%	0.97%	1.32%	0.62%	0.19%	0.42%	1.85%	1.32%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	144	2	0	0	8	2	4	1	0	2	1	2	0	1	3	3	0	3	3	1	1	0	0	1	2	2	2	4	3	3	1	1	1	3	0	1	2	1	1	6	2	3	3	7	2	3	3	4	1	3	0	8	0	3	3	4	2	0	3	1	0	1	2	0	0	0	1	3	0	0	0	0	1	0	0	0	1	3	2	0	0	2	0	2					
		0.21%	0.27%	0.0%	0.0%	0.59%	0.20%	0.35%	0.10%	0.0%	0.19%	0.09%	0.16%	0.0%	0.07%	0.20%	0.18%	0.0%	0.23%	0.29%	0.08%	0.07%	0.0%	0.0%	0.07%	0.16%	0.17%	0.19%	0.36%	0.34%	0.24%	0.08%	0.09%	0.12%	0.21%	0.0%	0.08%	0.19%	0.08%	0.09%	0.46%	0.19%	0.27%	0.22%	0.53%	0.18%	0.23%	0.30%	0.40%	0.07%	0.21%	0.0%	0.85%	0.0%	0.80%	0.72%	0.36%	0.17%	0.0%	0.42%	0.15%	0.0%	0.64%	0.73%	0.0%	0.0%	0.0%	0.11%	0.30%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.62%	0.59%	0.42%	0.0%	0.0%	0.14%	0.0%	0.33%					
24	"7. ""Новый курс - Автомобильная Россия"""	591	4	4	18	16	13	7	5	9	10	7	17	8	10	17	14	12	23	11	14	14	2	1	9	11	6	11	6	6	7	6	10	10	11	4	20	12	7	14	8	8	9	17	17	11	9	8	12	12	11	0	5	0	2	6	5	4	7	4	1	3	1	2	1	1	1	12	6	1	0	0	2	3	3	2	1	0	2	2	2	1	0	1	2					
		0.86%	0.55%	1.12%	1.54%	1.19%	1.34%	0.62%	0.54%	1.09%	0.96%	0.67%	1.39%	1.09%	0.70%	1.16%	0.86%	0.88%	1.80%	1.07%	1.24%	1.03%	2.59%	4.0%	0.70%	0.89%	0.53%	1.08%	0.54%	0.69%	0.57%	0.53%	0.99%	1.22%	0.79%	0.41%	1.77%	1.14%	0.61%	1.32%	0.61%	0.79%	0.83%	1.25%	1.29%	1.03%	0.70%	0.81%	1.20%	0.86%	0.79%	0.0%	0.53%	0.0%	0.53%	1.45%	0.45%	0.35%	0.60%	0.56%	0.15%	1.48%	0.64%	0.73%	0.54%	0.37%	0.76%	1.39%	0.60%	0.57%	0.0%	0.0%	1.03%	0.48%	1.63%	1.94%	0.66%	0.0%	0.39%	0.42%	0.74%	0.33%	0.0%	0.14%	0.33%					
25	"8. ""Народно-республиканская партия России"""	128	3	0	2	0	1	8	1	1	2	2	0	1	2	1	2	0	3	0	2	1	0	0	1	1	3	3	2	3	6	0	1	0	5	2	1	3	0	0	3	0	6	0	3	1	0	0	3	1	2	0	3	0	4	2	0	1	3	0	1	0	0	0	0	1	1	7	0	2	0	0	1	2	2	1	0	0	3	1	3	1	3	2	2					
		0.18%	0.41%	0.0%	0.17%	0.0%	0.10%	0.70%	0.10%	0.12%	0.19%	0.19%	0.0%	0.13%	0.14%	0.06%	0.12%	0.0%	0.23%	0.0%	0.17%	0.07%	0.0%	0.0%	0.07%	0.08%	0.26%	0.29%	0.18%	0.34%	0.49%	0.0%	0.09%	0.0%	0.36%	0.20%	0.08%	0.28%	0.0%	0.0%	0.23%	0.0%	0.55%	0.0%	0.22%	0.09%	0.0%	0.0%	0.30%	0.07%	0.14%	0.0%	0.32%	0.0%	1.07%	0.48%	0.0%	0.08%	0.25%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.37%	0.76%	0.81%	0.0%	1.14%	0.0%	0.0%	0.51%	0.32%	1.08%	0.97%	0.0%	0.0%	0.59%	0.21%	1.11%	0.33%	0.21%	0.29%	0.33%					
26	"9. ""Российская экологическая партия ""Зеленые"""	261	2	4	2	8	1	5	3	2	6	4	5	4	8	5	4	1	3	5	6	4	0	0	4	8	3	3	5	3	1	6	2	4	10	7	4	4	1	6	3	2	5	8	8	6	4	5	3	7	8	1	3	0	0	1	3	4	2	2	2	1	0	0	1	1	0	0	7	1	0	1	0	1	3	0	1	0	3	0	3	1	3	3	1					
		0.38%	0.27%	1.12%	0.17%	0.59%	0.10%	0.44%	0.32%	0.24%	0.57%	0.38%	0.40%	0.54%	0.56%	0.34%	0.24%	0.07%	0.23%	0.48%	0.53%	0.29%	0.0%	0.0%	0.31%	0.65%	0.26%	0.29%	0.45%	0.34%	0.08%	0.53%	0.19%	0.48%	0.72%	0.72%	0.35%	0.38%	0.08%	0.56%	0.23%	0.19%	0.46%	0.59%	0.60%	0.56%	0.31%	0.50%	0.30%	0.50%	0.57%	1.28%	0.32%	0.0%	0.0%	0.24%	0.27%	0.35%	0.17%	0.28%	0.30%	0.49%	0.0%	0.0%	0.54%	0.37%	0.0%	0.0%	0.70%	0.57%	0.0%	1.69%	0.0%	0.16%	1.63%	0.0%	0.66%	0.0%	0.59%	0.0%	1.11%	0.33%	0.21%	0.43%	0.16%					
27	"10. ""Аграрная партия России"""	2075	9	21	21	38	24	25	17	28	29	26	19	19	30	29	41	31	25	20	21	24	4	0	37	30	29	20	20	16	27	29	24	22	20	20	23	19	26	26	38	21	20	19	22	21	21	20	17	16	36	3	15	1	5	10	47	47	34	43	19	17	7	11	11	10	11	59	147	24	29	14	22	81	20	5	12	46	53	66	41	13	3	7	2					
		3.02%	1.24%	5.91%	1.80%	2.84%	2.47%	2.21%	1.85%	3.41%	2.80%	2.52%	1.55%	2.59%	2.10%	1.99%	2.53%	2.27%	1.96%	1.95%	1.86%	1.76%	5.19%	0.0%	2.88%	2.44%	2.58%	1.97%	1.82%	1.84%	2.21%	2.57%	2.38%	2.68%	1.44%	2.07%	2.04%	1.81%	2.29%	2.46%	2.92%	2.09%	1.86%	1.40%	1.67%	1.96%	1.64%	2.03%	1.70%	1.15%	2.59%	3.84%	1.60%	1.14%	1.34%	2.42%	4.28%	4.20%	2.93%	6.04%	2.87%	8.41%	4.51%	4.02%	6.04%	3.74%	8.46%	6.84%	14.78%	13.79%	15.67%	23.72%	11.34%	13.12%	10.86%	4.85%	7.94%	28.75%	10.53%	13.95%	15.24%	4.30%	0.21%	1.01%	0.33%					
28	"11. ""Истинные патриоты России"""	65	1	0	2	0	1	1	1	0	0	0	0	1	0	3	1	3	1	1	1	1	0	0	1	1	1	2	1	3	0	2	2	0	0	0	0	1	1	2	1	0	1	1	2	0	1	0	0	0	0	0	0	1	2	2	1	1	1	0	2	0	1	0	0	0	1	1	0	0	1	2	0	1	0	0	1	0	3	0	2	0	0	0	1					
		0.09%	0.13%	0.0%	0.17%	0.0%	0.10%	0.08%	0.10%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.20%	0.06%	0.22%	0.07%	0.09%	0.08%	0.07%	0.0%	0.0%	0.07%	0.08%	0.08%	0.19%	0.09%	0.34%	0.0%	0.17%	0.19%	0.0%	0.0%	0.0%	0.0%	0.09%	0.08%	0.18%	0.07%	0.0%	0.09%	0.07%	0.15%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.14%	0.53%	0.48%	0.09%	0.08%	0.08%	0.0%	0.30%	0.0%	0.64%	0.0%	0.0%	0.0%	0.76%	0.11%	0.0%	0.0%	0.54%	3.38%	0.0%	0.16%	0.0%	0.0%	0.66%	0.0%	0.59%	0.0%	0.74%	0.0%	0.0%	0.0%	0.16%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1063	7	6	14	20	8	16	11	13	17	24	21	20	21	19	20	33	25	25	17	24	1	0	17	19	21	10	19	16	22	20	12	7	16	12	26	17	19	16	12	18	17	18	24	13	24	17	17	24	18	0	19	3	6	4	21	20	33	9	10	0	3	2	0	5	1	15	12	0	5	0	5	13	2	0	1	1	10	7	7	0	3	6	7					
		1.55%	0.96%	1.69%	1.20%	1.49%	0.82%	1.41%	1.19%	1.58%	1.64%	2.33%	1.71%	2.73%	1.47%	1.30%	1.23%	2.42%	1.96%	2.43%	1.51%	1.76%	1.29%	0.0%	1.32%	1.54%	1.87%	0.98%	1.73%	1.84%	1.80%	1.77%	1.19%	0.85%	1.15%	1.24%	2.30%	1.62%	1.67%	1.51%	0.92%	1.79%	1.58%	1.33%	1.82%	1.21%	1.88%	1.73%	1.70%	1.72%	1.29%	0.0%	2.02%	3.44%	1.61%	0.96%	1.91%	1.78%	2.84%	1.26%	1.51%	0.0%	1.93%	0.73%	0.0%	1.87%	0.76%	1.74%	1.20%	0.0%	2.70%	0.0%	2.57%	2.10%	1.08%	0.0%	0.66%	0.62%	1.98%	1.47%	2.60%	0.0%	0.21%	0.87%	1.15%					
30	"13. ""Демократическая партия России"""	149	0	1	5	1	2	2	0	2	0	1	3	2	1	2	3	4	1	2	5	1	1	0	3	2	3	3	2	3	3	0	1	1	3	3	1	1	2	2	0	2	1	0	2	2	2	1	8	0	2	0	3	0	1	4	1	1	2	2	1	0	0	1	0	2	0	5	2	0	1	0	2	5	1	0	4	0	3	1	1	2	6	1	5					
		0.21%	0.0%	0.28%	0.42%	0.07%	0.20%	0.17%	0.0%	0.24%	0.0%	0.09%	0.24%	0.27%	0.07%	0.13%	0.18%	0.29%	0.07%	0.19%	0.44%	0.07%	1.29%	0.0%	0.23%	0.16%	0.26%	0.29%	0.18%	0.34%	0.24%	0.0%	0.09%	0.12%	0.21%	0.31%	0.08%	0.09%	0.17%	0.18%	0.0%	0.19%	0.09%	0.0%	0.15%	0.18%	0.15%	0.10%	0.80%	0.0%	0.14%	0.0%	0.32%	0.0%	0.26%	0.96%	0.09%	0.08%	0.17%	0.28%	0.15%	0.0%	0.0%	0.36%	0.0%	0.74%	0.0%	0.58%	0.20%	0.0%	0.54%	0.0%	1.03%	0.81%	0.54%	0.0%	2.64%	0.0%	0.59%	0.21%	0.37%	0.66%	0.43%	0.14%	0.82%					
31	"14. ""Великая Россия - Евразийский Союз"""	103	0	0	1	1	2	2	0	2	0	2	3	0	0	6	3	0	3	2	1	0	0	0	0	1	2	0	1	0	4	0	5	1	5	0	1	2	1	4	1	3	1	0	2	0	0	3	4	0	4	0	1	0	0	2	2	2	4	0	3	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	1	1	0	3	1	0	2	3					
		0.15%	0.0%	0.0%	0.08%	0.07%	0.20%	0.17%	0.0%	0.24%	0.0%	0.19%	0.24%	0.0%	0.0%	0.41%	0.18%	0.0%	0.23%	0.19%	0.08%	0.0%	0.0%	0.0%	0.0%	0.08%	0.17%	0.0%	0.09%	0.0%	0.32%	0.0%	0.49%	0.12%	0.36%	0.0%	0.08%	0.19%	0.08%	0.37%	0.07%	0.29%	0.09%	0.0%	0.15%	0.0%	0.0%	0.30%	0.40%	0.0%	0.28%	0.0%	0.10%	0.0%	0.0%	0.48%	0.18%	0.17%	0.34%	0.0%	0.45%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.23%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.62%	0.19%	0.0%	1.11%	0.33%	0.0%	0.29%	0.49%					
32	"15. ""Партия СЛОН"""	97	1	3	2	4	2	1	2	0	1	1	1	1	3	2	0	1	4	3	1	3	0	0	1	3	1	1	0	2	0	3	3	1	2	3	5	3	2	2	0	0	2	0	1	0	1	0	0	2	1	0	1	0	0	3	2	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	1	1	2	2	0	0					
