Выборы Президента Российской Федерации																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Челябинск, Калининская"																																																																																						
																																																																																						
Итоги голосования 																																																																																						
																																																																																						
		Сумма	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585					
11	Число полученных открепительных  удостоверений	2435	30	30	30	30	30	30	30	30	30	30	30	80	30	30	30	30	40	30	30	30	30	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	50	30	30	30	60	30	50	50	30	50	30	30	30	30	30	30	30	30	30	35	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	0	0	0					
12	Число выданных открепительных удостоверений	1528	10	20	17	13	10	9	19	14	14	14	6	74	13	17	8	26	24	17	27	14	20	19	24	26	24	30	22	6	9	15	6	17	15	13	4	24	23	17	20	19	16	35	29	19	20	56	22	43	30	20	33	15	20	25	17	17	20	23	14	25	30	21	27	28	13	24	18	14	18	14	28	18	13	19	25	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2245	17	35	15	18	15	44	16	9	34	9	23	8	5	13	22	18	17	20	13	16	12	16	17	18	32	17	26	14	13	15	8	14	21	17	9	15	13	14	8	10	10	8	18	14	24	22	43	19	22	16	16	20	16	14	27	20	15	22	6	17	17	8	23	18	15	18	13	9	13	24	12	16	10	18	15	82	35	531	323					
14	Число неиспользованных открепительных удостоверений	907	20	10	13	17	20	21	11	16	16	16	24	6	17	13	22	4	16	13	3	16	10	11	6	4	6	10	8	24	21	15	24	13	15	17	26	6	7	13	10	11	14	15	1	11	10	4	8	7	20	10	17	15	10	5	13	13	10	7	16	5	5	9	3	2	17	6	12	16	12	16	2	12	17	11	5	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	89	0	0	5	0	2	0	0	1	1	2	2	1	2	1	2	3	0	2	1	1	2	0	0	1	1	2	1	0	1	1	0	0	0	0	0	2	2	1	3	0	3	1	5	0	2	2	0	0	2	0	3	1	0	1	1	2	1	0	1	0	2	2	6	1	3	2	0	0	0	2	0	1	0	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																						
18	. Глазьев Сергей Юрьевич	4266	43	57	65	55	37	41	49	41	21	26	18	37	37	94	75	73	39	52	59	44	60	76	61	75	71	58	50	46	55	30	56	77	38	47	31	98	71	73	53	60	59	86	90	68	100	24	44	24	58	82	58	62	69	69	44	90	44	62	46	66	85	59	66	71	45	59	41	50	49	51	42	34	44	66	53	28	5	8	16					
		4.57%	4.07%	4.54%	4.68%	4.53%	4.20%	4.25%	4.18%	4.67%	3.08%	2.75%	2.67%	3.89%	3.41%	7.51%	5.85%	5.38%	3.53%	4.77%	5.00%	4.01%	5.18%	5.10%	4.43%	5.48%	5.38%	5.22%	4.35%	4.41%	5.06%	3.09%	2.65%	6.19%	3.20%	4.04%	4.89%	5.64%	5.89%	5.44%	5.54%	5.05%	4.81%	5.86%	6.62%	5.48%	6.74%	2.71%	3.85%	2.45%	4.26%	5.92%	4.24%	5.42%	6.12%	6.38%	3.75%	5.50%	3.59%	4.74%	4.09%	4.88%	5.41%	4.44%	4.62%	4.88%	3.84%	4.18%	4.20%	4.65%	3.36%	4.24%	3.49%	3.34%	4.19%	6.08%	3.46%	4.55%	3.91%	0.77%	1.40%					
19	. Малышкин Олег Александрович	1930	32	33	27	20	9	27	24	23	25	25	16	18	30	16	17	14	23	16	18	21	26	14	23	21	11	18	29	24	15	24	28	20	33	13	8	27	18	14	21	23	32	31	30	28	35	18	38	16	29	31	41	15	23	32	32	27	23	36	25	27	37	27	35	31	23	37	22	22	28	20	27	15	25	32	28	17	2	30	59					
		2.07%	3.03%	2.63%	1.94%	1.65%	1.02%	2.80%	2.05%	2.62%	3.67%	2.64%	2.37%	1.89%	2.77%	1.28%	1.33%	1.03%	2.08%	1.47%	1.53%	1.91%	2.25%	0.94%	1.67%	1.53%	0.83%	1.62%	2.52%	2.30%	1.38%	2.47%	1.32%	1.61%	2.78%	1.12%	1.26%	1.55%	1.49%	1.04%	2.19%	1.94%	2.61%	2.11%	2.21%	2.26%	2.36%	2.03%	3.32%	1.63%	2.13%	2.24%	2.99%	1.31%	2.04%	2.96%	2.73%	1.65%	1.88%	2.75%	2.22%	2.00%	2.35%	2.03%	2.45%	2.13%	1.96%	2.62%	2.25%	2.04%	1.92%	1.66%	2.25%	1.47%	2.38%	2.95%	1.83%	2.76%	1.56%	2.88%	5.16%					
20	. Миронов Сергей Михайлович	927	10	23	11	10	10	12	18	16	3	13	4	7	8	22	20	20	3	22	12	11	7	10	6	12	8	13	15	11	7	12	9	17	19	10	5	13	15	8	13	11	13	7	10	9	13	8	3	8	9	13	12	11	3	13	8	23	27	10	14	14	18	16	17	16	10	9	7	14	17	16	10	13	17	8	13	4	2	4	12					
		0.99%	0.95%	1.83%	0.79%	0.82%	1.14%	1.24%	1.54%	1.82%	0.44%	1.37%	0.59%	0.74%	0.74%	1.76%	1.56%	1.47%	0.27%	2.02%	1.02%	1.00%	0.60%	0.67%	0.44%	0.88%	0.61%	1.17%	1.30%	1.06%	0.64%	1.24%	0.43%	1.37%	1.60%	0.86%	0.79%	0.75%	1.24%	0.60%	1.36%	0.93%	1.06%	0.48%	0.74%	0.73%	0.88%	0.90%	0.26%	0.82%	0.66%	0.94%	0.88%	0.96%	0.27%	1.20%	0.68%	1.41%	2.20%	0.76%	1.24%	1.04%	1.15%	1.20%	1.19%	1.10%	0.85%	0.64%	0.72%	1.30%	1.17%	1.33%	0.83%	1.28%	1.62%	0.74%	0.85%	0.65%	1.56%	0.38%	1.05%					
21	. Путин Владимир Владимирович	63987	697	807	976	853	617	649	855	635	489	649	499	673	753	811	835	913	810	713	809	742	727	988	952	865	842	730	773	728	738	643	1792	815	826	815	430	1138	783	880	645	803	805	960	877	853	969	671	834	778	949	928	903	770	734	687	808	1109	824	873	765	961	1041	909	963	1024	799	995	687	750	1003	839	835	704	695	732	1072	424	93	841	825					
		68.56%	65.94%	64.30%	70.22%	70.26%	70.03%	67.25%	72.95%	72.32%	71.81%	68.53%	74.04%	70.69%	69.46%	64.78%	65.13%	67.33%	73.37%	65.41%	68.62%	67.64%	62.78%	66.31%	69.14%	63.18%	63.79%	65.65%	67.22%	69.87%	67.96%	66.22%	84.65%	65.57%	69.65%	70.14%	67.82%	65.44%	64.98%	65.52%	67.40%	67.65%	65.66%	65.44%	64.53%	68.79%	65.30%	75.65%	72.90%	79.39%	69.78%	67.00%	65.96%	67.31%	65.13%	63.55%	68.82%	67.79%	67.21%	66.74%	67.94%	71.08%	66.22%	68.35%	67.44%	70.38%	68.17%	70.57%	70.32%	69.70%	68.75%	69.74%	69.47%	69.16%	66.13%	67.47%	70.02%	68.94%	72.66%	80.71%	72.18%					
22	. Хакамада Ирина Муцуовна	6210	53	59	81	60	43	60	53	48	39	53	33	55	73	86	84	79	59	70	84	69	72	113	101	135	110	76	70	61	77	68	47	89	99	79	30	129	93	108	69	90	102	104	107	104	92	63	76	54	77	78	80	72	85	89	72	147	81	80	76	89	110	101	87	99	74	86	65	70	127	101	94	86	83	92	142	32	5	23	48					
		6.65%	5.01%	4.70%	5.83%	4.94%	4.88%	6.22%	4.52%	5.47%	5.73%	5.60%	4.90%	5.78%	6.73%	6.87%	6.55%	5.83%	5.34%	6.42%	7.12%	6.29%	6.22%	7.58%	7.33%	9.86%	8.33%	6.83%	6.09%	5.85%	7.09%	7.00%	2.22%	7.16%	8.35%	6.80%	4.73%	7.42%	7.72%	8.04%	7.21%	7.58%	8.32%	7.09%	7.87%	8.39%	6.20%	7.10%	6.64%	5.51%	5.66%	5.63%	5.84%	6.29%	7.54%	8.23%	6.13%	8.99%	6.61%	6.12%	6.75%	6.58%	7.00%	7.59%	6.09%	6.80%	6.31%	6.10%	6.65%	6.51%	8.70%	8.40%	7.82%	8.45%	7.90%	8.48%	9.27%	5.20%	3.91%	2.21%	4.20%					
23	. Харитонов Николай Михайлович	10208	156	189	152	140	115	130	120	95	72	112	59	108	125	142	175	177	85	149	127	152	197	198	169	176	191	148	157	115	131	126	103	142	114	123	88	205	125	184	105	123	138	191	162	118	182	37	84	48	136	199	199	153	133	125	148	135	146	167	127	100	179	139	169	139	141	143	97	87	134	108	121	88	113	92	116	77	8	18	11					
		10.94%	14.76%	15.06%	10.94%	11.53%	13.05%	13.47%	10.24%	10.82%	10.57%	11.83%	8.75%	11.34%	11.53%	11.34%	13.65%	13.05%	7.70%	13.67%	10.77%	13.86%	17.01%	13.29%	12.27%	12.86%	14.47%	13.31%	13.65%	11.04%	12.06%	12.98%	4.87%	11.42%	9.61%	10.59%	13.88%	11.79%	10.37%	13.70%	10.97%	10.36%	11.26%	13.02%	11.92%	9.52%	12.26%	4.17%	7.34%	4.90%	10.00%	14.37%	14.54%	13.37%	11.80%	11.56%	12.61%	8.25%	11.91%	12.77%	11.28%	7.40%	11.39%	10.45%	11.83%	9.55%	12.03%	10.14%	9.93%	8.09%	9.18%	8.98%	10.07%	8.64%	10.75%	8.48%	7.58%	12.52%	6.25%	1.73%	0.96%					
																																																																																						
24	Против всех	5046	44	71	60	66	44	33	41	10	29	55	36	48	53	68	67	77	76	56	63	46	55	77	55	79	77	56	51	53	49	61	69	75	52	58	38	124	90	68	45	72	69	84	74	56	86	61	54	41	80	47	67	58	72	63	55	97	70	71	58	83	97	67	84	64	69	79	50	76	89	61	65	70	67	59	99	26	12	75	144					
		5.41%	4.16%	5.66%	4.32%	5.44%	4.99%	3.42%	3.50%	1.14%	4.26%	5.81%	5.34%	5.04%	4.89%	5.43%	5.23%	5.68%	6.88%	5.14%	5.34%	4.19%	4.75%	5.17%	3.99%	5.77%	5.83%	5.04%	4.43%	5.09%	4.51%	6.28%	3.26%	6.03%	4.38%	4.99%	5.99%	7.13%	7.47%	5.06%	4.70%	6.07%	5.63%	5.73%	5.45%	4.52%	5.80%	6.88%	4.72%	4.18%	5.88%	3.39%	4.89%	5.07%	6.39%	5.83%	4.68%	5.93%	5.71%	5.43%	5.15%	6.14%	6.17%	5.04%	5.88%	4.40%	5.89%	5.60%	5.12%	7.06%	6.10%	5.07%	5.41%	6.88%	6.37%	5.44%	6.47%	4.23%	9.38%	7.20%	12.60%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
