Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
"Наименование Избирательной комиссии:    Самара, Советская"																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356	УИК №3357	УИК №3358	УИК №3359	УИК №3360	УИК №3361	УИК №3362									
14	Число погашенных неиспользованных открепительных удостоверений	710	15	16	16	17	15	25	15	10	9	10	5	2	16	19	14	1	18	11	18	15	11	10	9	6	2	8	4	24	5	12	10	22	10	17	12	8	4	14	9	21	1	14	5	2	14	12	19	22	13	15	6	3	9	8	23	10	13	17	13	6	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	62	1	0	1	1	0	0	2	1	1	1	0	1	3	2	2	1	0	0	0	3	1	2	0	1	1	2	3	0	3	0	0	1	1	0	2	4	1	0	0	2	0	1	0	0	1	1	2	0	2	2	1	2	0	1	0	1	1	0	0	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	827	17	8	6	10	14	6	4	13	20	8	7	15	13	19	9	9	12	16	10	13	17	10	9	30	21	14	28	16	16	11	1	11	26	12	8	13	24	4	5	7	14	13	7	10	9	13	10	68	24	3	23	16	14	11	5	25	9	3	17	17	0	4									
		1.71%	2.70%	1.12%	0.85%	1.18%	1.45%	1.55%	0.73%	1.98%	2.27%	1.07%	0.84%	1.50%	2.18%	2.10%	1.21%	1.35%	1.63%	1.99%	1.35%	2.12%	2.34%	1.10%	0.91%	2.87%	2.09%	1.44%	2.69%	5.05%	1.44%	1.39%	0.11%	1.30%	3.05%	1.77%	1.14%	1.20%	2.27%	1.23%	0.53%	1.50%	1.36%	1.50%	1.02%	1.07%	1.45%	1.95%	2.72%	12.88%	2.64%	0.58%	2.64%	1.52%	1.68%	1.26%	0.61%	2.30%	1.37%	0.49%	1.57%	1.59%	0.00%	2.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1344	19	14	17	22	25	9	11	15	17	19	21	37	21	30	22	14	28	28	19	16	21	19	36	23	20	30	29	10	28	42	22	24	33	24	16	23	34	8	28	13	32	16	29	28	11	20	9	9	30	16	23	27	16	30	24	31	17	17	30	36	0	6									
		2.78%	3.02%	1.95%	2.39%	2.59%	2.59%	2.32%	2.02%	2.29%	1.93%	2.54%	2.51%	3.70%	3.52%	3.31%	2.96%	2.09%	3.81%	3.50%	2.56%	2.61%	2.88%	2.09%	3.64%	2.20%	1.99%	3.09%	2.79%	3.15%	2.51%	5.30%	2.52%	2.84%	3.87%	3.53%	2.29%	2.12%	3.21%	2.47%	2.94%	2.78%	3.11%	1.84%	4.22%	2.99%	1.77%	3.00%	2.45%	1.70%	3.30%	3.09%	2.64%	2.57%	1.92%	3.45%	2.92%	2.85%	2.58%	2.76%	2.76%	3.36%	0.00%	3.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	853	15	17	11	9	16	10	10	11	10	5	18	18	10	17	18	13	14	10	11	9	8	15	14	16	22	16	16	5	19	10	14	15	16	12	11	23	20	6	24	8	16	13	13	14	11	10	3	32	14	12	19	19	18	20	20	21	13	14	7	19	0	3									
		1.77%	2.38%	2.37%	1.55%	1.06%	1.66%	2.58%	1.83%	1.68%	1.14%	0.67%	2.16%	1.80%	1.68%	1.88%	2.42%	1.94%	1.90%	1.25%	1.48%	1.47%	1.10%	1.65%	1.42%	1.53%	2.19%	1.65%	1.54%	1.58%	1.71%	1.26%	1.61%	1.78%	1.88%	1.77%	1.57%	2.12%	1.89%	1.85%	2.52%	1.71%	1.56%	1.50%	1.89%	1.49%	1.77%	1.50%	0.82%	6.06%	1.54%	2.32%	2.18%	1.81%	2.16%	2.30%	2.43%	1.93%	1.98%	2.28%	0.65%	1.77%	0.00%	1.50%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21863	285	325	303	370	463	157	255	277	387	346	398	459	269	382	320	280	358	363	346	287	341	500	435	450	452	410	427	145	457	347	418	368	338	304	397	466	490	167	409	182	444	427	277	427	308	317	166	45	394	215	395	486	395	397	383	491	283	305	461	498	516	100									
		45.27%	45.31%	45.33%	42.68%	43.53%	47.93%	40.46%	46.79%	42.23%	43.98%	46.19%	47.66%	45.90%	45.13%	42.16%	43.07%	41.85%	48.71%	45.32%	46.69%	46.82%	46.84%	54.88%	43.98%	43.10%	44.98%	42.18%	41.10%	45.74%	41.02%	43.76%	47.94%	43.60%	39.62%	44.77%	56.71%	42.95%	46.31%	51.54%	43.01%	38.97%	43.19%	49.14%	40.26%	45.57%	49.60%	47.60%	45.23%	8.52%	43.30%	41.51%	45.35%	46.29%	47.42%	45.63%	46.54%	45.09%	43.01%	49.59%	42.49%	46.46%	98.10%	50.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	482	5	7	5	2	9	3	6	11	14	9	6	12	8	11	10	5	8	8	3	6	3	11	13	12	11	10	10	3	7	4	11	4	7	8	10	16	11	2	11	5	5	11	9	4	5	3	5	6	12	4	6	11	8	8	5	8	11	7	12	18	1	6									
		0.99%	0.79%	0.98%	0.70%	0.24%	0.93%	0.77%	1.10%	1.68%	1.59%	1.20%	0.72%	1.20%	1.34%	1.21%	1.35%	0.75%	1.09%	0.99%	0.40%	0.98%	0.41%	1.21%	1.31%	1.15%	1.09%	1.03%	0.96%	0.95%	0.63%	0.50%	1.26%	0.47%	0.82%	1.18%	1.43%	1.47%	1.04%	0.62%	1.16%	1.07%	0.49%	1.27%	1.31%	0.43%	0.81%	0.45%	1.36%	1.14%	1.32%	0.77%	0.69%	1.05%	0.96%	0.92%	0.61%	0.73%	1.67%	1.14%	1.11%	1.68%	0.19%	3.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	375	3	3	3	4	4	5	1	5	8	11	5	9	1	10	10	7	6	4	14	3	6	18	5	9	8	3	12	1	7	7	6	9	9	5	5	10	11	1	6	1	7	3	3	6	2	7	0	15	10	2	6	10	3	5	7	3	4	4	12	10	0	1									
		0.78%	0.48%	0.42%	0.42%	0.47%	0.41%	1.29%	0.18%	0.76%	0.91%	1.47%	0.60%	0.90%	0.17%	1.10%	1.35%	1.05%	0.82%	0.50%	1.89%	0.49%	0.82%	1.98%	0.51%	0.86%	0.80%	0.31%	1.15%	0.32%	0.63%	0.88%	0.69%	1.07%	1.06%	0.74%	0.71%	0.92%	1.04%	0.31%	0.63%	0.21%	0.68%	0.35%	0.44%	0.64%	0.32%	1.05%	0.00%	2.84%	1.10%	0.39%	0.69%	0.95%	0.36%	0.57%	0.85%	0.28%	0.61%	0.65%	1.11%	0.93%	0.00%	0.50%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7096	96	98	120	139	156	48	105	107	124	113	114	125	87	138	86	120	81	112	105	81	97	137	156	152	111	158	154	40	171	119	156	112	137	107	77	148	158	69	145	80	164	120	100	194	106	92	64	7	147	79	113	173	123	126	104	188	119	79	160	156	6	37									
		14.69%	15.26%	13.67%	16.90%	16.35%	16.15%	12.37%	19.27%	16.31%	14.09%	15.09%	13.65%	12.50%	14.60%	15.23%	11.57%	17.94%	11.02%	13.98%	14.17%	13.21%	13.32%	15.04%	15.77%	14.56%	11.04%	16.26%	14.82%	12.62%	15.35%	15.01%	17.89%	13.27%	16.06%	15.76%	11.00%	13.64%	14.93%	21.30%	15.25%	17.13%	15.95%	13.81%	14.53%	20.70%	17.07%	13.81%	17.44%	1.33%	16.15%	15.25%	12.97%	16.48%	14.77%	14.48%	12.64%	17.26%	18.09%	12.85%	14.75%	14.55%	1.14%	18.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	650	2	16	8	8	10	9	8	11	15	16	9	14	12	11	17	12	17	17	12	4	10	7	9	16	18	6	13	5	12	9	10	5	6	5	7	16	22	4	15	6	11	7	14	4	6	5	6	59	13	4	8	9	9	10	12	9	4	5	11	15	0	0									
		1.35%	0.32%	2.23%	1.13%	0.94%	1.04%	2.32%	1.47%	1.68%	1.70%	2.14%	1.08%	1.40%	2.01%	1.21%	2.29%	1.79%	2.31%	2.12%	1.62%	0.65%	1.37%	0.77%	0.91%	1.53%	1.79%	0.62%	1.25%	1.58%	1.08%	1.13%	1.15%	0.59%	0.70%	0.74%	1.00%	1.47%	2.08%	1.23%	1.58%	1.28%	1.07%	0.81%	2.03%	0.43%	0.97%	0.75%	1.63%	11.17%	1.43%	0.77%	0.92%	0.86%	1.08%	1.15%	1.46%	0.83%	0.61%	0.81%	1.01%	1.40%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	654	9	7	7	13	15	6	10	7	28	11	12	14	6	14	10	6	11	8	15	3	8	0	14	26	13	9	30	5	25	6	10	6	28	6	7	17	17	1	13	6	7	7	11	9	8	8	10	6	19	10	8	10	14	5	7	13	10	12	2	19	0	0									
		1.35%	1.43%	0.98%	0.99%	1.53%	1.55%	1.55%	1.83%	1.07%	3.18%	1.47%	1.44%	1.40%	1.01%	1.55%	1.35%	0.90%	1.50%	0.99%	2.02%	0.49%	1.10%	0.00%	1.42%	2.49%	1.29%	0.93%	2.89%	1.58%	2.24%	0.76%	1.15%	0.71%	3.28%	0.88%	1.00%	1.57%	1.61%	0.31%	1.37%	1.28%	0.68%	0.81%	1.60%	0.96%	1.29%	1.20%	2.72%	1.14%	2.09%	1.93%	0.92%	0.95%	1.68%	0.57%	0.85%	1.19%	1.52%	1.95%	0.18%	1.77%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	317	1	1	0	1	4	1	1	0	1	1	3	6	4	1	1	3	1	0	0	1	1	3	0	2	1	1	3	1	4	1	1	0	1	1	1	0	0	1	2	2	2	1	2	1	2	0	2	241	0	0	0	0	1	0	1	1	1	2	1	1	0	1									
		0.66%	0.16%	0.14%	0.00%	0.12%	0.41%	0.26%	0.18%	0.00%	0.11%	0.13%	0.36%	0.60%	0.67%	0.11%	0.13%	0.45%	0.14%	0.00%	0.00%	0.16%	0.14%	0.33%	0.00%	0.19%	0.10%	0.10%	0.29%	0.32%	0.36%	0.13%	0.11%	0.00%	0.12%	0.15%	0.14%	0.00%	0.00%	0.31%	0.21%	0.43%	0.19%	0.12%	0.29%	0.11%	0.32%	0.00%	0.54%	45.64%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.12%	0.09%	0.15%	0.33%	0.09%	0.09%	0.00%	0.50%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1583	15	26	24	26	46	19	7	18	32	24	24	35	15	38	31	18	19	26	16	20	37	26	32	54	45	45	59	15	35	31	21	32	31	22	21	54	32	1	29	16	22	33	21	21	8	16	1	0	28	25	30	34	27	25	30	26	25	25	33	33	0	3									
		3.28%	2.38%	3.63%	3.38%	3.06%	4.76%	4.90%	1.28%	2.74%	3.64%	3.20%	2.87%	3.50%	2.52%	4.19%	4.17%	2.69%	2.59%	3.25%	2.16%	3.26%	5.08%	2.85%	3.24%	5.17%	4.48%	4.63%	5.68%	4.73%	3.14%	3.91%	2.41%	3.79%	3.63%	3.24%	3.00%	4.98%	3.02%	0.31%	3.05%	3.43%	2.14%	3.80%	3.05%	2.24%	1.29%	2.40%	0.27%	0.00%	3.08%	4.83%	3.44%	3.24%	3.24%	2.87%	3.65%	2.39%	3.80%	4.07%	3.04%	3.08%	0.00%	1.50%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7347	109	120	116	168	124	63	74	113	144	121	126	144	96	135	117	102	102	131	113	99	119	117	154	154	175	143	149	45	208	121	130	150	111	94	90	171	143	36	156	73	168	139	122	140	81	114	56	0	146	111	147	143	101	129	124	175	107	77	232	154	1	24									
		15.21%	17.33%	16.74%	16.34%	19.76%	12.84%	16.24%	13.58%	17.23%	16.36%	16.15%	15.09%	14.40%	16.11%	14.90%	15.75%	15.25%	13.88%	16.35%	15.25%	16.15%	16.35%	12.84%	15.57%	14.75%	17.41%	14.71%	14.34%	14.20%	18.67%	15.26%	14.91%	17.77%	13.01%	13.84%	12.86%	15.76%	13.52%	11.11%	16.40%	15.63%	16.34%	15.99%	17.73%	14.94%	13.04%	17.12%	15.26%	0.00%	16.04%	21.43%	16.88%	13.62%	12.12%	14.83%	15.07%	16.07%	16.26%	12.52%	21.38%	14.37%	0.19%	12.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	190	1	2	5	2	2	1	3	2	1	3	5	1	2	2	5	3	2	1	2	2	4	6	3	3	1	6	4	2	6	6	1	6	4	2	5	4	7	2	3	0	2	5	1	6	2	5	7	0	1	4	3	2	3	7	9	2	1	1	2	5	0	0									
		0.39%	0.16%	0.28%	0.70%	0.24%	0.21%	0.26%	0.55%	0.30%	0.11%	0.40%	0.60%	0.10%	0.34%	0.22%	0.67%	0.45%	0.27%	0.12%	0.27%	0.33%	0.55%	0.66%	0.30%	0.29%	0.10%	0.62%	0.38%	0.63%	0.54%	0.76%	0.11%	0.71%	0.47%	0.29%	0.71%	0.37%	0.66%	0.62%	0.32%	0.00%	0.19%	0.58%	0.15%	0.64%	0.32%	0.75%	1.91%	0.00%	0.11%	0.77%	0.34%	0.19%	0.36%	0.80%	1.09%	0.18%	0.15%	0.16%	0.18%	0.47%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3354	32	52	56	57	54	35	37	31	62	38	51	92	45	82	52	54	47	52	54	42	50	42	79	78	66	94	77	24	91	52	59	65	53	44	40	107	60	16	73	45	109	56	56	51	42	40	24	0	51	30	40	71	89	66	70	75	33	45	83	68	0	15									
		6.94%	5.09%	7.25%	7.89%	6.71%	5.59%	9.02%	6.79%	4.73%	7.05%	5.07%	6.11%	9.20%	7.55%	9.05%	6.99%	8.07%	6.39%	6.49%	7.29%	6.85%	6.87%	4.61%	7.99%	7.47%	6.57%	9.67%	7.41%	7.57%	8.17%	6.56%	6.77%	7.70%	6.21%	6.48%	5.71%	9.86%	5.67%	4.94%	7.68%	9.64%	10.60%	6.44%	8.14%	5.44%	6.76%	6.01%	6.54%	0.00%	5.60%	5.79%	4.59%	6.76%	10.68%	7.59%	8.51%	6.89%	5.02%	7.32%	7.65%	6.34%	0.00%	7.50%									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
