Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Краснокутская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  678	УИК  679	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692	УИК  693	УИК  694	УИК  695	УИК  696	УИК  697	УИК  698	УИК  699	УИК  700	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708					
		0.34%	0.90%	0.28%	0.86%	0.49%	0.10%	0.48%	0.95%	0.29%	0.42%	0.42%	0.00%	0.00%	0.16%	0.50%	0.00%	0.22%	0.57%	0.94%	0.13%	0.15%	0.00%	0.34%	0.47%	0.00%	0.57%	0.14%	0.21%	0.00%	0.20%	0.00%	0.40%					
21	. Путин Владимир Владимирович	14092	606	687	478	371	654	263	520	891	538	161	281	744	385	407	196	327	415	317	575	576	583	576	279	371	510	496	336	432	428	298	391					
		70.89%	68.17%	64.39%	58.87%	60.52%	65.60%	62.92%	70.75%	65.66%	74.93%	67.65%	78.27%	70.25%	61.70%	67.50%	80.33%	72.51%	78.45%	74.59%	76.87%	87.01%	92.10%	65.90%	65.65%	70.40%	72.34%	68.98%	69.28%	75.66%	84.92%	77.60%	77.43%					
22	. Хакамада Ирина Муцуовна	247	12	11	18	7	7	8	5	19	4	3	8	10	6	11	4	4	5	7	8	1	6	12	6	7	8	17	7	6	11	7	2					
		1.24%	1.35%	1.03%	2.22%	1.14%	0.70%	1.91%	0.68%	1.40%	0.56%	1.26%	2.23%	0.94%	0.96%	1.82%	1.64%	0.89%	0.95%	1.65%	1.07%	0.15%	0.95%	1.37%	1.41%	1.33%	1.13%	2.36%	1.44%	1.05%	2.18%	1.82%	0.40%					
23	. Харитонов Николай Михайлович	3866	150	273	232	169	249	104	129	298	103	54	40	228	211	126	33	91	71	70	128	33	33	222	129	75	135	146	77	91	41	44	81					
		19.45%	16.87%	25.59%	28.57%	27.57%	24.97%	24.88%	17.55%	21.96%	14.35%	22.69%	11.14%	21.53%	33.81%	20.90%	13.52%	20.18%	13.42%	16.47%	17.11%	4.98%	5.21%	25.40%	30.35%	14.23%	19.15%	20.31%	15.88%	15.94%	8.13%	11.46%	16.04%					
																																						
24	Против всех	313	25	28	13	13	24	7	10	41	19	5	5	10	5	8	2	5	8	3	8	0	0	9	3	5	15	12	5	12	5	6	2					
		1.57%	2.81%	2.62%	1.60%	2.12%	2.41%	1.67%	1.36%	3.02%	2.65%	2.10%	1.39%	0.94%	0.80%	1.33%	0.82%	1.11%	1.51%	0.71%	1.07%	0.00%	0.00%	1.03%	0.71%	0.95%	2.13%	1.67%	1.03%	2.10%	0.99%	1.56%	0.40%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
