Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																																																																																																								
																																																																																																																																																								
Наименование Избирательной комиссии:    Находкинская городская																																																																																																																																																								
																																																																																																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																																																								
																																																																																																																																																								
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №1310	УИК №1313	УИК №1316	УИК №1317	УИК №1319	УИК №1321	УИК №1322	УИК №1324	УИК №1326	УИК №1327	УИК №1328	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1582	10	10	30	20	20	10	10	10	30	30	30	10	20	10	10	30	30	20	20	30	20	20	20	20	30	30	20	30	20	30	20	30	20	30	30	30	30	10	20	20	20	20	20	30	30	30	20	30	30	30	20	30	30	20	20	30	30	30	30	30	20	20	30	20	20	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	265	0	0	0	4	6	4	0	4	7	1	2	0	4	2	0	4	5	0	2	4	3	2	4	3	1	10	1	5	3	4	8	6	2	4	4	6	7	0	11	7	3	4	0	5	4	6	7	2	1	4	8	3	7	4	2	6	0	6	2	2	2	2	7	0	5	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	183	0	2	0	0	4	2	0	1	1	3	8	0	3	4	1	3	3	2	3	0	5	1	0	2	7	6	3	1	0	2	1	8	5	4	0	3	5	1	1	6	2	2	5	0	3	1	2	0	7	2	1	1	4	0	3	4	2	0	0	6	5	2	1	5	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	1317	10	10	30	16	14	6	10	6	23	29	28	10	16	8	10	26	25	20	18	26	17	18	16	17	29	20	19	25	17	26	12	24	18	26	26	24	23	10	9	13	17	16	20	25	26	24	13	28	29	26	12	27	23	16	18	24	30	24	28	28	18	18	23	20	15	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																																								
18	"1. ""ЕДИНЕНИЕ"""	533	7	3	26	9	27	5	2	3	5	5	10	6	6	1	5	11	13	7	1	18	7	1	6	2	6	10	6	3	5	12	9	27	3	10	6	4	8	1	3	9	7	8	5	8	5	7	5	0	4	8	4	4	50	8	7	5	2	4	8	8	5	5	5	8	4	21	0	1	1	1	4	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
		1.01%	2.88%	2.23%	2.26%	1.19%	1.94%	1.00%	1.90%	1.44%	0.53%	0.71%	0.97%	1.82%	1.19%	0.42%	2.77%	1.00%	1.23%	1.71%	0.28%	1.93%	1.01%	0.21%	0.91%	0.40%	0.87%	1.21%	0.86%	0.34%	0.65%	1.54%	1.23%	1.71%	0.48%	0.90%	0.64%	0.51%	0.97%	1.02%	0.62%	1.29%	1.20%	1.25%	0.76%	0.71%	0.72%	0.70%	0.72%	0.0%	0.35%	0.71%	0.54%	0.48%	4.96%	0.88%	0.89%	0.54%	0.23%	0.40%	0.77%	0.83%	0.75%	0.58%	0.46%	1.35%	0.56%	2.10%	0.0%	1.23%	2.08%	1.13%	15.38%	1.13%	1.11%	0.0%	0.0%	2.29%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	2.63%	0.0%	0.0%	0.0%	0.0%	14.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.94%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2293	24	12	56	36	97	39	5	20	46	41	46	12	14	2	4	45	31	11	10	47	48	25	18	19	36	33	26	34	37	30	26	119	19	65	48	28	32	2	16	32	14	21	41	61	26	36	16	37	38	38	39	22	12	32	33	39	24	42	51	22	20	30	23	28	25	51	0	3	0	3	0	0	0	1	0	2	1	1	0	1	2	1	1	1	1	2	2	0	0	0	2	0	1	3	0	3	3	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	1	0	0	0	1	0	0	23	11	4	5	7	5	3	5	2	4	12	7	5	7	6	3	2	3	0	1	10	10	1	1	0					
		4.36%	9.87%	8.95%	4.87%	4.76%	6.98%	7.81%	4.76%	9.66%	4.95%	5.89%	4.46%	3.64%	2.78%	0.84%	2.22%	4.11%	2.94%	2.70%	2.87%	5.05%	6.92%	5.42%	2.75%	3.85%	5.24%	3.99%	3.74%	3.92%	4.84%	3.85%	3.57%	7.57%	3.04%	5.87%	5.18%	3.61%	3.91%	2.04%	3.34%	4.59%	2.41%	3.30%	6.27%	5.46%	3.77%	3.64%	2.31%	3.27%	3.36%	3.39%	5.30%	2.68%	1.19%	3.53%	4.20%	4.27%	2.82%	4.21%	4.92%	2.29%	3.00%	3.48%	2.15%	4.72%	3.51%	5.11%	0.0%	3.70%	0.0%	3.40%	0.0%	0.0%	0.0%	1.21%	0.0%	2.29%	2.63%	1.26%	0.0%	5.26%	11.11%	5.0%	5.88%	5.55%	5.55%	11.11%	11.76%	0.0%	0.0%	0.0%	9.52%	0.0%	4.76%	12.0%	0.0%	12.0%	3.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.52%	6.89%	10.52%	6.66%	2.63%	5.88%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	8.27%	4.11%	16.0%	20.0%	28.0%	20.0%	12.0%	20.0%	8.0%	16.0%	13.04%	23.33%	17.24%	24.13%	21.42%	17.64%	10.0%	15.0%	0.0%	2.94%	43.47%	35.71%	5.26%	4.34%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1404	11	5	27	29	32	25	2	6	16	22	23	17	15	5	3	34	16	9	9	23	10	8	29	10	19	19	25	31	25	22	8	36	19	27	26	28	17	5	8	20	10	25	10	36	23	41	22	23	27	30	26	12	28	28	29	32	32	24	22	32	16	31	26	14	16	20	2	2	2	7	0	2	3	3	0	5	0	3	0	1	1	1	0	1	1	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
		2.67%	4.52%	3.73%	2.34%	3.83%	2.30%	5.01%	1.90%	2.89%	1.72%	3.16%	2.23%	5.16%	2.98%	2.10%	1.66%	3.10%	1.51%	2.21%	2.58%	2.47%	1.44%	1.73%	4.43%	2.02%	2.76%	2.30%	3.60%	3.57%	3.27%	2.82%	1.09%	2.29%	3.04%	2.44%	2.81%	3.61%	2.08%	5.10%	1.67%	2.86%	1.72%	3.93%	1.53%	3.22%	3.34%	4.15%	3.18%	2.03%	2.39%	2.68%	3.53%	1.46%	2.78%	3.09%	3.69%	3.50%	3.76%	2.40%	2.12%	3.33%	2.40%	3.60%	2.43%	2.36%	2.25%	2.00%	6.25%	2.46%	4.16%	7.95%	0.0%	2.27%	3.33%	3.65%	0.0%	5.74%	0.0%	3.79%	0.0%	5.26%	5.55%	5.0%	0.0%	5.55%	5.55%	11.11%	0.0%	0.0%	4.76%	0.0%	0.0%	3.84%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.0%	0.0%	3.44%	0.0%	0.0%	0.0%	5.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	4.0%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4652	6	7	41	31	71	43	4	5	109	67	87	11	12	6	3	85	91	39	26	87	105	44	37	58	62	52	50	102	90	76	66	115	72	174	104	73	100	7	46	72	42	89	58	127	62	92	77	124	114	127	59	53	74	95	86	91	74	121	135	87	62	74	95	49	93	60	1	3	3	4	1	5	3	1	3	5	2	3	1	6	1	0	1	1	1	2	1	0	6	0	0	1	2	0	2	1	5	0	1	0	0	0	0	0	0	0	0	2	1	3	0	0	4	0	1	1	5	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	4	0	1	0	4	0					
		8.85%	2.46%	5.22%	3.56%	4.10%	5.11%	8.61%	3.80%	2.41%	11.74%	9.62%	8.44%	3.34%	2.39%	2.52%	1.66%	7.76%	8.64%	9.58%	7.47%	9.36%	15.15%	9.54%	5.65%	11.76%	9.03%	6.29%	7.20%	11.76%	11.78%	9.75%	9.06%	7.32%	11.53%	15.73%	11.24%	9.41%	12.23%	7.14%	9.60%	10.32%	7.25%	14.01%	8.88%	11.37%	9.01%	9.32%	11.15%	10.96%	10.10%	11.34%	8.02%	6.47%	7.34%	10.49%	10.96%	9.96%	8.70%	12.14%	13.04%	9.07%	9.30%	8.59%	8.90%	8.27%	13.08%	6.01%	3.12%	3.70%	6.25%	4.54%	3.84%	5.68%	3.33%	1.21%	18.75%	5.74%	5.26%	3.79%	5.55%	31.57%	5.55%	0.0%	5.88%	5.55%	5.55%	11.11%	5.88%	0.0%	28.57%	0.0%	0.0%	3.84%	9.52%	0.0%	8.0%	4.0%	5.61%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.0%	4.76%	10.34%	0.0%	0.0%	10.52%	0.0%	6.66%	5.26%	19.23%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.25%	11.76%	0.0%	3.57%	0.0%	17.39%	0.0%					
22	"5. ""За Русь Святую"""	216	1	0	4	6	11	5	0	4	0	2	4	1	3	0	1	4	5	1	1	3	3	4	2	1	2	3	8	2	1	6	2	10	5	3	5	4	5	1	1	4	2	3	5	4	1	1	2	8	6	4	1	7	3	4	3	2	7	1	2	1	0	2	2	0	0	7	0	2	0	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.41%	0.41%	0.0%	0.34%	0.79%	0.79%	1.00%	0.0%	1.93%	0.0%	0.28%	0.38%	0.30%	0.59%	0.0%	0.55%	0.36%	0.47%	0.24%	0.28%	0.32%	0.43%	0.86%	0.30%	0.20%	0.29%	0.36%	1.15%	0.23%	0.13%	0.77%	0.27%	0.63%	0.80%	0.27%	0.54%	0.51%	0.61%	1.02%	0.20%	0.57%	0.34%	0.47%	0.76%	0.35%	0.14%	0.10%	0.28%	0.70%	0.53%	0.35%	0.13%	0.85%	0.29%	0.44%	0.38%	0.21%	0.82%	0.10%	0.19%	0.10%	0.0%	0.23%	0.18%	0.0%	0.0%	0.70%	0.0%	2.46%	0.0%	1.13%	0.0%	0.0%	0.0%	1.21%	0.0%	2.29%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.26%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	148	0	1	6	1	3	2	3	0	0	2	2	0	3	3	5	1	1	3	0	1	1	0	3	1	0	3	2	2	4	2	1	8	4	2	3	1	5	1	1	2	0	2	0	0	1	2	0	3	1	5	0	1	2	3	4	3	3	5	2	3	2	1	5	3	3	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
