Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Нерчинско-Заводская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666					
																													
18	"1. ""ЕДИНЕНИЕ"""	108	10	5	1	0	3	1	3	2	13	2	2	3	6	24	7	0	2	5	7	2	5	5					
		2.12%	2.55%	1.38%	0.67%	0.0%	2.0%	1.13%	2.32%	0.98%	2.59%	2.85%	1.05%	1.94%	2.18%	2.22%	3.84%	0.0%	4.54%	2.80%	3.97%	1.27%	3.01%	1.53%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	45	5	3	1	0	1	1	0	4	2	0	1	3	1	8	4	0	1	1	2	4	0	3					
		0.88%	1.27%	0.83%	0.67%	0.0%	0.66%	1.13%	0.0%	1.96%	0.39%	0.0%	0.52%	1.94%	0.36%	0.74%	2.19%	0.0%	2.27%	0.56%	1.13%	2.54%	0.0%	0.92%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	141	5	11	13	1	3	2	3	2	21	1	6	3	10	27	2	1	0	6	4	6	2	12					
		2.77%	1.27%	3.05%	8.72%	1.35%	2.0%	2.27%	2.32%	0.98%	4.19%	1.42%	3.15%	1.94%	3.64%	2.5%	1.09%	2.56%	0.0%	3.37%	2.27%	3.82%	1.20%	3.68%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	62	12	5	3	0	0	1	1	4	2	0	2	0	2	14	2	0	1	3	1	2	1	6					
		1.21%	3.06%	1.38%	2.01%	0.0%	0.0%	1.13%	0.77%	1.96%	0.39%	0.0%	1.05%	0.0%	0.72%	1.29%	1.09%	0.0%	2.27%	1.68%	0.56%	1.27%	0.60%	1.84%					
22	"5. ""За Русь Святую"""	40	0	7	1	1	1	0	0	1	1	0	0	1	3	7	1	0	0	1	0	0	4	11					
		0.78%	0.0%	1.94%	0.67%	1.35%	0.66%	0.0%	0.0%	0.49%	0.19%	0.0%	0.0%	0.64%	1.09%	0.64%	0.54%	0.0%	0.0%	0.56%	0.0%	0.0%	2.40%	3.37%					
23	"6. ""Объединенная Российская партия ""Русь"""	30	4	1	0	0	2	1	1	2	0	1	3	0	0	4	2	0	0	1	0	4	2	2					
		0.59%	1.02%	0.27%	0.0%	0.0%	1.33%	1.13%	0.77%	0.98%	0.0%	1.42%	1.57%	0.0%	0.0%	0.37%	1.09%	0.0%	0.0%	0.56%	0.0%	2.54%	1.20%	0.61%					
24	"7. ""Новый курс - Автомобильная Россия"""	22	3	1	1	0	0	1	0	2	0	4	0	1	1	2	1	0	0	2	2	1	0	0					
		0.43%	0.76%	0.27%	0.67%	0.0%	0.0%	1.13%	0.0%	0.98%	0.0%	5.71%	0.0%	0.64%	0.36%	0.18%	0.54%	0.0%	0.0%	1.12%	1.13%	0.63%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	19	0	2	2	0	1	0	1	0	4	2	0	2	1	1	0	0	0	2	0	0	1	0					
		0.37%	0.0%	0.55%	1.34%	0.0%	0.66%	0.0%	0.77%	0.0%	0.79%	2.85%	0.0%	1.29%	0.36%	0.09%	0.0%	0.0%	0.0%	1.12%	0.0%	0.0%	0.60%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	7	0	2	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0					
		0.13%	0.0%	0.55%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.36%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%					
27	"10. ""Аграрная партия России"""	486	15	42	21	19	22	16	27	20	12	4	37	12	53	81	37	5	1	8	3	18	17	16					
		9.56%	3.82%	11.66%	14.09%	25.67%	14.66%	18.18%	20.93%	9.80%	2.39%	5.71%	19.47%	7.79%	19.34%	7.49%	20.32%	12.82%	2.27%	4.49%	1.70%	11.46%	10.24%	4.90%					
28	"11. ""Истинные патриоты России"""	9	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	3	1	0	0					
		0.17%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.19%	0.0%	0.52%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.70%	0.63%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	44	1	4	2	1	1	1	2	3	4	1	1	1	3	12	1	0	0	0	2	2	1	1					
		0.86%	0.25%	1.11%	1.34%	1.35%	0.66%	1.13%	1.55%	1.47%	0.79%	1.42%	0.52%	0.64%	1.09%	1.11%	0.54%	0.0%	0.0%	0.0%	1.13%	1.27%	0.60%	0.30%					
30	"13. ""Демократическая партия России"""	15	0	1	0	0	2	0	2	0	2	0	0	1	1	1	0	0	0	1	1	0	0	3					
		0.29%	0.0%	0.27%	0.0%	0.0%	1.33%	0.0%	1.55%	0.0%	0.39%	0.0%	0.0%	0.64%	0.36%	0.09%	0.0%	0.0%	0.0%	0.56%	0.56%	0.0%	0.0%	0.92%					
31	"14. ""Великая Россия - Евразийский Союз"""	10	1	2	0	0	0	0	0	1	3	0	1	0	0	1	0	0	0	0	0	1	0	0					
		0.19%	0.25%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.59%	0.0%	0.52%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	5	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.52%	0.64%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	340	24	22	5	2	4	1	5	33	48	2	5	3	15	110	6	1	1	9	8	7	12	17					
		6.68%	6.12%	6.11%	3.35%	2.70%	2.66%	1.13%	3.87%	16.17%	9.58%	2.85%	2.63%	1.94%	5.47%	10.18%	3.29%	2.56%	2.27%	5.05%	4.54%	4.45%	7.22%	5.21%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	35	1	4	0	0	2	0	1	0	7	0	1	1	4	4	0	0	1	0	3	2	3	1					
		0.68%	0.25%	1.11%	0.0%	0.0%	1.33%	0.0%	0.77%	0.0%	1.39%	0.0%	0.52%	0.64%	1.45%	0.37%	0.0%	0.0%	2.27%	0.0%	1.70%	1.27%	1.80%	0.30%					
35	"18. ""ЛДПР"""	772	104	26	30	9	32	15	15	28	57	13	21	28	26	155	42	2	17	28	27	36	11	50					
		15.18%	26.53%	7.22%	20.13%	12.16%	21.33%	17.04%	11.62%	13.72%	11.37%	18.57%	11.05%	18.18%	9.48%	14.35%	23.07%	5.12%	38.63%	15.73%	15.34%	22.92%	6.62%	15.33%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	100	5	5	2	1	3	0	3	1	9	0	3	3	2	36	1	0	0	4	6	4	3	9					
		1.96%	1.27%	1.38%	1.34%	1.35%	2.0%	0.0%	2.32%	0.49%	1.79%	0.0%	1.57%	1.94%	0.72%	3.33%	0.54%	0.0%	0.0%	2.24%	3.40%	2.54%	1.80%	2.76%					
37	"20. ""Политическая партия ""Единая Россия"""	1764	121	135	49	30	54	17	47	50	181	28	71	62	80	359	47	30	17	65	43	53	85	140					
		34.70%	30.86%	37.5%	32.88%	40.54%	36.0%	19.31%	36.43%	24.50%	36.12%	39.99%	37.36%	40.25%	29.19%	33.24%	25.82%	76.92%	38.63%	36.51%	24.43%	33.75%	51.20%	42.94%					
38	"21. ""Российская Конституционно-демократическая партия"""	14	1	1	0	1	0	0	1	1	3	0	1	0	0	1	0	0	0	0	0	0	0	4					
		0.27%	0.25%	0.27%	0.0%	1.35%	0.0%	0.0%	0.77%	0.49%	0.59%	0.0%	0.52%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.22%					
39	"22. ""Развитие предпринимательства"""	13	1	0	1	0	0	1	1	0	4	0	0	0	0	2	0	0	0	0	0	1	2	0					
		0.25%	0.25%	0.0%	0.67%	0.0%	0.0%	1.13%	0.77%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	1.20%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	722	52	59	14	7	10	24	6	32	85	6	20	15	51	182	18	0	1	27	58	4	13	38					
		14.20%	13.26%	16.38%	9.39%	9.45%	6.66%	27.27%	4.65%	15.68%	16.96%	8.57%	10.52%	9.74%	18.61%	16.85%	9.89%	0.0%	2.27%	15.16%	32.95%	2.54%	7.83%	11.65%					
																													
41	Против всех	170	21	12	1	2	6	4	6	10	19	5	8	11	4	33	7	0	1	12	2	2	1	3					
		3.34%	5.35%	3.33%	0.67%	2.70%	4.0%	4.54%	4.65%	4.90%	3.79%	7.14%	4.21%	7.14%	1.45%	3.05%	3.84%	0.0%	2.27%	6.74%	1.13%	1.27%	0.60%	0.92%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
