Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Илишевская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №2049	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2068	УИК №2070	УИК №2071	УИК №2072	УИК №2074	УИК №2075	УИК №2077	УИК №2078	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2099	УИК №2100	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2109	УИК №2110	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118									
		0.37%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.02%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.39%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.76%	0.00%	0.96%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.55%	0.00%	0.00%	0.97%	0.65%	0.51%	0.53%	0.00%	0.00%	0.31%	0.64%	1.44%	0.55%	1.08%	0.00%	1.28%									
24	"6. Политическая партия ""Гражданская Платформа"""	151	0	1	1	3	0	0	0	0	0	0	0	0	0	1	5	0	0	1	0	1	0	2	3	0	0	0	4	1	18	0	8	2	2	2	0	0	0	1	1	6	0	1	10	0	2	1	3	1	0	1	2	13	6	15	17	0	16									
		0.72%	0.00%	0.59%	0.19%	1.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.83%	0.00%	0.00%	0.19%	0.00%	0.28%	0.00%	0.41%	1.50%	0.00%	0.00%	0.00%	0.85%	0.38%	4.57%	0.00%	2.46%	0.64%	0.58%	1.12%	0.00%	0.00%	0.00%	0.57%	0.18%	1.48%	0.00%	0.55%	2.43%	0.00%	0.49%	0.33%	0.51%	0.11%	0.00%	0.40%	0.63%	1.66%	0.87%	2.07%	1.84%	0.00%	2.04%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	749	6	2	10	15	14	7	2	3	4	1	5	7	2	2	32	6	4	6	4	2	3	8	24	7	4	2	8	4	18	6	18	6	9	3	4	3	2	5	5	10	10	3	15	4	40	7	22	65	2	6	4	53	50	24	71	25	65									
		3.56%	1.57%	1.18%	1.90%	6.85%	10.29%	1.46%	1.32%	1.15%	2.92%	1.01%	3.97%	2.53%	1.41%	0.91%	5.32%	1.49%	1.08%	1.17%	1.54%	0.55%	1.39%	1.64%	12.00%	1.73%	1.42%	1.11%	1.69%	1.52%	4.57%	2.87%	5.54%	1.92%	2.62%	1.69%	1.40%	1.96%	1.54%	2.84%	0.90%	2.46%	2.14%	1.66%	3.65%	1.51%	9.71%	2.29%	3.73%	6.92%	0.54%	2.41%	1.26%	6.76%	7.22%	3.31%	7.67%	2.97%	8.30%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	1	3	0	0	1	0	4	0	2	0	4									
		0.12%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.25%	0.21%	0.00%	0.00%	0.00%	0.49%	0.00%	0.17%	0.32%	0.00%	0.00%	0.31%	0.00%	0.58%	0.00%	0.22%	0.00%	0.51%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	31	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	1	4	0	0	0	3	6	0	2	0	3									
		0.15%	1.05%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.25%	0.21%	0.00%	0.00%	0.00%	0.24%	0.00%	0.17%	0.43%	0.00%	0.00%	0.00%	0.38%	0.87%	0.00%	0.22%	0.00%	0.38%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	1	0	1	1	1	1	3	5	0	4									
		0.12%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.24%	0.00%	0.34%	0.11%	0.00%	0.40%	0.31%	0.13%	0.14%	0.41%	0.54%	0.00%	0.51%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	105	0	1	3	1	0	2	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	1	0	2	1	0	0	0	1	0	2	1	1	1	3	11	0	0	1	7	20	5	13	0	17									
		0.50%	0.00%	0.59%	0.57%	0.46%	0.00%	0.42%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.46%	0.33%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.38%	0.00%	1.91%	0.00%	0.00%	0.00%	0.56%	0.00%	1.31%	0.77%	0.00%	0.00%	0.00%	0.21%	0.00%	0.49%	0.38%	0.24%	0.33%	0.51%	1.17%	0.00%	0.00%	0.31%	0.89%	2.89%	0.69%	1.40%	0.00%	2.17%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4376	133	57	168	16	9	157	51	82	40	26	37	97	48	63	36	145	129	134	86	85	76	165	14	135	92	52	7	8	19	3	17	101	100	50	98	54	47	19	10	111	115	60	31	83	24	8	168	249	111	31	80	66	73	55	79	286	80									
		20.77%	34.91%	33.53%	31.94%	7.31%	6.62%	32.78%	33.55%	31.54%	29.20%	26.26%	29.37%	35.02%	33.80%	28.77%	5.99%	36.07%	34.77%	26.02%	33.08%	23.55%	35.19%	33.88%	7.00%	33.42%	32.74%	28.89%	1.48%	3.04%	4.82%	1.44%	5.23%	32.37%	29.15%	28.09%	34.27%	35.29%	36.15%	10.80%	1.81%	27.34%	24.63%	33.15%	7.54%	31.32%	5.83%	2.61%	28.47%	26.52%	29.76%	12.45%	25.16%	8.42%	10.53%	7.59%	8.53%	33.97%	10.22%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	138	0	0	1	0	2	2	1	0	2	0	0	0	0	1	0	4	2	1	0	2	2	2	0	2	1	0	2	2	5	2	4	3	1	1	0	0	0	0	0	0	3	0	1	2	4	2	2	5	2	4	0	15	14	18	12	5	4									
		0.66%	0.00%	0.00%	0.19%	0.00%	1.47%	0.42%	0.66%	0.00%	1.46%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.99%	0.54%	0.19%	0.00%	0.55%	0.93%	0.41%	0.00%	0.50%	0.36%	0.00%	0.42%	0.76%	1.27%	0.96%	1.23%	0.96%	0.29%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.24%	0.75%	0.97%	0.65%	0.34%	0.53%	0.54%	1.61%	0.00%	1.91%	2.02%	2.48%	1.30%	0.59%	0.51%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	798	21	2	33	2	1	30	8	0	5	1	0	7	1	1	7	20	26	63	2	3	4	33	4	34	23	1	7	1	5	4	4	10	19	4	12	7	1	3	3	31	29	1	5	11	3	1	34	62	32	11	1	19	15	36	20	58	17									
		3.79%	5.51%	1.18%	6.27%	0.91%	0.74%	6.26%	5.26%	0.00%	3.65%	1.01%	0.00%	2.53%	0.70%	0.46%	1.16%	4.98%	7.01%	12.23%	0.77%	0.83%	1.85%	6.78%	2.00%	8.42%	8.19%	0.56%	1.48%	0.38%	1.27%	1.91%	1.23%	3.21%	5.54%	2.25%	4.20%	4.58%	0.77%	1.70%	0.54%	7.64%	6.21%	0.55%	1.22%	4.15%	0.73%	0.33%	5.76%	6.60%	8.58%	4.42%	0.31%	2.42%	2.16%	4.97%	2.16%	6.89%	2.17%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
