Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Порховская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625	УИК  626	УИК  627	УИК  628	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635					
31	"14. ""Великая Россия - Евразийский Союз"""	12	0	0	0	2	1	4	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0					
		0.09%	0.0%	0.0%	0.0%	0.21%	0.11%	0.52%	0.0%	0.0%	0.0%	0.0%	1.08%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	21	0	2	2	2	1	2	0	1	1	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	1	1	0	1	1	0	1					
		0.16%	0.0%	0.21%	0.25%	0.21%	0.11%	0.26%	0.0%	0.19%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.29%	0.0%	0.37%	0.17%	0.0%	0.0%	0.0%	0.0%	0.49%	0.72%	0.0%	0.62%	0.29%	0.0%	0.36%					
33	"16. ""Родина"" (народно-патриотический союз)"""	702	47	71	57	60	61	51	9	33	11	17	1	32	10	10	9	5	10	48	31	34	11	2	5	6	26	5	6	6	13	1	14					
		5.38%	6.21%	7.75%	7.30%	6.41%	6.95%	6.74%	1.73%	6.49%	3.06%	4.54%	0.54%	4.12%	3.90%	2.80%	3.08%	4.80%	2.94%	8.87%	5.77%	6.06%	3.18%	1.13%	2.32%	2.75%	12.80%	3.62%	4.28%	3.75%	3.80%	0.97%	5.09%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	48	6	6	0	1	1	1	3	0	0	2	0	4	3	0	1	1	0	4	1	2	4	2	0	2	1	0	2	0	0	0	1					
		0.36%	0.79%	0.65%	0.0%	0.10%	0.11%	0.13%	0.57%	0.0%	0.0%	0.53%	0.0%	0.51%	1.17%	0.0%	0.34%	0.96%	0.0%	0.73%	0.18%	0.35%	1.15%	1.13%	0.0%	0.91%	0.49%	0.0%	1.42%	0.0%	0.0%	0.0%	0.36%					
35	"18. ""ЛДПР"""	1523	84	116	85	108	95	100	56	37	38	68	31	95	22	37	19	10	49	77	68	55	39	11	24	34	17	18	21	14	41	28	26					
		11.67%	11.11%	12.66%	10.89%	11.53%	10.83%	13.22%	10.76%	7.28%	10.58%	18.18%	16.75%	12.24%	8.59%	10.36%	6.50%	9.61%	14.41%	14.23%	12.66%	9.80%	11.30%	6.25%	11.16%	15.59%	8.37%	13.04%	14.99%	8.75%	11.98%	27.18%	9.45%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	739	50	60	47	46	54	36	16	13	30	11	19	41	10	20	9	2	47	31	29	12	16	20	13	19	15	8	19	2	20	4	20					
		5.66%	6.61%	6.55%	6.02%	4.91%	6.15%	4.76%	3.07%	2.55%	8.35%	2.94%	10.27%	5.28%	3.90%	5.60%	3.08%	1.92%	13.82%	5.73%	5.40%	2.13%	4.63%	11.36%	6.04%	8.71%	7.38%	5.79%	13.57%	1.25%	5.84%	3.88%	7.27%					
37	"20. ""Политическая партия ""Единая Россия"""	6247	342	374	311	390	399	349	325	296	187	208	88	372	118	206	168	67	153	233	268	264	167	109	120	117	69	56	58	105	171	42	115					
		47.88%	45.23%	40.82%	39.87%	41.66%	45.49%	46.16%	62.5%	58.26%	52.08%	55.61%	47.56%	47.93%	46.09%	57.70%	57.53%	64.42%	45.0%	43.06%	49.90%	47.05%	48.40%	61.93%	55.81%	53.66%	33.99%	40.57%	41.42%	65.62%	50.0%	40.77%	41.81%					
38	"21. ""Российская Конституционно-демократическая партия"""	26	1	1	1	1	1	0	1	5	0	0	0	3	1	0	1	0	0	1	3	0	0	0	2	1	0	0	0	0	1	1	1					
		0.19%	0.13%	0.10%	0.12%	0.10%	0.11%	0.0%	0.19%	0.98%	0.0%	0.0%	0.0%	0.38%	0.39%	0.0%	0.34%	0.0%	0.0%	0.18%	0.55%	0.0%	0.0%	0.0%	0.93%	0.45%	0.0%	0.0%	0.0%	0.0%	0.29%	0.97%	0.36%					
39	"22. ""Развитие предпринимательства"""	19	1	5	2	2	1	1	2	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0					
		0.14%	0.13%	0.54%	0.25%	0.21%	0.11%	0.13%	0.38%	0.0%	0.27%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1523	103	112	97	137	126	87	45	58	20	26	16	90	27	20	38	7	26	66	50	92	36	16	21	18	26	31	7	22	47	9	47					
		11.67%	13.62%	12.22%	12.43%	14.63%	14.36%	11.50%	8.65%	11.41%	5.57%	6.95%	8.64%	11.59%	10.54%	5.60%	13.01%	6.73%	7.64%	12.19%	9.31%	16.39%	10.43%	9.09%	9.76%	8.25%	12.80%	22.46%	4.99%	13.75%	13.74%	8.73%	17.09%					
																																						
41	Против всех	314	16	27	26	38	23	13	7	6	8	4	4	25	2	3	4	3	9	9	16	15	14	4	2	4	7	1	2	4	11	4	3					
		2.40%	2.11%	2.94%	3.33%	4.05%	2.62%	1.71%	1.34%	1.18%	2.22%	1.06%	2.16%	3.22%	0.78%	0.84%	1.36%	2.88%	2.64%	1.66%	2.97%	2.67%	4.05%	2.27%	0.93%	1.83%	3.44%	0.72%	1.42%	2.5%	3.21%	3.88%	1.09%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
