Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №16																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №8418									
		0.30%	0.60%	0.12%	0.59%	0.00%	0.29%	0.00%	0.00%	0.19%	0.61%	0.00%	0.46%	0.00%	1.04%	0.56%	0.15%	0.41%	0.30%	0.00%	0.19%	0.60%	0.23%	0.00%	0.64%	0.29%	0.36%	0.00%	0.19%	0.00%	0.00%	0.55%	0.27%	0.52%	0.26%	0.00%	0.30%	0.38%	0.34%	0.17%	0.58%	0.67%	0.29%	0.66%	0.00%	0.16%	0.20%	0.17%	0.00%	1.38%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2744	83	117	36	77	72	52	61	40	47	59	66	40	58	70	73	48	72	47	60	71	40	46	52	32	66	76	47	52	44	51	73	70	35	56	60	59	37	53	53	72	68	66	50	73	58	65	33	8									
		9.93%	12.48%	13.57%	7.06%	11.65%	10.47%	9.27%	9.21%	7.50%	9.51%	9.64%	10.15%	9.50%	10.07%	9.78%	10.70%	9.86%	10.73%	10.80%	11.39%	10.64%	9.01%	8.35%	8.27%	9.20%	11.85%	10.47%	8.79%	11.13%	7.43%	7.02%	9.86%	12.20%	9.09%	11.76%	8.98%	7.40%	6.32%	8.88%	10.21%	12.02%	9.97%	10.89%	12.14%	11.57%	11.89%	11.25%	9.09%	2.76%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	772	20	15	17	11	32	13	20	14	15	9	14	15	13	27	18	10	20	14	20	20	16	26	24	15	13	21	13	5	10	13	20	8	9	14	13	16	17	24	11	13	23	25	23	15	6	24	7	11									
		2.79%	3.01%	1.74%	3.33%	1.66%	4.65%	2.32%	3.02%	2.63%	3.04%	1.47%	2.15%	3.56%	2.26%	3.77%	2.64%	2.05%	2.98%	3.22%	3.80%	2.99%	3.60%	4.72%	3.82%	4.31%	2.33%	2.89%	2.43%	1.07%	1.69%	1.79%	2.70%	1.39%	2.34%	2.94%	1.95%	2.01%	2.91%	4.02%	2.12%	2.17%	3.37%	4.13%	5.58%	2.38%	1.23%	4.15%	1.93%	3.79%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	2465	51	42	71	59	52	46	59	58	52	40	43	45	47	78	70	44	49	51	39	70	36	60	61	33	46	72	65	51	53	66	61	43	48	47	78	73	52	51	32	55	44	58	33	60	36	54	24	7									
		8.92%	7.67%	4.87%	13.92%	8.93%	7.56%	8.20%	8.91%	10.88%	10.53%	6.54%	6.62%	10.69%	8.16%	10.89%	10.26%	9.03%	7.30%	11.72%	7.40%	10.49%	8.11%	10.89%	9.70%	9.48%	8.26%	9.92%	12.15%	10.92%	8.95%	9.09%	8.24%	7.49%	12.47%	9.87%	11.68%	9.16%	8.89%	8.54%	6.17%	9.18%	6.45%	9.57%	8.01%	9.51%	7.38%	9.34%	6.61%	2.41%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	115	1	0	4	3	4	4	1	1	2	2	4	0	1	4	0	2	2	1	4	5	1	2	1	3	1	4	3	4	6	3	5	4	1	1	4	1	2	2	0	2	4	1	0	10	3	2	0	0									
		0.42%	0.15%	0.00%	0.78%	0.45%	0.58%	0.71%	0.15%	0.19%	0.40%	0.33%	0.62%	0.00%	0.17%	0.56%	0.00%	0.41%	0.30%	0.23%	0.76%	0.75%	0.23%	0.36%	0.16%	0.86%	0.18%	0.55%	0.56%	0.86%	1.01%	0.41%	0.68%	0.70%	0.26%	0.21%	0.60%	0.13%	0.34%	0.34%	0.00%	0.33%	0.59%	0.17%	0.00%	1.58%	0.61%	0.35%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4611	100	86	109	124	128	88	124	95	88	125	118	101	112	106	110	75	122	74	72	137	66	87	100	58	81	121	103	98	122	129	129	97	60	62	105	137	107	104	96	86	116	100	52	97	60	72	23	49									
		16.68%	15.04%	9.98%	21.37%	18.76%	18.60%	15.69%	18.73%	17.82%	17.81%	20.42%	18.15%	23.99%	19.44%	14.80%	16.13%	15.40%	18.18%	17.01%	13.66%	20.54%	14.86%	15.79%	15.90%	16.67%	14.54%	16.67%	19.25%	20.99%	20.61%	17.77%	17.43%	16.90%	15.58%	13.03%	15.72%	17.19%	18.29%	17.42%	18.50%	14.36%	17.01%	16.50%	12.62%	15.37%	12.30%	12.46%	6.34%	16.90%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2936	64	77	60	93	66	55	61	61	54	81	60	30	47	76	76	61	70	38	57	69	48	69	79	32	64	78	49	41	64	78	83	69	55	56	62	87	82	53	56	62	73	62	47	61	46	60	37	27									
		10.62%	9.62%	8.93%	11.76%	14.07%	9.59%	9.80%	9.21%	11.44%	10.93%	13.24%	9.23%	7.13%	8.16%	10.61%	11.14%	12.53%	10.43%	8.74%	10.82%	10.34%	10.81%	12.52%	12.56%	9.20%	11.49%	10.74%	9.16%	8.78%	10.81%	10.74%	11.22%	12.02%	14.29%	11.76%	9.28%	10.92%	14.02%	8.88%	10.79%	10.35%	10.70%	10.23%	11.41%	9.67%	9.43%	10.38%	10.19%	9.31%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	92	2	4	0	3	3	2	4	2	3	1	1	1	1	1	2	2	3	0	3	3	3	1	1	0	1	2	1	0	0	1	3	3	0	3	3	3	1	6	0	3	2	3	2	2	2	3	2	0									
		0.33%	0.30%	0.46%	0.00%	0.45%	0.44%	0.36%	0.60%	0.38%	0.61%	0.16%	0.15%	0.24%	0.17%	0.14%	0.29%	0.41%	0.45%	0.00%	0.57%	0.45%	0.68%	0.18%	0.16%	0.00%	0.18%	0.28%	0.19%	0.00%	0.00%	0.14%	0.41%	0.52%	0.00%	0.63%	0.45%	0.38%	0.17%	1.01%	0.00%	0.50%	0.29%	0.50%	0.49%	0.32%	0.41%	0.52%	0.55%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1263	32	39	21	25	39	34	33	28	24	23	34	17	27	36	34	20	24	17	24	25	15	26	24	20	18	48	16	24	22	35	31	27	18	28	32	34	29	23	23	29	27	28	16	32	31	28	20	3									
		4.57%	4.81%	4.52%	4.12%	3.78%	5.67%	6.06%	4.98%	5.25%	4.86%	3.76%	5.23%	4.04%	4.69%	5.03%	4.99%	4.11%	3.58%	3.91%	4.55%	3.75%	3.38%	4.72%	3.82%	5.75%	3.23%	6.61%	2.99%	5.14%	3.72%	4.82%	4.19%	4.70%	4.68%	5.88%	4.79%	4.27%	4.96%	3.85%	4.43%	4.84%	3.96%	4.62%	3.88%	5.07%	6.35%	4.84%	5.51%	1.03%									
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
