Выборы Президента Российской Федерации																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Невская №24																																																																																					
																																																																																					
Итоги голосования 																																																																																					
																																																																																					
		Сумма	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806					
11	Число полученных открепительных  удостоверений	5950	110	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	0	0	0	0	80	80	80	80					
12	Число выданных открепительных удостоверений	1615	97	32	11	30	27	22	21	18	24	25	17	16	30	20	24	27	23	13	14	20	24	21	21	26	28	15	30	21	21	23	17	24	21	18	19	25	22	12	14	22	30	19	24	14	26	26	22	12	28	22	20	14	31	29	11	13	16	17	27	8	10	28	22	14	12	20	22	27	12	16	0	0	0	0	22	19	20	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1465	29	24	27	15	22	8	8	8	28	10	58	34	15	32	13	14	18	24	8	18	10	14	19	22	16	18	19	16	7	8	76	27	7	26	25	15	17	10	9	19	16	13	14	12	20	16	9	21	20	15	6	5	14	9	6	22	6	1	19	6	12	28	17	12	21	15	9	13	19	13	214	3	1	0	12	11	13	9					
14	Число неиспользованных открепительных удостоверений	4335	13	48	69	50	53	58	59	62	56	55	63	64	50	60	56	53	57	67	66	60	56	59	59	54	52	65	50	59	59	57	63	56	59	62	61	55	58	68	66	58	50	61	56	66	54	54	58	68	52	58	60	66	49	51	69	67	64	63	53	72	70	52	58	66	68	60	58	53	68	64	0	0	0	0	58	61	60	53					
15	"Число открепительных удостоверений, выданных в ТИК"	39	1	0	0	1	2	0	1	0	0	2	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	1	0	3	1	3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																					
18	. Глазьев Сергей Юрьевич	3109	37	44	42	58	41	33	42	42	51	43	36	37	26	35	42	34	42	34	40	46	37	43	42	45	35	44	38	28	38	44	33	60	32	37	42	38	41	33	42	38	35	35	64	46	70	39	35	41	58	53	43	33	43	39	41	28	47	40	53	25	38	38	35	60	40	37	55	35	47	34	29	4	3	0	49	47	40	55					
		3.53%	3.63%	3.45%	3.30%	4.76%	3.66%	2.75%	2.93%	3.30%	4.17%	3.36%	3.33%	3.18%	2.65%	3.43%	3.91%	3.72%	4.15%	3.36%	4.12%	4.35%	3.68%	4.08%	3.41%	3.58%	3.19%	3.18%	2.89%	2.78%	3.87%	3.87%	2.87%	4.63%	3.12%	3.73%	3.70%	3.34%	3.09%	2.91%	3.20%	3.17%	3.04%	2.80%	4.90%	3.67%	4.52%	2.84%	2.80%	2.63%	3.60%	4.24%	3.93%	3.19%	3.19%	2.91%	3.59%	3.16%	3.63%	3.28%	4.06%	2.71%	2.85%	3.06%	2.65%	4.16%	3.26%	3.56%	4.85%	3.24%	4.31%	3.84%	4.63%	3.81%	11.54%	0.00%	4.09%	4.02%	4.21%	4.26%					
19	. Малышкин Олег Александрович	808	8	14	7	8	9	16	16	22	15	10	9	13	8	11	7	4	9	10	7	8	9	12	13	5	8	8	13	14	11	9	9	16	5	10	15	11	18	13	16	8	10	7	15	9	9	7	5	17	19	9	8	16	13	14	9	11	11	15	15	5	9	17	12	11	9	4	13	16	15	8	3	1	0	1	12	5	6	8					
		0.92%	0.79%	1.10%	0.55%	0.66%	0.80%	1.33%	1.12%	1.73%	1.23%	0.78%	0.83%	1.12%	0.81%	1.08%	0.65%	0.44%	0.89%	0.99%	0.72%	0.76%	0.90%	1.14%	1.05%	0.40%	0.73%	0.58%	0.99%	1.39%	1.12%	0.79%	0.78%	1.23%	0.49%	1.01%	1.32%	0.97%	1.36%	1.15%	1.22%	0.67%	0.87%	0.56%	1.15%	0.72%	0.58%	0.51%	0.40%	1.09%	1.18%	0.72%	0.73%	1.55%	0.97%	1.04%	0.79%	1.24%	0.85%	1.23%	1.15%	0.54%	0.67%	1.37%	0.91%	0.76%	0.73%	0.38%	1.15%	1.48%	1.38%	0.90%	0.48%	0.95%	0.00%	2.86%	1.00%	0.43%	0.63%	0.62%					
20	. Миронов Сергей Михайлович	1349	17	17	19	25	22	15	24	19	20	23	19	9	12	15	17	7	14	15	20	16	17	14	19	22	14	21	23	14	14	21	26	18	24	18	16	23	25	11	14	19	18	18	16	20	21	20	18	26	35	19	23	18	17	12	20	10	30	26	20	7	16	19	21	14	11	20	13	17	24	11	10	1	0	2	13	20	11	14					
		1.53%	1.67%	1.33%	1.49%	2.05%	1.96%	1.25%	1.67%	1.49%	1.64%	1.80%	1.76%	0.77%	1.22%	1.47%	1.58%	0.77%	1.38%	1.48%	2.06%	1.51%	1.69%	1.33%	1.54%	1.75%	1.28%	1.52%	1.75%	1.39%	1.43%	1.85%	2.26%	1.39%	2.34%	1.81%	1.41%	2.02%	1.88%	0.97%	1.07%	1.59%	1.56%	1.44%	1.23%	1.60%	1.36%	1.45%	1.44%	1.67%	2.17%	1.52%	2.10%	1.74%	1.26%	0.90%	1.75%	1.13%	2.31%	2.13%	1.53%	0.76%	1.20%	1.53%	1.59%	0.97%	0.90%	1.92%	1.15%	1.57%	2.20%	1.24%	1.60%	0.95%	0.00%	5.71%	1.08%	1.71%	1.16%	1.08%					
21	. Путин Владимир Владимирович	68032	746	997	975	900	872	924	1113	1007	925	976	841	921	771	796	819	697	734	738	724	787	722	764	945	928	867	1089	1033	821	753	873	883	998	759	766	871	896	1036	898	1056	969	919	1006	981	986	1143	1092	952	1226	1229	957	821	769	1041	1066	894	690	993	936	1001	777	1083	979	1023	1119	1008	813	889	835	788	692	440	82	20	31	932	922	721	986					
		77.20%	73.28%	78.07%	76.65%	73.83%	77.79%	77.00%	77.67%	79.04%	75.63%	76.25%	77.87%	79.19%	78.51%	77.96%	76.19%	76.34%	72.60%	73.00%	74.49%	74.39%	71.84%	72.42%	76.64%	73.83%	78.96%	78.80%	78.61%	81.61%	76.76%	76.85%	76.72%	77.01%	73.90%	77.22%	76.67%	78.67%	78.01%	79.12%	80.55%	80.88%	79.71%	80.48%	75.11%	78.69%	73.79%	79.42%	76.04%	78.64%	76.29%	76.50%	74.98%	74.30%	77.28%	79.55%	78.28%	77.79%	76.62%	76.85%	76.76%	84.18%	81.18%	78.76%	77.38%	77.55%	82.15%	78.17%	78.46%	77.24%	72.29%	78.19%	70.29%	78.10%	76.92%	88.57%	77.73%	78.87%	75.97%	76.37%					
22	. Хакамада Ирина Муцуовна	4901	96	82	98	80	71	78	85	57	76	80	67	72	58	57	71	71	66	80	73	83	104	116	68	93	57	59	40	42	54	58	56	73	68	50	59	48	67	55	51	56	66	55	61	63	105	77	63	61	93	88	61	53	71	72	57	40	67	55	77	29	38	43	59	59	52	51	48	52	83	61	15	4	1	0	64	59	56	67					
		5.56%	9.43%	6.42%	7.70%	6.56%	6.33%	6.50%	5.93%	4.47%	6.21%	6.25%	6.20%	6.19%	5.91%	5.58%	6.60%	7.78%	6.53%	7.91%	7.51%	7.84%	10.35%	11.00%	5.52%	7.40%	5.19%	4.27%	3.04%	4.17%	5.50%	5.11%	4.87%	5.63%	6.62%	5.04%	5.19%	4.21%	5.05%	4.85%	3.89%	4.67%	5.72%	4.40%	4.67%	5.03%	6.78%	5.60%	5.03%	3.91%	5.77%	7.03%	5.57%	5.12%	5.27%	5.37%	4.99%	4.51%	5.17%	4.52%	5.90%	3.14%	2.85%	3.46%	4.46%	4.09%	4.24%	4.90%	4.24%	4.81%	7.61%	6.89%	2.40%	3.81%	3.85%	0.00%	5.34%	5.05%	5.90%	5.19%					
23	. Харитонов Николай Михайлович	6410	66	79	80	93	74	96	97	84	98	88	60	69	80	66	70	60	94	86	72	67	67	60	91	101	86	123	121	61	68	90	101	84	93	80	98	87	85	72	80	70	63	78	104	76	117	88	142	119	101	60	93	92	110	91	76	68	85	78	86	57	110	98	120	124	70	81	73	90	66	44	118	9	1	1	85	70	70	99					
		7.27%	6.48%	6.19%	6.29%	7.63%	6.60%	8.00%	6.77%	6.59%	8.01%	6.88%	5.56%	5.93%	8.15%	6.46%	6.51%	6.57%	9.30%	8.51%	7.41%	6.33%	6.67%	5.69%	7.38%	8.04%	7.83%	8.90%	9.21%	6.06%	6.93%	7.92%	8.77%	6.48%	9.06%	8.06%	8.63%	7.64%	6.40%	6.34%	6.10%	5.84%	5.46%	6.24%	7.96%	6.07%	7.55%	6.40%	11.34%	7.63%	6.27%	4.80%	8.49%	8.89%	8.17%	6.79%	6.65%	7.67%	6.56%	6.40%	6.60%	6.18%	8.25%	7.88%	9.08%	8.59%	5.70%	7.79%	6.44%	8.33%	6.06%	4.97%	18.85%	8.57%	3.85%	2.86%	7.09%	5.99%	7.38%	7.67%					
																																																																																					
24	Против всех	3141	43	41	43	52	31	35	49	35	36	47	42	37	23	38	44	31	43	42	30	47	45	44	54	52	22	35	41	22	37	39	38	44	43	30	30	32	48	50	44	36	39	49	61	46	82	49	36	63	66	62	40	46	41	35	42	39	54	64	47	21	32	42	50	50	30	30	39	30	57	30	7	4	1	0	40	40	44	58					
		3.56%	4.22%	3.21%	3.38%	4.27%	2.77%	2.92%	3.42%	2.75%	2.94%	3.67%	3.89%	3.18%	2.34%	3.72%	4.09%	3.40%	4.25%	4.15%	3.09%	4.44%	4.48%	4.17%	4.38%	4.14%	2.00%	2.53%	3.12%	2.19%	3.77%	3.43%	3.30%	3.40%	4.19%	3.02%	2.64%	2.81%	3.61%	4.41%	3.36%	3.01%	3.38%	3.92%	4.67%	3.67%	5.29%	3.56%	2.88%	4.04%	4.10%	4.96%	3.65%	4.44%	3.04%	2.61%	3.68%	4.40%	4.17%	5.25%	3.60%	2.28%	2.40%	3.38%	3.78%	3.47%	2.44%	2.88%	3.44%	2.78%	5.23%	3.39%	1.12%	3.81%	3.85%	0.00%	3.34%	3.42%	4.64%	4.49%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
