Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
"Наименование Избирательной комиссии:    г.Ростов-на-Дону, Железнодорожная"																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  1581	УИК  1582	УИК  1583	УИК  1584	УИК  1585	УИК  1586	УИК  1587	УИК  1588	УИК  1589	УИК  1590	УИК  1591	УИК  1592	УИК  1593	УИК  1594	УИК  1595	УИК  1596	УИК  1597	УИК  1598	УИК  1599	УИК  1600	УИК  1601	УИК  1602	УИК  1603	УИК  1604	УИК  1605	УИК  1606	УИК  1607	УИК  1608	УИК  1609	УИК  1610					
		0.49%	0.78%	0.37%	0.34%	0.34%	0.56%	0.34%	0.33%	0.44%	0.32%	0.86%	0.26%	0.32%	0.55%	0.70%	0.44%	0.80%	0.45%	0.31%	0.72%	0.81%	0.94%	0.40%	0.0%	0.83%	0.18%	0.20%	0.39%	0.41%	0.26%	0.83%					
27	"10. ""Аграрная партия России"""	416	17	15	17	7	24	5	13	12	27	13	18	16	11	21	6	8	18	10	20	13	21	17	10	5	10	11	18	11	11	11					
		1.27%	1.47%	1.87%	1.47%	0.80%	2.69%	0.57%	1.09%	1.33%	2.88%	1.12%	1.60%	1.31%	0.86%	1.65%	0.67%	0.80%	1.17%	1.05%	1.44%	1.05%	1.53%	1.38%	1.19%	0.59%	0.92%	1.12%	1.43%	0.90%	0.73%	2.29%					
28	"11. ""Истинные патриоты России"""	46	1	1	0	0	3	0	0	0	1	1	1	0	1	3	0	0	19	1	0	1	0	0	3	3	2	2	1	0	1	1					
		0.14%	0.08%	0.12%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.10%	0.08%	0.08%	0.0%	0.07%	0.23%	0.0%	0.0%	1.24%	0.10%	0.0%	0.08%	0.0%	0.0%	0.35%	0.35%	0.18%	0.20%	0.07%	0.0%	0.06%	0.20%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	365	18	5	14	8	7	8	6	12	24	12	10	11	9	23	6	10	10	6	9	20	19	17	17	10	14	13	14	14	10	9					
		1.12%	1.56%	0.62%	1.21%	0.92%	0.78%	0.92%	0.50%	1.33%	2.56%	1.04%	0.89%	0.90%	0.70%	1.81%	0.67%	1.01%	0.65%	0.63%	0.65%	1.62%	1.38%	1.38%	2.02%	1.18%	1.29%	1.32%	1.11%	1.15%	0.66%	1.87%					
30	"13. ""Демократическая партия России"""	62	2	3	1	4	0	1	2	1	3	1	3	2	2	1	0	1	2	1	3	6	4	1	3	5	1	1	0	2	5	1					
		0.19%	0.17%	0.37%	0.08%	0.46%	0.0%	0.11%	0.16%	0.11%	0.32%	0.08%	0.26%	0.16%	0.15%	0.07%	0.0%	0.10%	0.13%	0.10%	0.21%	0.48%	0.29%	0.08%	0.35%	0.59%	0.09%	0.10%	0.0%	0.16%	0.33%	0.20%					
31	"14. ""Великая Россия - Евразийский Союз"""	76	3	3	3	3	1	1	6	0	1	1	2	1	1	8	4	0	4	5	0	1	0	1	1	7	3	2	2	5	7	0					
		0.23%	0.26%	0.37%	0.26%	0.34%	0.11%	0.11%	0.50%	0.0%	0.10%	0.08%	0.17%	0.08%	0.07%	0.62%	0.44%	0.0%	0.26%	0.52%	0.0%	0.08%	0.0%	0.08%	0.11%	0.83%	0.27%	0.20%	0.15%	0.41%	0.46%	0.0%					
32	"15. ""Партия СЛОН"""	28	1	0	1	0	2	0	1	0	0	0	3	3	0	1	2	0	3	2	0	1	1	4	0	1	0	1	0	1	0	0					
		0.08%	0.08%	0.0%	0.08%	0.0%	0.22%	0.0%	0.08%	0.0%	0.0%	0.0%	0.26%	0.24%	0.0%	0.07%	0.22%	0.0%	0.19%	0.21%	0.0%	0.08%	0.07%	0.32%	0.0%	0.11%	0.0%	0.10%	0.0%	0.08%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3519	125	87	115	78	83	84	89	58	96	137	110	126	179	156	74	110	145	123	173	192	181	125	58	87	118	122	148	171	116	53					
		10.81%	10.85%	10.84%	10.0%	9.00%	9.31%	9.71%	7.49%	6.44%	10.26%	11.89%	9.83%	10.33%	14.10%	12.28%	8.26%	11.11%	9.47%	12.96%	12.51%	15.59%	13.21%	10.16%	6.91%	10.34%	10.87%	12.44%	11.82%	14.13%	7.71%	11.04%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	85	7	2	2	3	1	7	2	2	1	2	3	0	0	2	0	0	3	4	0	1	8	4	1	3	1	2	17	4	1	2					
		0.26%	0.60%	0.24%	0.17%	0.34%	0.11%	0.80%	0.16%	0.22%	0.10%	0.17%	0.26%	0.0%	0.0%	0.15%	0.0%	0.0%	0.19%	0.42%	0.0%	0.08%	0.58%	0.32%	0.11%	0.35%	0.09%	0.20%	1.35%	0.33%	0.06%	0.41%					
35	"18. ""ЛДПР"""	2430	98	103	86	80	76	72	73	69	77	82	44	70	84	68	82	51	81	88	86	78	68	65	90	84	81	63	145	124	126	36					
		7.46%	8.50%	12.84%	7.47%	9.23%	8.52%	8.32%	6.14%	7.66%	8.23%	7.11%	3.93%	5.74%	6.61%	5.35%	9.16%	5.15%	5.29%	9.27%	6.22%	6.33%	4.96%	5.28%	10.72%	9.98%	7.46%	6.42%	11.58%	10.24%	8.37%	7.5%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	486	21	10	19	22	15	15	15	8	15	16	12	24	12	21	24	15	0	14	22	25	30	12	12	19	0	23	19	12	24	10					
		1.49%	1.82%	1.24%	1.65%	2.54%	1.68%	1.73%	1.26%	0.88%	1.60%	1.38%	1.07%	1.96%	0.94%	1.65%	2.68%	1.51%	0.0%	1.47%	1.59%	2.03%	2.18%	0.97%	1.43%	2.25%	0.0%	2.34%	1.51%	0.99%	1.59%	2.08%					
37	"20. ""Политическая партия ""Единая Россия"""	12749	337	262	373	289	313	346	675	446	327	431	461	469	415	414	301	371	802	360	491	392	477	582	319	311	594	382	380	403	848	178					
		39.17%	29.25%	32.66%	32.43%	33.37%	35.12%	40.0%	56.86%	49.55%	34.97%	37.41%	41.19%	38.47%	32.70%	32.59%	33.63%	37.47%	52.38%	37.93%	35.52%	31.84%	34.81%	47.31%	38.02%	36.97%	54.74%	38.97%	30.35%	33.30%	56.38%	37.08%					
38	"21. ""Российская Конституционно-демократическая партия"""	46	0	2	2	2	2	0	3	0	3	1	0	0	3	3	1	1	1	3	1	1	3	2	3	1	0	2	0	3	3	0					
		0.14%	0.0%	0.24%	0.17%	0.23%	0.22%	0.0%	0.25%	0.0%	0.32%	0.08%	0.0%	0.0%	0.23%	0.23%	0.11%	0.10%	0.06%	0.31%	0.07%	0.08%	0.21%	0.16%	0.35%	0.11%	0.0%	0.20%	0.0%	0.24%	0.19%	0.0%					
39	"22. ""Развитие предпринимательства"""	70	5	3	1	2	2	1	4	0	3	5	2	2	0	4	1	5	0	3	3	1	4	4	2	1	2	3	2	2	1	2					
		0.21%	0.43%	0.37%	0.08%	0.23%	0.22%	0.11%	0.33%	0.0%	0.32%	0.43%	0.17%	0.16%	0.0%	0.31%	0.11%	0.50%	0.0%	0.31%	0.21%	0.08%	0.29%	0.32%	0.23%	0.11%	0.18%	0.30%	0.15%	0.16%	0.06%	0.41%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4223	161	101	203	123	117	106	106	121	114	138	179	177	195	217	135	129	167	109	211	175	174	119	114	94	103	141	169	144	126	55					
		12.97%	13.97%	12.59%	17.65%	14.20%	13.13%	12.25%	8.93%	13.44%	12.19%	11.97%	15.99%	14.52%	15.36%	17.08%	15.08%	13.03%	10.90%	11.48%	15.26%	14.21%	12.70%	9.67%	13.58%	11.17%	9.49%	14.38%	13.49%	11.90%	8.37%	11.45%					
																																					
41	Против всех	1557	74	45	70	34	53	37	35	36	34	65	36	34	54	82	43	53	51	14	76	54	73	42	57	42	43	48	101	73	56	42					
		4.78%	6.42%	5.61%	6.08%	3.92%	5.94%	4.27%	2.94%	4.0%	3.63%	5.64%	3.21%	2.78%	4.25%	6.45%	4.80%	5.35%	3.33%	1.47%	5.49%	4.38%	5.32%	3.41%	6.79%	4.99%	3.96%	4.89%	8.06%	6.03%	3.72%	8.75%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
