Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Всеволожская 																																																																																																		
																																																																																																		
Сводная таблица итогов голосования  по федеральному округу																																																																																																		
																																																																																																		
		Сумма	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2879	42	36	51	52	40	50	49	63	104	90	66	35	66	107	19	26	43	43	64	7	4	10	15	24	14	13	51	14	52	36	37	40	25	27	22	17	4	28	41	45	30	18	9	5	24	16	16	16	22	32	31	18	3	61	34	42	63	36	41	47	51	69	54	13	37	19	29	17	10	27	21	20	11	24	24	4	35	23	17	8	23	11	36	24	7	10	13	14	29	52	11					
		5.29%	6.88%	8.80%	6.28%	5.74%	4.72%	4.76%	5.14%	6.89%	10.59%	9.60%	7.89%	6.37%	6.0%	9.72%	5.09%	5.92%	5.75%	10.18%	4.92%	3.93%	2.35%	6.13%	6.32%	6.23%	3.43%	2.70%	5.18%	4.41%	6.33%	4.75%	4.96%	5.00%	3.61%	4.15%	3.96%	2.96%	3.07%	3.59%	5.00%	4.97%	7.46%	3.17%	2.52%	2.82%	4.13%	3.38%	7.61%	2.79%	3.34%	5.07%	6.17%	5.26%	1.44%	8.67%	6.51%	6.0%	6.20%	4.46%	6.46%	6.91%	8.29%	6.88%	4.86%	3.96%	7.69%	3.29%	3.63%	5.15%	2.32%	3.62%	3.17%	3.24%	2.53%	3.36%	4.75%	1.80%	4.92%	3.46%	2.16%	2.14%	6.38%	3.87%	6.48%	4.06%	3.18%	3.33%	3.08%	4.71%	3.61%	6.96%	11.22%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2058	17	15	29	29	34	52	26	21	25	18	15	9	66	28	23	13	26	4	31	9	2	4	10	16	18	13	35	16	46	30	44	17	59	71	60	62	3	32	32	41	22	30	20	9	17	14	6	14	27	24	16	9	5	20	13	19	27	12	24	28	18	41	50	15	10	24	29	14	15	12	53	78	13	18	17	9	17	10	23	10	19	5	9	7	7	9	16	7	21	19	6					
		3.78%	2.78%	3.66%	3.57%	3.20%	4.01%	4.95%	2.72%	2.29%	2.54%	1.92%	1.79%	1.63%	6.0%	2.54%	6.16%	2.96%	3.48%	0.94%	2.38%	5.05%	1.17%	2.45%	4.21%	4.15%	4.42%	2.70%	3.56%	5.04%	5.60%	3.96%	5.90%	2.12%	8.52%	10.92%	10.81%	10.82%	2.30%	4.10%	3.90%	4.53%	5.47%	5.29%	5.60%	5.08%	2.93%	2.95%	2.85%	2.44%	4.10%	3.80%	3.18%	2.63%	2.41%	2.84%	2.49%	2.71%	2.66%	1.48%	3.78%	4.11%	2.92%	4.09%	4.50%	4.57%	2.07%	4.16%	3.63%	4.24%	3.48%	1.61%	8.01%	12.66%	2.99%	2.52%	3.36%	4.05%	2.39%	1.50%	2.92%	2.68%	5.27%	1.76%	1.62%	1.18%	3.18%	3.0%	3.80%	2.35%	2.61%	2.54%	6.12%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2680	43	33	56	53	34	57	60	70	53	71	68	31	66	92	17	30	46	21	110	10	1	12	10	10	12	18	24	16	35	30	29	41	33	24	10	21	8	27	30	22	19	15	3	5	15	13	6	14	22	23	17	18	7	70	32	36	75	55	42	49	36	56	70	18	16	40	34	9	9	26	30	29	6	15	17	6	29	17	41	13	21	8	19	26	7	16	8	12	42	29	5					
		4.93%	7.04%	8.06%	6.89%	5.85%	4.01%	5.42%	6.29%	7.65%	5.39%	7.57%	8.13%	5.64%	6.0%	8.36%	4.55%	6.83%	6.15%	4.97%	8.46%	5.61%	0.58%	7.36%	4.21%	2.59%	2.94%	3.75%	2.44%	5.04%	4.26%	3.96%	3.89%	5.13%	4.76%	3.69%	1.80%	3.66%	6.15%	3.46%	3.66%	2.43%	4.72%	2.64%	0.84%	2.82%	2.58%	2.74%	2.85%	2.44%	3.34%	3.64%	3.38%	5.26%	3.38%	9.95%	6.13%	5.14%	7.38%	6.82%	6.62%	7.20%	5.85%	5.58%	6.30%	5.48%	3.32%	6.94%	4.26%	2.72%	2.09%	3.49%	4.53%	4.70%	1.38%	2.10%	3.36%	2.70%	4.08%	2.56%	5.22%	3.48%	5.83%	2.81%	3.42%	4.39%	3.18%	5.33%	1.90%	4.04%	5.23%	3.88%	5.10%					
22	"5. ""За Русь Святую"""	334	3	5	6	3	2	6	3	3	4	3	2	3	9	2	1	3	1	4	11	0	1	0	3	2	1	4	2	1	2	4	5	8	11	0	3	3	1	3	8	10	4	8	3	1	2	5	0	7	5	1	0	3	2	0	2	1	7	6	10	8	2	9	7	2	7	1	5	5	3	1	3	2	4	5	2	2	4	5	9	2	2	0	3	7	0	3	6	2	4	6	0					
		0.61%	0.49%	1.22%	0.73%	0.33%	0.23%	0.57%	0.31%	0.32%	0.40%	0.32%	0.23%	0.54%	0.81%	0.18%	0.26%	0.68%	0.13%	0.94%	0.84%	0.0%	0.58%	0.0%	1.26%	0.51%	0.24%	0.83%	0.20%	0.31%	0.24%	0.52%	0.67%	1.00%	1.58%	0.0%	0.54%	0.52%	0.76%	0.38%	0.97%	1.10%	0.99%	1.41%	0.84%	0.56%	0.34%	1.05%	0.0%	1.22%	0.75%	0.15%	0.0%	0.87%	0.96%	0.0%	0.38%	0.14%	0.68%	0.74%	1.57%	1.17%	0.32%	0.89%	0.63%	0.60%	1.45%	0.17%	0.62%	1.51%	0.69%	0.13%	0.45%	0.32%	0.92%	0.70%	0.39%	0.90%	0.56%	0.75%	1.14%	0.53%	0.55%	0.0%	0.54%	1.18%	0.0%	1.0%	1.42%	0.67%	0.49%	0.80%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	182	0	1	1	2	4	0	4	1	4	2	1	1	0	5	1	1	1	0	2	2	0	0	2	1	2	3	4	1	0	4	3	3	4	1	0	0	0	3	1	8	0	2	1	1	3	3	1	1	1	2	1	0	1	3	1	5	1	4	0	7	9	4	5	2	0	0	1	2	4	2	0	4	8	3	0	4	3	6	0	0	2	1	0	0	0	1	2	1	2	5	0					
		0.33%	0.0%	0.24%	0.12%	0.22%	0.47%	0.0%	0.41%	0.10%	0.40%	0.21%	0.11%	0.18%	0.0%	0.45%	0.26%	0.22%	0.13%	0.0%	0.15%	1.12%	0.0%	0.0%	0.84%	0.25%	0.49%	0.62%	0.40%	0.31%	0.0%	0.52%	0.40%	0.37%	0.57%	0.15%	0.0%	0.0%	0.0%	0.38%	0.12%	0.88%	0.0%	0.35%	0.28%	0.56%	0.51%	0.63%	0.47%	0.17%	0.15%	0.31%	0.19%	0.0%	0.48%	0.42%	0.19%	0.71%	0.09%	0.49%	0.0%	1.02%	1.46%	0.39%	0.45%	0.60%	0.0%	0.0%	0.12%	0.60%	0.93%	0.26%	0.0%	0.64%	1.84%	0.42%	0.0%	1.80%	0.42%	0.90%	0.0%	0.0%	0.55%	0.35%	0.0%	0.0%	0.0%	0.33%	0.47%	0.33%	0.24%	0.66%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	463	5	1	6	7	7	8	9	7	6	7	2	6	6	16	4	5	1	6	12	2	1	0	0	16	5	1	8	2	6	5	4	5	7	4	1	5	2	4	1	7	7	1	0	3	4	6	3	2	1	7	6	3	1	3	4	5	12	8	0	4	8	7	10	4	14	1	9	1	2	10	5	4	3	8	7	1	12	9	4	1	5	2	9	7	1	2	4	4	3	19	0					
		0.85%	0.81%	0.24%	0.73%	0.77%	0.82%	0.76%	0.94%	0.76%	0.61%	0.74%	0.23%	1.09%	0.54%	1.45%	1.07%	1.13%	0.13%	1.42%	0.92%	1.12%	0.58%	0.0%	0.0%	4.15%	1.22%	0.20%	0.81%	0.63%	0.73%	0.66%	0.53%	0.62%	1.01%	0.61%	0.18%	0.87%	1.53%	0.51%	0.12%	0.77%	1.74%	0.17%	0.0%	1.69%	0.68%	1.26%	1.42%	0.34%	0.15%	1.10%	1.19%	0.87%	0.48%	0.42%	0.76%	0.71%	1.18%	0.99%	0.0%	0.58%	1.30%	0.69%	0.90%	1.21%	2.91%	0.17%	1.12%	0.30%	0.46%	1.34%	0.75%	0.64%	0.69%	1.12%	1.38%	0.45%	1.69%	1.35%	0.50%	0.26%	1.38%	0.70%	1.62%	1.18%	0.45%	0.66%	0.95%	1.34%	0.37%	2.54%	0.0%					
25	"8. ""Народно-республиканская партия России"""	58	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	3	2	2	0	0	3	3	1	3	0	0	0	0	0	0	0	1	2	1	0	0	0	1	1	2	0	1	0	2	1	1	1	0	2	2	0	1	0	1	3	0	0	2	0	1	3	0	0	0	0	1	0	0	0	0	1	1	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.22%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.20%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.46%	0.36%	0.34%	0.0%	0.0%	0.36%	0.33%	0.24%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.39%	0.29%	0.0%	0.0%	0.0%	0.14%	0.09%	0.24%	0.0%	0.14%	0.0%	0.19%	0.09%	0.30%	0.20%	0.0%	0.25%	0.60%	0.0%	0.13%	0.0%	0.16%	0.69%	0.0%	0.0%	0.90%	0.0%	0.15%	0.38%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.12%	0.13%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	291	2	1	2	2	8	4	6	4	3	5	5	6	4	5	2	5	3	0	9	0	1	2	2	5	1	0	6	4	5	1	8	6	1	0	0	2	1	9	0	1	2	4	1	0	3	4	0	3	2	1	2	2	0	0	5	3	9	7	6	8	4	2	2	1	10	5	6	1	0	8	0	0	1	7	3	0	7	1	2	2	2	3	3	2	2	2	2	1	9	9	1					
		0.53%	0.32%	0.24%	0.24%	0.22%	0.94%	0.38%	0.62%	0.43%	0.30%	0.53%	0.59%	1.09%	0.36%	0.45%	0.53%	1.13%	0.40%	0.0%	0.69%	0.0%	0.58%	1.22%	0.84%	1.29%	0.24%	0.0%	0.61%	1.26%	0.60%	0.13%	1.07%	0.75%	0.14%	0.0%	0.0%	0.34%	0.76%	1.15%	0.0%	0.11%	0.49%	0.70%	0.28%	0.0%	0.51%	0.84%	0.0%	0.52%	0.30%	0.15%	0.39%	0.58%	0.0%	0.0%	0.95%	0.42%	0.88%	0.86%	0.94%	1.17%	0.65%	0.19%	0.18%	0.30%	2.07%	0.86%	0.75%	0.30%	0.0%	1.07%	0.0%	0.0%	0.23%	0.98%	0.59%	0.0%	0.98%	0.15%	0.25%	0.53%	0.55%	1.05%	0.54%	0.33%	0.90%	0.66%	0.47%	0.33%	1.12%	1.20%	1.02%					
27	"10. ""Аграрная партия России"""	1405	5	4	21	28	18	32	24	21	18	18	9	28	27	19	3	10	16	8	19	7	5	1	14	3	12	13	42	14	22	14	26	19	21	11	7	9	2	12	8	9	32	89	46	7	22	10	9	29	29	20	5	9	9	9	10	17	24	20	16	19	18	28	19	9	4	11	4	16	13	11	22	14	7	19	8	6	8	5	12	7	16	8	11	11	4	20	18	5	22	16	3					
		2.58%	0.81%	0.97%	2.58%	3.09%	2.12%	3.04%	2.51%	2.29%	1.83%	1.92%	1.07%	5.10%	2.45%	1.72%	0.80%	2.27%	2.14%	1.89%	1.46%	3.93%	2.94%	0.61%	5.90%	0.77%	2.94%	2.70%	4.27%	4.41%	2.67%	1.84%	3.48%	2.37%	3.03%	1.69%	1.26%	1.57%	1.53%	1.54%	0.97%	0.99%	7.96%	15.69%	12.88%	3.95%	3.79%	2.11%	4.28%	5.06%	4.40%	3.16%	0.99%	2.63%	4.34%	1.28%	1.91%	2.42%	2.36%	2.48%	2.52%	2.79%	2.92%	2.79%	1.71%	2.74%	0.83%	1.90%	0.50%	4.84%	3.02%	1.47%	3.32%	2.27%	1.61%	2.66%	1.58%	2.70%	1.12%	0.75%	1.52%	1.87%	4.44%	2.81%	1.98%	1.86%	1.81%	6.66%	4.27%	1.68%	2.73%	2.14%	3.06%					
28	"11. ""Истинные патриоты России"""	56	0	0	0	0	0	0	0	1	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	2	1	1	0	0	0	2	5	1	0	1	8	0	0	2	2	0	0	1	1	1	1	0	0	0	0	2	1	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.11%	0.36%	0.09%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.12%	0.0%	0.0%	0.12%	0.28%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.11%	0.24%	0.17%	0.28%	0.0%	0.0%	0.0%	0.0%	0.17%	0.15%	0.0%	0.0%	0.29%	0.48%	0.0%	0.19%	0.14%	0.09%	0.12%	0.0%	0.0%	0.0%	0.0%	0.18%	0.30%	0.20%	0.0%	0.0%	0.0%	0.46%	0.67%	0.15%	0.0%	0.23%	1.12%	0.0%	0.0%	0.28%	0.30%	0.0%	0.0%	0.27%	0.35%	0.18%	0.16%	0.0%	0.0%	0.0%	0.0%	0.24%	0.13%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	795	2	7	9	15	16	11	18	9	12	18	16	6	17	12	1	7	13	5	15	4	1	0	3	5	1	2	9	6	5	23	21	14	14	12	4	3	3	10	7	7	6	9	9	4	5	3	8	4	5	3	5	10	2	18	6	14	16	14	5	15	10	26	17	5	13	5	16	6	7	14	8	11	8	17	5	2	8	7	9	4	10	5	10	3	4	8	1	4	12	13	3					
		1.46%	0.32%	1.71%	1.10%	1.65%	1.89%	1.04%	1.88%	0.98%	1.22%	1.92%	1.91%	1.09%	1.54%	1.09%	0.26%	1.59%	1.74%	1.18%	1.15%	2.24%	0.58%	0.0%	1.26%	1.29%	0.24%	0.41%	0.91%	1.89%	0.60%	3.03%	2.81%	1.75%	2.02%	1.84%	0.72%	0.52%	2.30%	1.28%	0.85%	0.77%	1.49%	1.58%	2.52%	2.25%	0.86%	0.63%	3.80%	0.69%	0.75%	0.47%	0.99%	2.92%	0.96%	2.56%	1.14%	2.0%	1.57%	1.73%	0.78%	2.20%	1.62%	2.59%	1.53%	1.52%	2.70%	0.86%	2.00%	1.81%	1.62%	1.88%	1.21%	1.78%	1.84%	2.38%	0.99%	0.90%	1.12%	1.05%	1.14%	1.07%	2.77%	1.76%	1.80%	0.50%	1.81%	2.66%	0.23%	1.34%	1.49%	1.74%	3.06%					
30	"13. ""Демократическая партия России"""	106	1	0	1	0	2	2	1	2	1	2	0	0	0	1	2	1	2	0	1	0	1	0	0	1	1	2	2	0	4	2	1	1	1	0	2	3	1	1	3	5	1	1	2	0	0	0	1	2	2	2	2	0	2	3	1	0	3	2	0	2	2	0	0	0	0	0	0	1	3	2	2	1	0	0	0	0	1	2	3	0	1	1	3	0	0	1	3	0	2	2	0					
		0.19%	0.16%	0.0%	0.12%	0.0%	0.23%	0.19%	0.10%	0.21%	0.10%	0.21%	0.0%	0.0%	0.0%	0.09%	0.53%	0.22%	0.26%	0.0%	0.07%	0.0%	0.58%	0.0%	0.0%	0.25%	0.24%	0.41%	0.20%	0.0%	0.48%	0.26%	0.13%	0.12%	0.14%	0.0%	0.36%	0.52%	0.76%	0.12%	0.36%	0.55%	0.24%	0.17%	0.56%	0.0%	0.0%	0.0%	0.47%	0.34%	0.30%	0.31%	0.39%	0.0%	0.96%	0.42%	0.19%	0.0%	0.29%	0.24%	0.0%	0.29%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.69%	0.26%	0.30%	0.16%	0.0%	0.0%	0.0%	0.0%	0.14%	0.30%	0.38%	0.0%	0.27%	0.35%	0.54%	0.0%	0.0%	0.33%	0.71%	0.0%	0.24%	0.26%	0.0%					
