Выборы Президента Российской Федерации																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Якутская городская																																																																																																		
																																																																																																		
Итоги голосования 																																																																																																		
																																																																																																		
		Сумма	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794					
11	Число полученных открепительных  удостоверений	2515	20	20	50	15	20	20	20	30	40	30	30	30	20	40	30	40	40	70	40	40	30	30	10	30	30	40	25	15	40	20	10	20	30	50	40	40	30	50	20	30	20	20	20	10	30	40	20	20	20	30	30	20	40	30	40	40	40	20	20	30	20	10	20	20	20	20	30	40	20	20	20	20	50	10	30	20	20	30	10	20	20	20	30	50	10	10	20	30	20	40	40					
12	Число выданных открепительных удостоверений	1509	17	6	46	10	16	9	11	18	28	16	20	23	11	28	30	24	29	16	32	24	18	20	5	27	26	24	11	9	37	10	2	12	26	36	21	20	13	28	9	19	7	10	7	1	12	32	5	7	11	18	25	10	35	21	18	20	16	11	7	15	4	4	9	9	8	8	19	33	10	17	15	15	41	2	24	3	12	11	3	6	3	11	14	43	10	2	7	26	11	25	29					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2061	8	15	34	17	24	35	22	17	29	21	42	17	46	26	42	21	32	41	31	23	26	26	4	33	33	57	17	83	27	80	20	29	49	18	41	21	30	35	21	51	14	15	12	15	19	30	9	5	22	24	31	14	42	41	36	25	27	18	12	14	7	14	13	5	11	23	15	23	12	10	8	9	17	2	13	7	7	35	6	8	9	2	5	3	10	3	6	25	51	24	9					
14	Число неиспользованных открепительных удостоверений	1006	3	14	4	5	4	11	9	12	12	14	10	7	9	12	0	16	11	54	8	16	12	10	5	3	4	16	14	6	3	10	8	8	4	14	19	20	17	22	11	11	13	10	13	9	18	8	15	13	9	12	5	10	5	9	22	20	24	9	13	15	16	6	11	11	12	12	11	7	10	3	5	5	9	8	6	17	8	19	7	14	17	9	16	7	0	8	13	4	9	15	11					
15	"Число открепительных удостоверений, выданных в ТИК"	54	0	0	1	0	1	0	0	0	0	1	0	1	1	2	0	0	1	0	1	2	0	2	0	0	0	7	3	0	0	0	0	0	1	0	1	1	3	1	2	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	3	0	0	1	0	1	0	0	0	0	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																		
18	. Глазьев Сергей Юрьевич	3852	26	27	47	21	18	28	60	59	55	48	69	55	72	100	60	61	71	42	45	80	65	52	17	36	40	72	54	44	77	44	14	36	51	35	64	80	48	73	34	59	46	44	33	11	62	36	16	33	15	46	52	29	69	54	46	65	78	41	40	57	37	14	35	16	31	37	64	64	25	29	11	20	64	16	48	21	9	46	8	15	19	24	25	27	1	5	27	39	36	59	68					
		3.15%	1.96%	2.81%	2.01%	2.64%	2.22%	2.55%	4.09%	3.87%	3.49%	3.77%	3.70%	3.12%	4.09%	4.18%	3.25%	3.83%	4.28%	1.91%	2.36%	4.92%	4.13%	3.52%	3.76%	1.94%	2.87%	4.20%	3.71%	3.38%	4.68%	3.02%	2.47%	3.12%	2.92%	2.44%	4.06%	4.33%	3.55%	3.51%	2.78%	2.59%	4.16%	3.82%	3.12%	2.14%	3.73%	2.85%	1.98%	3.85%	1.38%	3.48%	4.07%	2.61%	3.79%	3.38%	2.69%	3.68%	3.76%	3.16%	3.42%	3.85%	3.97%	2.01%	2.11%	2.74%	3.18%	2.75%	3.25%	3.50%	2.95%	2.53%	3.68%	1.88%	3.10%	3.25%	2.74%	2.06%	1.88%	2.17%	2.15%	1.74%	2.05%	2.68%	2.41%	2.15%	0.24%	2.79%	2.50%	2.06%	3.13%	3.19%	4.23%					
19	. Малышкин Олег Александрович	1852	24	20	12	14	11	14	22	22	29	14	37	43	22	35	28	33	18	8	21	15	16	17	15	12	17	15	22	13	24	23	12	11	20	8	18	23	14	21	14	26	20	22	33	8	24	22	14	22	16	23	18	15	12	27	34	23	19	12	29	26	17	18	39	10	22	31	38	46	28	29	9	21	15	7	47	26	4	53	12	25	11	16	12	3	2	1	20	36	24	19	9					
		1.51%	1.81%	2.08%	0.51%	1.76%	1.35%	1.27%	1.50%	1.44%	1.84%	1.10%	1.99%	2.44%	1.25%	1.46%	1.52%	2.07%	1.08%	0.36%	1.10%	0.92%	1.02%	1.15%	3.32%	0.65%	1.22%	0.88%	1.51%	1.00%	1.46%	1.58%	2.12%	0.95%	1.15%	0.56%	1.14%	1.24%	1.03%	1.01%	1.14%	1.14%	1.81%	1.91%	3.12%	1.55%	1.45%	1.74%	1.73%	2.56%	1.47%	1.74%	1.41%	1.35%	0.66%	1.69%	1.99%	1.30%	0.92%	0.92%	2.48%	1.76%	1.82%	2.59%	2.35%	1.72%	2.25%	2.30%	1.93%	2.51%	3.30%	2.53%	3.01%	1.98%	0.73%	1.42%	2.68%	2.55%	0.84%	2.50%	3.23%	2.89%	1.19%	1.79%	1.15%	0.24%	0.48%	0.56%	1.85%	1.90%	2.09%	1.03%	0.56%					
20	. Миронов Сергей Михайлович	898	7	3	14	5	7	7	9	7	15	14	10	8	14	17	15	20	12	20	15	10	13	10	3	13	15	11	17	8	11	12	4	12	10	15	17	18	14	13	6	24	6	14	9	4	16	14	2	3	10	11	10	12	12	9	13	8	16	8	7	11	7	5	11	8	3	4	19	17	9	11	1	3	17	6	9	4	5	8	2	3	7	3	4	8	1	2	7	8	7	20	9					
		0.73%	0.53%	0.31%	0.60%	0.63%	0.86%	0.64%	0.61%	0.46%	0.95%	1.10%	0.54%	0.45%	0.79%	0.71%	0.81%	1.26%	0.72%	0.91%	0.79%	0.62%	0.83%	0.68%	0.66%	0.70%	1.07%	0.64%	1.17%	0.62%	0.67%	0.82%	0.71%	1.04%	0.57%	1.04%	1.08%	0.97%	1.03%	0.63%	0.49%	1.05%	0.54%	1.22%	0.85%	0.78%	0.96%	1.11%	0.25%	0.35%	0.92%	0.83%	0.78%	1.08%	0.66%	0.56%	0.76%	0.45%	0.77%	0.62%	0.60%	0.74%	0.75%	0.72%	0.66%	1.37%	0.31%	0.30%	0.96%	0.93%	1.06%	0.96%	0.33%	0.28%	0.82%	1.22%	0.51%	0.39%	1.05%	0.38%	0.54%	0.35%	0.75%	0.33%	0.38%	0.64%	0.24%	1.12%	0.65%	0.42%	0.61%	1.08%	0.56%					
21	. Путин Владимир Владимирович	78391	979	624	1668	521	486	710	888	983	945	774	1167	1212	1063	1389	1074	900	939	1516	1276	864	843	892	313	1174	831	906	793	797	932	906	367	736	1009	920	836	1087	797	1270	741	1463	701	731	705	361	1066	853	558	610	777	778	798	743	1025	967	1226	1124	1272	828	774	964	693	523	1236	399	678	921	1333	1245	584	840	217	856	1167	375	1207	767	274	1491	271	620	706	669	828	769	317	118	720	1313	746	1160	896					
		64.10%	73.94%	64.86%	71.19%	65.45%	59.85%	64.60%	60.53%	64.54%	59.96%	60.85%	62.64%	68.82%	60.33%	58.07%	58.24%	56.50%	56.57%	68.94%	67.05%	53.14%	53.59%	60.43%	69.25%	63.43%	59.53%	52.86%	54.50%	61.31%	56.66%	62.18%	64.84%	63.83%	57.82%	64.02%	53.08%	58.82%	58.91%	61.09%	60.59%	64.19%	63.44%	63.51%	66.64%	70.10%	64.22%	67.64%	69.06%	71.10%	71.42%	58.81%	62.49%	66.82%	56.26%	60.55%	71.82%	63.57%	61.33%	63.79%	66.15%	65.14%	74.36%	75.14%	74.41%	68.44%	69.47%	68.42%	67.66%	68.03%	68.87%	73.23%	72.58%	80.53%	56.54%	76.06%	68.93%	75.34%	57.32%	70.33%	72.85%	71.76%	76.08%	74.67%	79.69%	61.27%	76.76%	65.92%	66.54%	69.40%	64.93%	62.67%	55.79%					
22	. Хакамада Ирина Муцуовна	17380	128	95	313	119	165	175	204	216	246	190	283	220	315	468	321	260	297	372	331	346	320	239	48	319	278	343	275	225	309	217	60	183	346	236	347	326	234	315	163	323	157	154	119	54	212	155	118	87	138	250	166	150	317	248	170	246	351	185	151	177	81	58	147	69	119	123	181	156	75	84	10	34	355	32	183	74	98	180	31	78	40	56	55	142	20	18	83	234	148	283	358					
		14.21%	9.67%	9.88%	13.36%	14.95%	20.32%	15.92%	13.91%	14.18%	15.61%	14.94%	15.19%	12.49%	17.88%	19.57%	17.41%	16.32%	17.89%	16.92%	17.39%	21.28%	20.34%	16.19%	10.62%	17.23%	19.91%	20.01%	18.90%	17.31%	18.78%	14.89%	10.60%	15.87%	19.83%	16.42%	22.03%	17.64%	17.29%	15.15%	13.33%	14.17%	14.21%	13.38%	11.25%	10.49%	12.77%	12.29%	14.60%	10.14%	12.68%	18.90%	13.00%	13.49%	17.40%	15.53%	9.96%	13.91%	16.92%	14.25%	12.91%	11.96%	8.69%	8.33%	8.85%	11.84%	12.19%	9.14%	9.19%	8.52%	8.84%	7.32%	3.34%	3.20%	17.20%	6.49%	10.45%	7.27%	20.50%	8.49%	8.33%	9.03%	4.31%	6.25%	5.29%	11.31%	4.84%	10.06%	7.67%	12.37%	12.88%	15.29%	22.29%					
23	. Харитонов Николай Михайлович	12343	104	141	146	59	67	106	177	147	181	142	180	131	169	231	213	202	185	119	116	204	215	165	41	160	140	264	182	142	192	160	71	122	198	149	179	198	152	246	171	225	104	102	91	40	149	108	46	61	65	138	135	117	271	206	127	171	241	136	97	154	49	46	114	53	75	137	208	187	76	82	34	62	306	30	168	79	62	146	37	68	106	85	93	254	59	18	143	150	122	189	154					
		10.09%	7.85%	14.66%	6.23%	7.41%	8.25%	9.65%	12.07%	9.65%	11.48%	11.16%	9.66%	7.44%	9.59%	9.66%	11.55%	12.68%	11.14%	5.41%	6.10%	12.55%	13.67%	11.18%	9.07%	8.64%	10.03%	15.40%	12.51%	10.92%	11.67%	10.98%	12.54%	10.58%	11.35%	10.37%	11.37%	10.71%	11.23%	11.83%	13.98%	9.87%	9.41%	8.86%	8.60%	7.77%	8.98%	8.56%	5.69%	7.11%	5.97%	10.43%	10.57%	10.52%	14.87%	12.90%	7.44%	9.67%	11.62%	10.48%	8.29%	10.41%	5.26%	6.61%	6.86%	9.09%	7.68%	10.18%	10.56%	10.22%	8.96%	7.15%	11.37%	5.83%	14.83%	6.09%	9.59%	7.76%	12.97%	6.89%	9.95%	7.87%	11.42%	9.49%	8.95%	20.24%	14.29%	10.06%	13.22%	7.93%	10.62%	10.21%	9.59%					
																																																																																																		
24	Против всех	6135	39	40	116	48	42	48	87	78	75	74	90	80	77	129	115	113	109	114	90	93	93	83	11	115	61	86	99	61	91	76	28	41	100	65	99	97	83	122	79	136	59	63	60	27	97	50	42	29	51	62	77	43	105	75	75	113	80	74	52	72	32	28	69	21	40	76	101	98	42	53	10	47	85	12	63	35	20	134	5	46	23	35	18	40	8	11	59	83	47	102	103					
		5.02%	2.95%	4.16%	4.95%	6.03%	5.17%	4.37%	5.93%	5.12%	4.76%	5.82%	4.83%	4.54%	4.37%	5.39%	6.24%	7.09%	6.57%	5.18%	4.73%	5.72%	5.91%	5.62%	2.43%	6.21%	4.37%	5.02%	6.80%	4.69%	5.53%	5.22%	4.95%	3.56%	5.73%	4.52%	6.29%	5.25%	6.13%	5.87%	6.46%	5.97%	5.34%	5.47%	5.67%	5.24%	5.84%	3.97%	5.20%	3.38%	4.69%	4.69%	6.03%	3.87%	5.76%	4.70%	4.39%	6.39%	3.86%	5.70%	4.44%	4.86%	3.43%	4.02%	4.15%	3.60%	4.10%	5.65%	5.13%	5.36%	4.95%	4.62%	3.34%	4.42%	4.12%	2.43%	3.60%	3.44%	4.18%	6.32%	1.34%	5.32%	2.48%	3.91%	1.73%	3.19%	1.94%	6.15%	5.45%	4.39%	4.09%	5.51%	6.41%					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
