Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																				
Дата голосования: 04.12.2011																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №22																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2823	150	95	5	30	30	30	5	40	30	40	40	35	104	40	30	30	30	30	30	80	0	40	40	35	40	44	40	40	30	30	60	30	60	30	30	5	5	5	30	30	30	30	30	30	30	40	40	40	50	40	40	55	10	5	32	30	40	40	50	50	40	55	42	60	40	40	40	30	30	30	30	46	30	30	30	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2436	139	95	0	15	18	21	0	29	14	36	29	35	104	40	30	25	23	27	30	80	0	40	40	35	28	40	40	31	26	29	60	22	53	30	25	5	0	2	18	21	20	30	26	17	24	33	33	39	26	29	35	54	9	0	32	30	39	40	50	50	40	54	41	58	34	22	27	25	25	16	21	46	23	23	30	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2372	25	33	13	34	44	21	78	39	65	22	28	87	54	31	21	27	14	14	6	45	0	25	81	52	29	20	27	42	23	36	33	62	33	18	19	14	28	7	32	24	0	28	25	10	23	25	14	7	29	34	33	22	26	32	38	21	79	21	50	13	43	41	39	84	36	22	17	22	50	19	19	39	4	16	26	47	12					
14	Число погашенных неиспользованных открепительных удостоверений	387	11	0	5	15	12	9	5	11	16	4	11	0	0	0	0	5	7	3	0	0	0	0	0	0	12	4	0	9	4	1	0	8	7	0	5	0	5	3	12	9	10	0	4	13	6	7	7	1	24	11	5	1	1	5	0	0	1	0	0	0	0	1	1	2	6	18	13	5	5	14	9	0	7	7	0	5	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	176	0	1	0	3	3	5	0	0	0	2	5	2	5	1	1	1	3	0	3	5	0	4	3	4	4	5	1	11	2	0	4	4	4	2	3	0	0	0	3	2	3	3	0	0	4	1	2	1	1	3	4	0	0	0	3	2	3	1	2	4	1	3	3	5	5	4	3	3	2	1	4	2	2	4	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	29	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	15664	181	34	28	207	208	129	26	121	215	221	110	75	58	346	76	146	163	26	57	310	103	67	42	106	381	384	62	189	108	72	96	55	312	79	68	90	24	22	257	302	275	201	292	246	247	361	203	399	58	401	160	361	155	94	444	339	410	120	271	411	400	635	152	411	470	84	385	110	110	107	290	423	283	344	311	118	27					
		17.09%	16.98%	1.22%	11.62%	22.45%	22.88%	10.46%	16.05%	8.81%	23.65%	22.57%	9.02%	6.84%	4.44%	26.76%	8.18%	13.98%	19.22%	2.24%	5.09%	22.61%	6.08%	4.61%	2.58%	8.48%	25.52%	27.08%	3.87%	11.03%	9.11%	6.65%	6.04%	5.01%	21.05%	6.91%	5.84%	29.22%	28.57%	4.74%	19.16%	26.12%	25.82%	13.91%	25.93%	27.24%	22.98%	25.14%	16.60%	27.50%	3.74%	29.77%	10.01%	24.05%	21.20%	26.63%	28.72%	30.71%	28.31%	8.81%	18.45%	25.96%	28.88%	36.68%	10.22%	26.15%	26.30%	6.29%	27.27%	9.58%	9.31%	11.25%	25.92%	33.65%	27.40%	31.33%	32.46%	28.71%	21.26%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9104	291	350	20	68	56	139	30	97	81	107	115	129	186	141	131	122	107	152	194	173	136	204	164	150	105	113	167	119	82	129	192	130	186	68	125	35	13	43	72	70	66	82	81	53	72	126	99	105	120	86	81	122	21	24	115	104	130	144	206	174	115	135	185	173	189	187	154	180	115	92	82	108	139	103	81	45	18					
		9.93%	27.30%	12.52%	8.30%	7.38%	6.16%	11.27%	18.52%	7.06%	8.91%	10.93%	9.43%	11.76%	14.24%	10.90%	14.10%	11.69%	12.62%	13.08%	17.34%	12.62%	8.03%	14.04%	10.07%	12.00%	7.03%	7.97%	10.42%	6.95%	6.92%	11.91%	12.08%	11.85%	12.55%	5.94%	10.73%	11.36%	15.48%	9.27%	5.37%	6.06%	6.20%	5.67%	7.19%	5.87%	6.70%	8.77%	8.09%	7.24%	7.74%	6.38%	5.07%	8.13%	2.87%	6.80%	7.44%	9.42%	8.98%	10.57%	14.02%	10.99%	8.30%	7.80%	12.43%	11.01%	10.58%	14.01%	10.91%	15.68%	9.74%	9.67%	7.33%	8.59%	13.46%	9.38%	8.46%	10.95%	14.17%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1043	14	15	4	5	13	5	3	7	11	16	9	17	10	16	11	11	6	11	12	16	21	2	10	6	17	14	28	11	7	6	119	10	17	10	14	2	1	4	15	10	10	16	8	6	11	20	18	21	13	28	7	18	3	5	13	10	19	15	10	18	13	21	26	14	21	18	11	8	8	13	16	21	13	13	13	5	4					
		1.14%	1.31%	0.54%	1.66%	0.54%	1.43%	0.41%	1.85%	0.51%	1.21%	1.63%	0.74%	1.55%	0.77%	1.24%	1.18%	1.05%	0.71%	0.95%	1.07%	1.17%	1.24%	0.14%	0.61%	0.48%	1.14%	0.99%	1.75%	0.64%	0.59%	0.55%	7.48%	0.91%	1.15%	0.87%	1.20%	0.65%	1.19%	0.86%	1.12%	0.87%	0.94%	1.11%	0.71%	0.66%	1.02%	1.39%	1.47%	1.45%	0.84%	2.08%	0.44%	1.20%	0.41%	1.42%	0.84%	0.91%	1.31%	1.10%	0.68%	1.14%	0.94%	1.21%	1.75%	0.89%	1.18%	1.35%	0.78%	0.70%	0.68%	1.37%	1.43%	1.67%	1.26%	1.18%	1.36%	1.22%	3.15%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	11575	233	180	40	133	110	127	27	191	119	146	172	131	164	199	51	156	141	128	216	273	160	231	254	157	236	213	152	201	34	95	85	170	231	76	153	52	9	17	86	181	145	140	158	143	168	229	159	217	194	193	103	241	23	48	263	164	244	186	116	247	227	56	109	256	304	187	196	93	58	45	45	218	220	187	175	58	30					
		12.63%	21.86%	6.44%	16.60%	14.43%	12.10%	10.30%	16.67%	13.90%	13.09%	14.91%	14.10%	11.94%	12.56%	15.39%	5.49%	14.94%	16.63%	11.02%	19.30%	19.91%	9.45%	15.90%	15.59%	12.56%	15.81%	15.02%	9.49%	11.73%	2.87%	8.77%	5.35%	15.50%	15.59%	6.64%	13.13%	16.88%	10.71%	3.66%	6.41%	15.66%	13.62%	9.69%	14.03%	15.84%	15.63%	15.95%	13.00%	14.96%	12.52%	14.33%	6.44%	16.06%	3.15%	13.60%	17.01%	14.86%	16.85%	13.66%	7.90%	15.60%	16.39%	3.24%	7.33%	16.28%	17.01%	14.01%	13.88%	8.10%	4.91%	4.73%	4.02%	17.34%	21.30%	17.03%	18.27%	14.11%	23.62%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	9986	170	20	8	202	181	64	7	72	146	160	53	21	183	223	41	154	108	179	48	187	49	49	65	188	308	229	315	117	156	14	69	60	201	189	54	23	4	4	63	200	197	180	224	164	196	304	90	243	69	254	161	343	154	33	263	125	195	60	134	202	215	31	50	173	238	34	184	47	100	39	48	180	103	195	128	41	5					
		10.90%	15.95%	0.72%	3.32%	21.91%	19.91%	5.19%	4.32%	5.24%	16.06%	16.34%	4.34%	1.91%	14.01%	17.25%	4.41%	14.75%	12.74%	15.40%	4.29%	13.64%	2.89%	3.37%	3.99%	15.04%	20.63%	16.15%	19.66%	6.83%	13.16%	1.29%	4.34%	5.47%	13.56%	16.52%	4.64%	7.47%	4.76%	0.86%	4.70%	17.30%	18.50%	12.46%	19.89%	18.16%	18.23%	21.17%	7.36%	16.75%	4.45%	18.86%	10.07%	22.85%	21.07%	9.35%	17.01%	11.32%	13.47%	4.41%	9.12%	12.76%	15.52%	1.79%	3.36%	11.01%	13.32%	2.55%	13.03%	4.09%	8.47%	4.10%	4.29%	14.32%	9.97%	17.76%	13.36%	9.98%	3.94%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	41470	138	2175	140	287	316	747	64	854	324	307	738	702	672	342	604	435	314	627	574	387	1203	870	1062	623	403	437	830	1048	782	742	936	654	504	705	11	100	30	362	820	316	340	805	333	266	356	358	624	433	1073	357	1039	380	373	140	414	332	422	803	701	481	386	818	937	508	518	803	444	680	764	627	598	281	255	232	230	134	40					
		45.25%	12.95%	77.82%	58.09%	31.13%	34.76%	60.58%	39.51%	62.15%	35.64%	31.36%	60.49%	63.99%	51.45%	26.45%	65.02%	41.67%	37.03%	53.96%	51.30%	28.23%	71.06%	59.88%	65.19%	49.84%	26.99%	30.82%	51.81%	61.18%	65.99%	68.51%	58.87%	59.62%	34.01%	61.63%	0.94%	32.47%	35.71%	78.02%	61.15%	27.34%	31.92%	55.71%	29.57%	29.46%	33.12%	24.93%	51.02%	29.84%	69.23%	26.50%	64.98%	25.32%	51.03%	39.66%	26.78%	30.07%	29.14%	58.96%	47.72%	30.39%	27.87%	47.26%	62.97%	32.32%	28.99%	60.15%	31.44%	59.23%	64.69%	65.93%	53.44%	22.35%	24.69%	21.13%	24.01%	32.60%	31.50%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1577	26	21	0	6	10	10	2	5	4	10	11	12	17	9	6	7	4	12	7	15	13	3	12	9	13	4	16	8	5	13	81	8	19	7	722	3	0	5	10	8	18	10	17	9	4	14	13	14	6	14	18	16	2	5	10	14	9	7	10	22	14	13	12	20	19	6	8	10	8	15	28	7	7	9	8	5	3					
		1.72%	2.44%	0.75%	0.00%	0.65%	1.10%	0.81%	1.23%	0.36%	0.44%	1.02%	0.90%	1.09%	1.30%	0.70%	0.65%	0.67%	0.47%	1.03%	0.63%	1.09%	0.77%	0.21%	0.74%	0.72%	0.87%	0.28%	0.99%	0.47%	0.42%	1.20%	5.09%	0.73%	1.28%	0.61%	61.97%	0.97%	0.00%	1.08%	0.75%	0.69%	1.69%	0.69%	1.51%	0.99%	0.37%	0.97%	1.06%	0.96%	0.39%	1.04%	1.13%	1.07%	0.27%	1.42%	0.65%	1.27%	0.62%	0.51%	0.68%	1.39%	1.01%	0.75%	0.81%	1.27%	1.06%	0.45%	0.57%	0.87%	0.68%	1.58%	2.50%	0.56%	0.68%	0.82%	0.84%	1.22%	2.36%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
