Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																											
Дата голосования: 18.09.2016																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Баймакская																																																																																											
																																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																											
																																																																																											
		Сумма	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	308	18	10	10	10	10	10	10	10	4	0	5	1	2	3	10	5	1	6	1	1	0	2	2	1	5	1	1	5	6	1	3	6	3	1	3	2	1	2	2	2	2	7	17	1	1	2	1	1	5	2	2	5	15	3	1	1	5	1	1	1	1	10	4	2	2	1	2	5	2	2	10	2	1	1	1	1	3	5	1	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	225	13	4	7	10	7	7	7	1	4	0	3	0	0	3	10	5	1	6	1	0	0	1	0	0	5	1	1	5	6	1	1	5	3	1	2	1	0	1	2	2	2	7	11	0	1	2	0	1	5	0	0	5	15	1	0	0	1	0	1	0	1	10	4	2	1	1	2	5	2	0	9	0	0	0	1	0	3	5	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	104	1	0	3	6	2	3	0	2	1	0	2	0	0	0	1	1	2	1	1	0	0	2	2	0	0	0	0	5	1	2	0	0	1	1	1	0	3	3	0	1	1	2	5	0	0	3	1	3	4	3	1	0	0	1	0	0	1	1	0	1	3	4	0	1	2	2	1	1	2	1	1	0	0	2	0	1	1	6	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	83	5	6	3	0	3	3	3	9	0	0	2	1	2	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	2	1	0	0	1	1	1	1	0	0	0	0	6	1	0	0	1	0	0	2	2	0	0	2	1	1	4	1	0	1	0	0	0	0	1	0	0	0	0	2	1	2	1	1	0	1	0	0	1	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	0	0	2	5	1	0	2	0	1	0	0	0	0	0	0	2	1	1	0	0	1	2	1	0	2	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	220	5	6	11	9	14	8	7	0	3	3	0	0	5	0	3	2	3	0	0	0	0	1	4	0	2	0	1	3	3	4	6	2	1	2	4	0	1	1	0	1	2	10	2	0	3	3	3	0	6	6	4	4	3	3	0	1	6	2	2	4	0	10	1	6	3	0	2	0	2	0	9	0	2	1	0	1	3	1	0	0									
		0.72%	0.51%	0.77%	1.02%	0.54%	0.89%	1.57%	0.66%	0.00%	0.84%	2.48%	0.00%	0.00%	1.37%	0.00%	0.98%	0.30%	0.99%	0.00%	0.00%	0.00%	0.00%	0.27%	1.70%	0.00%	0.39%	0.00%	0.73%	0.50%	0.81%	2.02%	1.37%	0.46%	0.20%	0.73%	0.69%	0.00%	0.94%	0.42%	0.00%	0.50%	0.77%	1.62%	0.34%	0.00%	1.09%	0.84%	1.61%	0.00%	1.17%	2.21%	1.13%	0.61%	0.71%	0.96%	0.00%	0.87%	1.03%	2.17%	0.59%	2.05%	0.00%	0.83%	0.53%	3.21%	1.72%	0.00%	0.91%	0.00%	1.19%	0.00%	0.70%	0.00%	1.48%	0.44%	0.00%	0.79%	1.75%	0.33%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1230	52	20	26	73	36	16	38	15	6	7	51	0	8	0	12	15	17	12	2	5	8	2	0	5	14	0	6	28	13	14	23	24	24	16	22	10	8	19	9	9	11	36	36	3	14	21	3	14	25	16	17	26	22	19	0	5	24	7	11	14	1	61	7	14	14	0	17	8	4	0	50	2	2	12	10	11	18	1	2	7									
		4.03%	5.36%	2.56%	2.40%	4.39%	2.29%	3.14%	3.59%	4.26%	1.68%	5.79%	8.47%	0.00%	2.20%	0.00%	3.92%	2.23%	5.63%	3.39%	2.67%	6.33%	5.88%	0.53%	0.00%	4.85%	2.75%	0.00%	4.38%	4.68%	3.49%	7.07%	5.26%	5.50%	4.71%	5.84%	3.81%	4.10%	7.55%	8.02%	3.24%	4.52%	4.23%	5.83%	6.21%	1.25%	5.07%	5.87%	1.61%	6.45%	4.89%	5.90%	4.80%	3.98%	5.20%	6.09%	0.00%	4.35%	4.10%	7.61%	3.26%	7.18%	0.90%	5.05%	3.72%	7.49%	8.05%	0.00%	7.76%	1.32%	2.38%	0.00%	3.92%	2.50%	1.48%	5.29%	7.30%	8.73%	10.53%	0.33%	2.82%	2.16%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	714	25	30	7	239	21	10	26	10	0	1	11	0	5	0	1	2	0	3	0	1	6	2	3	1	0	5	2	12	6	7	6	11	3	11	12	6	1	6	5	1	6	12	14	3	2	5	7	5	3	1	2	5	7	4	0	0	0	0	11	4	0	14	0	8	8	12	4	6	6	1	39	0	2	6	0	0	7	5	3	4									
		2.34%	2.57%	3.84%	0.65%	14.36%	1.33%	1.96%	2.46%	2.84%	0.00%	0.83%	1.83%	0.00%	1.37%	0.00%	0.33%	0.30%	0.00%	0.85%	0.00%	1.27%	4.41%	0.53%	1.28%	0.97%	0.00%	2.79%	1.46%	2.01%	1.61%	3.54%	1.37%	2.52%	0.59%	4.01%	2.08%	2.46%	0.94%	2.53%	1.80%	0.50%	2.31%	1.94%	2.41%	1.25%	0.72%	1.40%	3.76%	2.30%	0.59%	0.37%	0.56%	0.76%	1.65%	1.28%	0.00%	0.00%	0.00%	0.00%	3.26%	2.05%	0.00%	1.16%	0.00%	4.28%	4.60%	7.69%	1.83%	0.99%	3.57%	0.41%	3.05%	0.00%	1.48%	2.64%	0.00%	0.00%	4.09%	1.63%	4.23%	1.23%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20942	527	616	789	869	1237	290	649	206	279	98	340	139	285	89	160	503	232	275	57	66	110	335	208	81	388	144	105	477	269	113	283	259	393	202	403	183	49	164	217	153	203	365	390	171	202	258	143	161	439	172	270	386	268	228	129	88	431	66	176	84	106	793	137	105	107	102	119	495	109	147	720	66	95	131	117	98	81	238	53	251									
		68.66%	54.27%	78.87%	72.92%	52.22%	78.59%	56.86%	61.28%	58.52%	77.93%	80.99%	56.48%	83.73%	78.30%	90.82%	52.29%	74.85%	76.82%	77.68%	76.00%	83.54%	80.88%	89.10%	88.51%	78.64%	76.23%	80.45%	76.64%	79.77%	72.31%	57.07%	64.76%	59.40%	77.06%	73.72%	69.84%	75.00%	46.23%	69.20%	78.06%	76.88%	78.08%	59.06%	67.24%	71.25%	73.19%	72.07%	76.88%	74.19%	85.91%	63.47%	76.27%	59.02%	63.36%	73.08%	75.88%	76.52%	73.68%	71.74%	52.23%	43.08%	95.50%	65.65%	72.87%	56.15%	61.49%	65.38%	54.34%	81.41%	64.88%	60.25%	56.38%	82.50%	70.37%	57.71%	85.40%	77.78%	47.37%	77.52%	74.65%	77.47%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	195	6	4	7	7	8	10	10	8	2	1	3	0	0	0	3	4	4	0	2	1	0	2	0	1	1	0	0	0	1	0	0	0	5	2	3	0	0	6	4	1	0	6	7	1	1	0	2	0	0	0	1	5	4	2	0	0	2	2	1	3	0	19	0	4	3	0	0	5	0	5	11	0	0	1	0	0	1	0	0	3									
		0.64%	0.62%	0.51%	0.65%	0.42%	0.51%	1.96%	0.94%	2.27%	0.56%	0.83%	0.50%	0.00%	0.00%	0.00%	0.98%	0.60%	1.32%	0.00%	2.67%	1.27%	0.00%	0.53%	0.00%	0.97%	0.20%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.98%	0.73%	0.52%	0.00%	0.00%	2.53%	1.44%	0.50%	0.00%	0.97%	1.21%	0.42%	0.36%	0.00%	1.08%	0.00%	0.00%	0.00%	0.28%	0.76%	0.95%	0.64%	0.00%	0.00%	0.34%	2.17%	0.30%	1.54%	0.00%	1.57%	0.00%	2.14%	1.72%	0.00%	0.00%	0.82%	0.00%	2.05%	0.86%	0.00%	0.00%	0.44%	0.00%	0.00%	0.58%	0.00%	0.00%	0.93%									
24	"6. Политическая партия ""Гражданская Платформа"""	78	0	0	1	7	1	10	5	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	1	2	0	1	0	0	1	0	3	0	2	1	0	0	1	4	2	0	1	0	1	0	0	1	2	2	3	0	0	0	2	0	2	0	0	2	1	0	0	0	4	0	0	0	4	0	0	1	0	0	1	2	0	0									
		0.26%	0.00%	0.00%	0.09%	0.42%	0.06%	1.96%	0.47%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	1.28%	0.00%	0.00%	0.00%	0.73%	0.33%	0.00%	0.51%	0.00%	0.00%	0.20%	0.00%	0.52%	0.00%	1.89%	0.42%	0.00%	0.00%	0.38%	0.65%	0.34%	0.00%	0.36%	0.00%	0.54%	0.00%	0.00%	0.37%	0.56%	0.31%	0.71%	0.00%	0.00%	0.00%	0.34%	0.00%	0.59%	0.00%	0.00%	0.17%	0.53%	0.00%	0.00%	0.00%	1.83%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.44%	0.00%	0.00%	0.58%	0.65%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1682	85	24	68	33	101	31	89	38	7	3	80	0	20	2	25	21	17	5	5	3	0	5	2	6	24	6	4	14	9	9	55	57	16	8	31	0	15	7	4	6	6	49	38	23	16	12	4	14	3	4	4	46	35	22	10	3	27	1	30	28	2	68	17	6	6	5	10	24	26	21	124	5	2	15	0	9	15	4	5	8									
		5.51%	8.75%	3.07%	6.28%	1.98%	6.42%	6.08%	8.40%	10.80%	1.96%	2.48%	13.29%	0.00%	5.49%	2.04%	8.17%	3.13%	5.63%	1.41%	6.67%	3.80%	0.00%	1.33%	0.85%	5.83%	4.72%	3.35%	2.92%	2.34%	2.42%	4.55%	12.59%	13.07%	3.14%	2.92%	5.37%	0.00%	14.15%	2.95%	1.44%	3.02%	2.31%	7.93%	6.55%	9.58%	5.80%	3.35%	2.15%	6.45%	0.59%	1.48%	1.13%	7.03%	8.27%	7.05%	5.88%	2.61%	4.62%	1.09%	8.90%	14.36%	1.80%	5.63%	9.04%	3.21%	3.45%	3.21%	4.57%	3.95%	15.48%	8.61%	9.71%	6.25%	1.48%	6.61%	0.00%	7.14%	8.77%	1.30%	7.04%	2.47%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	77	10	2	1	5	5	1	2	0	2	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	3	1	1	1	0	0	1	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	3	0	0	5	3	0	0	0	5	0	2	0	0	0	0	1	0	4	0	1	0	0	0	1	0	0	0									
		0.25%	1.03%	0.26%	0.09%	0.30%	0.32%	0.20%	0.19%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	1.96%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.69%	0.69%	0.20%	0.36%	0.17%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	1.08%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	0.85%	3.26%	0.00%	0.00%	0.00%	0.41%	0.00%	1.07%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.31%	0.00%	0.74%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	71	5	1	4	8	6	0	8	4	3	0	2	0	0	0	1	0	1	0	2	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	3	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	6	0	0	0	0	1	1	0	0	0									
		0.23%	0.51%	0.13%	0.37%	0.48%	0.38%	0.00%	0.76%	1.14%	0.84%	0.00%	0.33%	0.00%	0.00%	0.00%	0.33%	0.00%	0.33%	0.00%	2.67%	0.00%	0.00%	0.27%	0.43%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.72%	0.00%	1.61%	0.46%	0.00%	0.00%	0.00%	0.15%	0.00%	0.32%	0.00%	0.87%	0.17%	0.00%	0.00%	0.00%	0.00%	0.08%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.79%	0.58%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	50	0	0	1	4	1	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	3	0	1	0	0	0	1	6	1	0	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	4	0	0	0	0	0	1	1	0	0									
		0.16%	0.00%	0.00%	0.09%	0.24%	0.06%	0.20%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.20%	0.00%	0.52%	0.00%	0.94%	0.00%	0.00%	0.00%	0.38%	0.97%	0.17%	0.00%	0.00%	0.56%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.33%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	112	8	2	11	6	3	4	1	2	2	0	0	0	0	0	2	3	1	0	1	0	0	3	0	0	0	1	0	0	0	2	3	1	0	0	2	0	0	1	0	0	1	6	0	0	0	0	1	0	0	1	0	4	2	3	4	0	2	0	0	0	0	9	1	1	0	0	1	1	0	4	3	0	0	3	0	0	1	4	0	1									
		0.37%	0.82%	0.26%	1.02%	0.36%	0.19%	0.78%	0.09%	0.57%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.45%	0.33%	0.00%	1.33%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	1.01%	0.69%	0.23%	0.00%	0.00%	0.35%	0.00%	0.00%	0.42%	0.00%	0.00%	0.38%	0.97%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.37%	0.00%	0.61%	0.47%	0.96%	2.35%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.75%	0.53%	0.53%	0.00%	0.00%	0.46%	0.16%	0.00%	1.64%	0.23%	0.00%	0.00%	1.32%	0.00%	0.00%	0.58%	1.30%	0.00%	0.31%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2769	129	44	93	363	89	48	139	55	17	4	63	15	14	2	54	58	15	25	5	2	3	17	6	6	68	13	6	34	32	18	48	50	32	19	42	20	17	20	24	7	11	48	37	20	10	39	3	6	19	29	29	99	46	14	8	4	46	7	20	13	1	108	8	22	22	20	26	35	6	10	162	6	18	28	0	3	21	36	2	11									
		9.08%	13.29%	5.63%	8.60%	21.81%	5.65%	9.41%	13.13%	15.63%	4.75%	3.31%	10.47%	9.04%	3.85%	2.04%	17.65%	8.63%	4.97%	7.06%	6.67%	2.53%	2.21%	4.52%	2.55%	5.83%	13.36%	7.26%	4.38%	5.69%	8.60%	9.09%	10.98%	11.47%	6.27%	6.93%	7.28%	8.20%	16.04%	8.44%	8.63%	3.52%	4.23%	7.77%	6.38%	8.33%	3.62%	10.89%	1.61%	2.76%	3.72%	10.70%	8.19%	15.14%	10.87%	4.49%	4.71%	3.48%	7.86%	7.61%	5.93%	6.67%	0.90%	8.94%	4.26%	11.76%	12.64%	12.82%	11.87%	5.76%	3.57%	4.10%	12.69%	7.50%	13.33%	12.33%	0.00%	2.38%	12.28%	11.73%	2.82%	3.40%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	127	31	2	0	20	2	3	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	1	1	2	2	0	0	7	0	0	1	0	0	1	2	2	4	1	0	3	1	0	1	0	0	3	0	0	1	1	0	2	5	0	1	0	1	0	0	1	2	0	8	4	0	0	2	0	0	0	0	0	0									
		0.42%	3.19%	0.26%	0.00%	1.20%	0.13%	0.59%	0.28%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.27%	0.51%	0.46%	0.46%	0.00%	0.00%	1.21%	0.00%	0.00%	0.42%	0.00%	0.00%	0.38%	0.32%	0.34%	1.67%	0.36%	0.00%	1.61%	0.46%	0.00%	0.37%	0.00%	0.00%	0.71%	0.00%	0.00%	0.87%	0.17%	0.00%	0.59%	2.56%	0.00%	0.08%	0.00%	0.53%	0.00%	0.00%	0.46%	0.33%	0.00%	3.28%	0.31%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1897	79	30	56	19	35	69	68	14	35	3	40	12	18	5	22	47	3	27	1	0	8	4	8	3	12	8	8	23	35	16	5	19	24	13	24	25	4	7	15	10	13	71	51	15	19	16	4	14	16	38	25	60	16	9	16	12	29	4	81	40	1	107	12	14	9	17	22	28	14	48	112	1	8	18	10	2	11	15	6	39									
		6.22%	8.14%	3.84%	5.18%	1.14%	2.22%	13.53%	6.42%	3.98%	9.78%	2.48%	6.64%	7.23%	4.95%	5.10%	7.19%	6.99%	0.99%	7.63%	1.33%	0.00%	5.88%	1.06%	3.40%	2.91%	2.36%	4.47%	5.84%	3.85%	9.41%	8.08%	1.14%	4.36%	4.71%	4.74%	4.16%	10.25%	3.77%	2.95%	5.40%	5.03%	5.00%	11.49%	8.79%	6.25%	6.88%	4.47%	2.15%	6.45%	3.13%	14.02%	7.06%	9.17%	3.78%	2.88%	9.41%	10.43%	4.96%	4.35%	24.04%	20.51%	0.90%	8.86%	6.38%	7.49%	5.17%	10.90%	10.05%	4.61%	8.33%	19.67%	8.77%	1.25%	5.93%	7.93%	7.30%	1.59%	6.43%	4.89%	8.45%	12.04%									
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
