Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																					
Дата голосования: 18.09.2016																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Новосибирск, Дзержинская"																																																																																					
																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																					
																																																																																					
		Сумма	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №2021	УИК №2022	УИК №2023	УИК №2024									
		0.24%	0.27%	0.52%	0.15%	0.29%	0.26%	0.17%	1.11%	0.15%	0.26%	0.13%	0.16%	0.00%	0.27%	0.00%	0.00%	0.00%	0.29%	0.43%	0.56%	0.58%	0.61%	0.65%	0.00%	0.41%	0.31%	0.23%	0.00%	0.54%	0.23%	0.25%	0.25%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.38%	0.00%	0.25%	0.19%	0.56%	0.23%	0.00%	0.00%	0.39%	0.28%	0.42%	0.00%	0.00%	0.00%	0.52%	0.17%	0.33%	0.00%	0.15%	0.53%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.17%	0.00%	0.25%	1.17%	0.17%	0.46%	0.95%	0.00%	3.39%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6994	79	119	150	126	131	109	77	152	177	142	131	58	91	68	111	65	83	38	60	102	55	54	66	87	37	62	82	50	87	93	127	61	47	48	17	54	57	73	88	55	84	67	77	69	96	75	121	146	163	150	117	80	86	79	123	120	100	103	87	148	75	113	91	88	76	102	93	64	69	91	622	32	8	10									
		18.98%	21.70%	20.70%	22.06%	18.34%	17.28%	18.29%	21.45%	22.13%	23.02%	19.11%	20.66%	21.09%	24.93%	19.05%	18.78%	17.52%	23.99%	16.52%	16.71%	19.69%	11.18%	17.48%	11.02%	17.86%	11.49%	14.19%	15.56%	13.55%	19.82%	11.60%	15.84%	12.55%	13.91%	14.68%	16.19%	11.71%	17.33%	14.37%	14.99%	20.91%	23.53%	16.63%	14.89%	19.49%	21.62%	22.19%	20.90%	18.84%	22.73%	21.10%	25.77%	19.90%	17.84%	20.36%	20.95%	19.70%	17.67%	15.92%	15.45%	18.09%	14.82%	16.84%	18.42%	18.03%	16.41%	17.20%	19.66%	15.96%	20.12%	15.42%	40.44%	15.17%	14.81%	16.95%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	556	2	10	6	4	22	12	4	9	12	13	11	1	2	3	6	6	3	5	1	8	6	7	14	9	8	5	9	12	13	22	12	12	4	4	1	5	2	2	8	3	1	8	7	6	6	5	1	16	7	7	8	1	3	5	8	15	5	16	12	15	6	10	3	3	12	13	1	5	2	8	41	0	0	2									
		1.51%	0.55%	1.74%	0.88%	0.58%	2.90%	2.01%	1.11%	1.31%	1.56%	1.75%	1.74%	0.36%	0.55%	0.84%	1.02%	1.62%	0.87%	2.17%	0.28%	1.54%	1.22%	2.27%	2.34%	1.85%	2.48%	1.14%	1.71%	3.25%	2.96%	2.74%	1.50%	2.47%	1.18%	1.22%	0.95%	1.08%	0.61%	0.39%	1.36%	1.14%	0.28%	1.99%	1.35%	1.69%	1.35%	1.48%	0.17%	2.06%	0.98%	0.98%	1.76%	0.25%	0.62%	1.29%	1.36%	2.46%	0.88%	2.47%	2.13%	1.83%	1.19%	1.49%	0.61%	0.61%	2.59%	2.19%	0.21%	1.25%	0.58%	1.36%	2.67%	0.00%	0.00%	3.39%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	402	4	3	4	6	26	4	1	4	5	6	7	1	2	3	4	4	3	8	1	7	4	5	14	6	5	2	6	8	8	15	11	11	3	6	2	6	3	3	8	0	2	1	6	6	6	3	9	6	5	14	3	1	1	3	7	2	5	9	7	11	9	6	6	6	7	4	7	1	2	2	14	1	0	1									
		1.09%	1.10%	0.52%	0.59%	0.87%	3.43%	0.67%	0.28%	0.58%	0.65%	0.81%	1.10%	0.36%	0.55%	0.84%	0.68%	1.08%	0.87%	3.48%	0.28%	1.35%	0.81%	1.62%	2.34%	1.23%	1.55%	0.46%	1.14%	2.17%	1.82%	1.87%	1.37%	2.26%	0.89%	1.83%	1.90%	1.30%	0.91%	0.59%	1.36%	0.00%	0.56%	0.25%	1.16%	1.69%	1.35%	0.89%	1.55%	0.77%	0.70%	1.97%	0.66%	0.25%	0.21%	0.77%	1.19%	0.33%	0.88%	1.39%	1.24%	1.34%	1.78%	0.89%	1.21%	1.23%	1.51%	0.67%	1.48%	0.25%	0.58%	0.34%	0.91%	0.47%	0.00%	1.69%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	46	1	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	3	0	0	0	0	0	2	4	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	1	10	0	0	0									
		0.12%	0.27%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.43%	0.00%	0.39%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.50%	0.21%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.17%	0.13%	0.00%	0.00%	0.22%	0.00%	0.21%	0.26%	0.17%	0.16%	0.00%	0.00%	0.18%	0.12%	0.20%	0.00%	0.20%	0.20%	0.22%	0.00%	0.00%	0.00%	0.00%	0.17%	0.65%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1129	7	21	17	12	49	13	11	10	26	21	15	7	8	6	6	13	3	5	14	15	16	14	34	15	19	18	18	21	25	40	43	24	16	22	1	7	11	18	9	3	6	33	17	8	2	2	8	17	14	24	17	12	8	13	18	11	13	17	17	31	14	26	11	18	16	23	16	21	4	15	22	1	1	0									
		3.06%	1.92%	3.65%	2.50%	1.75%	6.46%	2.18%	3.06%	1.46%	3.38%	2.83%	2.37%	2.55%	2.19%	1.68%	1.02%	3.50%	0.87%	2.17%	3.90%	2.90%	3.25%	4.53%	5.68%	3.08%	5.90%	4.12%	3.42%	5.69%	5.69%	4.99%	5.36%	4.94%	4.73%	6.73%	0.95%	1.52%	3.34%	3.54%	1.53%	1.14%	1.68%	8.19%	3.29%	2.26%	0.45%	0.59%	1.38%	2.19%	1.95%	3.38%	3.74%	2.99%	1.66%	3.35%	3.07%	1.81%	2.30%	2.63%	3.02%	3.79%	2.77%	3.87%	2.23%	3.69%	3.46%	3.88%	3.38%	5.24%	1.17%	2.54%	1.43%	0.47%	1.85%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8005	57	127	141	169	155	120	67	166	153	158	109	42	74	58	111	76	43	48	96	130	118	78	148	105	72	102	122	91	96	202	179	104	86	78	23	126	90	128	135	55	52	101	137	70	60	59	131	184	151	150	78	72	137	92	136	121	133	166	163	195	139	149	114	119	128	157	92	89	93	190	67	24	11	7									
		21.72%	15.66%	22.09%	20.74%	24.60%	20.45%	20.13%	18.66%	24.16%	19.90%	21.27%	17.19%	15.27%	20.27%	16.25%	18.78%	20.49%	12.43%	20.87%	26.74%	25.10%	23.98%	25.24%	24.71%	21.56%	22.36%	23.34%	23.15%	24.66%	21.87%	25.19%	22.32%	21.40%	25.44%	23.85%	21.90%	27.33%	27.36%	25.20%	22.99%	20.91%	14.57%	25.06%	26.50%	19.77%	13.51%	17.46%	22.63%	23.74%	21.06%	21.10%	17.18%	17.91%	28.42%	23.71%	23.17%	19.87%	23.50%	25.66%	28.95%	23.84%	27.47%	22.21%	23.08%	24.39%	27.65%	26.48%	19.45%	22.19%	27.11%	32.20%	4.36%	11.37%	20.37%	11.86%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	180	1	1	1	4	3	2	0	2	13	3	3	1	2	9	3	2	0	2	1	2	5	0	1	2	5	0	3	1	2	1	7	1	2	2	0	0	1	2	1	0	3	1	1	1	1	2	3	2	0	1	5	14	1	1	1	7	3	4	1	3	2	0	5	1	4	1	1	0	0	5	13	0	1	1									
		0.49%	0.27%	0.17%	0.15%	0.58%	0.40%	0.34%	0.00%	0.29%	1.69%	0.40%	0.47%	0.36%	0.55%	2.52%	0.51%	0.54%	0.00%	0.87%	0.28%	0.39%	1.02%	0.00%	0.17%	0.41%	1.55%	0.00%	0.57%	0.27%	0.46%	0.12%	0.87%	0.21%	0.59%	0.61%	0.00%	0.00%	0.30%	0.39%	0.17%	0.00%	0.84%	0.25%	0.19%	0.28%	0.23%	0.59%	0.52%	0.26%	0.00%	0.14%	1.10%	3.48%	0.21%	0.26%	0.17%	1.15%	0.53%	0.62%	0.18%	0.37%	0.40%	0.00%	1.01%	0.20%	0.86%	0.17%	0.21%	0.00%	0.00%	0.85%	0.85%	0.00%	1.85%	1.69%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1924	16	37	32	50	31	27	15	35	41	21	44	9	15	10	24	10	17	11	19	23	29	11	46	23	26	26	37	18	22	63	60	32	10	8	0	11	14	21	21	12	11	19	14	14	11	8	23	40	61	55	13	36	38	39	37	58	27	39	39	41	25	52	37	27	27	30	23	15	17	27	35	6	2	1									
		5.22%	4.40%	6.43%	4.71%	7.28%	4.09%	4.53%	4.18%	5.09%	5.33%	2.83%	6.94%	3.27%	4.11%	2.80%	4.06%	2.70%	4.91%	4.78%	5.29%	4.44%	5.89%	3.56%	7.68%	4.72%	8.07%	5.95%	7.02%	4.88%	5.01%	7.86%	7.48%	6.58%	2.96%	2.45%	0.00%	2.39%	4.26%	4.13%	3.58%	4.56%	3.08%	4.71%	2.71%	3.95%	2.48%	2.37%	3.97%	5.16%	8.51%	7.74%	2.86%	8.96%	7.88%	10.05%	6.30%	9.52%	4.77%	6.03%	6.93%	5.01%	4.94%	7.75%	7.49%	5.53%	5.83%	5.06%	4.86%	3.74%	4.96%	4.58%	2.28%	2.84%	3.70%	1.69%									
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
