Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																			
Дата голосования: 02.12.2007																																																																																			
																																																																																			
"Наименование Избирательной комиссии:    Курган, Восточная"																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №74	УИК №75	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №131	УИК №132	УИК №134	УИК №137	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1902	25	25	15	15	15	15	25	20	20	15	30	30	30	30	30	30	30	39	21	30	35	25	34	30	25	25	25	25	25	30	30	25	25	30	25	10	10	25	30	25	30	20	35	25	30	30	45	30	30	25	30	35	30	25	25	39	30	30	31	35	25	40	30	25	37	25	10	25	21	25	25	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1671	17	16	13	14	12	12	24	20	20	15	28	30	25	29	28	30	23	34	20	28	28	23	34	30	21	21	14	25	25	30	30	22	23	29	17	8	4	25	24	19	23	15	33	19	14	30	43	30	25	17	23	32	23	25	23	38	30	26	28	35	24	39	30	20	37	18	7	20	21	13	20	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1683	9	20	8	10	13	14	16	14	26	12	22	20	24	24	14	13	22	16	24	21	35	28	15	20	21	15	15	23	19	26	29	33	20	17	19	31	12	23	19	10	10	7	23	18	12	23	16	30	13	12	19	12	37	15	24	19	31	26	29	37	34	12	24	52	25	4	12	14	27	8	33	127	48	35	15	28					
14	Число погашенных неиспользованных открепительных удостоверений	231	8	9	2	1	3	3	1	0	0	0	2	0	5	1	2	0	7	5	1	2	7	2	0	0	4	4	11	0	0	0	0	3	2	1	8	2	6	0	6	6	7	5	2	6	16	0	2	0	5	8	7	3	7	0	2	1	0	4	3	0	1	1	0	5	0	7	3	5	0	12	5	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	0	0	0	0	0	0	0	0	0	1	2	0	1	2	0	2	1	3	1	0	0	1	1	1	4	0	0	1	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	2	5	2	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																			
18	1.Политическая партия «Аграрная партия России»	3199	14	25	18	14	34	15	49	19	34	25	55	62	56	77	59	70	61	66	61	66	61	57	49	48	56	41	45	51	50	59	56	41	47	44	27	8	3	41	34	10	47	29	66	25	31	44	43	61	46	38	47	48	38	37	50	63	92	67	68	51	52	62	58	47	72	43	7	31	34	16	24	15	9	15	8	7					
		3.84%	2.24%	4.08%	2.02%	2.17%	4.42%	2.35%	4.76%	2.23%	3.23%	3.34%	4.04%	4.39%	4.41%	4.60%	4.90%	4.72%	4.66%	3.72%	4.60%	4.06%	5.28%	4.43%	3.95%	3.10%	4.78%	4.27%	4.70%	3.88%	4.34%	4.07%	3.94%	3.97%	4.09%	3.87%	2.71%	2.62%	1.28%	3.92%	2.87%	1.21%	3.67%	2.94%	4.07%	2.43%	2.83%	3.02%	2.69%	3.99%	3.25%	4.23%	2.86%	3.59%	3.56%	3.50%	4.16%	4.14%	5.04%	4.44%	5.07%	4.39%	5.18%	4.08%	4.22%	4.48%	3.90%	5.70%	1.82%	2.85%	4.01%	2.12%	2.71%	3.97%	3.53%	8.20%	3.25%	3.45%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1006	6	3	10	4	7	7	7	6	2	13	21	14	14	25	16	23	24	38	23	27	14	17	20	25	27	16	8	26	17	26	17	3	9	16	2	1	1	3	10	4	12	5	11	8	13	16	18	14	15	8	12	10	8	9	20	17	35	20	33	26	21	18	17	24	21	4	4	5	16	3	3	2	0	2	4	0					
		1.21%	0.96%	0.49%	1.12%	0.62%	0.91%	1.10%	0.68%	0.70%	0.19%	1.74%	1.54%	0.99%	1.10%	1.49%	1.33%	1.55%	1.83%	2.14%	1.73%	1.66%	1.21%	1.32%	1.61%	1.61%	2.31%	1.66%	0.84%	1.98%	1.48%	1.80%	1.20%	0.29%	0.78%	1.41%	0.20%	0.33%	0.43%	0.29%	0.84%	0.48%	0.94%	0.51%	0.68%	0.78%	1.19%	1.10%	1.13%	0.92%	1.06%	0.89%	0.73%	0.75%	0.75%	0.85%	1.67%	1.12%	1.92%	1.33%	2.46%	2.24%	2.09%	1.18%	1.24%	2.29%	1.14%	0.53%	1.04%	0.46%	1.89%	0.40%	0.34%	0.53%	0.00%	1.09%	1.63%	0.00%					
20	3.Политическая партия «Демократическая партия России»	94	0	1	1	0	0	0	2	2	1	1	1	1	2	3	2	1	3	1	6	2	1	3	0	1	3	0	0	2	1	0	0	2	2	0	1	0	2	1	0	1	1	0	2	2	0	2	4	2	1	0	2	0	0	1	1	1	3	5	1	0	2	0	1	2	3	0	0	1	3	2	0	0	2	0	0	0					
		0.11%	0.00%	0.16%	0.11%	0.00%	0.00%	0.00%	0.19%	0.23%	0.09%	0.13%	0.07%	0.07%	0.16%	0.18%	0.17%	0.07%	0.23%	0.06%	0.45%	0.12%	0.09%	0.23%	0.00%	0.06%	0.26%	0.00%	0.00%	0.15%	0.09%	0.00%	0.00%	0.19%	0.17%	0.00%	0.10%	0.00%	0.85%	0.10%	0.00%	0.12%	0.08%	0.00%	0.12%	0.19%	0.00%	0.14%	0.25%	0.13%	0.07%	0.00%	0.12%	0.00%	0.00%	0.09%	0.08%	0.07%	0.16%	0.33%	0.07%	0.00%	0.20%	0.00%	0.07%	0.19%	0.16%	0.00%	0.00%	0.09%	0.35%	0.27%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	11622	53	53	92	55	56	50	101	73	82	103	197	233	178	253	170	226	228	289	253	239	207	203	213	249	226	200	159	232	181	273	188	114	171	118	79	22	13	131	108	65	115	121	190	91	81	174	210	203	117	96	193	165	141	173	245	290	362	331	280	205	182	298	239	177	148	65	50	110	99	54	107	51	37	47	16	23					
		13.96%	8.48%	8.66%	10.34%	8.53%	7.28%	7.85%	9.82%	8.56%	7.78%	13.77%	14.47%	16.49%	14.03%	15.10%	14.12%	15.23%	17.40%	16.27%	19.07%	14.69%	17.92%	15.76%	17.15%	16.06%	19.30%	20.81%	16.60%	17.63%	15.71%	18.85%	13.23%	11.05%	14.88%	10.38%	7.94%	7.21%	5.56%	12.52%	9.11%	7.85%	8.98%	12.28%	11.73%	8.85%	7.40%	11.93%	13.13%	13.28%	8.26%	10.69%	11.73%	12.34%	13.20%	16.38%	20.40%	19.04%	19.84%	21.95%	20.86%	17.66%	18.15%	19.62%	17.38%	16.87%	8.01%	8.61%	13.02%	10.10%	11.69%	7.16%	12.09%	13.49%	14.51%	25.68%	6.50%	11.33%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	758	10	3	5	3	1	3	9	5	9	7	4	10	10	7	4	8	13	14	10	10	27	18	23	27	12	7	3	16	21	13	9	8	14	10	6	1	5	4	3	3	6	9	9	3	3	17	16	3	12	7	8	9	9	7	20	19	23	21	23	30	22	13	15	15	3	3	1	10	25	4	10	0	2	1	3	2					
		0.91%	1.60%	0.49%	0.56%	0.47%	0.13%	0.47%	0.87%	0.59%	0.85%	0.94%	0.29%	0.71%	0.79%	0.42%	0.33%	0.54%	0.99%	0.79%	0.75%	0.61%	2.34%	1.40%	1.85%	1.74%	1.02%	0.73%	0.31%	1.22%	1.82%	0.90%	0.63%	0.78%	1.22%	0.88%	0.60%	0.33%	2.14%	0.38%	0.25%	0.36%	0.47%	0.91%	0.56%	0.29%	0.27%	1.17%	1.00%	0.20%	0.85%	0.78%	0.49%	0.67%	0.84%	0.66%	1.67%	1.25%	1.26%	1.39%	1.71%	2.58%	2.19%	0.86%	1.09%	1.43%	0.16%	0.40%	0.26%	0.92%	2.95%	0.53%	1.13%	0.00%	0.78%	0.55%	1.22%	0.99%					
23	6.Политическая партия «Партия социальной справедливости»	233	0	1	4	1	2	1	2	1	4	2	4	4	3	1	2	4	5	6	3	8	2	3	7	4	1	5	2	5	7	2	5	4	2	5	6	0	0	0	0	2	0	2	4	1	2	3	5	8	7	2	3	2	4	3	2	0	9	9	1	4	6	5	4	1	3	3	1	3	3	2	6	3	0	0	2	0					
		0.28%	0.00%	0.16%	0.45%	0.16%	0.26%	0.16%	0.19%	0.12%	0.38%	0.27%	0.29%	0.28%	0.24%	0.06%	0.17%	0.27%	0.38%	0.34%	0.23%	0.49%	0.17%	0.23%	0.56%	0.26%	0.09%	0.52%	0.21%	0.38%	0.61%	0.14%	0.35%	0.39%	0.17%	0.44%	0.60%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.20%	0.25%	0.10%	0.18%	0.21%	0.31%	0.52%	0.49%	0.22%	0.18%	0.15%	0.37%	0.28%	0.17%	0.00%	0.49%	0.60%	0.07%	0.34%	0.60%	0.33%	0.29%	0.10%	0.16%	0.40%	0.26%	0.28%	0.35%	0.27%	0.68%	0.79%	0.00%	0.00%	0.81%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	9780	68	79	150	84	103	88	129	113	151	80	169	168	155	211	133	192	131	238	135	199	96	138	166	169	120	82	115	136	123	130	169	134	137	162	148	39	24	127	146	128	170	116	235	128	132	187	178	195	189	103	169	184	135	114	117	162	186	151	129	106	102	153	147	112	209	107	42	162	83	86	101	34	26	22	29	14					
		11.75%	10.88%	12.91%	16.85%	13.02%	13.39%	13.81%	12.54%	13.25%	14.33%	10.70%	12.42%	11.89%	12.21%	12.60%	11.05%	12.94%	10.00%	13.40%	10.17%	12.23%	8.31%	10.71%	13.37%	10.90%	10.25%	8.53%	12.00%	10.33%	10.68%	8.98%	11.89%	12.98%	11.92%	14.25%	14.87%	12.79%	10.26%	12.14%	12.31%	15.46%	13.28%	11.78%	14.51%	12.45%	12.05%	12.83%	11.13%	12.75%	13.34%	11.47%	10.27%	13.76%	12.64%	10.80%	9.74%	10.64%	10.19%	10.01%	9.61%	9.13%	10.17%	10.07%	10.69%	10.68%	11.31%	14.17%	10.94%	14.88%	9.80%	11.41%	11.41%	8.99%	10.20%	12.02%	11.79%	6.90%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6396	21	29	51	33	30	28	90	54	72	45	118	123	115	144	102	137	141	151	103	168	102	124	126	135	73	89	103	126	87	127	165	71	102	80	57	16	21	74	54	32	76	62	120	51	51	99	122	118	92	60	105	94	80	116	84	142	149	129	97	102	96	121	114	78	93	31	23	93	83	44	84	20	10	13	15	10					
		7.68%	3.36%	4.74%	5.73%	5.12%	3.90%	4.40%	8.75%	6.33%	6.83%	6.02%	8.67%	8.70%	9.06%	8.60%	8.47%	9.23%	10.76%	8.50%	7.76%	10.33%	8.83%	9.63%	10.14%	8.71%	6.23%	9.26%	10.75%	9.57%	7.55%	8.77%	11.61%	6.88%	8.88%	7.04%	5.73%	5.25%	8.97%	7.07%	4.55%	3.86%	5.94%	6.29%	7.41%	4.96%	4.66%	6.79%	7.63%	7.72%	6.49%	6.68%	6.38%	7.03%	7.49%	10.98%	6.99%	9.32%	8.16%	8.55%	7.23%	8.79%	9.57%	7.97%	8.29%	7.44%	5.03%	4.11%	5.99%	8.54%	9.80%	5.84%	9.49%	5.29%	3.92%	7.10%	6.10%	4.93%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	948	6	1	12	6	9	3	15	4	8	6	24	12	18	20	11	19	26	19	13	25	15	20	15	30	21	13	11	23	15	17	13	10	13	12	7	3	1	2	5	4	16	5	20	3	9	6	16	10	13	7	12	15	10	13	18	21	26	19	34	16	9	15	10	16	43	7	1	10	7	6	15	1	3	6	1	2					
		1.14%	0.96%	0.16%	1.35%	0.93%	1.17%	0.47%	1.46%	0.47%	0.76%	0.80%	1.76%	0.85%	1.42%	1.19%	0.91%	1.28%	1.98%	1.07%	0.98%	1.54%	1.30%	1.55%	1.21%	1.94%	1.79%	1.35%	1.15%	1.75%	1.30%	1.17%	0.91%	0.97%	1.13%	1.06%	0.70%	0.98%	0.43%	0.19%	0.42%	0.48%	1.25%	0.51%	1.23%	0.29%	0.82%	0.41%	1.00%	0.65%	0.92%	0.78%	0.73%	1.12%	0.94%	1.23%	1.50%	1.38%	1.42%	1.26%	2.53%	1.38%	0.90%	0.99%	0.73%	1.53%	2.33%	0.93%	0.26%	0.92%	0.83%	0.80%	1.69%	0.26%	1.18%	3.28%	0.41%	0.99%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	47235	435	407	528	440	522	426	613	568	669	458	748	753	682	901	690	769	655	903	687	841	606	671	589	811	603	479	480	636	604	752	764	621	621	669	648	213	156	638	810	571	813	612	938	700	757	895	956	889	897	568	1066	778	626	559	601	751	883	706	616	576	475	778	722	539	1217	479	253	649	475	527	520	248	158	67	163	141					
		56.75%	69.60%	66.50%	59.33%	68.22%	67.88%	66.88%	59.57%	66.59%	63.47%	61.23%	54.96%	53.29%	53.74%	53.79%	57.31%	51.82%	50.00%	50.84%	51.77%	51.69%	52.47%	52.10%	47.42%	52.32%	51.49%	49.84%	50.10%	48.33%	52.43%	51.93%	53.76%	60.17%	54.05%	58.84%	65.13%	69.84%	66.67%	60.99%	68.30%	68.96%	63.52%	62.13%	57.90%	68.09%	69.13%	61.39%	59.79%	58.14%	63.30%	63.25%	64.76%	58.19%	58.61%	52.94%	50.04%	49.31%	48.38%	46.82%	45.90%	49.61%	47.36%	51.22%	52.51%	51.38%	65.85%	63.44%	65.89%	59.60%	56.08%	69.89%	58.76%	65.61%	61.96%	36.61%	66.26%	69.46%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1326	4	5	15	3	2	7	8	1	8	4	18	25	24	25	12	23	15	40	17	29	19	23	23	38	26	20	25	46	32	41	26	12	13	13	7	2	7	13	8	5	21	12	14	12	7	7	16	14	14	7	16	21	9	11	35	44	49	45	43	37	25	42	38	25	21	3	2	10	15	3	6	2	7	3	2	4					
		1.59%	0.64%	0.82%	1.69%	0.47%	0.26%	1.10%	0.78%	0.12%	0.76%	0.53%	1.32%	1.77%	1.89%	1.49%	0.99%	1.55%	1.15%	2.25%	1.28%	1.78%	1.65%	1.79%	1.85%	2.45%	2.22%	2.08%	2.61%	3.50%	2.78%	2.83%	1.83%	1.16%	1.13%	1.14%	0.70%	0.66%	2.99%	1.24%	0.67%	0.60%	1.64%	1.22%	0.86%	1.17%	0.64%	0.48%	1.00%	0.92%	0.99%	0.78%	0.97%	1.57%	0.84%	1.04%	2.91%	2.89%	2.68%	2.98%	3.20%	3.19%	2.49%	2.76%	2.76%	2.38%	1.14%	0.40%	0.52%	0.92%	1.77%	0.40%	0.68%	0.53%	2.75%	1.64%	0.81%	1.97%					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
