Выборы Президента Российской Федерации																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Подольская городская																																																																																	
																																																																																	
Итоги голосования 																																																																																	
																																																																																	
		Сумма	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159					
11	Число полученных открепительных  удостоверений	3118	50	45	50	45	50	40	35	45	30	40	30	45	45	30	45	40	40	40	35	50	50	50	40	40	45	45	45	45	40	50	45	50	50	35	45	40	40	45	45	45	45	45	40	40	45	50	50	50	35	45	40	50	50	45	40	35	50	45	50	50	50	50	50	45	40	40	40	40	50	45	45	1	1	1					
12	Число выданных открепительных удостоверений	935	11	17	17	6	8	13	4	3	5	10	6	22	15	6	14	8	15	14	8	14	21	18	21	13	15	10	14	22	10	12	12	15	25	3	8	8	8	23	8	15	25	15	13	11	19	21	14	15	3	15	11	12	16	5	5	10	19	15	10	11	24	17	13	15	15	15	16	13	17	13	15	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	955	8	3	24	7	19	3	4	6	7	2	9	2	5	2	13	13	15	17	9	12	15	17	19	11	12	11	7	11	3	11	3	11	12	3	19	7	4	17	9	16	6	9	15	10	23	4	18	8	5	11	7	9	3	5	1	4	10	9	18	11	14	9	12	9	2	15	8	7	6	12	7	93	171	6					
14	Число неиспользованных открепительных удостоверений	2183	39	28	33	39	42	27	31	42	25	30	24	23	30	24	31	32	25	26	27	36	29	32	19	27	30	35	31	23	30	38	33	35	25	32	37	32	32	22	37	30	20	30	27	29	26	29	36	35	32	30	29	38	34	40	35	25	31	30	40	39	26	33	37	30	25	25	24	27	33	32	30	1	1	1					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																	
18	. Глазьев Сергей Юрьевич	7870	78	98	159	115	124	77	63	85	17	86	36	147	163	26	119	97	118	108	81	122	163	177	148	109	102	129	125	124	108	177	126	143	113	64	155	108	81	121	97	135	125	162	123	98	184	130	139	111	70	93	81	105	97	77	85	54	118	95	92	132	131	113	105	120	86	68	192	104	98	86	129	12	30	1					
		8.03%	4.30%	7.53%	9.09%	8.89%	7.79%	7.87%	8.13%	5.86%	4.18%	10.00%	11.50%	9.77%	11.58%	6.97%	9.48%	8.79%	10.49%	8.84%	11.44%	7.42%	8.61%	10.94%	11.78%	8.71%	6.94%	7.69%	6.52%	8.69%	9.66%	11.32%	7.64%	9.04%	6.97%	6.74%	10.79%	9.68%	8.57%	6.52%	7.93%	10.22%	9.37%	10.57%	9.45%	8.78%	10.28%	6.82%	8.92%	7.06%	7.53%	6.02%	5.82%	5.56%	7.20%	12.30%	5.83%	5.68%	7.84%	7.69%	6.10%	6.21%	6.55%	6.60%	6.70%	7.80%	8.51%	5.30%	13.13%	6.56%	6.34%	5.83%	7.93%	6.74%	5.77%	0.70%					
19	. Малышкин Олег Александрович	1332	22	20	39	21	16	15	11	16	7	6	4	22	22	7	15	20	7	11	5	24	33	16	15	12	33	18	31	22	6	16	13	17	19	18	11	16	7	10	11	7	13	23	19	15	68	34	23	24	23	37	15	33	17	6	9	19	25	19	21	31	19	24	27	10	20	27	17	18	17	12	11	3	10	2					
		1.36%	1.21%	1.54%	2.23%	1.62%	1.01%	1.53%	1.42%	1.10%	1.72%	0.70%	1.28%	1.46%	1.56%	1.88%	1.20%	1.81%	0.62%	0.90%	0.71%	1.46%	1.74%	0.99%	1.19%	0.96%	2.24%	1.07%	1.62%	1.54%	0.54%	1.02%	0.79%	1.07%	1.17%	1.89%	0.77%	1.43%	0.74%	0.54%	0.90%	0.53%	0.97%	1.50%	1.46%	1.34%	3.80%	1.78%	1.48%	1.53%	2.48%	2.39%	1.08%	1.75%	1.26%	0.96%	0.62%	2.00%	1.66%	1.54%	1.39%	1.46%	0.95%	1.40%	1.72%	0.65%	1.98%	2.10%	1.16%	1.13%	1.10%	0.81%	0.68%	1.69%	1.92%	1.40%					
20	. Миронов Сергей Михайлович	803	7	8	22	10	9	6	6	3	1	3	0	3	6	1	7	9	9	10	1	7	17	13	7	4	8	17	24	17	10	12	13	10	19	5	18	9	5	8	13	6	10	9	10	11	72	23	9	16	6	43	9	18	9	2	9	8	7	4	11	14	17	10	15	16	9	7	11	10	14	8	15	1	5	2					
		0.82%	0.39%	0.61%	1.26%	0.77%	0.57%	0.61%	0.77%	0.21%	0.25%	0.35%	0.00%	0.20%	0.43%	0.27%	0.56%	0.82%	0.80%	0.82%	0.14%	0.43%	0.90%	0.80%	0.56%	0.32%	0.54%	1.01%	1.25%	1.19%	0.89%	0.77%	0.79%	0.63%	1.17%	0.53%	1.25%	0.81%	0.53%	0.43%	1.06%	0.45%	0.75%	0.59%	0.77%	0.99%	4.02%	1.21%	0.58%	1.02%	0.65%	2.78%	0.65%	0.95%	0.67%	0.32%	0.62%	0.84%	0.46%	0.32%	0.73%	0.66%	0.85%	0.58%	0.96%	1.04%	0.89%	0.55%	0.75%	0.63%	0.91%	0.54%	0.92%	0.56%	0.96%	1.40%					
21	. Путин Владимир Владимирович	67498	1437	920	1118	891	1142	744	562	1122	308	621	221	940	884	261	829	725	715	850	470	1073	1290	986	788	881	1029	1211	1241	971	735	1003	1080	1055	1069	645	913	767	647	1399	838	881	920	966	811	737	1018	1400	1073	1077	636	1113	1091	1365	957	432	1093	681	1042	867	1093	1393	1416	1233	1073	1044	696	936	966	1204	996	1112	1147	123	394	131					
		68.85%	79.22%	70.71%	63.92%	68.86%	71.73%	76.07%	72.52%	77.38%	75.68%	72.21%	70.61%	62.50%	62.78%	69.97%	66.06%	65.73%	63.56%	69.56%	66.38%	65.23%	68.11%	60.94%	62.74%	70.42%	70.00%	72.17%	64.74%	68.04%	65.74%	64.13%	65.49%	66.69%	65.91%	67.89%	63.54%	68.73%	68.47%	75.34%	68.52%	66.69%	68.97%	63.01%	62.34%	66.04%	56.87%	73.41%	68.83%	68.51%	68.46%	72.04%	78.38%	72.30%	71.05%	69.01%	74.97%	71.61%	69.19%	70.20%	72.53%	65.52%	70.76%	71.98%	68.52%	67.88%	68.91%	72.95%	66.07%	75.91%	64.47%	75.34%	70.50%	69.10%	75.77%	91.61%					
22	. Хакамада Ирина Муцуовна	4012	58	54	112	68	48	23	22	38	12	27	17	82	71	12	75	42	59	51	35	110	96	111	75	67	68	46	112	60	43	69	56	70	79	30	80	40	36	44	42	62	48	94	87	59	106	66	58	65	40	61	27	63	50	16	39	25	66	48	70	66	71	64	46	51	42	39	48	42	62	37	43	5	6	0					
		4.09%	3.20%	4.15%	6.40%	5.26%	3.02%	2.35%	2.84%	2.62%	2.95%	3.14%	5.43%	5.45%	5.04%	3.22%	5.98%	3.81%	5.24%	4.17%	4.94%	6.69%	5.07%	6.86%	5.97%	5.36%	4.63%	2.74%	5.84%	4.20%	3.85%	4.41%	3.40%	4.42%	4.87%	3.16%	5.57%	3.58%	3.81%	2.37%	3.43%	4.69%	3.60%	6.13%	6.69%	5.29%	5.92%	3.46%	3.72%	4.13%	4.31%	3.95%	1.94%	3.34%	3.71%	2.56%	2.67%	2.63%	4.38%	3.89%	4.64%	3.10%	3.55%	3.74%	2.94%	3.32%	4.16%	3.04%	3.28%	2.65%	4.01%	2.51%	2.64%	2.81%	1.15%	0.00%					
23	. Харитонов Николай Михайлович	9896	143	111	151	121	139	61	61	107	39	67	20	185	176	40	117	115	124	125	56	164	155	187	115	103	118	132	212	136	135	192	139	194	215	123	174	105	93	151	151	141	135	179	140	132	235	159	170	177	88	110	110	205	122	53	119	113	156	141	116	367	189	161	211	218	83	150	141	135	116	139	170	20	39	4					
		10.09%	7.88%	8.53%	8.63%	9.35%	8.73%	6.24%	7.87%	7.38%	9.58%	7.79%	6.39%	12.30%	12.50%	10.72%	9.32%	10.43%	11.02%	10.23%	7.91%	9.97%	8.18%	11.56%	9.16%	8.23%	8.03%	7.87%	11.06%	9.53%	12.08%	12.28%	8.43%	12.26%	13.26%	12.95%	12.11%	9.41%	9.84%	8.13%	12.35%	10.67%	10.12%	11.68%	10.76%	11.83%	13.13%	8.34%	10.90%	11.26%	9.47%	7.12%	7.90%	10.86%	9.06%	8.47%	8.16%	11.88%	10.36%	11.42%	7.70%	17.26%	9.45%	9.40%	13.47%	14.17%	8.22%	11.69%	9.64%	8.51%	7.51%	9.42%	10.45%	11.24%	7.50%	2.80%					
																																																																																	
24	Против всех	5661	60	49	133	55	104	42	36	65	19	48	13	113	78	23	87	84	86	63	49	129	129	123	101	62	100	111	157	81	65	69	201	72	88	58	72	64	64	116	66	80	74	87	100	57	83	80	77	82	57	85	52	90	74	34	99	28	85	54	92	94	144	95	74	73	60	40	75	65	128	68	91	11	35	3					
		5.77%	3.31%	3.77%	7.60%	4.25%	6.53%	4.29%	4.65%	4.48%	4.67%	5.58%	4.15%	7.51%	5.54%	6.17%	6.93%	7.62%	7.64%	5.16%	6.92%	7.84%	6.81%	7.60%	8.04%	4.96%	6.80%	6.62%	8.19%	5.68%	5.81%	4.41%	12.19%	4.55%	5.43%	6.11%	5.01%	5.73%	6.77%	6.25%	5.40%	6.06%	5.55%	5.68%	7.69%	5.11%	4.64%	4.20%	4.94%	5.22%	6.14%	5.50%	3.74%	4.77%	5.49%	5.43%	6.79%	2.94%	5.64%	4.37%	6.10%	4.42%	7.20%	5.55%	4.73%	4.75%	5.94%	3.12%	5.13%	4.10%	8.28%	4.61%	5.59%	6.18%	6.73%	2.10%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
