Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Бийская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК  594	УИК  595	УИК  596	УИК  597	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625	УИК  626					
		0.49%	0.92%	0.0%	0.76%	0.34%	2.01%	0.58%	0.38%	0.0%	0.0%	0.17%	0.46%	0.0%	0.71%	0.44%	0.89%	1.27%	1.27%	0.99%	0.0%	0.37%	0.39%	0.36%	0.22%	0.35%	0.0%	0.42%	0.0%	0.78%	0.0%	0.64%	0.94%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	26	1	0	0	5	2	3	2	1	0	0	3	0	0	1	2	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0					
		0.15%	0.23%	0.0%	0.0%	0.42%	0.80%	0.35%	0.38%	0.28%	0.0%	0.0%	0.27%	0.0%	0.0%	0.44%	0.22%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.09%	0.07%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	43	2	0	2	2	0	1	0	0	0	3	4	0	5	0	4	0	0	1	0	0	0	2	3	5	1	5	0	1	1	0	1	0	0					
		0.25%	0.46%	0.0%	0.76%	0.17%	0.0%	0.11%	0.0%	0.0%	0.0%	0.51%	0.37%	0.0%	0.44%	0.0%	0.44%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.18%	0.22%	0.35%	1.42%	0.71%	0.0%	0.78%	0.48%	0.0%	0.15%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	12	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	0	0	0	0	1	1	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.17%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.07%	1.42%	0.28%	0.0%	0.0%	0.0%	0.0%	0.15%	0.13%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	28	0	1	0	2	2	2	2	0	0	1	2	0	0	0	0	0	1	4	0	0	0	3	3	2	0	1	0	0	0	0	0	2	0					
		0.16%	0.0%	0.20%	0.0%	0.17%	0.80%	0.23%	0.38%	0.0%	0.0%	0.17%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.56%	0.0%	0.0%	0.0%	0.27%	0.22%	0.14%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%					
27	"10. ""Аграрная партия России"""	1563	30	54	15	114	15	117	59	24	2	46	94	13	96	20	83	5	9	78	5	69	28	71	121	109	5	93	8	5	12	14	51	98	0					
		9.30%	6.94%	11.20%	5.74%	9.73%	6.04%	13.66%	11.25%	6.91%	3.38%	7.84%	8.70%	8.49%	8.58%	8.92%	9.27%	2.12%	3.82%	11.09%	8.19%	25.55%	10.98%	6.54%	9.20%	7.70%	7.14%	13.30%	7.01%	3.90%	5.79%	9.03%	7.99%	13.64%	0.0%					
28	"11. ""Истинные патриоты России"""	13	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0					
		0.07%	0.23%	0.20%	0.38%	0.08%	0.40%	0.11%	0.0%	0.28%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.07%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	109	4	0	0	9	1	5	3	4	1	3	11	1	5	2	10	2	0	11	0	5	0	3	4	6	1	7	1	2	4	1	2	1	0					
		0.64%	0.92%	0.0%	0.0%	0.76%	0.40%	0.58%	0.57%	1.15%	1.69%	0.51%	1.01%	0.65%	0.44%	0.89%	1.11%	0.85%	0.0%	1.56%	0.0%	1.85%	0.0%	0.27%	0.30%	0.42%	1.42%	1.00%	0.87%	1.56%	1.93%	0.64%	0.31%	0.13%	0.0%					
30	"13. ""Демократическая партия России"""	56	3	4	2	3	0	1	7	5	0	0	4	0	1	0	2	0	0	4	0	0	0	2	3	3	0	1	5	0	0	0	4	2	0					
		0.33%	0.69%	0.82%	0.76%	0.25%	0.0%	0.11%	1.33%	1.44%	0.0%	0.0%	0.37%	0.0%	0.08%	0.0%	0.22%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.18%	0.22%	0.21%	0.0%	0.14%	4.38%	0.0%	0.0%	0.0%	0.62%	0.27%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	26	0	1	0	0	1	1	3	0	0	0	3	0	2	0	1	0	0	0	0	0	0	3	4	4	1	0	1	0	0	1	0	0	0					
		0.15%	0.0%	0.20%	0.0%	0.0%	0.40%	0.11%	0.57%	0.0%	0.0%	0.0%	0.27%	0.0%	0.17%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.30%	0.28%	1.42%	0.0%	0.87%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	14	1	0	1	1	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0					
		0.08%	0.23%	0.0%	0.38%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.07%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1155	13	24	26	76	12	25	28	14	1	21	87	5	100	16	106	16	23	38	6	7	10	109	131	148	5	35	4	7	6	10	24	21	1					
		6.87%	3.00%	4.97%	9.96%	6.49%	4.83%	2.92%	5.34%	4.03%	1.69%	3.58%	8.05%	3.26%	8.94%	7.14%	11.84%	6.80%	9.78%	5.40%	9.83%	2.59%	3.92%	10.04%	9.96%	10.45%	7.14%	5.00%	3.50%	5.46%	2.89%	6.45%	3.76%	2.92%	1.81%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	36	3	0	0	2	0	2	2	0	0	1	3	0	2	0	1	0	0	1	1	1	1	1	3	3	1	1	1	1	0	1	1	3	0					
		0.21%	0.69%	0.0%	0.0%	0.17%	0.0%	0.23%	0.38%	0.0%	0.0%	0.17%	0.27%	0.0%	0.17%	0.0%	0.11%	0.0%	0.0%	0.14%	1.63%	0.37%	0.39%	0.09%	0.22%	0.21%	1.42%	0.14%	0.87%	0.78%	0.0%	0.64%	0.15%	0.41%	0.0%					
35	"18. ""ЛДПР"""	2413	57	87	42	208	26	90	97	44	13	97	141	18	144	28	91	35	44	88	7	58	49	174	145	171	23	137	15	16	37	22	106	94	9					
		14.36%	13.19%	18.04%	16.09%	17.76%	10.48%	10.51%	18.51%	12.68%	22.03%	16.55%	13.05%	11.76%	12.88%	12.49%	10.16%	14.89%	18.72%	12.51%	11.47%	21.48%	19.21%	16.03%	11.03%	12.08%	32.85%	19.59%	13.15%	12.5%	17.87%	14.19%	16.61%	13.09%	16.36%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	288	12	8	10	12	5	17	7	5	0	8	19	3	24	7	20	4	0	18	1	3	9	16	15	31	1	7	2	1	1	3	8	11	0					
		1.71%	2.77%	1.65%	3.83%	1.02%	2.01%	1.98%	1.33%	1.44%	0.0%	1.36%	1.75%	1.96%	2.14%	3.12%	2.23%	1.70%	0.0%	2.56%	1.63%	1.11%	3.52%	1.47%	1.14%	2.19%	1.42%	1.00%	1.75%	0.78%	0.48%	1.93%	1.25%	1.53%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	5083	125	160	83	354	73	177	170	161	31	200	333	41	313	74	276	80	41	263	29	43	87	282	339	464	18	198	47	33	43	55	276	181	33					
		30.26%	28.93%	33.19%	31.80%	30.23%	29.43%	20.67%	32.44%	46.39%	52.54%	34.12%	30.83%	26.79%	27.99%	33.03%	30.83%	34.04%	17.44%	37.41%	47.54%	15.92%	34.11%	25.99%	25.79%	32.79%	25.71%	28.32%	41.22%	25.78%	20.77%	35.48%	43.26%	25.20%	59.99%					
38	"21. ""Российская Конституционно-демократическая партия"""	20	1	2	0	3	0	1	0	0	0	2	2	0	0	0	1	0	1	0	1	0	0	1	1	2	0	0	0	0	0	0	1	1	0					
		0.11%	0.23%	0.41%	0.0%	0.25%	0.0%	0.11%	0.0%	0.0%	0.0%	0.34%	0.18%	0.0%	0.0%	0.0%	0.11%	0.0%	0.42%	0.0%	1.63%	0.0%	0.0%	0.09%	0.07%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.13%	0.0%					
39	"22. ""Развитие предпринимательства"""	32	4	0	0	5	0	1	0	0	0	2	2	0	3	0	0	0	1	1	0	0	0	4	3	1	0	2	0	1	0	0	1	1	0					
		0.19%	0.92%	0.0%	0.0%	0.42%	0.0%	0.11%	0.0%	0.0%	0.0%	0.34%	0.18%	0.0%	0.26%	0.0%	0.0%	0.0%	0.42%	0.14%	0.0%	0.0%	0.0%	0.36%	0.22%	0.07%	0.0%	0.28%	0.0%	0.78%	0.0%	0.0%	0.15%	0.13%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3525	108	79	38	225	66	342	81	44	4	118	156	52	200	29	165	38	82	115	3	48	37	254	334	305	6	134	21	35	81	26	84	204	11					
		20.99%	25.0%	16.39%	14.55%	19.21%	26.61%	39.95%	15.45%	12.68%	6.77%	20.13%	14.44%	33.98%	17.88%	12.94%	18.43%	16.17%	34.89%	16.35%	4.91%	17.77%	14.50%	23.41%	25.41%	21.55%	8.57%	19.17%	18.42%	27.34%	39.13%	16.77%	13.16%	28.41%	20.0%					
																																								
41	Против всех	581	16	14	6	33	10	17	18	7	3	14	51	10	50	9	44	18	8	22	7	10	3	48	46	34	1	25	1	5	11	5	12	23	0					
		3.45%	3.70%	2.90%	2.29%	2.81%	4.03%	1.98%	3.43%	2.01%	5.08%	2.38%	4.72%	6.53%	4.47%	4.01%	4.91%	7.65%	3.40%	3.12%	11.47%	3.70%	1.17%	4.42%	3.50%	2.40%	1.42%	3.57%	0.87%	3.90%	5.31%	3.22%	1.88%	3.20%	0.0%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
