Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Кинешемская городская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251					
11	Число полученных открепительных  удостоверений	1165	30	30	30	30	30	30	35	35	35	30	30	35	30	30	30	35	20	30	30	30	30	30	30	30	30	30	30	25	25	30	30	30	30	35	35	35	30	35	0					
12	Число выданных открепительных удостоверений	512	2	14	8	11	14	15	14	9	16	26	22	15	19	18	21	28	5	18	15	19	17	12	10	10	9	19	28	5	12	5	11	5	8	27	8	8	1	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	426	3	2	8	2	3	8	14	10	9	5	2	3	8	5	11	7	3	10	15	7	10	12	3	4	7	3	8	10	10	12	10	3	5	6	5	9	8	5	161					
14	Число неиспользованных открепительных удостоверений	653	28	16	22	19	16	15	21	26	19	4	8	20	11	12	9	7	15	12	15	11	13	18	20	20	21	11	2	20	13	25	19	25	22	8	27	27	29	27	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	1520	22	13	34	15	39	42	53	49	41	37	51	73	49	62	51	77	19	52	44	75	45	45	33	53	18	35	22	22	40	37	43	26	20	45	52	37	28	19	2					
		4.37%	4.70%	1.90%	3.89%	2.61%	4.16%	4.48%	4.74%	3.95%	3.44%	3.77%	4.69%	6.16%	4.67%	6.07%	4.37%	6.14%	3.53%	4.34%	3.70%	6.01%	4.03%	4.04%	5.49%	5.71%	2.79%	4.29%	2.07%	4.11%	5.45%	6.73%	4.76%	4.39%	3.21%	4.75%	4.74%	4.46%	4.05%	2.48%	0.82%					
19	. Малышкин Олег Александрович	938	9	28	29	22	15	22	33	25	29	35	26	34	22	33	33	24	14	39	30	25	29	30	10	37	15	20	36	11	18	13	28	16	14	21	32	25	26	21	9					
		2.70%	1.92%	4.09%	3.31%	3.83%	1.60%	2.35%	2.95%	2.01%	2.43%	3.56%	2.39%	2.87%	2.10%	3.23%	2.83%	1.91%	2.60%	3.26%	2.53%	2.00%	2.60%	2.69%	1.66%	3.99%	2.33%	2.45%	3.38%	2.06%	2.45%	2.36%	3.10%	2.70%	2.24%	2.22%	2.91%	3.02%	3.76%	2.75%	3.69%					
20	. Миронов Сергей Михайлович	301	1	6	9	3	6	6	9	14	11	10	13	13	15	6	9	12	1	10	11	8	11	6	5	9	7	4	10	3	5	8	8	2	5	10	14	7	6	5	3					
		0.87%	0.21%	0.88%	1.03%	0.52%	0.64%	0.64%	0.80%	1.13%	0.92%	1.02%	1.20%	1.10%	1.43%	0.59%	0.77%	0.96%	0.19%	0.84%	0.93%	0.64%	0.98%	0.54%	0.83%	0.97%	1.09%	0.49%	0.94%	0.56%	0.68%	1.45%	0.89%	0.34%	0.80%	1.05%	1.28%	0.84%	0.87%	0.65%	1.23%					
21	. Путин Владимир Владимирович	23011	312	446	568	392	662	656	774	864	818	686	715	736	657	653	814	788	347	741	749	821	767	686	355	552	468	608	718	323	424	363	596	387	412	655	730	539	467	576	186					
		66.23%	66.67%	65.20%	64.91%	68.17%	70.65%	70.01%	69.17%	69.62%	68.57%	69.86%	65.78%	62.06%	62.57%	63.89%	69.75%	62.79%	64.50%	61.90%	63.05%	65.84%	68.67%	61.52%	59.07%	59.48%	72.56%	74.60%	67.48%	60.37%	57.77%	66.00%	66.00%	65.37%	66.03%	69.09%	66.48%	65.02%	67.58%	75.29%	76.23%					
22	. Хакамада Ирина Муцуовна	1025	10	13	24	8	20	24	30	52	35	38	39	38	38	33	29	47	18	29	53	55	31	37	9	32	11	11	26	7	27	22	23	16	10	36	35	22	14	21	2					
		2.95%	2.14%	1.90%	2.74%	1.39%	2.13%	2.56%	2.68%	4.19%	2.93%	3.87%	3.59%	3.20%	3.62%	3.23%	2.49%	3.75%	3.35%	2.42%	4.46%	4.41%	2.78%	3.32%	1.50%	3.45%	1.71%	1.35%	2.44%	1.31%	3.68%	4.00%	2.55%	2.70%	1.60%	3.80%	3.19%	2.65%	2.03%	2.75%	0.82%					
23	. Харитонов Николай Михайлович	6295	99	153	155	111	145	161	160	179	217	143	197	225	192	180	189	257	81	267	237	204	170	254	154	205	98	116	188	146	184	77	174	118	138	137	177	167	132	93	15					
		18.12%	21.15%	22.37%	17.71%	19.30%	15.47%	17.18%	14.30%	14.42%	18.19%	14.56%	18.12%	18.97%	18.29%	17.61%	16.20%	20.48%	15.06%	22.31%	19.95%	16.36%	15.22%	22.78%	25.62%	22.09%	15.19%	14.23%	17.67%	27.29%	25.07%	14.00%	19.27%	19.93%	22.12%	14.45%	16.12%	20.14%	19.10%	12.16%	6.15%					
																																														
24	Против всех	1420	10	22	49	18	42	21	56	52	35	26	44	61	74	47	31	44	49	50	58	52	53	52	30	34	23	17	51	20	33	26	24	19	15	40	55	27	14	20	26					
		4.09%	2.14%	3.22%	5.60%	3.13%	4.48%	2.24%	5.00%	4.19%	2.93%	2.65%	4.05%	5.14%	7.05%	4.60%	2.66%	3.51%	9.11%	4.18%	4.88%	4.17%	4.74%	4.66%	4.99%	3.66%	3.57%	2.09%	4.79%	3.74%	4.50%	4.73%	2.66%	3.21%	2.40%	4.22%	5.01%	3.26%	2.03%	2.61%	10.66%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
