Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Корткеросская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465					
19	. Малышкин Олег Александрович	290	9	41	1	9	4	1	16	15	18	20	2	9	8	8	8	5	3	11	17	3	6	16	3	17	4	5	8	1	1	21					
		2.90%	3.64%	6.73%	0.98%	6.72%	4.21%	0.96%	4.28%	3.28%	1.86%	3.32%	2.27%	3.42%	4.19%	2.27%	3.98%	1.84%	2.46%	3.90%	1.82%	0.93%	1.66%	4.98%	1.99%	3.34%	1.04%	2.65%	1.87%	0.91%	0.62%	3.25%					
20	. Миронов Сергей Михайлович	106	1	11	1	3	0	3	5	3	10	9	1	1	3	2	3	2	0	4	10	3	3	4	1	2	2	0	1	2	2	14					
		1.06%	0.40%	1.81%	0.98%	2.24%	0.00%	2.88%	1.34%	0.66%	1.03%	1.49%	1.14%	0.38%	1.57%	0.57%	1.49%	0.74%	0.00%	1.42%	1.07%	0.93%	0.83%	1.25%	0.66%	0.39%	0.52%	0.00%	0.23%	1.82%	1.24%	2.16%					
21	. Путин Владимир Владимирович	7367	196	387	81	102	68	86	255	301	642	403	71	206	146	266	150	210	105	219	712	258	301	255	122	358	302	156	320	96	138	455					
		73.78%	79.35%	63.55%	79.41%	76.12%	71.58%	82.69%	68.18%	65.72%	66.32%	66.83%	80.68%	78.33%	76.44%	75.57%	74.63%	77.21%	86.07%	77.66%	76.15%	79.88%	83.38%	79.44%	80.79%	70.33%	78.24%	82.54%	74.94%	87.27%	85.71%	70.32%					
22	. Хакамада Ирина Муцуовна	328	6	20	2	1	3	2	10	21	51	22	2	4	3	10	7	9	3	12	32	15	11	7	4	20	18	2	12	2	4	13					
		3.28%	2.43%	3.28%	1.96%	0.75%	3.16%	1.92%	2.67%	4.59%	5.27%	3.65%	2.27%	1.52%	1.57%	2.84%	3.48%	3.31%	2.46%	4.26%	3.42%	4.64%	3.05%	2.18%	2.65%	3.93%	4.66%	1.06%	2.81%	1.82%	2.48%	2.01%					
23	. Харитонов Николай Михайлович	1354	22	115	10	15	13	7	58	84	141	95	9	29	23	44	22	34	7	29	118	34	32	27	20	91	44	22	70	9	11	119					
		13.56%	8.91%	18.88%	9.80%	11.19%	13.68%	6.73%	15.51%	18.34%	14.57%	15.75%	10.23%	11.03%	12.04%	12.50%	10.95%	12.50%	5.74%	10.28%	12.62%	10.53%	8.86%	8.41%	13.25%	17.88%	11.40%	11.64%	16.39%	8.18%	6.83%	18.39%					
																																					
24	Против всех	231	2	13	5	2	1	1	6	14	60	32	2	8	3	9	5	4	1	4	20	5	3	4	0	8	4	0	5	0	2	8					
		2.31%	0.81%	2.13%	4.90%	1.49%	1.05%	0.96%	1.60%	3.06%	6.20%	5.31%	2.27%	3.04%	1.57%	2.56%	2.49%	1.47%	0.82%	1.42%	2.14%	1.55%	0.83%	1.25%	0.00%	1.57%	1.04%	0.00%	1.17%	0.00%	1.24%	1.24%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
