Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Таштагольская городская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002	УИК  1003					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	450	5	17	12	5	18	8	24	27	10	14	8	15	18	22	10	23	21	20	16	8	20	16	30	10	10	5	4	9	5	5	5	12	2	10	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	76	1	3	0	2	3	4	10	2	2	2	0	0	0	6	1	2	11	0	0	3	12	2	0	1	5	0	0	1	0	0	0	3	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	0	1	1	2	0	2	2	1	3	0	1	0	0	0	0	0	0	0	0	5	2	1	0	9	9	2	1	0	1	1	1	3	1	3	2	0					
14	Число погашенных открепительных удостоверений	374	4	14	12	3	15	4	14	25	8	12	8	15	18	16	9	21	10	20	16	5	8	14	30	9	5	5	4	8	5	5	5	9	2	10	3	3					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	"1. ""ЕДИНЕНИЕ"""	99	0	7	1	4	0	6	0	0	0	0	11	2	1	3	1	1	0	1	3	2	2	5	8	15	16	0	1	0	0	0	6	2	0	1	0	0					
		0.32%	0.0%	1.01%	0.08%	0.55%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	1.02%	0.34%	0.09%	0.21%	0.42%	0.09%	0.0%	0.17%	0.54%	0.18%	0.12%	0.76%	0.59%	0.96%	1.19%	0.0%	0.33%	0.0%	0.0%	0.0%	1.45%	0.24%	0.0%	0.16%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	112	0	7	1	1	0	4	13	0	0	0	6	0	1	3	0	0	11	2	4	3	2	1	14	14	13	1	1	0	0	5	1	1	0	1	2	0					
		0.36%	0.0%	1.01%	0.08%	0.13%	0.0%	0.23%	0.63%	0.0%	0.0%	0.0%	0.56%	0.0%	0.09%	0.21%	0.0%	0.0%	0.54%	0.35%	0.72%	0.27%	0.12%	0.15%	1.04%	0.90%	0.97%	0.30%	0.33%	0.0%	0.0%	1.37%	0.24%	0.12%	0.0%	0.16%	1.29%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	137	0	4	0	2	0	15	16	2	0	0	11	0	10	3	1	4	0	3	4	0	2	13	8	13	20	0	0	0	0	4	1	0	0	0	1	0					
		0.44%	0.0%	0.57%	0.0%	0.27%	0.0%	0.87%	0.78%	0.26%	0.0%	0.0%	1.02%	0.0%	0.96%	0.21%	0.42%	0.36%	0.0%	0.53%	0.72%	0.0%	0.12%	1.99%	0.59%	0.83%	1.49%	0.0%	0.0%	0.0%	0.0%	1.09%	0.24%	0.0%	0.0%	0.0%	0.64%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	253	6	15	1	3	0	41	14	4	2	0	22	0	5	14	0	2	12	3	4	4	11	14	14	27	23	4	1	0	0	2	1	1	0	3	0	0					
		0.82%	1.67%	2.17%	0.08%	0.41%	0.0%	2.38%	0.68%	0.53%	0.20%	0.0%	2.05%	0.0%	0.48%	1.00%	0.0%	0.18%	0.59%	0.53%	0.72%	0.37%	0.67%	2.15%	1.04%	1.73%	1.72%	1.20%	0.33%	0.0%	0.0%	0.54%	0.24%	0.12%	0.0%	0.49%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	36	0	0	1	1	0	0	0	0	0	0	2	2	1	4	0	0	0	3	0	1	3	1	3	3	0	1	1	0	0	6	1	1	0	1	0	0					
		0.11%	0.0%	0.0%	0.08%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.34%	0.09%	0.28%	0.0%	0.0%	0.0%	0.53%	0.0%	0.09%	0.18%	0.15%	0.22%	0.19%	0.0%	0.30%	0.33%	0.0%	0.0%	1.64%	0.24%	0.12%	0.0%	0.16%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	49	0	1	0	0	1	0	1	0	0	0	0	0	1	5	1	0	15	4	3	2	3	0	4	3	4	0	0	0	0	1	0	0	0	0	0	0					
		0.15%	0.0%	0.14%	0.0%	0.0%	0.07%	0.0%	0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.35%	0.42%	0.0%	0.74%	0.70%	0.54%	0.18%	0.18%	0.0%	0.29%	0.19%	0.29%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	42	0	0	2	0	0	0	0	0	0	0	5	0	4	3	1	0	9	2	0	4	1	2	2	5	1	0	0	0	0	0	0	1	0	0	0	0					
		0.13%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.38%	0.21%	0.42%	0.0%	0.44%	0.35%	0.0%	0.37%	0.06%	0.30%	0.14%	0.32%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	8	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	27	0	0	0	0	2	2	3	0	1	0	0	0	0	0	1	0	0	0	0	0	6	2	0	2	3	0	1	0	0	1	3	0	0	0	0	0					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.15%	0.11%	0.14%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.30%	0.0%	0.12%	0.22%	0.0%	0.33%	0.0%	0.0%	0.27%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	128	0	8	2	1	0	7	9	0	2	0	8	0	7	7	0	5	0	2	2	3	3	10	10	13	11	4	1	0	0	9	0	1	0	1	2	0					
		0.41%	0.0%	1.15%	0.16%	0.13%	0.0%	0.40%	0.44%	0.0%	0.20%	0.0%	0.74%	0.0%	0.67%	0.50%	0.0%	0.46%	0.0%	0.35%	0.36%	0.27%	0.18%	1.53%	0.74%	0.83%	0.82%	1.20%	0.33%	0.0%	0.0%	2.47%	0.0%	0.12%	0.0%	0.16%	1.29%	0.0%					
28	"11. ""Истинные патриоты России"""	10	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	2	2	0	0	0	0	0	1	0	0	0	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.07%	0.12%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	47	0	0	1	0	0	0	0	2	0	0	7	0	8	3	0	0	0	1	2	2	0	2	3	9	4	0	0	0	0	1	0	1	0	1	0	0					
		0.15%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.65%	0.0%	0.76%	0.21%	0.0%	0.0%	0.0%	0.17%	0.36%	0.18%	0.0%	0.30%	0.22%	0.57%	0.29%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.12%	0.0%	0.16%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	20	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	3	0	2	1	1	6	0	1	0	0	1	0	0	0	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.09%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.30%	0.07%	0.06%	0.44%	0.0%	0.33%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	10	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	1	0	0	0	0					
		0.03%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.07%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.15%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	10	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0					
		0.03%	0.0%	0.14%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.18%	0.09%	0.0%	0.15%	0.07%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	655	0	31	16	46	12	26	47	23	6	0	2	6	10	22	1	6	0	2	1	2	31	38	68	117	106	0	2	1	0	6	4	3	2	16	2	0					
		2.12%	0.0%	4.48%	1.34%	6.41%	0.94%	1.51%	2.30%	3.07%	0.60%	0.0%	0.18%	1.03%	0.96%	1.57%	0.42%	0.55%	0.0%	0.35%	0.18%	0.18%	1.88%	5.83%	5.09%	7.53%	7.94%	0.0%	0.67%	0.15%	0.0%	1.64%	0.97%	0.36%	1.12%	2.61%	1.29%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	20	0	0	0	0	0	2	2	0	1	0	3	0	1	0	1	0	0	1	1	1	2	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.09%	0.0%	0.10%	0.0%	0.28%	0.0%	0.09%	0.0%	0.42%	0.0%	0.0%	0.17%	0.18%	0.09%	0.12%	0.15%	0.22%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	990	10	12	16	25	12	43	67	12	12	0	4	25	23	97	8	11	22	49	5	42	23	69	76	130	128	7	1	0	5	11	9	10	0	18	5	3					
		3.21%	2.78%	1.73%	1.34%	3.48%	0.94%	2.50%	3.28%	1.60%	1.21%	0.0%	0.37%	4.31%	2.20%	6.93%	3.40%	1.01%	1.09%	8.65%	0.90%	3.91%	1.40%	10.59%	5.69%	8.37%	9.59%	2.11%	0.33%	0.0%	1.34%	3.02%	2.18%	1.20%	0.0%	2.94%	3.22%	1.91%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	118	0	2	4	0	0	0	7	1	2	0	9	0	7	7	2	5	0	1	0	2	12	2	18	18	10	0	1	0	0	5	0	0	0	2	1	0					
		0.38%	0.0%	0.28%	0.33%	0.0%	0.0%	0.0%	0.34%	0.13%	0.20%	0.0%	0.84%	0.0%	0.67%	0.50%	0.85%	0.46%	0.0%	0.17%	0.0%	0.18%	0.73%	0.30%	1.34%	1.15%	0.74%	0.0%	0.33%	0.0%	0.0%	1.37%	0.0%	0.0%	0.0%	0.32%	0.64%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	26056	324	584	1031	596	1173	1491	1735	675	941	483	912	533	835	1070	207	963	1823	481	502	967	1431	411	981	1069	842	302	262	652	366	295	371	753	176	532	134	153					
		84.62%	90.25%	84.51%	86.71%	83.12%	92.0%	86.88%	84.96%	90.24%	95.43%	85.94%	85.15%	91.89%	80.21%	76.48%	88.08%	88.67%	90.33%	84.98%	90.45%	90.12%	87.20%	63.13%	73.48%	68.83%	63.11%	91.23%	87.91%	98.63%	98.12%	81.04%	90.04%	90.94%	98.87%	87.07%	86.45%	97.45%					
38	"21. ""Российская Конституционно-демократическая партия"""	23	0	1	1	0	0	0	0	0	0	0	5	0	2	0	0	1	0	2	0	0	1	2	0	3	0	0	0	0	0	2	0	1	0	2	0	0					
		0.07%	0.0%	0.14%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.19%	0.0%	0.0%	0.09%	0.0%	0.35%	0.0%	0.0%	0.06%	0.30%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.12%	0.0%	0.32%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	26	0	0	2	1	0	0	3	0	2	0	1	0	2	1	1	0	0	0	0	0	2	1	5	3	0	1	0	0	0	0	0	0	0	1	0	0					
		0.08%	0.0%	0.0%	0.16%	0.13%	0.0%	0.0%	0.14%	0.0%	0.20%	0.0%	0.09%	0.0%	0.19%	0.07%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.15%	0.37%	0.19%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1507	17	18	99	31	71	61	90	15	8	79	32	11	81	143	9	75	82	5	21	30	89	53	74	96	99	8	7	0	2	7	10	50	0	26	8	0					
		4.89%	4.73%	2.60%	8.32%	4.32%	5.56%	3.55%	4.40%	2.00%	0.81%	14.05%	2.98%	1.89%	7.78%	10.22%	3.82%	6.90%	4.06%	0.88%	3.78%	2.79%	5.42%	8.14%	5.54%	6.18%	7.42%	2.41%	2.34%	0.0%	0.53%	1.92%	2.42%	6.03%	0.0%	4.25%	5.16%	0.0%					
																																											
41	Против всех	250	2	0	7	4	2	8	24	8	8	0	30	0	24	2	0	2	19	2	2	1	6	15	33	0	31	2	2	3	0	4	2	0	0	6	0	1					
		0.81%	0.55%	0.0%	0.58%	0.55%	0.15%	0.46%	1.17%	1.06%	0.81%	0.0%	2.80%	0.0%	2.30%	0.14%	0.0%	0.18%	0.94%	0.35%	0.36%	0.09%	0.36%	2.30%	2.47%	0.0%	2.32%	0.60%	0.67%	0.45%	0.0%	1.09%	0.48%	0.0%	0.0%	0.98%	0.0%	0.63%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
