Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Алексеевская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	25	1	0	1	0	0	0	0	0	0	0	1	3	0	1	3	0	1	0	0	0	1	0	0	1	1	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	2									
		0.13%	0.07%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.90%	0.00%	1.08%	0.69%	0.00%	0.17%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	1.01%	0.85%	0.00%	0.43%	0.57%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.59%	0.00%	0.74%	0.00%	0.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	61	1	0	1	0	0	1	1	1	1	0	2	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	6	1	2	0	0	0	2	2	0	1	0	1	2	1	1	0	4	0	1	1	17	0	2	4									
		0.31%	0.07%	0.00%	0.09%	0.00%	0.00%	0.10%	0.08%	1.69%	0.17%	0.00%	0.67%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	3.61%	0.00%	0.00%	0.00%	2.56%	0.29%	1.13%	0.00%	0.00%	0.00%	0.65%	1.67%	0.00%	0.28%	0.00%	0.79%	0.86%	0.65%	0.63%	0.00%	1.22%	0.00%	0.19%	0.59%	3.70%	0.00%	1.41%	1.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	54	2	0	2	0	7	5	3	0	4	0	1	1	0	0	1	0	1	2	0	0	0	0	0	0	1	1	2	1	0	0	2	0	1	1	0	1	1	1	3	1	1	0	4	0	1	0	1	0	0	2									
		0.28%	0.15%	0.00%	0.18%	0.00%	0.59%	0.50%	0.24%	0.00%	0.69%	0.00%	0.33%	0.30%	0.00%	0.00%	0.23%	0.00%	0.17%	1.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.31%	0.85%	0.29%	0.00%	0.00%	0.34%	0.00%	0.33%	0.83%	0.00%	0.28%	0.33%	0.79%	1.29%	0.65%	0.63%	0.00%	1.22%	0.00%	0.19%	0.00%	0.22%	0.00%	0.00%	0.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18392	1334	1212	1060	1091	1105	939	1159	50	540	963	279	308	240	86	406	111	548	157	52	146	163	237	76	91	108	312	210	327	165	37	543	48	287	110	181	337	279	110	221	143	149	306	241	218	508	164	428	126	133	348									
		94.49%	98.89%	99.75%	95.50%	99.73%	93.88%	93.62%	94.07%	84.75%	92.62%	94.04%	93.31%	92.77%	93.75%	92.47%	93.76%	92.50%	93.84%	92.90%	92.86%	95.42%	94.77%	96.73%	91.57%	91.92%	92.31%	95.41%	89.74%	93.70%	93.22%	94.87%	93.30%	94.12%	93.49%	91.67%	92.35%	93.61%	92.69%	86.61%	95.26%	92.86%	93.13%	95.63%	73.48%	94.78%	95.49%	96.47%	93.04%	92.65%	93.66%	93.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	0	0	0	0	0	2	1	0	1	0	1	2	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	2	1	0	0									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.08%	0.00%	0.17%	0.00%	0.33%	0.60%	0.00%	0.00%	0.00%	1.67%	0.17%	0.59%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.17%	0.00%	0.33%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.19%	0.00%	0.43%	0.74%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	0	0	1	0	1	0	0	0	3	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.06%	0.00%	0.00%	0.09%	0.00%	0.08%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.39%	0.00%	0.23%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	272	3	2	17	1	14	12	16	7	6	15	5	4	1	2	3	3	9	3	0	4	4	2	4	3	2	3	8	7	3	0	8	1	3	6	0	6	4	9	2	3	1	3	33	6	6	2	4	1	2	9									
		1.40%	0.22%	0.16%	1.53%	0.09%	1.19%	1.20%	1.30%	11.86%	1.03%	1.46%	1.67%	1.20%	0.39%	2.15%	0.69%	2.50%	1.54%	1.78%	0.00%	2.61%	2.33%	0.82%	4.82%	3.03%	1.71%	0.92%	3.42%	2.01%	1.69%	0.00%	1.37%	1.96%	0.98%	5.00%	0.00%	1.67%	1.33%	7.09%	0.86%	1.95%	0.63%	0.94%	10.06%	2.61%	1.13%	1.18%	0.87%	0.74%	1.41%	2.41%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	0	0	1	0	3	0	1	0	2	0	1	2	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0									
		0.09%	0.00%	0.00%	0.09%	0.00%	0.25%	0.00%	0.08%	0.00%	0.34%	0.00%	0.33%	0.60%	0.39%	0.00%	0.23%	0.00%	0.34%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	1	0	3	0	0	2	1	0	3	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0									
		0.10%	0.07%	0.00%	0.27%	0.00%	0.00%	0.20%	0.08%	0.00%	0.51%	0.00%	0.67%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.17%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	2	0	2	0	1	1	1	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0									
		0.08%	0.15%	0.00%	0.18%	0.00%	0.08%	0.10%	0.08%	0.00%	0.34%	0.00%	0.33%	0.00%	0.39%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.19%	0.00%	0.00%	0.74%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	49	2	0	4	0	7	5	2	0	4	0	2	1	2	0	4	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	2	3	0	0	0	1	0	0	0	0	0	2	0	0	0									
		0.25%	0.15%	0.00%	0.36%	0.00%	0.59%	0.50%	0.16%	0.00%	0.69%	0.00%	0.67%	0.30%	0.78%	0.00%	0.92%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.01%	0.85%	0.00%	0.00%	0.29%	0.00%	0.00%	0.17%	0.00%	0.33%	0.00%	0.00%	0.56%	0.99%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	324	1	1	18	1	15	18	19	0	8	37	3	5	4	4	6	4	8	2	1	2	4	3	0	3	2	8	6	5	2	2	9	0	5	0	15	7	5	5	4	2	3	4	39	4	8	1	6	2	5	8									
		1.66%	0.07%	0.08%	1.62%	0.09%	1.27%	1.79%	1.54%	0.00%	1.37%	3.61%	1.00%	1.51%	1.56%	4.30%	1.39%	3.33%	1.37%	1.18%	1.79%	1.31%	2.33%	1.22%	0.00%	3.03%	1.71%	2.45%	2.56%	1.43%	1.13%	5.13%	1.55%	0.00%	1.63%	0.00%	7.65%	1.94%	1.66%	3.94%	1.72%	1.30%	1.88%	1.25%	11.89%	1.74%	1.50%	0.59%	1.30%	1.47%	3.52%	2.14%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	83	1	0	0	0	13	5	15	1	3	0	0	2	3	0	4	0	3	1	0	0	0	0	0	0	1	0	0	2	1	0	7	1	2	0	0	2	2	0	0	1	3	4	0	1	4	0	0	1	0	0									
		0.43%	0.07%	0.00%	0.00%	0.00%	1.10%	0.50%	1.22%	1.69%	0.51%	0.00%	0.00%	0.60%	1.17%	0.00%	0.92%	0.00%	0.51%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.57%	0.56%	0.00%	1.20%	1.96%	0.65%	0.00%	0.00%	0.56%	0.66%	0.00%	0.00%	0.65%	1.88%	1.25%	0.00%	0.43%	0.75%	0.00%	0.00%	0.74%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	118	1	0	0	1	11	13	13	0	6	9	1	3	3	0	3	0	6	2	3	1	0	0	0	0	1	3	0	2	3	0	8	1	3	1	0	3	4	1	0	2	1	3	0	1	2	1	0	2	0	0									
		0.61%	0.07%	0.00%	0.00%	0.09%	0.93%	1.30%	1.06%	0.00%	1.03%	0.88%	0.33%	0.90%	1.17%	0.00%	0.69%	0.00%	1.03%	1.18%	5.36%	0.65%	0.00%	0.00%	0.00%	0.00%	0.85%	0.92%	0.00%	0.57%	1.69%	0.00%	1.37%	1.96%	0.98%	0.83%	0.00%	0.83%	1.33%	0.79%	0.00%	1.30%	0.63%	0.94%	0.00%	0.43%	0.38%	0.59%	0.00%	1.47%	0.00%	0.00%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
