Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																	
Дата голосования: 18.09.2016																																																																																																	
																																																																																																	
"Наименование Избирательной комиссии:    Екатеринбург, Кировская"																																																																																																	
																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																	
																																																																																																	
		Сумма	УИК №549	УИК №882	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4955	0	60	55	75	55	75	90	55	75	65	65	65	65	55	65	45	45	35	65	85	65	70	40	40	60	45	45	45	60	55	50	25	55	60	50	55	50	45	80	70	70	65	65	55	60	60	55	60	65	45	55	65	70	45	55	72	48	55	45	60	55	40	30	65	60	65	55	65	55	65	65	60	65	60	60	60	65	70	60	70	55	55	55	65	45	60									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2745	0	51	25	45	19	39	38	28	46	50	39	24	50	34	30	24	35	23	40	84	35	45	22	19	26	33	18	29	29	23	26	6	26	37	28	47	19	24	21	37	33	44	28	23	39	26	43	26	50	36	37	24	55	30	45	45	45	37	24	39	36	20	12	53	32	35	15	34	29	37	25	31	17	38	36	25	29	37	28	21	18	25	20	27	22	40									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2475	584	14	61	65	18	36	20	22	14	24	13	2	12	12	17	36	51	21	77	72	72	58	21	17	44	18	14	23	26	11	47	16	18	15	104	20	17	19	28	31	27	13	10	13	27	14	33	14	30	20	14	16	23	16	14	12	15	10	16	11	7	3	4	13	21	19	11	13	9	12	18	15	19	8	7	16	10	21	12	26	12	12	14	12	10	13									
14	Число погашенных неиспользованных открепительных удостоверений	2210	0	9	30	30	36	36	52	27	29	15	26	41	15	21	35	21	10	12	25	1	30	25	18	21	34	12	27	16	31	32	24	19	29	23	22	8	31	21	59	33	37	21	37	32	21	34	12	34	15	9	18	41	15	15	10	27	3	18	21	21	19	20	18	12	28	30	40	31	26	28	40	29	48	22	24	35	36	33	32	49	37	30	35	38	23	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	344	0	4	7	1	3	4	7	3	5	2	5	3	5	2	4	1	3	3	4	3	3	3	2	3	4	2	5	4	3	2	6	2	1	2	4	8	3	1	3	1	3	7	1	6	5	1	6	4	4	3	2	2	5	1	4	8	1	7	6	3	4	3	0	25	4	3	2	7	3	3	5	5	7	1	2	7	7	5	9	1	2	12	1	7	7	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1597	9	13	21	29	23	27	24	17	35	17	27	18	18	13	22	20	17	11	28	21	30	26	11	19	35	13	14	19	20	11	22	6	17	23	13	15	14	20	41	20	26	24	22	20	28	16	14	13	27	7	9	21	22	14	17	23	20	15	9	6	16	7	11	19	22	23	10	23	16	25	22	24	13	15	18	11	12	22	6	14	25	17	16	14	23	21									
		2.42%	1.03%	1.64%	2.50%	2.38%	2.91%	2.35%	2.27%	2.76%	3.61%	1.90%	2.80%	2.04%	2.16%	1.84%	2.54%	3.10%	2.96%	2.33%	3.06%	2.31%	3.17%	2.54%	1.95%	3.26%	4.24%	2.08%	2.43%	3.24%	2.60%	1.70%	3.21%	2.31%	2.42%	3.05%	1.87%	1.80%	2.21%	3.44%	3.05%	2.27%	2.94%	2.81%	2.70%	2.53%	3.52%	1.86%	1.97%	1.77%	2.94%	1.16%	1.29%	2.37%	2.32%	2.27%	2.38%	2.29%	3.03%	2.11%	1.97%	0.87%	2.35%	1.74%	2.83%	2.37%	2.76%	2.77%	1.47%	2.49%	2.14%	3.26%	2.54%	3.43%	1.66%	2.04%	2.65%	1.41%	1.58%	2.23%	0.98%	1.87%	3.03%	2.53%	2.34%	1.68%	4.28%	2.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1499	10	25	20	25	15	24	22	13	18	16	15	24	8	12	12	16	14	12	25	16	21	29	20	13	17	17	12	8	21	12	10	7	11	13	26	24	13	12	41	12	33	23	24	12	13	14	14	21	28	15	15	27	22	19	11	14	12	16	8	20	14	13	8	21	25	23	17	20	17	10	15	12	27	19	16	22	16	24	21	11	24	17	14	22	15	14									
		2.28%	1.15%	3.15%	2.38%	2.05%	1.90%	2.09%	2.09%	2.11%	1.86%	1.79%	1.55%	2.71%	0.96%	1.70%	1.39%	2.48%	2.43%	2.54%	2.73%	1.76%	2.22%	2.84%	3.55%	2.23%	2.06%	2.72%	2.08%	1.36%	2.73%	1.85%	1.46%	2.69%	1.57%	1.72%	3.73%	2.88%	2.05%	2.07%	3.05%	1.36%	3.73%	2.69%	2.95%	1.52%	1.64%	1.63%	1.97%	2.86%	3.05%	2.50%	2.15%	3.05%	2.32%	3.08%	1.54%	1.39%	1.82%	2.25%	1.75%	2.91%	2.06%	3.23%	2.06%	2.62%	3.13%	2.77%	2.49%	2.17%	2.27%	1.30%	1.73%	1.72%	3.44%	2.58%	2.35%	2.82%	2.10%	2.43%	3.44%	1.47%	2.91%	2.53%	2.04%	2.64%	2.79%	1.73%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	2276	11	17	22	38	16	43	35	20	26	47	21	37	37	39	45	27	23	24	33	21	45	35	19	26	20	23	15	17	26	17	20	4	28	41	18	27	22	27	23	32	33	12	25	11	24	34	35	34	36	30	24	39	24	29	16	34	21	20	20	18	20	8	10	34	39	26	19	28	24	33	43	27	20	26	17	29	25	32	25	28	32	16	25	36	33	35									
		3.46%	1.26%	2.14%	2.62%	3.12%	2.03%	3.75%	3.32%	3.24%	2.68%	5.25%	2.17%	4.19%	4.44%	5.52%	5.20%	4.18%	4.00%	5.07%	3.61%	2.31%	4.76%	3.42%	3.37%	4.47%	2.42%	3.68%	2.60%	2.90%	3.38%	2.62%	2.92%	1.54%	3.99%	5.44%	2.58%	3.24%	3.48%	4.65%	1.71%	3.63%	3.73%	1.41%	3.07%	1.39%	3.02%	3.95%	4.92%	4.64%	3.92%	4.99%	3.44%	4.40%	2.53%	4.71%	2.24%	3.38%	3.19%	2.81%	4.39%	2.62%	2.94%	1.99%	2.57%	4.24%	4.89%	3.13%	2.79%	3.04%	3.20%	4.30%	4.97%	3.86%	2.55%	3.53%	2.50%	3.72%	3.29%	3.24%	4.10%	3.75%	3.88%	2.38%	3.65%	4.32%	6.15%	4.34%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23769	687	320	288	547	242	402	327	220	334	295	353	318	276	225	278	240	214	150	327	361	331	356	161	182	276	157	204	195	251	229	209	100	243	230	235	315	217	195	556	353	289	309	283	288	288	255	248	252	319	189	247	288	336	231	256	366	249	265	164	271	273	151	193	397	237	310	236	318	278	269	294	252	281	279	251	282	288	368	214	308	279	237	237	310	166	269									
		36.09%	78.97%	40.30%	34.33%	44.87%	30.63%	35.05%	30.99%	35.66%	34.43%	32.96%	36.54%	35.97%	33.13%	31.87%	32.10%	37.15%	37.22%	31.71%	35.74%	39.63%	34.99%	34.83%	28.55%	31.27%	33.41%	25.12%	35.42%	33.22%	32.64%	35.34%	30.51%	38.46%	34.62%	30.50%	33.72%	37.77%	34.28%	33.56%	41.37%	40.07%	32.66%	36.18%	34.77%	36.36%	36.23%	29.62%	34.88%	34.38%	34.75%	31.45%	35.39%	32.51%	35.48%	37.50%	35.85%	36.42%	37.78%	37.27%	35.96%	39.45%	40.15%	37.56%	49.61%	49.56%	29.70%	37.30%	34.60%	34.49%	37.12%	35.07%	33.99%	36.05%	35.80%	37.91%	36.91%	36.20%	37.84%	37.25%	35.08%	41.23%	33.86%	35.27%	34.60%	37.17%	30.91%	33.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	1369	6	18	11	23	15	22	41	9	23	14	15	20	19	8	18	13	16	12	18	27	19	21	15	9	22	16	14	7	14	12	13	1	14	21	14	14	19	9	12	13	21	17	20	31	22	23	8	22	23	12	15	23	22	14	18	28	8	19	10	19	14	7	3	12	21	17	10	21	16	9	25	11	15	7	9	18	9	21	13	14	23	20	12	16	7	17									
		2.08%	0.69%	2.27%	1.31%	1.89%	1.90%	1.92%	3.89%	1.46%	2.37%	1.56%	1.55%	2.26%	2.28%	1.13%	2.08%	2.01%	2.78%	2.54%	1.97%	2.96%	2.01%	2.05%	2.66%	1.55%	2.66%	2.56%	2.43%	1.19%	1.82%	1.85%	1.90%	0.38%	1.99%	2.79%	2.01%	1.68%	3.00%	1.55%	0.89%	1.48%	2.37%	1.99%	2.46%	3.91%	2.77%	2.67%	1.13%	3.00%	2.51%	1.99%	2.15%	2.60%	2.32%	2.27%	2.52%	2.79%	1.21%	2.67%	2.19%	2.77%	2.06%	1.74%	0.77%	1.50%	2.63%	2.05%	1.47%	2.28%	2.14%	1.17%	2.89%	1.57%	1.91%	0.95%	1.32%	2.31%	1.18%	2.13%	2.13%	1.87%	2.79%	2.98%	1.75%	1.92%	1.30%	2.11%									
24	"6. Политическая партия ""Гражданская Платформа"""	359	0	3	4	5	1	5	7	4	8	4	1	2	5	5	10	1	2	1	4	5	1	2	6	3	5	0	3	4	2	2	1	1	8	2	6	7	3	6	8	4	7	9	3	5	8	4	4	3	3	2	5	6	8	2	5	4	6	5	6	4	8	5	2	4	6	5	3	6	3	5	6	3	7	1	2	4	5	5	2	3	2	3	6	7	4	2									
		0.55%	0.00%	0.38%	0.48%	0.41%	0.13%	0.44%	0.66%	0.65%	0.82%	0.45%	0.10%	0.23%	0.60%	0.71%	1.15%	0.15%	0.35%	0.21%	0.44%	0.55%	0.11%	0.20%	1.06%	0.52%	0.61%	0.00%	0.52%	0.68%	0.26%	0.31%	0.15%	0.38%	1.14%	0.27%	0.86%	0.84%	0.47%	1.03%	0.60%	0.45%	0.79%	1.05%	0.37%	0.63%	1.01%	0.46%	0.56%	0.41%	0.33%	0.33%	0.72%	0.68%	0.84%	0.32%	0.70%	0.40%	0.91%	0.70%	1.32%	0.58%	1.18%	1.24%	0.51%	0.50%	0.75%	0.60%	0.44%	0.65%	0.40%	0.65%	0.69%	0.43%	0.89%	0.14%	0.29%	0.51%	0.66%	0.51%	0.33%	0.40%	0.24%	0.45%	0.88%	0.84%	0.74%	0.25%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7566	54	94	72	135	73	117	120	52	103	83	88	76	104	100	103	69	73	60	122	124	98	127	60	44	93	56	47	49	80	100	57	46	79	75	79	110	78	58	240	95	107	90	114	78	73	88	71	90	110	73	95	109	111	77	96	109	71	66	68	83	112	63	48	121	87	71	74	112	92	89	91	92	100	87	99	74	91	113	74	104	89	86	89	95	56	85									
		11.49%	6.21%	11.84%	8.58%	11.07%	9.24%	10.20%	11.37%	8.43%	10.62%	9.27%	9.11%	8.60%	12.48%	14.16%	11.89%	10.68%	12.70%	12.68%	13.33%	13.61%	10.36%	12.43%	10.64%	7.56%	11.26%	8.96%	8.16%	8.35%	10.40%	15.43%	8.32%	17.69%	11.25%	9.95%	11.33%	13.19%	12.32%	9.98%	17.86%	10.78%	12.09%	10.54%	14.00%	9.85%	9.18%	10.22%	9.99%	12.28%	11.98%	12.15%	13.61%	12.30%	11.72%	12.50%	13.45%	10.85%	10.77%	9.28%	14.91%	12.08%	16.47%	15.67%	12.34%	15.11%	10.90%	8.54%	10.85%	12.15%	12.28%	11.60%	10.52%	13.16%	12.74%	11.82%	14.56%	9.50%	11.96%	11.44%	12.13%	13.92%	10.80%	12.80%	12.99%	11.39%	10.43%	10.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1379	2	22	33	23	28	31	39	24	34	22	8	8	14	12	10	8	12	2	19	29	19	16	15	24	27	10	21	24	15	9	15	7	24	24	12	17	16	19	16	13	24	32	22	33	23	22	10	15	14	16	10	21	15	6	16	17	10	17	5	18	4	14	6	2	5	16	13	13	16	12	20	7	8	8	5	20	10	16	7	8	24	19	13	15	10	19									
		2.09%	0.23%	2.77%	3.93%	1.89%	3.54%	2.70%	3.70%	3.89%	3.51%	2.46%	0.83%	0.90%	1.68%	1.70%	1.15%	1.24%	2.09%	0.42%	2.08%	3.18%	2.01%	1.57%	2.66%	4.12%	3.27%	1.60%	3.65%	4.09%	1.95%	1.39%	2.19%	2.69%	3.42%	3.18%	1.72%	2.04%	2.53%	3.27%	1.19%	1.48%	2.71%	3.75%	2.70%	4.17%	2.89%	2.56%	1.41%	2.05%	1.53%	2.66%	1.43%	2.37%	1.58%	0.97%	2.24%	1.69%	1.52%	2.39%	1.10%	2.62%	0.59%	3.48%	1.54%	0.25%	0.63%	1.93%	1.91%	1.41%	2.14%	1.56%	2.31%	1.00%	1.02%	1.09%	0.74%	2.57%	1.31%	1.62%	1.15%	1.07%	2.91%	2.83%	1.90%	1.80%	1.86%	2.35%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1734	7	29	24	40	37	26	55	17	47	27	29	16	26	14	14	18	10	14	24	26	18	13	19	35	31	20	40	16	29	6	22	4	13	22	20	24	14	16	19	18	19	30	25	39	19	25	15	14	20	10	10	19	29	8	25	31	12	15	9	12	14	9	5	9	23	19	16	20	23	16	12	12	19	15	19	14	18	23	14	6	32	20	23	22	26	20									
		2.63%	0.80%	3.65%	2.86%	3.28%	4.68%	2.27%	5.21%	2.76%	4.85%	3.02%	3.00%	1.81%	3.12%	1.98%	1.62%	2.79%	1.74%	2.96%	2.62%	2.85%	1.90%	1.27%	3.37%	6.01%	3.75%	3.20%	6.94%	2.73%	3.77%	0.93%	3.21%	1.54%	1.85%	2.92%	2.87%	2.88%	2.21%	2.75%	1.41%	2.04%	2.15%	3.51%	3.07%	4.92%	2.39%	2.90%	2.11%	1.91%	2.18%	1.66%	1.43%	2.14%	3.06%	1.30%	3.50%	3.08%	1.82%	2.11%	1.97%	1.75%	2.06%	2.24%	1.29%	1.12%	2.88%	2.29%	2.35%	2.17%	3.07%	2.09%	1.39%	1.72%	2.42%	2.04%	2.79%	1.80%	2.37%	2.33%	2.30%	0.80%	3.88%	2.98%	3.36%	2.64%	4.84%	2.48%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	121	0	0	2	1	1	1	4	1	1	0	0	1	1	2	0	3	1	0	3	2	0	0	0	4	1	0	1	0	0	3	1	0	1	0	0	2	1	0	3	1	3	1	1	5	1	2	0	0	3	1	1	2	1	1	2	3	3	0	0	3	3	0	1	4	2	4	0	1	2	1	0	1	1	2	3	1	0	4	0	3	2	0	2	4	2	3									
		0.18%	0.00%	0.00%	0.24%	0.08%	0.13%	0.09%	0.38%	0.16%	0.10%	0.00%	0.00%	0.11%	0.12%	0.28%	0.00%	0.46%	0.17%	0.00%	0.33%	0.22%	0.00%	0.00%	0.00%	0.69%	0.12%	0.00%	0.17%	0.00%	0.00%	0.46%	0.15%	0.00%	0.14%	0.00%	0.00%	0.24%	0.16%	0.00%	0.22%	0.11%	0.34%	0.12%	0.12%	0.63%	0.13%	0.23%	0.00%	0.00%	0.33%	0.17%	0.14%	0.23%	0.11%	0.16%	0.28%	0.30%	0.46%	0.00%	0.00%	0.44%	0.44%	0.00%	0.26%	0.50%	0.25%	0.48%	0.00%	0.11%	0.27%	0.13%	0.00%	0.14%	0.13%	0.27%	0.44%	0.13%	0.00%	0.40%	0.00%	0.40%	0.24%	0.00%	0.29%	0.48%	0.37%	0.37%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4658	8	62	125	107	111	142	139	53	107	47	77	60	49	47	55	35	27	34	59	63	77	47	54	78	70	77	65	64	69	34	86	11	43	64	63	67	52	55	78	51	53	77	67	96	39	61	44	48	45	39	23	49	77	21	43	66	35	44	28	31	22	27	9	13	57	60	43	55	51	51	54	45	35	34	26	36	43	33	26	26	61	46	49	60	38	60									
		7.07%	0.92%	7.81%	14.90%	8.78%	14.05%	12.38%	13.18%	8.59%	11.03%	5.25%	7.97%	6.79%	5.88%	6.66%	6.35%	5.42%	4.70%	7.19%	6.45%	6.92%	8.14%	4.60%	9.57%	13.40%	8.47%	12.32%	11.28%	10.90%	8.97%	5.25%	12.55%	4.23%	6.13%	8.49%	9.04%	8.03%	8.21%	9.47%	5.80%	5.79%	5.99%	9.02%	8.23%	12.12%	4.91%	7.08%	6.19%	6.55%	4.90%	6.49%	3.30%	5.53%	8.13%	3.41%	6.02%	6.57%	5.31%	6.19%	6.14%	4.51%	3.24%	6.72%	2.31%	1.62%	7.14%	7.22%	6.30%	5.97%	6.81%	6.65%	6.24%	6.44%	4.46%	4.62%	3.82%	4.62%	5.65%	3.34%	4.26%	3.48%	7.40%	6.85%	7.15%	7.19%	7.08%	7.43%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7221	23	69	108	107	111	111	99	56	105	99	114	113	91	68	103	66	47	63	103	81	100	135	79	56	88	86	51	76	93	76	94	43	80	96	95	93	59	64	121	96	100	92	85	77	100	90	97	85	126	71	88	107	106	72	82	118	74	92	42	63	70	43	56	74	97	84	81	97	70	75	92	65	96	91	65	82	92	113	62	75	79	83	69	84	55	86									
		10.96%	2.64%	8.69%	12.87%	8.78%	14.05%	9.68%	9.38%	9.08%	10.82%	11.06%	11.80%	12.78%	10.92%	9.63%	11.89%	10.22%	8.17%	13.32%	11.26%	8.89%	10.57%	13.21%	14.01%	9.62%	10.65%	13.76%	8.85%	12.95%	12.09%	11.73%	13.72%	16.54%	11.40%	12.73%	13.63%	11.15%	9.32%	11.02%	9.00%	10.90%	11.30%	10.77%	10.44%	9.72%	12.58%	10.45%	13.64%	11.60%	13.73%	11.81%	12.61%	12.08%	11.19%	11.69%	11.48%	11.74%	11.23%	12.94%	9.21%	9.17%	10.29%	10.70%	14.40%	9.24%	12.16%	10.11%	11.88%	10.52%	9.35%	9.78%	10.64%	9.30%	12.23%	12.36%	9.56%	10.53%	12.09%	11.44%	10.16%	10.04%	9.59%	12.35%	10.07%	10.07%	10.24%	10.66%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	344	4	5	4	7	4	4	3	5	3	3	5	1	1	1	11	4	1	1	6	9	6	3	7	3	6	8	5	4	5	1	3	2	2	2	0	2	1	0	8	5	8	4	6	6	2	7	3	6	7	3	2	4	7	3	3	10	7	6	7	3	5	3	3	7	1	3	3	1	3	3	3	5	4	5	0	1	4	4	2	6	1	2	7	5	3	1									
		0.52%	0.46%	0.63%	0.48%	0.57%	0.51%	0.35%	0.28%	0.81%	0.31%	0.34%	0.52%	0.11%	0.12%	0.14%	1.27%	0.62%	0.17%	0.21%	0.66%	0.99%	0.63%	0.29%	1.24%	0.52%	0.73%	1.28%	0.87%	0.68%	0.65%	0.15%	0.44%	0.77%	0.28%	0.27%	0.00%	0.24%	0.16%	0.00%	0.60%	0.57%	0.90%	0.47%	0.74%	0.76%	0.25%	0.81%	0.42%	0.82%	0.76%	0.50%	0.29%	0.45%	0.74%	0.49%	0.42%	0.99%	1.06%	0.84%	1.54%	0.44%	0.74%	0.75%	0.77%	0.87%	0.13%	0.36%	0.44%	0.11%	0.40%	0.39%	0.35%	0.72%	0.51%	0.68%	0.00%	0.13%	0.53%	0.40%	0.33%	0.80%	0.12%	0.30%	1.02%	0.60%	0.56%	0.12%									
