Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
"Наименование Избирательной комиссии:    Ижевск, Ленинская"																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1335	30	30	30	20	30	30	30	20	30	30	30	30	20	20	20	20	20	20	20	30	30	30	20	25	20	20	30	20	20	30	0	30	30	20	20	20	30	30	0	0	30	15	10	30	30	20	25	30	30	20	25	10	20	15	15	40	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	774	9	21	18	10	20	5	20	10	17	12	4	21	10	14	15	10	6	15	16	16	10	11	13	21	13	18	25	12	19	19	0	15	18	14	6	16	11	14	0	0	14	7	6	21	24	18	19	22	10	16	15	10	15	12	8	19	4	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	512	4	13	9	7	8	5	7	10	19	0	2	17	3	6	8	6	7	11	11	8	12	14	8	10	10	7	10	14	8	11	3	11	8	19	12	1	12	7	7	6	7	6	22	13	14	13	5	4	9	10	12	3	8	7	3	11	7	7									
14	Число погашенных неиспользованных открепительных удостоверений	561	21	9	12	10	10	25	10	10	13	18	26	9	10	6	5	10	14	5	4	14	20	19	7	4	7	2	5	8	1	11	0	15	12	6	14	4	19	16	0	0	16	8	4	9	6	2	6	8	20	4	10	0	5	3	7	21	16	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	2	0	2	1	0	1	0	1	1	3	0	0	2	0	0	1	0	1	1	0	2	2	0	1	0	0	0	0	1	1	0	3	1	0	0	0	0	1	0	0	0	1	0	0	2	0	2	1	0	1	0	0	1	3	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	457	9	9	8	11	14	2	3	13	11	5	7	5	4	4	7	5	10	12	10	5	11	10	8	17	5	8	10	10	4	9	1	8	12	11	4	5	16	2	0	0	10	1	7	9	9	15	10	18	11	11	5	3	12	9	6	4	3	9									
		1.43%	1.72%	1.52%	1.46%	2.35%	1.81%	0.52%	0.34%	2.63%	1.54%	0.72%	0.93%	0.66%	0.90%	0.93%	1.50%	0.81%	2.34%	1.76%	1.89%	1.37%	1.88%	1.30%	1.63%	2.51%	1.06%	1.20%	1.09%	1.36%	0.65%	1.88%	1.45%	1.34%	1.80%	1.82%	1.15%	0.93%	1.82%	0.30%	0.00%	0.00%	1.64%	0.45%	2.41%	1.45%	1.07%	1.68%	1.63%	2.11%	1.77%	1.47%	1.08%	1.18%	1.60%	2.10%	1.69%	1.54%	0.88%	2.27%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	836	12	8	12	13	29	12	26	13	20	17	28	27	6	14	8	15	10	16	15	7	13	17	10	7	17	15	26	19	14	13	4	15	21	11	9	7	18	15	4	0	14	2	10	17	18	26	13	17	33	26	11	4	21	17	18	8	7	11									
		2.61%	2.29%	1.35%	2.19%	2.77%	3.76%	3.12%	2.95%	2.63%	2.81%	2.44%	3.73%	3.57%	1.35%	3.26%	1.71%	2.44%	2.34%	2.35%	2.83%	1.92%	2.23%	2.21%	2.04%	1.04%	3.61%	2.26%	2.82%	2.58%	2.28%	2.71%	5.80%	2.51%	3.14%	1.82%	2.59%	1.31%	2.05%	2.28%	6.78%	0.00%	2.30%	0.91%	3.45%	2.75%	2.13%	2.91%	2.11%	1.99%	5.31%	3.47%	2.38%	1.57%	2.80%	3.97%	5.07%	3.09%	2.06%	2.78%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	656	10	15	11	16	15	7	9	10	13	8	12	12	19	9	15	12	9	19	13	11	17	14	15	10	15	6	8	8	9	11	0	11	17	22	4	10	19	11	3	1	16	3	7	8	17	21	8	22	9	12	11	5	24	8	11	0	8	10									
		2.05%	1.91%	2.53%	2.01%	3.41%	1.94%	1.82%	1.02%	2.02%	1.83%	1.15%	1.60%	1.59%	4.29%	2.09%	3.21%	1.95%	2.10%	2.79%	2.45%	3.02%	2.91%	1.82%	3.06%	1.48%	3.18%	0.90%	0.87%	1.09%	1.47%	2.29%	0.00%	1.84%	2.54%	3.65%	1.15%	1.87%	2.16%	1.67%	5.08%	2.04%	2.63%	1.36%	2.41%	1.29%	2.01%	2.35%	1.30%	2.58%	1.45%	1.60%	2.38%	1.96%	3.20%	1.87%	3.10%	0.00%	2.35%	2.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14405	235	260	235	207	374	157	459	238	313	362	409	361	233	212	225	282	180	275	200	146	257	325	206	288	193	287	398	298	240	193	42	279	319	308	169	270	367	332	29	29	238	101	194	253	362	377	232	392	272	372	201	112	332	178	167	119	157	154									
		45.05%	44.85%	43.92%	42.96%	44.14%	48.45%	40.78%	52.04%	48.08%	43.96%	51.86%	54.46%	47.69%	52.60%	49.30%	48.08%	45.78%	42.06%	40.44%	37.74%	40.11%	44.01%	42.26%	42.04%	42.60%	40.98%	43.16%	43.21%	40.49%	39.09%	40.21%	60.87%	46.66%	47.75%	51.08%	48.70%	50.37%	41.80%	50.38%	49.15%	59.18%	39.14%	45.91%	66.90%	40.87%	42.84%	42.17%	37.72%	45.90%	43.73%	49.60%	43.51%	43.92%	44.27%	41.59%	47.04%	45.95%	46.18%	38.89%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	253	3	8	2	0	5	3	3	5	12	3	5	4	3	3	3	4	7	5	3	1	7	7	1	8	2	5	11	7	4	9	1	5	6	4	1	4	10	3	0	0	6	3	4	6	6	7	4	4	2	7	4	1	10	3	3	1	3	2									
		0.79%	0.57%	1.35%	0.37%	0.00%	0.65%	0.78%	0.34%	1.01%	1.69%	0.43%	0.67%	0.53%	0.68%	0.70%	0.64%	0.65%	1.64%	0.74%	0.57%	0.27%	1.20%	0.91%	0.20%	1.18%	0.42%	0.75%	1.19%	0.95%	0.65%	1.88%	1.45%	0.84%	0.90%	0.66%	0.29%	0.75%	1.14%	0.46%	0.00%	0.00%	0.99%	1.36%	1.38%	0.97%	0.71%	0.78%	0.65%	0.47%	0.32%	0.93%	0.87%	0.39%	1.33%	0.70%	0.85%	0.39%	0.88%	0.51%									
24	"6. Политическая партия ""Гражданская Платформа"""	105	2	5	3	1	1	2	4	0	6	4	2	1	2	3	2	3	1	2	1	0	1	4	2	3	1	2	5	4	2	0	0	0	2	1	4	0	0	1	0	0	2	1	5	1	2	0	2	1	2	2	1	2	2	1	1	1	0	2									
		0.33%	0.38%	0.84%	0.55%	0.21%	0.13%	0.52%	0.45%	0.00%	0.84%	0.57%	0.27%	0.13%	0.45%	0.70%	0.43%	0.49%	0.23%	0.29%	0.19%	0.00%	0.17%	0.52%	0.41%	0.44%	0.21%	0.30%	0.54%	0.54%	0.33%	0.00%	0.00%	0.00%	0.30%	0.17%	1.15%	0.00%	0.00%	0.15%	0.00%	0.00%	0.33%	0.45%	1.72%	0.16%	0.24%	0.00%	0.33%	0.12%	0.32%	0.27%	0.22%	0.78%	0.27%	0.23%	0.28%	0.39%	0.00%	0.51%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4313	61	106	83	72	98	50	105	79	94	88	88	118	59	61	64	91	69	90	87	49	78	99	71	78	58	89	106	90	89	66	7	107	87	82	48	62	107	83	6	4	77	33	24	106	124	101	87	108	67	97	58	28	118	59	44	37	57	59									
		13.49%	11.64%	17.91%	15.17%	15.35%	12.69%	12.99%	11.90%	15.96%	13.20%	12.61%	11.72%	15.59%	13.32%	14.19%	13.68%	14.77%	16.12%	13.24%	16.42%	13.46%	13.36%	12.87%	14.49%	11.54%	12.31%	13.38%	11.51%	12.23%	14.50%	13.75%	10.14%	17.89%	13.02%	13.60%	13.83%	11.57%	12.19%	12.59%	10.17%	8.16%	12.66%	15.00%	8.28%	17.12%	14.67%	11.30%	14.15%	12.65%	10.77%	12.93%	12.55%	10.98%	15.73%	13.79%	12.39%	14.29%	16.76%	14.90%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	268	4	2	3	6	2	2	4	6	9	4	5	9	4	4	1	2	7	3	7	4	3	7	1	11	5	2	10	7	2	6	0	4	2	4	3	7	9	3	0	0	6	1	1	7	5	11	4	13	16	4	1	1	10	3	1	4	2	4									
		0.84%	0.76%	0.34%	0.55%	1.28%	0.26%	0.52%	0.45%	1.21%	1.26%	0.57%	0.67%	1.19%	0.90%	0.93%	0.21%	0.32%	1.64%	0.44%	1.32%	1.10%	0.51%	0.91%	0.20%	1.63%	1.06%	0.30%	1.09%	0.95%	0.33%	1.25%	0.00%	0.67%	0.30%	0.66%	0.86%	1.31%	1.03%	0.46%	0.00%	0.00%	0.99%	0.45%	0.34%	1.13%	0.59%	1.23%	0.65%	1.52%	2.57%	0.53%	0.22%	0.39%	1.33%	0.70%	0.28%	1.54%	0.59%	1.01%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	676	15	10	9	12	13	10	17	7	13	8	11	16	10	4	8	20	11	19	7	12	15	20	8	11	10	13	15	22	14	12	0	4	14	7	7	8	35	12	0	1	19	5	2	14	15	15	17	24	18	12	13	7	14	11	3	9	12	6									
		2.11%	2.86%	1.69%	1.65%	2.56%	1.68%	2.60%	1.93%	1.41%	1.83%	1.15%	1.46%	2.11%	2.26%	0.93%	1.71%	3.25%	2.57%	2.79%	1.32%	3.30%	2.57%	2.60%	1.63%	1.63%	2.12%	1.95%	1.63%	2.99%	2.28%	2.50%	0.00%	0.67%	2.10%	1.16%	2.02%	1.49%	3.99%	1.82%	0.00%	2.04%	3.13%	2.27%	0.69%	2.26%	1.78%	1.68%	2.76%	2.81%	2.89%	1.60%	2.81%	2.75%	1.87%	2.57%	0.85%	3.47%	3.53%	1.52%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	62	1	1	1	1	1	0	3	0	1	2	3	3	0	0	3	1	0	0	1	0	1	4	0	2	0	2	4	0	1	2	0	1	2	0	1	1	3	2	0	0	1	0	4	1	2	2	0	0	1	2	0	0	0	1	0	0	0	0									
		0.19%	0.19%	0.17%	0.18%	0.21%	0.13%	0.00%	0.34%	0.00%	0.14%	0.29%	0.40%	0.40%	0.00%	0.00%	0.64%	0.16%	0.00%	0.00%	0.19%	0.00%	0.17%	0.52%	0.00%	0.30%	0.00%	0.30%	0.43%	0.00%	0.16%	0.42%	0.00%	0.17%	0.30%	0.00%	0.29%	0.19%	0.34%	0.30%	0.00%	0.00%	0.16%	0.00%	1.38%	0.16%	0.24%	0.22%	0.00%	0.00%	0.16%	0.27%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	472	13	5	11	8	5	4	16	5	8	5	9	7	10	11	5	12	8	13	5	6	7	9	10	8	6	9	6	16	8	16	1	7	10	7	2	7	26	4	0	0	18	2	0	9	14	17	10	11	12	7	12	0	11	8	1	9	1	5									
		1.48%	2.48%	0.84%	2.01%	1.71%	0.65%	1.04%	1.81%	1.01%	1.12%	0.72%	1.20%	0.92%	2.26%	2.56%	1.07%	1.95%	1.87%	1.91%	0.94%	1.65%	1.20%	1.17%	2.04%	1.18%	1.27%	1.35%	0.65%	2.17%	1.30%	3.33%	1.45%	1.17%	1.50%	1.16%	0.58%	1.31%	2.96%	0.61%	0.00%	0.00%	2.96%	0.91%	0.00%	1.45%	1.66%	1.90%	1.63%	1.29%	1.93%	0.93%	2.60%	0.00%	1.47%	1.87%	0.28%	3.47%	0.29%	1.26%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4577	80	77	78	72	109	83	160	59	121	131	108	120	55	49	55	93	65	82	83	60	79	111	54	95	73	75	133	103	103	62	5	65	81	70	55	62	115	81	12	7	95	27	16	74	133	150	99	123	124	86	79	39	105	74	47	31	39	55									
		14.31%	15.27%	13.01%	14.26%	15.35%	14.12%	21.56%	18.14%	11.92%	16.99%	18.77%	14.38%	15.85%	12.42%	11.40%	11.75%	15.10%	15.19%	12.06%	15.66%	16.48%	13.53%	14.43%	11.02%	14.05%	15.50%	11.28%	14.44%	13.99%	16.78%	12.92%	7.25%	10.87%	12.13%	11.61%	15.85%	11.57%	13.10%	12.29%	20.34%	14.29%	15.63%	12.27%	5.52%	11.95%	15.74%	16.78%	16.10%	14.40%	19.94%	11.47%	17.10%	15.29%	14.00%	17.29%	13.24%	11.97%	11.47%	13.89%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	270	6	3	1	4	2	2	3	3	3	2	4	2	1	8	6	7	4	8	3	6	8	8	7	4	3	6	11	15	5	8	1	4	6	2	3	6	9	5	0	0	8	1	1	3	5	7	6	7	7	8	3	1	8	1	4	3	1	7									
		0.84%	1.15%	0.51%	0.18%	0.85%	0.26%	0.52%	0.34%	0.61%	0.42%	0.29%	0.53%	0.26%	0.23%	1.86%	1.28%	1.14%	0.93%	1.18%	0.57%	1.65%	1.37%	1.04%	1.43%	0.59%	0.64%	0.90%	1.19%	2.04%	0.81%	1.67%	1.45%	0.67%	0.90%	0.33%	0.86%	1.12%	1.03%	0.76%	0.00%	0.00%	1.32%	0.45%	0.34%	0.48%	0.59%	0.78%	0.98%	0.82%	1.13%	1.07%	0.65%	0.39%	1.07%	0.23%	1.13%	1.16%	0.29%	1.77%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3973	64	76	82	34	87	36	44	50	72	28	37	50	27	35	50	50	39	119	86	50	78	121	84	125	72	134	165	124	106	68	7	75	81	59	33	72	132	95	5	3	89	30	8	105	120	134	112	99	34	77	57	47	72	49	39	31	47	68									
		12.42%	12.21%	12.84%	14.99%	7.25%	11.27%	9.35%	4.99%	10.10%	10.11%	4.01%	4.93%	6.61%	6.09%	8.14%	10.68%	8.12%	9.11%	17.50%	16.23%	13.74%	13.36%	15.73%	17.14%	18.49%	15.29%	20.15%	17.92%	16.85%	17.26%	14.17%	10.14%	12.54%	12.13%	9.78%	9.51%	13.43%	15.03%	14.42%	8.47%	6.12%	14.64%	13.64%	2.76%	16.96%	14.20%	14.99%	18.21%	11.59%	5.47%	10.27%	12.34%	18.43%	9.60%	11.45%	10.99%	11.97%	13.82%	17.17%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
