Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Кулебакская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	295	9	4	6	5	8	1	7	15	10	9	5	9	11	10	6	1	6	9	5	8	4	4	3	16	5	1	12	22	0	0	8	8	7	10	6	5	1	7	9	6	4	1	10	2									
		1.83%	1.81%	2.14%	1.34%	1.12%	1.86%	0.25%	1.31%	2.67%	1.99%	2.03%	1.92%	1.78%	1.75%	3.37%	2.03%	0.29%	1.68%	2.47%	1.50%	1.72%	1.71%	0.97%	1.23%	5.67%	1.65%	0.36%	1.99%	3.48%	0.00%	0.00%	3.04%	2.08%	1.85%	2.78%	1.44%	1.03%	0.43%	2.87%	2.76%	2.42%	4.04%	1.35%	3.66%	0.23%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	541	13	6	16	14	17	13	18	20	16	19	9	13	16	12	9	17	10	12	11	25	8	19	12	11	9	6	15	26	1	4	13	9	7	13	17	24	7	4	7	8	6	4	10	15									
		3.36%	2.62%	3.21%	3.57%	3.14%	3.96%	3.27%	3.36%	3.56%	3.19%	4.28%	3.45%	2.56%	2.55%	4.04%	3.05%	4.93%	2.79%	3.30%	3.30%	5.36%	3.42%	4.60%	4.92%	3.90%	2.97%	2.15%	2.49%	4.11%	1.56%	4.04%	4.94%	2.34%	1.85%	3.61%	4.07%	4.96%	2.99%	1.64%	2.15%	3.23%	6.06%	5.41%	3.66%	1.76%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	363	10	1	15	6	6	21	16	21	17	12	10	11	9	1	7	7	5	16	8	10	8	10	7	6	6	12	5	7	0	1	5	5	5	4	13	15	4	5	13	4	0	0	7	12									
		2.26%	2.02%	0.53%	3.35%	1.35%	1.40%	5.28%	2.99%	3.74%	3.39%	2.70%	3.83%	2.17%	1.43%	0.34%	2.37%	2.03%	1.40%	4.40%	2.40%	2.15%	3.42%	2.42%	2.87%	2.13%	1.98%	4.30%	0.83%	1.11%	0.00%	1.01%	1.90%	1.30%	1.32%	1.11%	3.11%	3.10%	1.71%	2.05%	3.99%	1.61%	0.00%	0.00%	2.56%	1.41%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7837	198	79	216	167	199	153	238	250	245	215	109	284	343	114	141	178	184	178	145	215	125	216	114	104	155	133	294	341	35	49	143	267	229	206	198	232	136	140	134	124	40	49	139	383									
		48.70%	39.92%	42.25%	48.21%	37.44%	46.39%	38.44%	44.49%	44.48%	48.90%	48.42%	41.76%	56.02%	54.62%	38.38%	47.80%	51.59%	51.40%	48.90%	43.54%	46.14%	53.42%	52.30%	46.72%	36.88%	51.16%	47.67%	48.84%	53.96%	54.69%	49.49%	54.37%	69.35%	60.42%	57.22%	47.37%	47.93%	58.12%	57.38%	41.10%	50.00%	40.40%	66.22%	50.92%	44.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	82	2	0	4	1	1	3	1	6	4	0	0	0	5	0	4	1	1	1	2	1	0	4	5	0	3	2	3	1	0	1	1	0	3	2	0	5	3	0	0	1	0	0	4	7									
		0.51%	0.40%	0.00%	0.89%	0.22%	0.23%	0.75%	0.19%	1.07%	0.80%	0.00%	0.00%	0.00%	0.80%	0.00%	1.36%	0.29%	0.28%	0.27%	0.60%	0.21%	0.00%	0.97%	2.05%	0.00%	0.99%	0.72%	0.50%	0.16%	0.00%	1.01%	0.38%	0.00%	0.79%	0.56%	0.00%	1.03%	1.28%	0.00%	0.00%	0.40%	0.00%	0.00%	1.47%	0.82%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	2	0	1	0	0	0	1	2	0	1	0	0	0	0	0	2	0	3	0	0	2	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	1	0	1	0	0	1	3									
		0.16%	0.40%	0.00%	0.22%	0.00%	0.00%	0.00%	0.19%	0.36%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.82%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.16%	0.00%	0.00%	0.00%	0.26%	0.53%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.40%	0.00%	0.00%	0.37%	0.35%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2746	73	35	61	76	71	69	73	86	68	56	42	69	79	74	55	54	63	62	71	89	35	88	44	61	52	55	124	101	12	13	32	42	56	48	68	66	41	45	70	41	18	8	55	245									
		17.06%	14.72%	18.72%	13.62%	17.04%	16.55%	17.34%	13.64%	15.30%	13.57%	12.61%	16.09%	13.61%	12.58%	24.92%	18.64%	15.65%	17.60%	17.03%	21.32%	19.10%	14.96%	21.31%	18.03%	21.63%	17.16%	19.71%	20.60%	15.98%	18.75%	13.13%	12.17%	10.91%	14.78%	13.33%	16.27%	13.64%	17.52%	18.44%	21.47%	16.53%	18.18%	10.81%	20.15%	28.72%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	77	3	2	2	7	5	0	5	1	2	1	0	2	1	3	2	1	0	4	2	3	0	1	0	3	2	1	2	0	0	0	0	2	0	3	3	4	2	0	0	2	0	0	0	6									
		0.48%	0.60%	1.07%	0.45%	1.57%	1.17%	0.00%	0.93%	0.18%	0.40%	0.23%	0.00%	0.39%	0.16%	1.01%	0.68%	0.29%	0.00%	1.10%	0.60%	0.64%	0.00%	0.24%	0.00%	1.06%	0.66%	0.36%	0.33%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.83%	0.72%	0.83%	0.85%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.70%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	115	4	4	2	4	7	0	2	0	5	6	2	8	8	5	2	4	1	2	4	2	2	2	2	5	3	3	2	4	0	0	0	1	0	3	4	1	0	0	4	0	1	0	0	6									
		0.71%	0.81%	2.14%	0.45%	0.90%	1.63%	0.00%	0.37%	0.00%	0.99%	1.35%	0.77%	1.58%	1.27%	1.68%	0.68%	1.16%	0.28%	0.55%	1.20%	0.43%	0.85%	0.48%	0.82%	1.77%	0.99%	1.08%	0.33%	0.63%	0.00%	0.00%	0.00%	0.26%	0.00%	0.83%	0.96%	0.21%	0.00%	0.00%	1.23%	0.00%	1.01%	0.00%	0.00%	0.70%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	26	0	0	0	1	0	2	0	1	0	0	0	1	0	0	1	0	2	1	1	0	0	1	0	0	0	0	3	2	1	0	0	0	0	0	0	1	0	1	0	1	0	0	2	4									
		0.16%	0.00%	0.00%	0.00%	0.22%	0.00%	0.50%	0.00%	0.18%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.34%	0.00%	0.56%	0.27%	0.30%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.50%	0.32%	1.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.41%	0.00%	0.40%	0.00%	0.00%	0.73%	0.47%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	85	4	0	4	6	5	2	4	2	4	2	2	2	2	4	1	1	1	3	1	7	1	0	3	2	1	1	1	2	0	0	3	0	0	1	1	1	1	0	3	0	0	0	1	6									
		0.53%	0.81%	0.00%	0.89%	1.35%	1.17%	0.50%	0.75%	0.36%	0.80%	0.45%	0.77%	0.39%	0.32%	1.35%	0.34%	0.29%	0.28%	0.82%	0.30%	1.50%	0.43%	0.00%	1.23%	0.71%	0.33%	0.36%	0.17%	0.32%	0.00%	0.00%	1.14%	0.00%	0.00%	0.28%	0.24%	0.21%	0.43%	0.00%	0.92%	0.00%	0.00%	0.00%	0.37%	0.70%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2973	131	43	88	113	88	100	136	132	97	89	63	83	117	62	48	61	59	54	65	80	39	51	40	55	55	57	109	100	10	27	49	31	52	49	74	109	23	33	78	50	23	7	27	116									
		18.48%	26.41%	22.99%	19.64%	25.34%	20.51%	25.13%	25.42%	23.49%	19.36%	20.05%	24.14%	16.37%	18.63%	20.88%	16.27%	17.68%	16.48%	14.84%	19.52%	17.17%	16.67%	12.35%	16.39%	19.50%	18.15%	20.43%	18.11%	15.82%	15.63%	27.27%	18.63%	8.05%	13.72%	13.61%	17.70%	22.52%	9.83%	13.52%	23.93%	20.16%	23.23%	9.46%	9.89%	13.60%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	61	4	0	4	4	1	1	4	1	2	2	1	2	1	0	2	0	1	0	2	1	5	0	1	0	1	0	3	1	1	0	0	1	0	2	1	2	2	0	0	0	2	0	1	5									
		0.38%	0.81%	0.00%	0.89%	0.90%	0.23%	0.25%	0.75%	0.18%	0.40%	0.45%	0.38%	0.39%	0.16%	0.00%	0.68%	0.00%	0.28%	0.00%	0.60%	0.21%	2.14%	0.00%	0.41%	0.00%	0.33%	0.00%	0.50%	0.16%	1.56%	0.00%	0.00%	0.26%	0.00%	0.56%	0.24%	0.41%	0.85%	0.00%	0.00%	0.00%	2.02%	0.00%	0.37%	0.59%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	540	27	9	15	16	13	18	19	14	16	23	15	19	22	7	11	12	13	11	12	20	4	14	10	12	10	5	17	18	3	4	2	5	7	10	26	13	8	4	4	5	1	3	10	33									
		3.36%	5.44%	4.81%	3.35%	3.59%	3.03%	4.52%	3.55%	2.49%	3.19%	5.18%	5.75%	3.75%	3.50%	2.36%	3.73%	3.48%	3.63%	3.02%	3.60%	4.29%	1.71%	3.39%	4.10%	4.26%	3.30%	1.79%	2.82%	2.85%	4.69%	4.04%	0.76%	1.30%	1.85%	2.78%	6.22%	2.69%	3.42%	1.64%	1.23%	2.02%	1.01%	4.05%	3.66%	3.87%									
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
