Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Здвинская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223					
		0.22%	0.23%	0.35%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.54%	0.38%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.89%	0.0%	0.49%	0.0%	0.0%	0.40%	0.0%	0.73%	0.0%	0.0%	0.0%	0.50%	0.0%	0.22%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	10	0	3	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0					
		0.09%	0.0%	0.21%	0.36%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1189	93	86	26	2	2	10	61	35	71	6	79	116	19	39	17	89	29	49	8	17	33	11	8	56	3	20	42	8	46	22	9	54	13	10					
		11.82%	7.24%	6.04%	9.55%	3.57%	3.03%	15.15%	11.86%	35.71%	15.43%	9.09%	21.46%	22.61%	14.50%	11.78%	11.18%	15.78%	16.57%	13.57%	7.14%	5.43%	16.17%	10.09%	5.40%	22.48%	7.5%	14.70%	9.54%	8.0%	11.79%	11.16%	8.18%	11.92%	15.85%	14.28%					
28	"11. ""Истинные патриоты России"""	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0					
		0.04%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	97	10	19	2	0	6	0	3	0	5	0	7	4	0	3	1	8	2	0	1	2	2	1	1	5	0	4	4	0	2	2	1	2	0	0					
		0.96%	0.77%	1.33%	0.73%	0.0%	9.09%	0.0%	0.58%	0.0%	1.08%	0.0%	1.90%	0.77%	0.0%	0.90%	0.65%	1.41%	1.14%	0.0%	0.89%	0.63%	0.98%	0.91%	0.67%	2.00%	0.0%	2.94%	0.90%	0.0%	0.51%	1.01%	0.90%	0.44%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	36	5	1	2	0	0	0	4	0	2	0	3	0	1	0	0	1	1	0	1	1	2	0	0	0	2	1	2	1	3	0	0	3	0	0					
		0.35%	0.38%	0.07%	0.73%	0.0%	0.0%	0.0%	0.77%	0.0%	0.43%	0.0%	0.81%	0.0%	0.76%	0.0%	0.0%	0.17%	0.57%	0.0%	0.89%	0.31%	0.98%	0.0%	0.0%	0.0%	5.0%	0.73%	0.45%	1.0%	0.76%	0.0%	0.0%	0.66%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	20	3	2	0	0	0	0	0	0	2	1	2	1	0	0	0	3	0	0	0	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0					
		0.19%	0.23%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	1.51%	0.54%	0.19%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.63%	0.98%	0.0%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	12	0	6	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0					
		0.11%	0.0%	0.42%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	429	64	71	6	4	1	4	25	2	18	1	31	21	6	8	1	16	2	18	6	17	6	3	24	9	0	1	14	0	12	5	1	26	4	2					
		4.26%	4.98%	4.98%	2.20%	7.14%	1.51%	6.06%	4.86%	2.04%	3.91%	1.51%	8.42%	4.09%	4.58%	2.41%	0.65%	2.83%	1.14%	4.98%	5.35%	5.43%	2.94%	2.75%	16.21%	3.61%	0.0%	0.73%	3.18%	0.0%	3.07%	2.53%	0.90%	5.73%	4.87%	2.85%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	24	2	4	2	0	0	1	0	0	1	0	1	2	2	1	0	2	1	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.23%	0.15%	0.28%	0.73%	0.0%	0.0%	1.51%	0.0%	0.0%	0.21%	0.0%	0.27%	0.38%	1.52%	0.30%	0.0%	0.35%	0.57%	0.27%	0.89%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1571	216	182	46	28	17	18	77	28	55	22	67	59	28	61	31	54	30	49	24	32	29	6	49	30	3	25	82	27	41	40	10	76	14	15					
		15.62%	16.82%	12.78%	16.91%	49.99%	25.75%	27.27%	14.98%	28.57%	11.95%	33.33%	18.20%	11.50%	21.37%	18.42%	20.39%	9.57%	17.14%	13.57%	21.42%	10.22%	14.21%	5.50%	33.10%	12.04%	7.5%	18.38%	18.63%	27.0%	10.51%	20.30%	9.09%	16.77%	17.07%	21.42%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	210	26	33	3	0	0	4	9	1	2	1	5	9	4	6	6	35	2	4	1	7	4	0	6	4	1	1	10	1	5	4	0	11	4	1					
		2.08%	2.02%	2.31%	1.10%	0.0%	0.0%	6.06%	1.75%	1.02%	0.43%	1.51%	1.35%	1.75%	3.05%	1.81%	3.94%	6.20%	1.14%	1.10%	0.89%	2.23%	1.96%	0.0%	4.05%	1.60%	2.5%	0.73%	2.27%	1.0%	1.28%	2.03%	0.0%	2.42%	4.87%	1.42%					
37	"20. ""Политическая партия ""Единая Россия"""	3201	471	520	87	6	8	6	113	13	158	14	75	131	21	85	31	196	43	114	47	141	75	65	31	45	19	43	153	53	132	45	59	158	28	15					
		31.84%	36.68%	36.54%	31.98%	10.71%	12.12%	9.09%	21.98%	13.26%	34.34%	21.21%	20.38%	25.53%	16.03%	25.67%	20.39%	34.75%	24.57%	31.57%	41.96%	45.04%	36.76%	59.63%	20.94%	18.07%	47.5%	31.61%	34.77%	53.0%	33.84%	22.84%	53.63%	34.87%	34.14%	21.42%					
38	"21. ""Российская Конституционно-демократическая партия"""	17	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	4	1	1	0	0	0	0	2	1	0	0	1	0	0	0	1	0					
		0.16%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.10%	0.89%	0.31%	0.0%	0.0%	0.0%	0.0%	5.0%	0.73%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	1.21%	0.0%					
39	"22. ""Развитие предпринимательства"""	11	4	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1936	235	291	56	7	16	11	153	10	78	16	64	101	31	69	27	99	46	77	4	71	26	18	12	74	3	24	55	8	96	53	12	65	8	20					
		19.25%	18.30%	20.44%	20.58%	12.49%	24.24%	16.66%	29.76%	10.20%	16.95%	24.24%	17.39%	19.68%	23.66%	20.84%	17.76%	17.55%	26.28%	21.32%	3.57%	22.68%	12.74%	16.51%	8.10%	29.71%	7.5%	17.64%	12.49%	8.0%	24.61%	26.90%	10.90%	14.34%	9.75%	28.57%					
																																									
41	Против всех	384	53	55	15	2	11	6	14	2	9	2	3	21	11	13	10	7	1	14	2	5	3	3	13	8	2	5	38	0	24	8	5	9	5	5					
		3.81%	4.12%	3.86%	5.51%	3.57%	16.66%	9.09%	2.72%	2.04%	1.95%	3.03%	0.81%	4.09%	8.39%	3.92%	6.57%	1.24%	0.57%	3.87%	1.78%	1.59%	1.47%	2.75%	8.78%	3.21%	5.0%	3.67%	8.63%	0.0%	6.15%	4.06%	4.54%	1.98%	6.09%	7.14%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
