Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
"Наименование Избирательной комиссии:    Калининград, Центральная"																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №8204	УИК №8215	УИК №8217	УИК №8221	УИК №8225									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1045	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	20	20	20	20	20	0	5	0	5	2	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	511	19	11	10	14	5	10	6	11	6	9	8	11	9	8	11	10	10	8	13	7	7	11	6	20	5	8	7	8	7	14	12	7	9	6	10	12	2	11	9	12	12	14	8	24	5	8	6	11	13	13	14	0	4	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	426	10	10	5	7	3	5	7	6	4	3	3	7	1	8	1	5	1	9	3	4	1	0	10	11	3	5	12	58	6	5	10	14	5	7	1	6	2	10	7	0	3	8	4	11	9	6	5	5	43	9	5	0	32	0	8	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	534	1	9	10	6	15	10	14	9	14	11	12	9	11	12	9	10	10	12	7	13	13	9	14	0	15	12	13	12	13	6	8	13	11	14	10	8	18	9	11	8	8	6	12	6	15	12	14	9	7	7	6	0	1	0	5	2	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	229	5	3	4	7	4	1	3	2	5	5	3	5	3	1	4	2	2	4	2	3	4	3	4	8	0	2	4	6	4	5	3	4	3	6	5	5	2	3	3	3	7	6	7	17	4	7	3	2	10	7	14	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1315	31	24	20	29	18	25	25	22	37	26	30	25	7	24	12	20	18	8	21	17	12	26	28	25	11	28	26	27	27	40	32	18	23	29	14	35	16	24	10	26	15	20	30	31	16	20	8	24	34	24	22	4	87	25	15	10	14									
		2.75%	3.39%	2.97%	3.68%	3.28%	2.61%	3.11%	2.97%	2.53%	4.23%	2.57%	3.30%	3.03%	1.25%	2.40%	1.35%	2.13%	2.34%	2.51%	2.56%	1.70%	1.85%	2.68%	3.07%	2.63%	2.10%	3.31%	3.41%	3.21%	3.82%	3.82%	3.33%	2.81%	2.50%	3.20%	1.95%	4.48%	2.43%	3.26%	1.47%	3.29%	2.24%	2.29%	4.08%	2.88%	2.52%	2.58%	2.47%	2.52%	2.87%	2.20%	2.49%	1.45%	4.26%	1.40%	3.09%	2.35%	1.11%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1166	23	23	12	28	24	16	30	37	16	20	20	15	15	40	32	26	11	9	16	20	16	26	15	21	16	15	19	17	15	28	35	14	30	32	11	17	16	16	26	22	23	21	23	20	20	19	7	33	40	35	24	4	23	14	8	4	8									
		2.44%	2.51%	2.85%	2.21%	3.16%	3.48%	1.99%	3.56%	4.26%	1.83%	1.98%	2.20%	1.82%	2.68%	4.01%	3.61%	2.77%	1.43%	2.82%	1.95%	2.00%	2.46%	2.68%	1.64%	2.21%	3.05%	1.77%	2.49%	2.02%	2.12%	2.68%	3.64%	2.18%	3.26%	3.53%	1.53%	2.18%	2.43%	2.17%	3.83%	2.78%	3.44%	2.41%	3.13%	1.86%	3.15%	2.45%	2.16%	3.46%	3.38%	3.21%	2.72%	1.45%	1.13%	0.79%	1.65%	0.94%	0.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1102	30	15	20	30	15	20	30	19	20	27	23	25	21	24	36	32	32	5	21	19	20	23	25	28	10	18	20	24	15	27	28	14	12	11	22	20	10	11	13	18	15	16	20	16	17	26	11	12	22	31	11	5	34	18	6	4	5									
		2.31%	3.28%	1.86%	3.68%	3.39%	2.18%	2.49%	3.56%	2.19%	2.29%	2.67%	2.53%	3.03%	3.75%	2.40%	4.06%	3.42%	4.17%	1.57%	2.56%	1.90%	3.08%	2.37%	2.74%	2.95%	1.91%	2.13%	2.62%	2.85%	2.12%	2.58%	2.91%	2.18%	1.31%	1.21%	3.06%	2.56%	1.52%	1.49%	1.92%	2.28%	2.24%	1.83%	2.72%	1.49%	2.68%	3.35%	3.40%	1.26%	1.86%	2.84%	1.25%	1.81%	1.66%	1.01%	1.24%	0.94%	0.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18323	265	245	184	268	215	258	247	280	264	330	299	278	240	344	300	334	284	137	287	311	215	281	269	302	168	220	207	283	184	318	257	206	246	277	205	231	308	240	240	206	223	276	209	464	189	320	109	324	414	377	365	99	1436	1446	388	352	1099									
		38.38%	28.96%	30.32%	33.82%	30.28%	31.20%	32.09%	29.30%	32.22%	30.21%	32.61%	32.93%	33.66%	42.86%	34.47%	33.86%	35.65%	36.98%	42.95%	35.04%	31.16%	33.08%	28.99%	29.46%	31.79%	32.06%	25.97%	27.17%	33.61%	26.03%	30.40%	26.72%	32.14%	26.77%	30.57%	28.55%	29.58%	46.81%	32.56%	35.40%	26.08%	33.33%	31.62%	28.44%	43.16%	29.76%	41.24%	33.64%	33.99%	34.94%	34.59%	41.34%	35.87%	70.29%	81.10%	80.00%	82.63%	87.02%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	530	11	12	3	12	7	4	11	8	12	15	12	10	4	12	1	3	4	3	9	19	7	18	13	9	11	23	13	8	7	11	17	6	18	4	11	10	7	4	6	12	10	13	14	10	4	4	2	14	16	16	15	7	5	7	0	2	4									
		1.11%	1.20%	1.49%	0.55%	1.36%	1.02%	0.50%	1.30%	0.92%	1.37%	1.48%	1.32%	1.21%	0.71%	1.20%	0.11%	0.32%	0.52%	0.94%	1.10%	1.90%	1.08%	1.86%	1.42%	0.95%	2.10%	2.72%	1.71%	0.95%	0.99%	1.05%	1.77%	0.94%	1.96%	0.44%	1.53%	1.28%	1.06%	0.54%	0.88%	1.52%	1.49%	1.49%	1.90%	0.93%	0.63%	0.52%	0.62%	1.47%	1.35%	1.47%	1.70%	2.54%	0.24%	0.39%	0.00%	0.47%	0.32%									
24	"6. Политическая партия ""Гражданская Платформа"""	121	2	1	1	2	1	0	1	3	3	0	4	5	0	5	1	1	1	0	3	5	0	3	5	5	5	5	2	0	4	2	2	4	0	3	0	4	2	1	3	10	3	4	1	3	0	2	0	0	2	1	1	1	1	1	2	0	0									
		0.25%	0.22%	0.12%	0.18%	0.23%	0.15%	0.00%	0.12%	0.35%	0.34%	0.00%	0.44%	0.61%	0.00%	0.50%	0.11%	0.11%	0.13%	0.00%	0.37%	0.50%	0.00%	0.31%	0.55%	0.53%	0.95%	0.59%	0.26%	0.00%	0.57%	0.19%	0.21%	0.62%	0.00%	0.33%	0.00%	0.51%	0.30%	0.14%	0.44%	1.27%	0.45%	0.46%	0.14%	0.28%	0.00%	0.26%	0.00%	0.00%	0.17%	0.09%	0.11%	0.36%	0.05%	0.06%	0.41%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7459	137	133	80	116	127	140	135	146	134	185	150	158	92	196	162	182	150	65	161	153	88	159	149	140	67	114	114	141	95	130	170	88	153	174	139	116	99	92	82	125	122	166	120	224	119	146	75	116	214	174	206	117	163	151	23	19	67									
		15.63%	14.97%	16.46%	14.71%	13.11%	18.43%	17.41%	16.01%	16.80%	15.33%	18.28%	16.52%	19.13%	16.43%	19.64%	18.28%	19.42%	19.53%	20.38%	19.66%	15.33%	13.54%	16.41%	16.32%	14.74%	12.79%	13.46%	14.96%	16.75%	13.44%	12.43%	17.67%	13.73%	16.65%	19.21%	19.36%	14.85%	15.05%	12.48%	12.09%	15.82%	18.24%	19.01%	16.33%	20.84%	18.74%	18.81%	23.15%	12.17%	18.06%	15.96%	23.33%	42.39%	7.98%	8.47%	4.74%	4.46%	5.30%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	740	26	20	7	37	17	8	15	10	21	15	23	12	9	16	8	13	8	2	19	12	17	19	22	24	6	23	16	16	21	12	11	12	8	10	11	18	8	13	13	14	14	6	19	13	15	14	3	9	9	12	6	1	17	4	2	2	2									
		1.55%	2.84%	2.48%	1.29%	4.18%	2.47%	0.99%	1.78%	1.15%	2.40%	1.48%	2.53%	1.45%	1.61%	1.60%	0.90%	1.39%	1.04%	0.63%	2.32%	1.20%	2.62%	1.96%	2.41%	2.53%	1.15%	2.72%	2.10%	1.90%	2.97%	1.15%	1.14%	1.87%	0.87%	1.10%	1.53%	2.30%	1.22%	1.76%	1.92%	1.77%	2.09%	0.69%	2.59%	1.21%	2.36%	1.80%	0.93%	0.94%	0.76%	1.10%	0.68%	0.36%	0.83%	0.22%	0.41%	0.47%	0.16%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	2008	62	45	33	75	52	48	53	41	43	44	54	36	30	24	27	24	15	10	42	66	15	63	55	50	27	50	50	44	42	69	51	33	56	25	36	28	16	49	31	48	21	45	25	19	28	28	7	32	45	40	20	3	21	7	2	0	3									
		4.21%	6.78%	5.57%	6.07%	8.47%	7.55%	5.97%	6.29%	4.72%	4.92%	4.35%	5.95%	4.36%	5.36%	2.40%	3.05%	2.56%	1.95%	3.13%	5.13%	6.61%	2.31%	6.50%	6.02%	5.26%	5.15%	5.90%	6.56%	5.23%	5.94%	6.60%	5.30%	5.15%	6.09%	2.76%	5.01%	3.59%	2.43%	6.65%	4.57%	6.08%	3.14%	5.15%	3.40%	1.77%	4.41%	3.61%	2.16%	3.36%	3.80%	3.67%	2.27%	1.09%	1.03%	0.39%	0.41%	0.00%	0.24%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	68	1	0	1	1	0	1	1	1	0	3	1	2	1	5	2	4	2	0	0	1	1	0	1	2	2	0	0	0	0	1	3	0	3	2	0	2	1	2	0	1	1	0	2	2	0	4	1	1	2	0	3	0	0	4	0	0	0									
		0.14%	0.11%	0.00%	0.18%	0.11%	0.00%	0.12%	0.12%	0.12%	0.00%	0.30%	0.11%	0.24%	0.18%	0.50%	0.23%	0.43%	0.26%	0.00%	0.00%	0.10%	0.15%	0.00%	0.11%	0.21%	0.38%	0.00%	0.00%	0.00%	0.00%	0.10%	0.31%	0.00%	0.33%	0.22%	0.00%	0.26%	0.15%	0.27%	0.00%	0.13%	0.15%	0.00%	0.27%	0.19%	0.00%	0.52%	0.31%	0.10%	0.17%	0.00%	0.34%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1887	55	60	27	48	32	35	38	36	59	54	34	31	18	28	16	23	16	3	30	60	27	54	45	64	24	72	38	30	52	64	53	26	50	29	36	36	23	36	25	53	16	44	29	17	33	17	18	30	24	31	25	5	37	7	6	3	5									
		3.95%	6.01%	7.43%	4.96%	5.42%	4.64%	4.35%	4.51%	4.14%	6.75%	5.34%	3.74%	3.75%	3.21%	2.81%	1.81%	2.45%	2.08%	0.94%	3.66%	6.01%	4.15%	5.57%	4.93%	6.74%	4.58%	8.50%	4.99%	3.56%	7.36%	6.12%	5.51%	4.06%	5.44%	3.20%	5.01%	4.61%	3.50%	4.88%	3.69%	6.71%	2.39%	5.04%	3.95%	1.58%	5.20%	2.19%	5.56%	3.15%	2.03%	2.84%	2.83%	1.81%	1.81%	0.39%	1.24%	0.70%	0.40%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7100	163	146	82	127	94	127	123	133	155	158	132	117	67	148	139	168	119	36	119	191	105	164	176	147	95	155	147	157	148	182	173	122	161	172	108	121	81	124	128	136	84	135	141	140	111	97	54	212	206	186	90	7	159	59	23	20	30									
		14.87%	17.81%	18.07%	15.07%	14.35%	13.64%	15.80%	14.59%	15.30%	17.73%	15.61%	14.54%	14.16%	11.96%	14.83%	15.69%	17.93%	15.49%	11.29%	14.53%	19.14%	16.15%	16.92%	19.28%	15.47%	18.13%	18.30%	19.29%	18.65%	20.93%	17.40%	17.98%	19.03%	17.52%	18.98%	15.04%	15.49%	12.31%	16.82%	18.88%	17.22%	12.56%	15.46%	19.18%	13.02%	17.48%	12.50%	16.67%	22.25%	17.38%	17.06%	10.19%	2.54%	7.78%	3.31%	4.74%	4.69%	2.38%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1822	36	30	29	34	32	49	61	41	30	47	42	34	14	32	27	33	18	15	28	50	41	52	31	61	17	48	32	25	26	46	28	38	44	39	40	51	15	46	28	42	40	45	29	36	20	18	8	37	47	56	34	7	5	4	0	0	4									
		3.82%	3.93%	3.71%	5.33%	3.84%	4.64%	6.09%	7.24%	4.72%	3.43%	4.64%	4.63%	4.12%	2.50%	3.21%	3.05%	3.52%	2.34%	4.70%	3.42%	5.01%	6.31%	5.37%	3.40%	6.42%	3.24%	5.67%	4.20%	2.97%	3.68%	4.40%	2.91%	5.93%	4.79%	4.30%	5.57%	6.53%	2.28%	6.24%	4.13%	5.32%	5.98%	5.15%	3.95%	3.35%	3.15%	2.32%	2.47%	3.88%	3.97%	5.14%	3.85%	2.54%	0.24%	0.22%	0.00%	0.00%	0.32%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2907	58	34	30	49	30	46	53	61	53	68	58	63	19	63	85	53	66	15	40	50	57	53	57	54	47	60	62	52	59	88	71	50	89	76	61	72	35	67	48	49	59	52	49	64	43	37	17	81	81	87	39	4	46	17	9	8	13									
		6.09%	6.34%	4.21%	5.51%	5.54%	4.35%	5.72%	6.29%	7.02%	6.06%	6.72%	6.39%	7.63%	3.39%	6.31%	9.59%	5.66%	8.59%	4.70%	4.88%	5.01%	8.77%	5.47%	6.24%	5.68%	8.97%	7.08%	8.14%	6.18%	8.35%	8.41%	7.38%	7.80%	9.68%	8.39%	8.50%	9.22%	5.32%	9.09%	7.08%	6.20%	8.82%	5.96%	6.67%	5.95%	6.77%	4.77%	5.25%	8.50%	6.84%	7.98%	4.42%	1.45%	2.25%	0.95%	1.86%	1.88%	1.03%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
