Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																
Дата голосования: 07.12.2003 0:00:00																																																																																
																																																																																
Наименование Избирательной комиссии:    Называевская																																																																																
																																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																
																																																																																
		Сумма	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	322	11	16	23	15	7	19	18	9	9	4	0	4	3	2	0	2	1	2	4	11	6	8	9	3	5	0	0	5	8	5	0	0	0	6	2	1	2	9	3	3	7	0	21	1	0	1	0	0	8	1	0	0	0	6	2	3	0	0	3	1	9	0	1	0	0	2	1	2	1	6	9	1	1					
		2.25%	2.03%	2.39%	2.37%	2.71%	1.69%	3.44%	3.01%	2.12%	3.68%	4.25%	0.0%	4.44%	3.57%	0.39%	0.0%	3.22%	1.38%	4.44%	1.23%	5.61%	1.61%	9.41%	7.5%	2.94%	1.73%	0.0%	0.0%	3.14%	3.03%	6.84%	0.0%	0.0%	0.0%	1.43%	2.22%	0.73%	1.49%	2.81%	4.47%	5.88%	3.05%	0.0%	2.97%	2.70%	0.0%	0.83%	0.0%	0.0%	2.87%	2.22%	0.0%	0.0%	0.0%	1.77%	2.46%	5.08%	0.0%	0.0%	2.36%	0.87%	2.50%	0.0%	1.12%	0.0%	0.0%	0.56%	0.62%	1.72%	0.64%	1.72%	3.48%	1.42%	1.12%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	207	8	16	24	15	13	11	17	15	1	0	1	0	3	6	0	0	0	0	9	0	4	0	0	0	6	0	0	0	1	3	0	0	0	0	0	0	0	4	0	0	1	0	8	0	0	0	0	3	6	0	0	1	0	4	0	2	0	0	0	0	0	0	0	0	0	7	7	0	2	3	5	0	1					
		1.45%	1.48%	2.39%	2.48%	2.71%	3.14%	1.99%	2.84%	3.54%	0.40%	0.0%	0.86%	0.0%	3.57%	1.17%	0.0%	0.0%	0.0%	0.0%	2.77%	0.0%	1.07%	0.0%	0.0%	0.0%	2.08%	0.0%	0.0%	0.0%	0.37%	4.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.25%	0.0%	0.0%	0.43%	0.0%	1.13%	0.0%	0.0%	0.0%	0.0%	5.0%	2.15%	0.0%	0.0%	1.85%	0.0%	1.18%	0.0%	3.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.96%	4.34%	0.0%	1.29%	0.86%	1.93%	0.0%	1.12%					
22	"5. ""За Русь Святую"""	49	1	2	5	5	1	0	4	3	0	1	0	0	0	2	0	0	1	0	1	0	1	0	0	0	2	0	0	2	1	1	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	1	0	2					
		0.34%	0.18%	0.29%	0.51%	0.90%	0.24%	0.0%	0.66%	0.70%	0.0%	1.06%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	1.38%	0.0%	0.30%	0.0%	0.26%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	1.25%	0.37%	1.36%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	1.66%	0.35%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.29%	0.28%	0.38%	0.0%	2.24%					
23	"6. ""Объединенная Российская партия ""Русь"""	23	2	1	4	0	1	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0					
		0.16%	0.37%	0.14%	0.41%	0.0%	0.24%	0.18%	0.16%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	1.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	1.69%	0.0%	0.0%	0.0%	0.87%	0.0%	1.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.38%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	47	3	7	8	2	3	2	7	1	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0					
		0.32%	0.55%	1.04%	0.82%	0.36%	0.72%	0.36%	1.17%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	1.02%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	2.43%	0.23%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.29%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	16	0	0	1	1	2	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
		0.11%	0.0%	0.0%	0.10%	0.18%	0.48%	0.0%	0.16%	0.23%	0.40%	0.0%	0.0%	1.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	4.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.12%					
26	"9. ""Российская экологическая партия ""Зеленые"""	34	2	4	1	1	2	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0					
		0.23%	0.37%	0.59%	0.10%	0.18%	0.48%	0.54%	0.0%	0.23%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.43%	0.71%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	1.49%	0.0%	0.0%	0.0%	0.0%	4.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.75%	0.0%	1.75%	0.0%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1386	24	36	50	28	17	24	17	30	16	10	3	23	0	97	7	20	2	12	23	43	46	10	5	9	26	0	5	23	51	3	2	10	1	39	13	6	15	50	7	14	24	23	95	3	7	5	5	5	26	5	19	1	1	49	7	4	1	24	23	15	23	4	7	2	6	25	43	20	16	42	22	3	14					
		9.71%	4.44%	5.38%	5.17%	5.06%	4.10%	4.35%	2.84%	7.09%	6.55%	10.63%	2.58%	25.55%	0.0%	18.98%	18.42%	32.25%	2.77%	26.66%	7.09%	21.93%	12.39%	11.76%	4.16%	8.82%	9.02%	0.0%	6.32%	14.46%	19.31%	4.10%	8.33%	20.0%	2.43%	9.33%	14.44%	4.41%	11.19%	15.62%	10.44%	27.45%	10.48%	35.93%	13.45%	8.10%	10.44%	4.16%	7.81%	8.33%	9.35%	11.11%	26.02%	1.85%	3.33%	14.49%	8.64%	6.77%	2.85%	42.10%	18.11%	13.15%	6.40%	6.77%	7.86%	5.26%	16.21%	7.02%	26.70%	17.24%	10.38%	12.10%	8.52%	4.28%	15.73%					
28	"11. ""Истинные патриоты России"""	22	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	5	0	0	0	2	0	1	1	0	1	0	0					
		0.15%	0.0%	0.0%	0.10%	0.0%	0.24%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	0.0%	0.0%	1.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	1.75%	0.78%	0.0%	0.0%	8.47%	0.0%	0.0%	0.0%	0.56%	0.0%	0.86%	0.64%	0.0%	0.38%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	106	3	3	10	7	5	4	11	4	2	0	2	0	0	5	0	0	0	0	1	3	2	2	1	0	1	0	0	1	5	1	0	0	1	3	1	0	0	4	0	0	2	4	2	0	0	1	0	1	2	0	0	0	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	2	4	0	0					
		0.74%	0.55%	0.44%	1.03%	1.26%	1.20%	0.72%	1.83%	0.94%	0.81%	0.0%	1.72%	0.0%	0.0%	0.97%	0.0%	0.0%	0.0%	0.0%	0.30%	1.53%	0.53%	2.35%	0.83%	0.0%	0.34%	0.0%	0.0%	0.62%	1.89%	1.36%	0.0%	0.0%	2.43%	0.71%	1.11%	0.0%	0.0%	1.25%	0.0%	0.0%	0.87%	6.25%	0.28%	0.0%	0.0%	0.83%	0.0%	1.66%	0.71%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	1.69%	0.0%	0.0%	0.0%	1.75%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	1.55%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	25	2	1	0	1	3	1	2	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	1	1	0					
		0.17%	0.37%	0.14%	0.0%	0.18%	0.72%	0.18%	0.33%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.61%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	0.0%	1.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	1.24%	0.0%	0.64%	0.0%	0.38%	1.42%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	68	1	1	2	1	0	1	0	2	1	2	0	1	0	1	0	0	0	0	4	3	7	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	1	0	2	1	0	0	0	3	2	0	7	0	0	1	0	0	0	0	1	0	4	1	2	0	1	1	2	0	0	2	1	0	0					
		0.47%	0.18%	0.14%	0.20%	0.18%	0.0%	0.18%	0.0%	0.47%	0.40%	2.12%	0.0%	1.11%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	1.23%	1.53%	1.88%	2.35%	0.0%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%	0.62%	1.49%	0.0%	0.43%	0.0%	0.28%	2.70%	0.0%	0.0%	0.0%	5.0%	0.71%	0.0%	9.58%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	1.11%	1.69%	2.24%	0.0%	2.70%	0.28%	1.24%	0.0%	0.0%	0.57%	0.38%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	22	0	0	1	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0					
		0.15%	0.0%	0.0%	0.10%	0.0%	0.0%	0.18%	0.16%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.73%	0.0%	0.0%	1.49%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	1.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.24%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	739	30	43	61	51	35	26	30	18	27	2	2	5	13	27	4	3	4	2	10	2	16	4	8	0	16	3	0	15	5	10	0	2	1	25	3	5	0	14	0	0	9	0	37	0	3	1	0	2	25	1	1	1	0	11	6	1	2	4	3	3	17	1	5	2	0	13	0	4	22	15	26	2	0					
		5.18%	5.55%	6.42%	6.30%	9.22%	8.45%	4.71%	5.01%	4.25%	11.06%	2.12%	1.72%	5.55%	15.47%	5.28%	10.52%	4.83%	5.55%	4.44%	3.08%	1.02%	4.31%	4.70%	6.66%	0.0%	5.55%	10.0%	0.0%	9.43%	1.89%	13.69%	0.0%	4.0%	2.43%	5.98%	3.33%	3.67%	0.0%	4.37%	0.0%	0.0%	3.93%	0.0%	5.24%	0.0%	4.47%	0.83%	0.0%	3.33%	8.99%	2.22%	1.36%	1.85%	0.0%	3.25%	7.40%	1.69%	5.71%	7.01%	2.36%	2.63%	4.73%	1.69%	5.61%	5.26%	0.0%	3.65%	0.0%	3.44%	14.28%	4.32%	10.07%	2.85%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	58	3	2	4	0	2	3	0	2	1	0	0	1	1	0	1	0	1	0	6	2	0	4	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	1	0	4	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	1	2	0	1	0	0					
		0.40%	0.55%	0.29%	0.41%	0.0%	0.48%	0.54%	0.0%	0.47%	0.40%	0.0%	0.0%	1.11%	1.19%	0.0%	2.63%	0.0%	1.38%	0.0%	1.85%	1.02%	0.0%	4.70%	0.0%	0.98%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	4.47%	0.0%	0.43%	0.0%	0.56%	0.0%	0.0%	0.83%	0.0%	0.0%	0.35%	0.0%	0.0%	1.85%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.83%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.86%	1.29%	0.0%	0.38%	0.0%	0.0%					
35	"18. ""ЛДПР"""	2209	101	87	174	76	66	120	108	86	34	12	29	11	24	61	16	14	29	14	55	23	53	14	5	22	36	3	8	29	40	13	1	20	9	45	3	14	21	30	1	9	34	2	99	4	23	18	0	9	41	2	0	17	2	73	20	14	12	11	5	11	53	20	0	4	13	52	15	18	14	48	35	17	7					
