Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
Наименование Избирательной комиссии:    Исилькульская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705					
		10.20%	10.58%	10.18%	15.96%	13.36%	11.29%	21.08%	19.92%	10.62%	19.33%	15.87%	9.52%	11.55%	11.95%	10.13%	11.97%	13.73%	11.75%	13.84%	9.17%	1.64%	0.93%	7.73%	1.89%	9.46%	3.45%	3.62%	10.25%	2.34%	7.19%	4.31%	3.41%	5.78%	7.65%	2.09%	0.94%	9.48%	7.81%	0.00%	7.43%	3.78%	4.68%	10.25%	5.56%	5.00%	5.00%	18.98%	21.25%	3.46%	15.63%	1.96%	3.87%	2.31%	3.43%	3.37%	2.96%	2.65%	2.78%	4.66%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	115	2	6	1	1	5	3	6	10	4	3	7	3	4	2	10	0	11	0	1	0	0	0	0	5	0	2	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	4	0	0	0	0	0	1	2	0	7	2	1	1	0	0	3	1					
		0.48%	0.31%	0.77%	0.15%	0.13%	0.74%	0.45%	0.81%	1.42%	0.52%	0.45%	0.72%	0.34%	0.63%	0.43%	1.93%	0.00%	2.35%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.43%	0.00%	0.63%	0.51%	0.57%	0.48%	0.00%	0.00%	1.67%	0.12%					
23	6.Политическая партия «Партия социальной справедливости»	36	1	2	1	4	1	2	2	0	1	0	1	3	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	2	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	0					
		0.15%	0.15%	0.26%	0.15%	0.51%	0.15%	0.30%	0.27%	0.00%	0.13%	0.00%	0.10%	0.34%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	1.83%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.34%	0.43%	0.31%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.21%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1566	47	67	50	67	49	46	45	53	45	38	62	98	54	45	29	28	38	49	4	2	12	8	0	49	3	4	5	8	2	5	21	32	54	23	12	61	10	1	8	15	16	39	6	2	3	25	4	18	24	6	59	20	7	16	17	16	9	30					
		6.55%	7.21%	8.63%	7.53%	8.52%	7.28%	6.88%	6.10%	7.51%	5.84%	5.69%	6.35%	11.10%	8.49%	9.70%	5.60%	6.01%	8.12%	7.98%	3.67%	3.28%	11.21%	4.12%	0.00%	4.93%	5.17%	1.45%	2.05%	6.25%	0.72%	2.16%	7.95%	14.22%	10.33%	8.01%	11.32%	7.61%	5.21%	1.75%	5.41%	5.15%	6.81%	6.06%	3.03%	2.50%	3.75%	5.33%	2.50%	4.44%	5.14%	5.88%	5.32%	5.14%	4.00%	7.69%	8.37%	8.47%	5.00%	3.49%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1037	33	41	56	49	39	28	48	36	44	48	93	41	34	20	31	17	27	16	2	0	4	3	0	29	0	2	5	1	3	2	7	7	15	8	0	45	10	6	7	12	3	16	1	0	0	6	1	10	19	1	58	9	2	7	3	4	2	26					
		4.34%	5.06%	5.28%	8.43%	6.23%	5.79%	4.19%	6.50%	5.10%	5.71%	7.19%	9.52%	4.64%	5.35%	4.31%	5.98%	3.65%	5.77%	2.61%	1.83%	0.00%	3.74%	1.55%	0.00%	2.92%	0.00%	0.72%	2.05%	0.78%	1.08%	0.86%	2.65%	3.11%	2.87%	2.79%	0.00%	5.61%	5.21%	10.53%	4.73%	4.12%	1.28%	2.48%	0.51%	0.00%	0.00%	1.28%	0.63%	2.47%	4.07%	0.98%	5.23%	2.31%	1.14%	3.37%	1.48%	2.12%	1.11%	3.03%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	150	4	5	3	4	4	4	9	5	7	5	11	6	5	6	6	3	2	5	0	1	0	9	0	9	0	1	0	0	0	2	0	0	0	1	0	2	0	0	1	1	0	9	0	0	2	1	1	1	3	2	5	2	0	2	0	0	0	1					
		0.63%	0.61%	0.64%	0.45%	0.51%	0.59%	0.60%	1.22%	0.71%	0.91%	0.75%	1.13%	0.68%	0.79%	1.29%	1.16%	0.64%	0.43%	0.81%	0.00%	1.64%	0.00%	4.64%	0.00%	0.91%	0.00%	0.36%	0.00%	0.00%	0.00%	0.86%	0.00%	0.00%	0.00%	0.35%	0.00%	0.25%	0.00%	0.00%	0.68%	0.34%	0.00%	1.40%	0.00%	0.00%	2.50%	0.21%	0.63%	0.25%	0.64%	1.96%	0.45%	0.51%	0.00%	0.96%	0.00%	0.00%	0.00%	0.12%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	17443	475	541	428	534	481	421	446	500	476	441	671	598	445	321	366	334	326	401	85	40	88	151	49	745	49	248	208	116	247	211	219	160	366	238	91	561	142	50	118	250	194	476	173	73	69	329	104	340	310	89	852	336	155	147	168	153	159	679					
		72.95%	72.85%	69.72%	64.46%	67.94%	71.47%	62.93%	60.43%	70.82%	61.74%	66.02%	68.68%	67.72%	69.97%	69.18%	70.66%	71.67%	69.66%	65.31%	77.98%	65.57%	82.24%	77.84%	92.45%	74.95%	84.48%	89.86%	85.25%	90.63%	88.85%	90.95%	82.95%	71.11%	69.98%	82.93%	85.85%	69.95%	73.96%	87.72%	79.73%	85.91%	82.55%	73.91%	87.37%	91.25%	86.25%	70.15%	65.00%	83.95%	66.38%	87.25%	76.76%	86.38%	88.57%	70.67%	82.76%	80.95%	88.33%	79.05%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	105	3	7	4	2	3	3	4	7	7	5	6	6	2	1	2	2	2	0	0	0	0	0	0	4	0	0	0	0	1	1	1	4	4	4	0	7	0	0	0	1	0	3	2	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0					
		0.44%	0.46%	0.90%	0.60%	0.25%	0.45%	0.45%	0.54%	0.99%	0.91%	0.75%	0.61%	0.68%	0.31%	0.22%	0.39%	0.43%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.36%	0.43%	0.38%	1.78%	0.76%	1.39%	0.00%	0.87%	0.00%	0.00%	0.00%	0.34%	0.00%	0.47%	1.01%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
