Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
"Наименование Избирательной комиссии:    Рязань, Железнодорожная"																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №8126	УИК №8130									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	785	13	12	11	7	13	23	16	16	6	5	10	18	10	16	15	21	26	21	18	16	29	17	21	25	13	10	17	10	18	14	16	16	19	11	26	8	4	13	16	12	19	14	22	24	22	17	23	19	5	3	9									
		2.19%	2.07%	1.86%	1.77%	1.93%	1.99%	3.95%	2.13%	2.03%	1.11%	0.81%	1.48%	2.30%	1.53%	2.27%	2.31%	3.60%	3.45%	2.46%	2.54%	2.15%	3.04%	2.06%	2.70%	3.65%	1.57%	1.19%	2.43%	1.71%	2.42%	2.20%	2.06%	2.70%	2.92%	1.42%	2.02%	0.96%	0.93%	0.80%	2.20%	2.14%	2.70%	2.20%	2.77%	3.24%	2.73%	2.34%	2.26%	2.70%	1.53%	5.26%	5.96%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	819	13	18	20	12	11	13	21	28	16	14	15	23	13	23	18	8	16	26	12	16	6	18	19	13	22	23	14	12	11	11	15	15	15	20	31	19	18	13	22	7	19	11	18	22	11	21	17	19	13	0	8									
		2.29%	2.07%	2.79%	3.21%	3.31%	1.69%	2.23%	2.80%	3.55%	2.96%	2.25%	2.22%	2.93%	1.99%	3.26%	2.78%	1.37%	2.12%	3.04%	1.69%	2.15%	0.63%	2.18%	2.45%	1.90%	2.66%	2.73%	2.00%	2.05%	1.48%	1.73%	1.93%	2.53%	2.31%	2.59%	2.41%	2.29%	4.19%	0.80%	3.03%	1.25%	2.70%	1.73%	2.27%	2.97%	1.37%	2.89%	1.67%	2.70%	3.99%	0.00%	5.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	784	18	13	12	13	21	10	16	13	13	8	20	26	10	17	9	9	21	23	15	18	19	12	16	22	31	30	19	11	13	10	17	7	19	9	31	17	10	10	19	9	9	16	12	18	14	11	32	20	11	2	3									
		2.19%	2.86%	2.02%	1.93%	3.59%	3.23%	1.72%	2.13%	1.65%	2.40%	1.29%	2.96%	3.32%	1.53%	2.41%	1.39%	1.54%	2.79%	2.69%	2.12%	2.42%	1.99%	1.45%	2.06%	3.21%	3.75%	3.56%	2.71%	1.88%	1.75%	1.57%	2.19%	1.18%	2.92%	1.16%	2.41%	2.05%	2.33%	0.62%	2.62%	1.60%	1.28%	2.52%	1.51%	2.43%	1.74%	1.52%	3.14%	2.84%	3.37%	3.51%	1.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14333	230	257	261	136	247	225	305	309	219	245	237	255	243	253	241	224	297	319	272	272	347	322	298	243	286	302	256	234	283	263	295	244	242	307	607	395	210	1208	334	227	252	223	288	256	313	245	351	238	124	27	66									
		40.05%	36.57%	39.84%	41.89%	37.57%	37.94%	38.59%	40.61%	39.21%	40.48%	39.45%	35.11%	32.53%	37.16%	35.89%	37.19%	38.36%	39.44%	37.35%	38.36%	36.61%	36.41%	39.03%	38.35%	35.47%	34.58%	35.82%	36.57%	39.93%	38.09%	41.29%	38.02%	41.22%	37.23%	39.72%	47.20%	47.59%	48.84%	74.71%	46.01%	40.39%	35.74%	35.06%	36.32%	34.55%	38.88%	33.75%	34.48%	33.76%	38.04%	47.37%	43.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	392	5	6	2	5	2	2	7	7	5	10	8	8	10	6	4	9	3	8	8	6	19	7	7	12	13	14	8	7	8	17	13	5	7	9	5	13	3	6	5	7	7	8	8	11	7	9	13	14	5	1	3									
		1.10%	0.79%	0.93%	0.32%	1.38%	0.31%	0.34%	0.93%	0.89%	0.92%	1.61%	1.19%	1.02%	1.53%	0.85%	0.62%	1.54%	0.40%	0.94%	1.13%	0.81%	1.99%	0.85%	0.90%	1.75%	1.57%	1.66%	1.14%	1.19%	1.08%	2.67%	1.68%	0.84%	1.08%	1.16%	0.39%	1.57%	0.70%	0.37%	0.69%	1.25%	0.99%	1.26%	1.01%	1.48%	0.87%	1.24%	1.28%	1.99%	1.53%	1.75%	1.99%									
24	"6. Политическая партия ""Гражданская Платформа"""	85	4	1	2	0	1	1	2	0	1	0	1	1	0	4	9	0	1	0	4	2	3	3	2	2	4	4	4	1	3	1	0	3	1	2	1	2	0	2	0	1	0	1	1	3	2	2	2	1	0	0	0									
		0.24%	0.64%	0.16%	0.32%	0.00%	0.15%	0.17%	0.27%	0.00%	0.18%	0.00%	0.15%	0.13%	0.00%	0.57%	1.39%	0.00%	0.13%	0.00%	0.56%	0.27%	0.31%	0.36%	0.26%	0.29%	0.48%	0.47%	0.57%	0.17%	0.40%	0.16%	0.00%	0.51%	0.15%	0.26%	0.08%	0.24%	0.00%	0.12%	0.00%	0.18%	0.00%	0.16%	0.13%	0.40%	0.25%	0.28%	0.20%	0.14%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6370	90	97	113	66	120	113	121	158	114	134	116	149	123	137	118	138	132	163	143	126	154	147	116	124	149	139	132	95	123	116	130	113	141	165	234	147	68	204	103	97	144	116	114	120	131	145	227	119	45	13	28									
		17.80%	14.31%	15.04%	18.14%	18.23%	18.43%	19.38%	16.11%	20.05%	21.07%	21.58%	17.19%	19.01%	18.81%	19.43%	18.21%	23.63%	17.53%	19.09%	20.17%	16.96%	16.16%	17.82%	14.93%	18.10%	18.02%	16.49%	18.86%	16.21%	16.55%	18.21%	16.75%	19.09%	21.69%	21.35%	18.20%	17.71%	15.81%	12.62%	14.19%	17.26%	20.43%	18.24%	14.38%	16.19%	16.27%	19.97%	22.30%	16.88%	13.80%	22.81%	18.54%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	453	7	14	7	8	10	10	6	7	10	5	9	8	13	6	5	10	8	8	5	13	14	16	11	10	9	11	9	7	16	17	13	7	12	7	11	4	0	3	4	2	11	10	14	14	15	5	15	9	2	0	6									
		1.27%	1.11%	2.17%	1.12%	2.21%	1.54%	1.72%	0.80%	0.89%	1.85%	0.81%	1.33%	1.02%	1.99%	0.85%	0.77%	1.71%	1.06%	0.94%	0.71%	1.75%	1.47%	1.94%	1.42%	1.46%	1.09%	1.30%	1.29%	1.19%	2.15%	2.67%	1.68%	1.18%	1.85%	0.91%	0.86%	0.48%	0.00%	0.19%	0.55%	0.36%	1.56%	1.57%	1.77%	1.89%	1.86%	0.69%	1.47%	1.28%	0.61%	0.00%	3.97%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	561	15	9	11	4	7	6	2	17	4	10	13	11	9	10	13	9	13	6	18	9	28	10	16	16	14	23	14	13	11	9	13	15	6	13	9	6	2	8	10	12	13	15	8	14	17	9	15	14	11	0	1									
		1.57%	2.38%	1.40%	1.77%	1.10%	1.08%	1.03%	0.27%	2.16%	0.74%	1.61%	1.93%	1.40%	1.38%	1.42%	2.01%	1.54%	1.73%	0.70%	2.54%	1.21%	2.94%	1.21%	2.06%	2.34%	1.69%	2.73%	2.00%	2.22%	1.48%	1.41%	1.68%	2.53%	0.92%	1.68%	0.70%	0.72%	0.47%	0.49%	1.38%	2.14%	1.84%	2.36%	1.01%	1.89%	2.11%	1.24%	1.47%	1.99%	3.37%	0.00%	0.66%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	36	1	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	3	1	1	1	0	1	0	1	1	1	1	2	0	2	2	1	1	0	3	0	1	0	3	0	0	1	0	3	0	0	0	0									
		0.10%	0.16%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.26%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.40%	0.10%	0.12%	0.13%	0.00%	0.12%	0.00%	0.14%	0.17%	0.13%	0.16%	0.26%	0.00%	0.31%	0.26%	0.08%	0.12%	0.00%	0.19%	0.00%	0.18%	0.00%	0.47%	0.00%	0.00%	0.12%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	985	30	14	16	11	15	8	15	16	8	17	21	18	18	13	15	15	21	22	23	23	39	23	29	21	29	38	21	19	21	32	15	19	21	7	13	15	1	14	15	14	13	23	28	20	29	35	40	31	16	2	3									
		2.75%	4.77%	2.17%	2.57%	3.04%	2.30%	1.37%	1.99%	2.03%	1.48%	2.74%	3.11%	2.30%	2.75%	1.84%	2.31%	2.57%	2.79%	2.58%	3.24%	3.10%	4.09%	2.79%	3.73%	3.07%	3.51%	4.51%	3.00%	3.24%	2.83%	5.02%	1.93%	3.21%	3.23%	0.91%	1.01%	1.81%	0.23%	0.87%	2.07%	2.49%	1.84%	3.62%	3.53%	2.70%	3.60%	4.82%	3.93%	4.40%	4.91%	3.51%	1.99%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6969	147	141	115	63	138	110	157	145	101	130	151	173	116	138	145	96	148	179	146	155	201	182	165	144	181	187	152	119	160	109	171	103	126	139	177	117	77	81	146	111	154	135	191	162	167	174	186	160	70	8	20									
		19.48%	23.37%	21.86%	18.46%	17.40%	21.20%	18.87%	20.91%	18.40%	18.67%	20.93%	22.37%	22.07%	17.74%	19.57%	22.38%	16.44%	19.65%	20.96%	20.59%	20.86%	21.09%	22.06%	21.24%	21.02%	21.89%	22.18%	21.71%	20.31%	21.53%	17.11%	22.04%	17.40%	19.38%	17.98%	13.76%	14.10%	17.91%	5.01%	20.11%	19.75%	21.84%	21.23%	24.09%	21.86%	20.75%	23.97%	18.27%	22.70%	21.47%	14.04%	13.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	148	3	2	0	0	1	2	7	2	2	3	1	4	4	3	6	5	5	4	2	4	3	3	6	4	1	4	6	3	2	1	3	2	0	5	4	2	2	2	0	3	3	4	4	6	6	0	6	2	1	0	0									
		0.41%	0.48%	0.31%	0.00%	0.00%	0.15%	0.34%	0.93%	0.25%	0.37%	0.48%	0.15%	0.51%	0.61%	0.43%	0.93%	0.86%	0.66%	0.47%	0.28%	0.54%	0.31%	0.36%	0.77%	0.58%	0.12%	0.47%	0.86%	0.51%	0.27%	0.16%	0.39%	0.34%	0.00%	0.65%	0.31%	0.24%	0.47%	0.12%	0.00%	0.53%	0.43%	0.63%	0.50%	0.81%	0.75%	0.00%	0.59%	0.28%	0.31%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2580	42	55	47	27	51	50	63	59	35	34	64	77	73	65	35	32	49	62	37	73	81	57	53	39	66	49	40	48	58	25	60	34	29	71	108	71	30	30	47	54	61	50	76	61	63	47	68	51	18	1	4									
		7.21%	6.68%	8.53%	7.54%	7.46%	7.83%	8.58%	8.39%	7.49%	6.47%	5.48%	9.48%	9.82%	11.16%	9.22%	5.40%	5.48%	6.51%	7.26%	5.22%	9.83%	8.50%	6.91%	6.82%	5.69%	7.98%	5.81%	5.71%	8.19%	7.81%	3.92%	7.73%	5.74%	4.46%	9.18%	8.40%	8.55%	6.98%	1.86%	6.47%	9.61%	8.65%	7.86%	9.58%	8.23%	7.83%	6.47%	6.68%	7.23%	5.52%	1.75%	2.65%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
