Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Приволжская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	101	2	1	2	2	1	0	1	7	2	9	0	0	3	2	1	3	24	1	1	6	4	7	4	2	4	5	2	4	1					
14	Число неиспользованных открепительных удостоверений	217	5	4	9	5	4	10	10	7	10	0	9	0	6	10	6	6	7	10	6	9	7	9	10	7	8	7	10	8	18					
15	"Число открепительных удостоверений, выданных в ТИК"	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6	0	0	0	0	0	1	2	0	2	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	365	4	8	0	7	1	1	4	17	13	13	3	0	15	6	3	18	39	21	25	18	17	8	13	19	22	15	14	20	21					
		2.90%	1.13%	2.88%	0.00%	1.94%	0.48%	0.47%	1.54%	2.71%	3.88%	4.06%	2.24%	0.00%	3.69%	2.99%	0.96%	4.07%	5.60%	2.93%	3.06%	2.80%	2.81%	1.96%	3.14%	3.37%	3.51%	2.98%	3.24%	2.61%	2.79%					
19	. Малышкин Олег Александрович	420	4	12	5	7	7	6	7	29	7	21	2	3	15	1	9	13	16	33	25	23	16	5	17	5	25	19	26	30	32					
		3.34%	1.13%	4.32%	5.15%	1.94%	3.37%	2.84%	2.69%	4.62%	2.09%	6.56%	1.49%	3.45%	3.69%	0.50%	2.89%	2.94%	2.30%	4.61%	3.06%	3.57%	2.64%	1.22%	4.11%	0.89%	3.99%	3.78%	6.02%	3.92%	4.24%					
20	. Миронов Сергей Михайлович	105	5	3	0	2	1	4	0	7	2	0	3	0	4	0	2	6	2	3	8	4	3	3	4	10	5	5	3	4	12					
		0.83%	1.41%	1.08%	0.00%	0.56%	0.48%	1.90%	0.00%	1.11%	0.60%	0.00%	2.24%	0.00%	0.99%	0.00%	0.64%	1.36%	0.29%	0.42%	0.98%	0.62%	0.50%	0.73%	0.97%	1.77%	0.80%	0.99%	0.69%	0.52%	1.59%					
21	. Путин Владимир Владимирович	9117	247	166	77	300	168	157	193	444	262	201	93	64	258	156	191	323	497	562	595	488	437	287	296	396	440	370	330	536	583					
		72.49%	69.77%	59.71%	79.38%	83.33%	80.77%	74.41%	74.23%	70.70%	78.21%	62.81%	69.40%	73.56%	63.55%	77.61%	61.41%	73.08%	71.41%	78.49%	72.92%	75.78%	72.11%	70.17%	71.50%	70.21%	70.29%	73.56%	76.39%	70.07%	77.32%					
22	. Хакамада Ирина Муцуовна	231	5	2	0	7	3	3	12	11	3	3	0	0	12	0	3	14	18	10	21	10	14	4	5	12	18	16	7	8	10					
		1.84%	1.41%	0.72%	0.00%	1.94%	1.44%	1.42%	4.62%	1.75%	0.90%	0.94%	0.00%	0.00%	2.96%	0.00%	0.96%	3.17%	2.59%	1.40%	2.57%	1.55%	2.31%	0.98%	1.21%	2.13%	2.88%	3.18%	1.62%	1.05%	1.33%					
23	. Харитонов Николай Михайлович	1941	76	69	7	34	26	32	36	81	40	73	24	19	77	36	95	54	93	73	120	84	100	95	65	105	98	64	45	149	71					
		15.43%	21.47%	24.82%	7.22%	9.44%	12.50%	15.17%	13.85%	12.90%	11.94%	22.81%	17.91%	21.84%	18.97%	17.91%	30.55%	12.22%	13.36%	10.20%	14.71%	13.04%	16.50%	23.23%	15.70%	18.62%	15.65%	12.72%	10.42%	19.48%	9.42%					
																																				
24	Против всех	340	12	17	8	2	2	7	6	32	6	6	9	1	23	2	4	12	30	12	21	17	10	7	12	13	16	14	7	11	21					
		2.70%	3.39%	6.12%	8.25%	0.56%	0.96%	3.32%	2.31%	5.10%	1.79%	1.88%	6.72%	1.15%	5.67%	1.00%	1.29%	2.71%	4.31%	1.68%	2.57%	2.64%	1.65%	1.71%	2.90%	2.30%	2.56%	2.78%	1.62%	1.44%	2.79%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
