Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    район Марьино																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1135	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	25	15	15	15	15	15	15	15	15	15	15	25	25	15	25	15	15	25	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	25	25	25	15	15	15	15	15	15	15	25	15	25	15	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	645	5	11	3	11	14	8	9	9	9	7	4	5	10	6	2	4	7	16	4	12	3	10	8	11	10	3	8	2	20	16	10	16	9	11	16	6	8	7	13	11	11	11	10	15	10	13	3	8	10	8	17	14	13	14	11	10	0	7	5	1	16	10	17	11	10	6	11	11	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	686	10	0	6	2	27	14	1	6	6	9	2	8	5	7	1	7	85	14	28	25	28	38	14	14	23	7	6	4	3	3	7	4	4	4	2	8	16	2	16	6	10	13	13	12	10	2	5	4	9	4	4	9	5	16	5	7	7	0	8	4	7	4	7	5	7	8	5	13	11									
14	Число погашенных неиспользованных открепительных удостоверений	490	10	4	12	4	1	7	6	6	6	8	11	10	5	9	13	11	8	9	11	3	12	5	7	4	5	12	7	13	5	9	5	9	6	4	9	9	7	8	2	4	4	4	5	0	5	2	12	7	5	7	8	11	12	1	4	5	15	8	10	14	9	5	8	4	5	9	4	4	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	0	0	0	1	2	1	0	2	1	0	0	0	0	1	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	1	3	1	0	1	0	0	1	2	2	1	1	3	2	1	0	1	0	2	1	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1700	26	25	15	26	29	26	26	24	25	18	26	27	25	19	19	21	35	25	21	29	17	17	15	26	23	20	25	21	21	27	21	15	22	36	33	32	23	17	25	31	24	26	43	43	31	15	19	24	25	16	33	43	27	25	31	20	22	28	26	19	30	26	22	18	31	20	18	22	19									
		3.09%	3.43%	2.84%	1.77%	3.06%	3.31%	3.12%	2.88%	2.80%	2.71%	2.49%	3.31%	3.11%	3.22%	2.69%	2.60%	2.91%	3.74%	3.49%	2.55%	3.22%	2.04%	2.14%	1.89%	3.21%	2.86%	2.86%	3.87%	2.87%	2.82%	3.10%	2.68%	1.91%	2.68%	3.85%	4.07%	3.73%	2.66%	2.69%	3.14%	3.84%	2.87%	2.61%	4.71%	4.13%	3.57%	1.96%	2.85%	2.87%	2.93%	2.29%	3.96%	4.63%	2.78%	3.15%	3.69%	2.75%	3.26%	4.31%	3.69%	3.86%	3.33%	3.98%	3.50%	2.29%	3.69%	3.13%	2.04%	2.66%	3.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1076	25	8	17	15	25	12	20	20	23	20	23	15	11	15	3	18	26	7	17	20	18	11	17	7	15	18	10	19	8	20	15	21	24	24	17	19	19	15	20	15	22	12	13	22	10	19	18	14	14	10	18	10	18	12	20	12	8	16	19	10	18	6	14	15	4	12	11	15	12									
		1.95%	3.30%	0.91%	2.01%	1.76%	2.85%	1.44%	2.22%	2.33%	2.50%	2.77%	2.93%	1.73%	1.42%	2.12%	0.41%	2.50%	2.77%	0.98%	2.07%	2.22%	2.16%	1.38%	2.15%	0.86%	1.87%	2.57%	1.55%	2.60%	1.07%	2.29%	1.92%	2.67%	2.93%	2.57%	2.10%	2.21%	2.20%	2.37%	2.51%	1.86%	2.63%	1.20%	1.43%	2.11%	1.15%	2.49%	2.70%	1.68%	1.64%	1.43%	2.16%	1.08%	1.86%	1.51%	2.38%	1.65%	1.19%	2.47%	2.70%	2.03%	1.99%	0.92%	2.23%	1.91%	0.48%	1.88%	1.25%	1.82%	1.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1623	28	31	40	18	27	20	22	20	26	13	21	23	22	12	18	30	26	27	33	33	28	23	18	25	25	19	26	20	28	29	27	21	28	40	21	31	28	21	22	19	28	23	27	39	24	18	24	17	25	25	27	26	36	24	22	25	19	18	25	13	28	11	20	11	23	10	16	11	19									
		2.95%	3.70%	3.52%	4.73%	2.12%	3.08%	2.40%	2.44%	2.33%	2.82%	1.80%	2.68%	2.65%	2.83%	1.70%	2.46%	4.16%	2.77%	3.77%	4.01%	3.66%	3.35%	2.89%	2.27%	3.08%	3.11%	2.71%	4.02%	2.73%	3.76%	3.33%	3.45%	2.67%	3.41%	4.28%	2.59%	3.61%	3.24%	3.32%	2.76%	2.35%	3.35%	2.30%	2.96%	3.74%	2.76%	2.36%	3.60%	2.04%	2.93%	3.57%	3.24%	2.80%	3.71%	3.02%	2.62%	3.44%	2.81%	2.77%	3.55%	2.64%	3.11%	1.68%	3.18%	1.40%	2.73%	1.56%	1.82%	1.33%	3.15%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22336	311	386	384	353	365	343	374	343	355	325	338	369	381	323	296	329	345	308	333	391	357	313	336	325	338	280	269	332	273	334	339	346	348	358	330	336	346	257	341	326	317	341	323	375	339	323	250	343	326	288	349	329	388	280	338	271	236	230	276	201	326	277	246	318	344	275	381	379	231									
		40.54%	41.08%	43.81%	45.39%	41.53%	41.62%	41.18%	41.46%	39.98%	38.55%	44.95%	43.06%	42.46%	49.03%	45.69%	40.49%	45.63%	36.82%	42.96%	40.46%	43.40%	42.75%	39.37%	42.42%	40.07%	42.04%	40.00%	41.64%	45.36%	36.64%	38.30%	43.30%	44.02%	42.44%	38.33%	40.69%	39.12%	40.05%	40.66%	42.79%	40.40%	37.87%	34.17%	35.42%	35.99%	39.01%	42.28%	37.54%	41.08%	38.17%	41.14%	41.85%	35.45%	40.00%	35.26%	40.24%	37.33%	34.96%	35.44%	39.15%	40.85%	36.18%	42.35%	39.11%	40.41%	40.90%	43.04%	43.25%	45.88%	38.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	821	8	12	9	22	9	11	16	15	15	12	7	12	7	3	9	11	8	13	17	8	12	13	13	7	16	15	5	10	15	18	11	12	13	20	9	18	13	12	8	9	11	14	22	17	16	9	12	11	10	6	15	12	13	20	12	11	8	14	8	8	18	6	16	6	16	9	7	12	9									
		1.49%	1.06%	1.36%	1.06%	2.59%	1.03%	1.32%	1.77%	1.75%	1.63%	1.66%	0.89%	1.38%	0.90%	0.42%	1.23%	1.53%	0.85%	1.81%	2.07%	0.89%	1.44%	1.64%	1.64%	0.86%	1.99%	2.14%	0.77%	1.37%	2.01%	2.06%	1.40%	1.53%	1.59%	2.14%	1.11%	2.10%	1.50%	1.90%	1.00%	1.12%	1.31%	1.40%	2.41%	1.63%	1.84%	1.18%	1.80%	1.32%	1.17%	0.86%	1.80%	1.29%	1.34%	2.52%	1.43%	1.52%	1.19%	2.16%	1.13%	1.63%	1.99%	0.92%	2.54%	0.76%	1.90%	1.41%	0.79%	1.45%	1.49%									
24	"6. Политическая партия ""Гражданская Платформа"""	171	1	1	1	3	1	6	1	2	1	1	2	4	2	1	5	1	2	1	2	5	4	4	4	4	4	0	1	3	2	2	3	4	4	2	4	4	4	3	3	2	3	2	1	5	1	0	1	4	1	2	2	2	4	3	4	4	3	3	1	1	1	2	2	6	4	1	2	1	1									
		0.31%	0.13%	0.11%	0.12%	0.35%	0.11%	0.72%	0.11%	0.23%	0.11%	0.14%	0.25%	0.46%	0.26%	0.14%	0.68%	0.14%	0.21%	0.14%	0.24%	0.55%	0.48%	0.50%	0.51%	0.49%	0.50%	0.00%	0.15%	0.41%	0.27%	0.23%	0.38%	0.51%	0.49%	0.21%	0.49%	0.47%	0.46%	0.47%	0.38%	0.25%	0.36%	0.20%	0.11%	0.48%	0.12%	0.00%	0.15%	0.48%	0.12%	0.29%	0.24%	0.22%	0.41%	0.38%	0.48%	0.55%	0.44%	0.46%	0.14%	0.20%	0.11%	0.31%	0.32%	0.76%	0.48%	0.16%	0.23%	0.12%	0.17%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	8127	145	130	113	141	146	145	126	125	156	129	130	93	132	121	96	93	172	110	132	118	111	133	115	116	103	97	97	117	93	118	105	119	116	133	118	136	121	80	129	117	113	115	96	115	108	125	109	144	189	131	97	132	141	112	101	95	139	85	83	61	131	94	68	115	124	117	143	135	82									
		14.75%	19.15%	14.76%	13.36%	16.59%	16.65%	17.41%	13.97%	14.57%	16.94%	17.84%	16.56%	10.70%	16.99%	17.11%	13.13%	12.90%	18.36%	15.34%	16.04%	13.10%	13.29%	16.73%	14.52%	14.30%	12.81%	13.86%	15.02%	15.98%	12.48%	13.53%	13.41%	15.14%	14.15%	14.24%	14.55%	15.83%	14.00%	12.66%	16.19%	14.50%	13.50%	11.52%	10.53%	11.04%	12.43%	16.36%	16.37%	17.25%	22.13%	18.71%	11.63%	14.22%	14.54%	14.11%	12.02%	13.09%	20.59%	13.10%	11.77%	12.40%	14.54%	14.37%	10.81%	14.61%	14.74%	18.31%	16.23%	16.34%	13.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1362	8	17	20	16	29	13	12	16	22	10	12	31	10	16	18	3	27	16	24	20	21	22	19	16	15	18	21	11	34	25	23	16	14	17	10	20	18	18	25	19	21	35	31	26	30	23	10	21	17	24	18	28	22	25	13	26	37	18	19	12	28	25	16	25	15	14	19	21	21									
		2.47%	1.06%	1.93%	2.36%	1.88%	3.31%	1.56%	1.33%	1.86%	2.39%	1.38%	1.53%	3.57%	1.29%	2.26%	2.46%	0.42%	2.88%	2.23%	2.92%	2.22%	2.51%	2.77%	2.40%	1.97%	1.87%	2.57%	3.25%	1.50%	4.56%	2.87%	2.94%	2.04%	1.71%	1.82%	1.23%	2.33%	2.08%	2.85%	3.14%	2.35%	2.51%	3.51%	3.40%	2.50%	3.45%	3.01%	1.50%	2.51%	1.99%	3.43%	2.16%	3.02%	2.27%	3.15%	1.55%	3.58%	5.48%	2.77%	2.70%	2.44%	3.11%	3.82%	2.54%	3.18%	1.78%	2.19%	2.16%	2.54%	3.48%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1750	11	19	26	11	16	24	23	21	24	11	24	32	5	12	26	13	25	22	18	25	23	24	22	25	31	22	15	15	35	28	27	16	22	25	18	37	26	31	23	35	26	58	45	36	33	21	25	21	38	18	32	35	26	36	31	24	20	34	15	17	54	34	31	33	34	9	30	26	20									
		3.18%	1.45%	2.16%	3.07%	1.29%	1.82%	2.88%	2.55%	2.45%	2.61%	1.52%	3.06%	3.68%	0.64%	1.70%	3.56%	1.80%	2.67%	3.07%	2.19%	2.77%	2.75%	3.02%	2.78%	3.08%	3.86%	3.14%	2.32%	2.05%	4.70%	3.21%	3.45%	2.04%	2.68%	2.68%	2.22%	4.31%	3.01%	4.91%	2.89%	4.34%	3.11%	5.81%	4.93%	3.45%	3.80%	2.75%	3.75%	2.51%	4.45%	2.57%	3.84%	3.77%	2.68%	4.53%	3.69%	3.31%	2.96%	5.24%	2.13%	3.46%	5.99%	5.20%	4.93%	4.19%	4.04%	1.41%	3.41%	3.15%	3.31%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	101	3	2	3	3	1	1	0	0	4	3	1	0	3	1	1	1	3	2	4	2	0	2	0	1	1	0	2	2	1	0	0	3	0	4	1	0	0	2	4	1	2	2	2	2	3	0	0	1	1	2	1	1	1	3	1	4	1	3	1	0	1	2	1	1	2	1	0	0	0									
		0.18%	0.40%	0.23%	0.35%	0.35%	0.11%	0.12%	0.00%	0.00%	0.43%	0.41%	0.13%	0.00%	0.39%	0.14%	0.14%	0.14%	0.32%	0.28%	0.49%	0.22%	0.00%	0.25%	0.00%	0.12%	0.12%	0.00%	0.31%	0.27%	0.13%	0.00%	0.00%	0.38%	0.00%	0.43%	0.12%	0.00%	0.00%	0.32%	0.50%	0.12%	0.24%	0.20%	0.22%	0.19%	0.35%	0.00%	0.00%	0.12%	0.12%	0.29%	0.12%	0.11%	0.10%	0.38%	0.12%	0.55%	0.15%	0.46%	0.14%	0.00%	0.11%	0.31%	0.16%	0.13%	0.24%	0.16%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3815	32	65	47	24	36	51	72	60	53	41	36	62	37	37	58	28	61	36	46	52	48	61	49	51	45	44	44	36	64	60	59	45	46	49	48	48	65	44	53	58	79	141	116	112	88	47	44	63	42	24	59	79	71	69	82	66	47	62	40	36	82	51	52	59	48	31	66	52	56									
		6.92%	4.23%	7.38%	5.56%	2.82%	4.10%	6.12%	7.98%	6.99%	5.75%	5.67%	4.59%	7.13%	4.76%	5.23%	7.93%	3.88%	6.51%	5.02%	5.59%	5.77%	5.75%	7.67%	6.19%	6.29%	5.60%	6.29%	6.81%	4.92%	8.59%	6.88%	7.54%	5.73%	5.61%	5.25%	5.92%	5.59%	7.52%	6.96%	6.65%	7.19%	9.44%	14.13%	12.72%	10.75%	10.13%	6.15%	6.61%	7.54%	4.92%	3.43%	7.07%	8.51%	7.32%	8.69%	9.76%	9.09%	6.96%	9.55%	5.67%	7.32%	9.10%	7.80%	8.27%	7.50%	5.71%	4.85%	7.49%	6.30%	9.27%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8239	96	130	110	135	122	113	127	123	147	96	122	145	93	82	111	110	135	98	124	123	134	124	114	149	138	105	89	103	122	144	112	117	131	156	141	136	141	93	84	123	148	171	133	179	138	112	109	111	110	100	115	152	145	144	127	120	94	105	102	67	126	80	86	118	133	85	134	100	97									
		14.95%	12.68%	14.76%	13.00%	15.88%	13.91%	13.57%	14.08%	14.34%	15.96%	13.28%	15.54%	16.69%	11.97%	11.60%	15.18%	15.26%	14.41%	13.67%	15.07%	13.65%	16.05%	15.60%	14.39%	18.37%	17.16%	15.00%	13.78%	14.07%	16.38%	16.51%	14.30%	14.89%	15.98%	16.70%	17.39%	15.83%	16.32%	14.72%	10.54%	15.24%	17.68%	17.13%	14.58%	17.18%	15.88%	14.66%	16.37%	13.29%	12.88%	14.29%	13.79%	16.38%	14.95%	18.14%	15.12%	16.53%	13.93%	16.18%	14.47%	13.62%	13.98%	12.23%	13.67%	14.99%	15.81%	13.30%	15.21%	12.11%	16.06%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	386	6	3	8	4	2	4	8	2	4	5	7	4	6	7	10	8	7	5	9	12	3	6	6	3	5	11	5	3	13	12	4	2	2	7	7	5	8	7	7	14	5	4	2	4	1	3	3	4	8	8	5	6	5	7	6	4	3	2	3	3	8	1	7	4	6	7	7	7	2									
		0.70%	0.79%	0.34%	0.95%	0.47%	0.23%	0.48%	0.89%	0.23%	0.43%	0.69%	0.89%	0.46%	0.77%	0.99%	1.37%	1.11%	0.75%	0.70%	1.09%	1.33%	0.36%	0.75%	0.76%	0.37%	0.62%	1.57%	0.77%	0.41%	1.74%	1.38%	0.51%	0.25%	0.24%	0.75%	0.86%	0.58%	0.93%	1.11%	0.88%	1.73%	0.60%	0.40%	0.22%	0.38%	0.12%	0.39%	0.45%	0.48%	0.94%	1.14%	0.60%	0.65%	0.52%	0.88%	0.71%	0.55%	0.44%	0.31%	0.43%	0.61%	0.89%	0.15%	1.11%	0.51%	0.71%	1.10%	0.79%	0.85%	0.33%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2663	49	31	38	61	56	47	52	60	50	27	25	39	30	26	49	47	52	34	31	41	45	25	51	48	35	40	22	30	25	42	27	32	41	46	39	32	46	27	38	28	30	49	51	49	37	34	32	41	39	33	52	35	58	26	35	33	33	25	47	33	37	31	40	45	38	40	36	36	24									
		4.83%	6.47%	3.52%	4.49%	7.18%	6.39%	5.64%	5.76%	6.99%	5.43%	3.73%	3.18%	4.49%	3.86%	3.68%	6.70%	6.52%	5.55%	4.74%	3.77%	4.55%	5.39%	3.14%	6.44%	5.92%	4.35%	5.71%	3.41%	4.10%	3.36%	4.82%	3.45%	4.07%	5.00%	4.93%	4.81%	3.73%	5.32%	4.27%	4.77%	3.47%	3.58%	4.91%	5.59%	4.70%	4.26%	4.45%	4.80%	4.91%	4.57%	4.71%	6.24%	3.77%	5.98%	3.27%	4.17%	4.55%	4.89%	3.85%	6.67%	6.71%	4.11%	4.74%	6.36%	5.72%	4.52%	6.26%	4.09%	4.36%	3.97%									
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
