Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																						
Дата голосования: 04.12.2011																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Пушкинская																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368					
		1.38%	0.78%	1.17%	1.62%	1.62%	0.94%	1.03%	1.24%	1.59%	1.29%	2.66%	1.25%	1.44%	1.61%	0.93%	1.24%	1.32%	0.97%	1.69%	1.26%	0.83%	1.26%	1.76%	1.68%	1.47%	1.41%	1.62%	0.93%	1.19%	1.87%	2.03%	1.54%	1.37%	2.21%	0.40%	2.60%	1.11%	0.95%	0.87%	1.64%	0.23%	0.82%	1.20%	0.97%	0.64%	0.90%	1.25%	1.45%	1.09%	1.54%	1.15%	1.15%	0.87%	1.56%	1.75%	1.03%	1.14%	0.99%	0.82%	0.98%	0.00%	2.00%	2.43%	1.82%	2.07%	1.77%	1.49%	1.13%	1.82%	0.69%	0.85%	0.93%	0.83%	2.18%	1.66%	1.89%	1.73%	1.36%	0.00%	3.02%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	17633	305	322	334	142	180	356	423	316	283	333	238	265	324	336	333	458	278	268	299	264	338	208	285	222	218	364	330	348	282	75	115	329	305	72	221	211	135	82	98	133	74	232	141	97	199	351	296	293	292	328	300	375	77	92	214	199	165	142	44	46	82	397	476	262	93	177	164	134	52	17	92	66	118	255	357	278	119	57	52					
		28.92%	29.61%	31.38%	29.98%	28.74%	24.06%	33.49%	32.74%	27.99%	30.43%	31.65%	29.86%	29.28%	32.69%	28.38%	31.65%	33.58%	26.91%	32.45%	31.34%	31.17%	30.48%	30.50%	31.84%	25.17%	27.98%	28.15%	30.67%	29.64%	30.95%	25.42%	29.49%	28.17%	33.74%	29.15%	30.23%	23.47%	25.71%	23.70%	26.85%	30.37%	30.20%	23.29%	10.50%	30.89%	22.49%	31.42%	30.64%	28.92%	29.95%	31.42%	34.64%	29.64%	24.06%	26.82%	31.52%	22.72%	27.41%	23.24%	21.46%	25.00%	27.33%	27.61%	39.40%	30.08%	20.58%	29.35%	30.94%	34.90%	35.86%	14.53%	28.48%	27.39%	32.15%	28.21%	26.92%	30.12%	18.00%	29.38%	26.13%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4897	105	107	103	51	45	118	140	99	108	97	89	99	83	110	153	141	79	62	86	89	66	42	66	76	41	118	86	114	106	41	36	71	79	25	80	93	46	30	36	41	10	45	46	22	68	84	53	88	84	73	96	102	9	19	37	45	21	29	15	8	7	66	79	38	49	59	19	27	11	5	38	30	37	83	66	34	25	4	9					
		8.03%	10.19%	10.43%	9.25%	10.32%	6.02%	11.10%	10.84%	8.77%	11.61%	9.22%	11.17%	10.94%	8.38%	9.29%	14.54%	10.34%	7.65%	7.51%	9.01%	10.51%	5.95%	6.16%	7.37%	8.62%	5.26%	9.13%	7.99%	9.71%	11.64%	13.90%	9.23%	6.08%	8.74%	10.12%	10.94%	10.34%	8.76%	8.67%	9.86%	9.36%	4.08%	4.52%	3.43%	7.01%	7.68%	7.52%	5.49%	8.69%	8.62%	6.99%	11.09%	8.06%	2.81%	5.54%	5.45%	5.14%	3.49%	4.75%	7.32%	4.35%	2.33%	4.59%	6.54%	4.36%	10.84%	9.78%	3.58%	7.03%	7.59%	4.27%	11.76%	12.45%	10.08%	9.18%	4.98%	3.68%	3.78%	2.06%	4.52%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15818	231	223	230	104	217	237	249	271	179	250	157	202	222	276	197	285	272	172	236	195	308	184	216	211	202	275	232	297	172	77	89	332	193	58	129	239	168	126	117	110	104	328	691	89	302	242	235	279	254	251	193	327	105	105	190	304	199	181	74	47	138	409	271	260	116	128	177	88	48	53	86	64	79	212	400	211	276	80	82					
		25.94%	22.43%	21.73%	20.65%	21.05%	29.01%	22.30%	19.27%	24.00%	19.25%	23.76%	19.70%	22.32%	22.40%	23.31%	18.73%	20.89%	26.33%	20.82%	24.74%	23.02%	27.77%	26.98%	24.13%	23.92%	25.93%	21.27%	21.56%	25.30%	18.88%	26.10%	22.82%	28.42%	21.35%	23.48%	17.65%	26.59%	32.00%	36.42%	32.05%	25.11%	42.45%	32.93%	51.45%	28.34%	34.12%	21.67%	24.33%	27.54%	26.05%	24.04%	22.29%	25.85%	32.81%	30.61%	27.98%	34.70%	33.06%	29.62%	36.10%	25.54%	46.00%	28.44%	22.43%	29.85%	25.66%	21.23%	33.40%	22.92%	33.10%	45.30%	26.63%	26.56%	21.53%	23.45%	30.17%	22.86%	41.75%	41.24%	41.21%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	787	9	12	12	7	10	17	13	26	12	8	13	12	11	15	12	20	16	6	6	11	19	16	13	9	11	17	11	15	17	2	8	9	27	1	22	34	9	6	1	1	2	12	18	0	10	11	13	8	18	10	12	12	1	3	3	7	6	6	1	5	4	19	15	15	5	1	6	4	0	2	4	3	7	5	16	20	6	0	1					
		1.29%	0.87%	1.17%	1.08%	1.42%	1.34%	1.60%	1.01%	2.30%	1.29%	0.76%	1.63%	1.33%	1.11%	1.27%	1.14%	1.47%	1.55%	0.73%	0.63%	1.30%	1.71%	2.35%	1.45%	1.02%	1.41%	1.31%	1.02%	1.28%	1.87%	0.68%	2.05%	0.77%	2.99%	0.40%	3.01%	3.78%	1.71%	1.73%	0.27%	0.23%	0.82%	1.20%	1.34%	0.00%	1.13%	0.98%	1.35%	0.79%	1.85%	0.96%	1.39%	0.95%	0.31%	0.87%	0.44%	0.80%	0.99%	0.98%	0.49%	2.72%	1.33%	1.32%	1.24%	1.72%	1.11%	0.17%	1.13%	1.04%	0.00%	1.71%	1.24%	1.24%	1.91%	0.55%	1.21%	2.17%	0.91%	0.00%	0.50%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
