Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    рабочего поселка (п.г.т.) Прогресс																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810									
		0.41%	0.00%	0.00%	0.50%	0.40%	0.00%	0.62%	0.33%	0.28%	0.74%	0.47%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	147	3	4	3	5	2	26	29	50	22	3									
		3.39%	2.40%	3.67%	1.51%	1.99%	1.41%	4.04%	3.20%	4.64%	3.25%	1.41%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
