Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																					
Дата голосования: 18.09.2016																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Армавирская 																																																																																					
																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																					
																																																																																					
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №498	УИК №499									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	164	6	3	0	0	2	3	1	4	1	3	4	0	3	0	2	2	1	6	2	3	1	3	7	4	3	2	4	2	2	1	2	1	0	0	2	1	0	0	3	2	7	5	1	0	4	1	2	2	1	3	2	3	2	3	0	2	8	1	2	1	3	2	15	1	1	0	0	4	1	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	937	3	5	3	12	17	8	9	19	0	16	11	12	10	6	4	13	6	20	22	12	10	13	27	9	1	14	11	12	13	12	26	9	4	9	26	9	9	15	26	7	15	23	8	14	19	14	17	6	13	15	21	39	13	19	13	19	27	13	15	15	14	4	29	2	6	1	2	23	5	1	10	14	13	5									
		1.58%	0.43%	0.74%	0.50%	1.84%	2.21%	1.48%	2.02%	2.65%	0.00%	1.63%	2.03%	1.63%	1.30%	1.60%	1.04%	1.77%	0.60%	1.90%	2.82%	1.34%	1.81%	1.25%	2.27%	0.98%	0.15%	1.01%	1.07%	1.52%	1.06%	1.54%	2.93%	1.37%	0.85%	1.04%	2.91%	1.60%	1.12%	1.40%	2.54%	0.61%	1.51%	1.29%	0.80%	1.05%	2.96%	1.97%	1.87%	0.93%	1.74%	1.52%	1.80%	3.73%	1.65%	1.94%	2.25%	1.37%	1.91%	1.14%	2.20%	2.74%	1.10%	1.15%	3.15%	0.59%	1.20%	0.41%	2.13%	2.17%	1.95%	0.33%	1.00%	2.18%	2.06%	1.67%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1357	21	23	11	7	26	5	10	23	0	28	22	28	27	11	13	11	26	25	19	9	24	11	19	12	4	28	29	18	19	22	36	19	9	26	28	19	10	21	23	42	12	34	14	21	11	12	6	17	28	10	26	36	22	23	17	45	28	15	13	15	44	8	16	8	11	4	11	34	6	2	10	11	13	10									
		2.29%	3.04%	3.40%	1.84%	1.07%	3.39%	0.93%	2.24%	3.21%	0.00%	2.85%	4.07%	3.81%	3.52%	2.93%	3.37%	1.50%	2.60%	2.37%	2.44%	1.01%	4.34%	1.06%	1.60%	1.31%	0.59%	2.02%	2.82%	2.27%	1.54%	2.83%	4.06%	2.90%	1.91%	2.99%	3.14%	3.37%	1.24%	1.96%	2.25%	3.66%	1.21%	1.90%	1.39%	1.57%	1.72%	1.69%	0.66%	2.64%	3.75%	1.02%	2.23%	3.44%	2.78%	2.35%	2.94%	3.25%	1.98%	1.32%	1.90%	2.74%	3.46%	2.29%	1.74%	2.37%	2.21%	1.63%	11.70%	3.20%	2.33%	0.65%	1.00%	1.72%	2.06%	3.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1203	16	10	11	1	19	5	14	30	0	24	12	19	21	10	10	19	10	23	22	21	17	12	25	8	16	34	29	6	23	24	30	13	8	18	34	17	12	18	27	7	8	31	13	31	21	20	5	12	22	20	28	29	17	25	10	28	19	18	17	7	22	3	13	4	16	5	2	26	6	0	8	19	15	8									
		2.03%	2.32%	1.48%	1.84%	0.15%	2.47%	0.93%	3.14%	4.19%	0.00%	2.44%	2.22%	2.59%	2.73%	2.67%	2.59%	2.59%	0.99%	2.18%	2.82%	2.35%	3.07%	1.16%	2.10%	0.87%	2.35%	2.45%	2.82%	0.76%	1.87%	3.08%	3.39%	1.98%	1.70%	2.07%	3.81%	3.02%	1.49%	1.68%	2.64%	0.61%	0.81%	1.73%	1.29%	2.32%	3.28%	2.81%	0.55%	1.86%	2.95%	2.03%	2.40%	2.77%	2.15%	2.56%	1.73%	2.02%	1.34%	1.58%	2.49%	1.28%	1.73%	0.86%	1.41%	1.19%	3.21%	2.04%	2.13%	2.45%	2.33%	0.00%	0.80%	2.96%	2.38%	2.67%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	30129	349	324	295	330	334	303	199	271	408	381	249	334	355	188	173	352	513	472	311	453	277	529	569	455	348	954	439	501	747	322	382	265	228	380	467	258	422	569	427	548	517	1196	521	727	276	314	470	334	388	492	648	386	353	438	247	807	779	723	348	224	830	243	405	174	239	157	51	523	106	238	534	390	206	164									
		50.79%	50.58%	47.93%	49.33%	50.61%	43.49%	56.22%	44.62%	37.85%	65.91%	38.80%	46.03%	45.50%	46.22%	50.13%	44.82%	48.02%	51.25%	44.82%	39.87%	50.73%	50.09%	51.01%	47.82%	49.51%	51.10%	68.78%	42.66%	63.26%	60.68%	41.39%	43.12%	40.40%	48.51%	43.78%	52.30%	45.83%	52.29%	53.23%	41.78%	47.74%	52.12%	66.85%	51.89%	54.46%	43.06%	44.10%	51.76%	51.78%	52.01%	49.95%	55.48%	36.90%	44.68%	44.83%	42.73%	58.35%	55.05%	63.48%	50.95%	40.95%	65.30%	69.63%	43.93%	51.63%	47.99%	64.08%	54.26%	49.25%	41.25%	77.52%	53.51%	60.84%	32.65%	54.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	480	2	5	8	2	6	4	5	15	0	9	4	11	6	0	3	3	7	17	4	10	2	5	12	6	6	9	14	8	8	11	8	8	6	1	7	7	8	5	8	12	4	8	4	12	3	9	1	7	5	10	6	10	4	6	3	9	10	3	6	8	4	1	14	2	5	0	2	8	3	0	18	9	12	2									
		0.81%	0.29%	0.74%	1.34%	0.31%	0.78%	0.74%	1.12%	2.09%	0.00%	0.92%	0.74%	1.50%	0.78%	0.00%	0.78%	0.41%	0.70%	1.61%	0.51%	1.12%	0.36%	0.48%	1.01%	0.65%	0.88%	0.65%	1.36%	1.01%	0.65%	1.41%	0.90%	1.22%	1.28%	0.12%	0.78%	1.24%	0.99%	0.47%	0.78%	1.05%	0.40%	0.45%	0.40%	0.90%	0.47%	1.26%	0.11%	1.09%	0.67%	1.02%	0.51%	0.96%	0.51%	0.61%	0.52%	0.65%	0.71%	0.26%	0.88%	1.46%	0.31%	0.29%	1.52%	0.59%	1.00%	0.00%	2.13%	0.75%	1.17%	0.00%	1.80%	1.40%	1.90%	0.67%									
24	"6. Политическая партия ""Гражданская Платформа"""	128	2	1	0	0	2	0	1	1	0	2	1	2	3	0	0	1	3	5	0	1	1	3	0	0	0	2	0	1	1	1	3	1	4	0	0	1	0	3	1	4	1	5	0	3	2	3	1	0	1	0	1	11	1	0	1	7	3	2	3	2	3	1	1	1	2	0	1	4	0	0	9	1	5	2									
		0.22%	0.29%	0.15%	0.00%	0.00%	0.26%	0.00%	0.22%	0.14%	0.00%	0.20%	0.18%	0.27%	0.39%	0.00%	0.00%	0.14%	0.30%	0.47%	0.00%	0.11%	0.18%	0.29%	0.00%	0.00%	0.00%	0.14%	0.00%	0.13%	0.08%	0.13%	0.34%	0.15%	0.85%	0.00%	0.00%	0.18%	0.00%	0.28%	0.10%	0.35%	0.10%	0.28%	0.00%	0.22%	0.31%	0.42%	0.11%	0.00%	0.13%	0.00%	0.09%	1.05%	0.13%	0.00%	0.17%	0.51%	0.21%	0.18%	0.44%	0.37%	0.24%	0.29%	0.11%	0.30%	0.40%	0.00%	1.06%	0.38%	0.00%	0.00%	0.90%	0.16%	0.79%	0.67%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	10970	142	156	127	130	160	74	83	153	110	224	113	146	132	55	82	143	201	236	194	168	102	206	263	178	139	131	218	107	163	143	163	135	64	169	113	89	135	205	237	240	198	215	209	254	130	137	180	115	83	179	153	223	163	202	153	237	260	156	152	120	159	34	215	73	76	45	9	167	40	37	170	93	252	52									
		18.49%	20.58%	23.08%	21.24%	19.94%	20.83%	13.73%	18.61%	21.37%	17.77%	22.81%	20.89%	19.89%	17.19%	14.67%	21.24%	19.51%	20.08%	22.41%	24.87%	18.81%	18.44%	19.86%	22.10%	19.37%	20.41%	9.44%	21.19%	13.51%	13.24%	18.38%	18.40%	20.58%	13.62%	19.47%	12.65%	15.81%	16.73%	19.18%	23.19%	20.91%	19.96%	12.02%	20.82%	19.03%	20.28%	19.24%	19.82%	17.83%	11.13%	18.17%	13.10%	21.32%	20.63%	20.68%	26.47%	17.14%	18.37%	13.70%	22.25%	21.94%	12.51%	9.74%	23.32%	21.66%	15.26%	18.37%	9.57%	15.73%	15.56%	12.05%	17.03%	14.51%	39.94%	17.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	448	4	1	4	7	10	3	2	12	0	11	7	4	11	0	6	2	6	10	5	2	4	7	7	6	5	8	13	9	15	11	14	7	9	4	10	2	7	10	13	12	3	13	6	6	5	11	1	2	6	7	1	9	11	5	5	9	7	5	2	6	6	0	8	4	3	0	1	6	0	0	7	5	7	1									
		0.76%	0.58%	0.15%	0.67%	1.07%	1.30%	0.56%	0.45%	1.68%	0.00%	1.12%	1.29%	0.54%	1.43%	0.00%	1.55%	0.27%	0.60%	0.95%	0.64%	0.22%	0.72%	0.68%	0.59%	0.65%	0.73%	0.58%	1.26%	1.14%	1.22%	1.41%	1.58%	1.07%	1.91%	0.46%	1.12%	0.36%	0.87%	0.94%	1.27%	1.05%	0.30%	0.73%	0.60%	0.45%	0.78%	1.54%	0.11%	0.31%	0.80%	0.71%	0.09%	0.86%	1.39%	0.51%	0.87%	0.65%	0.49%	0.44%	0.29%	1.10%	0.47%	0.00%	0.87%	1.19%	0.60%	0.00%	1.06%	0.56%	0.00%	0.00%	0.70%	0.78%	1.11%	0.33%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	726	3	3	10	9	14	6	8	21	0	13	6	12	13	0	7	9	20	13	17	15	13	8	18	7	6	9	16	9	25	14	9	7	5	16	16	9	10	10	18	8	10	34	8	10	6	9	3	12	2	12	11	27	13	16	5	11	11	12	0	10	10	0	6	2	4	1	0	26	3	0	9	5	3	3									
		1.22%	0.43%	0.44%	1.67%	1.38%	1.82%	1.11%	1.79%	2.93%	0.00%	1.32%	1.11%	1.63%	1.69%	0.00%	1.81%	1.23%	1.99%	1.23%	2.18%	1.68%	2.35%	0.77%	1.51%	0.76%	0.88%	0.65%	1.55%	1.14%	2.03%	1.80%	1.02%	1.07%	1.06%	1.84%	1.79%	1.60%	1.24%	0.94%	1.76%	0.70%	1.01%	1.90%	0.80%	0.75%	0.94%	1.26%	0.33%	1.86%	0.27%	1.22%	0.94%	2.58%	1.65%	1.64%	0.87%	0.80%	0.78%	1.05%	0.00%	1.83%	0.79%	0.00%	0.65%	0.59%	0.80%	0.41%	0.00%	2.45%	1.17%	0.00%	0.90%	0.78%	0.48%	1.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	83	0	1	0	4	0	2	1	1	0	1	2	0	0	0	2	0	0	2	1	3	1	1	2	1	1	0	1	1	1	1	3	0	0	1	2	1	0	0	0	1	0	1	0	0	0	4	1	1	1	2	1	4	0	2	0	3	0	0	4	1	4	1	2	0	0	0	0	0	0	0	5	1	7	0									
		0.14%	0.00%	0.15%	0.00%	0.61%	0.00%	0.37%	0.22%	0.14%	0.00%	0.10%	0.37%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.19%	0.13%	0.34%	0.18%	0.10%	0.17%	0.11%	0.15%	0.00%	0.10%	0.13%	0.08%	0.13%	0.34%	0.00%	0.00%	0.12%	0.22%	0.18%	0.00%	0.00%	0.00%	0.09%	0.00%	0.06%	0.00%	0.00%	0.00%	0.56%	0.11%	0.16%	0.13%	0.20%	0.09%	0.38%	0.00%	0.20%	0.00%	0.22%	0.00%	0.00%	0.59%	0.18%	0.31%	0.29%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.16%	1.11%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	678	7	5	8	9	12	12	5	18	0	29	6	12	18	1	0	5	4	5	10	18	0	7	11	7	3	6	11	13	10	13	13	7	14	14	9	12	13	7	23	22	8	9	10	7	1	9	2	5	10	3	17	17	13	12	7	17	11	7	3	6	11	2	8	3	8	1	0	14	7	0	30	6	12	3									
		1.14%	1.01%	0.74%	1.34%	1.38%	1.56%	2.23%	1.12%	2.51%	0.00%	2.95%	1.11%	1.63%	2.34%	0.27%	0.00%	0.68%	0.40%	0.47%	1.28%	2.02%	0.00%	0.68%	0.92%	0.76%	0.44%	0.43%	1.07%	1.64%	0.81%	1.67%	1.47%	1.07%	2.98%	1.61%	1.01%	2.13%	1.61%	0.65%	2.25%	1.92%	0.81%	0.50%	0.99%	0.52%	0.16%	1.26%	0.22%	0.78%	1.34%	0.30%	1.46%	1.63%	1.65%	1.23%	1.21%	1.23%	0.78%	0.61%	0.44%	1.10%	0.87%	0.57%	0.87%	0.89%	1.61%	0.41%	0.00%	1.32%	2.72%	0.00%	3.01%	0.94%	1.90%	1.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7816	76	88	90	80	106	70	76	116	79	161	66	107	114	62	62	92	155	152	104	111	57	203	119	168	107	127	183	78	138	132	130	130	62	151	114	88	118	140	157	186	135	143	138	146	122	101	71	79	114	138	154	153	121	141	82	137	148	120	51	87	127	39	116	32	68	15	10	160	65	21	114	59	17	37									
		13.18%	11.01%	13.02%	15.05%	12.27%	13.80%	12.99%	17.04%	16.20%	12.76%	16.40%	12.20%	14.58%	14.84%	16.53%	16.06%	12.55%	15.48%	14.43%	13.33%	12.43%	10.31%	19.58%	10.00%	18.28%	15.71%	9.16%	17.78%	9.85%	11.21%	16.97%	14.67%	19.82%	13.19%	17.40%	12.77%	15.63%	14.62%	13.10%	15.36%	16.20%	13.61%	7.99%	13.75%	10.94%	19.03%	14.19%	7.82%	12.25%	15.28%	14.01%	13.18%	14.63%	15.32%	14.43%	14.19%	9.91%	10.46%	10.54%	7.47%	15.90%	9.99%	11.17%	12.58%	9.50%	13.65%	6.12%	10.64%	15.07%	25.29%	6.84%	11.42%	9.20%	2.69%	12.33%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	278	0	1	0	2	3	1	3	7	0	6	4	6	7	1	1	2	1	5	5	2	4	2	6	5	3	8	4	5	5	4	6	1	4	6	5	3	0	3	6	8	5	5	3	6	1	3	1	2	6	3	11	10	2	3	3	2	12	4	3	4	0	0	7	0	3	0	0	13	1	0	8	2	7	3									
		0.47%	0.00%	0.15%	0.00%	0.31%	0.39%	0.19%	0.67%	0.98%	0.00%	0.61%	0.74%	0.82%	0.91%	0.27%	0.26%	0.27%	0.10%	0.47%	0.64%	0.22%	0.72%	0.19%	0.50%	0.54%	0.44%	0.58%	0.39%	0.63%	0.41%	0.51%	0.68%	0.15%	0.85%	0.69%	0.56%	0.53%	0.00%	0.28%	0.59%	0.70%	0.50%	0.28%	0.30%	0.45%	0.16%	0.42%	0.11%	0.31%	0.80%	0.30%	0.94%	0.96%	0.25%	0.31%	0.52%	0.14%	0.85%	0.35%	0.44%	0.73%	0.00%	0.00%	0.76%	0.00%	0.60%	0.00%	0.00%	1.22%	0.39%	0.00%	0.80%	0.31%	1.11%	1.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2644	41	17	18	37	44	34	18	24	12	51	20	26	31	14	15	21	42	32	46	37	24	21	58	31	28	35	55	17	27	42	33	43	34	45	62	33	52	38	31	46	57	52	41	73	32	44	144	30	41	61	62	62	44	44	20	31	68	40	55	25	15	13	38	19	29	7	3	37	11	7	56	20	21	7									
		4.46%	5.94%	2.51%	3.01%	5.67%	5.73%	6.31%	4.04%	3.35%	1.94%	5.19%	3.70%	3.54%	4.04%	3.73%	3.89%	2.86%	4.20%	3.04%	5.90%	4.14%	4.34%	2.03%	4.87%	3.37%	4.11%	2.52%	5.34%	2.15%	2.19%	5.40%	3.72%	6.55%	7.23%	5.18%	6.94%	5.86%	6.44%	3.55%	3.03%	4.01%	5.75%	2.91%	4.08%	5.47%	4.99%	6.18%	15.86%	4.65%	5.50%	6.19%	5.31%	5.93%	5.57%	4.50%	3.46%	2.24%	4.81%	3.51%	8.05%	4.57%	1.18%	3.72%	4.12%	5.64%	5.82%	2.86%	3.19%	3.48%	4.28%	2.28%	5.61%	3.12%	3.33%	2.33%									
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
