Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Мосальская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	7	2	1	0	3	0	0	0	0	1	0	0	0	2	1	1	0									
		0.43%	0.76%	0.25%	0.67%	0.00%	1.49%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.89%	0.45%	0.88%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	95	31	22	3	1	7	1	0	2	0	6	7	0	2	6	2	3	2									
		2.25%	3.37%	2.72%	2.01%	0.53%	3.47%	0.88%	0.00%	1.43%	0.00%	6.52%	2.47%	0.00%	1.56%	2.68%	0.91%	2.63%	1.08%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
