Выборы Президента Российской Федерации																																																																																																																																																				
																																																																																																																																																				
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																																																																				
																																																																																																																																																				
Итоги голосования 																																																																																																																																																				
																																																																																																																																																				
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808					
11	Число полученных открепительных  удостоверений	910	50	30	30	30	40	40	30	30	30	30	20	50	30	52	28	50	50	30	50	60	30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	618	37	26	23	28	32	33	18	19	10	12	11	33	14	35	23	34	43	29	36	50	2	19	19	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1030	27	39	12	20	29	76	36	16	41	47	57	58	25	22	17	17	19	16	23	36	185	5	11	5	0	33	19	13	50	34	19	16	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	292	13	4	7	2	8	7	12	11	20	18	9	17	16	17	5	16	7	1	14	10	28	11	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	37	5	1	2	1	0	0	0	1	1	3	1	1	2	2	0	2	0	3	4	2	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																																				
18	. Глазьев Сергей Юрьевич	2320	64	139	95	94	60	162	97	51	59	48	31	74	53	169	105	102	146	115	105	136	60	10	36	29	1	17	8	3	28	17	19	8	0	0	1	0	4	4	0	2	1	4	3	0	3	3	1	1	1	2	6	0	2	2	6	1	3	0	4	3	0	0	1	2	1	0	2	1	1	1	7	1	1	4	5	1	6	2	2	7	0	0	1	3	5	2	0	1	1	0	2	0	1	4	2	3	5	2	4	5	1	1	2	1	2	0	1	2	0	1	1	3	3	2	1	3	0	0	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0					
		6.83%	5.73%	8.32%	7.26%	5.78%	5.10%	10.56%	9.05%	7.13%	8.01%	7.17%	7.28%	6.94%	8.85%	10.46%	8.56%	7.82%	9.64%	8.04%	9.01%	9.59%	3.62%	2.67%	3.28%	2.36%	0.36%	3.85%	7.34%	3.70%	8.51%	2.48%	2.93%	2.22%	0.00%	0.00%	1.61%	0.00%	17.39%	14.81%	0.00%	7.69%	4.35%	22.22%	11.54%	0.00%	12.00%	7.89%	4.76%	4.55%	3.23%	6.67%	23.08%	0.00%	8.33%	9.09%	25.00%	4.17%	10.34%	0.00%	14.81%	13.04%	0.00%	0.00%	4.35%	10.00%	0.81%	0.00%	8.70%	4.35%	3.85%	4.76%	30.43%	4.76%	4.17%	15.38%	14.71%	3.85%	9.23%	9.09%	8.70%	23.33%	0.00%	0.00%	1.96%	15.00%	16.67%	7.69%	0.00%	2.38%	4.17%	0.00%	7.14%	0.00%	4.35%	16.00%	7.69%	14.29%	23.81%	9.09%	13.79%	20.83%	3.85%	4.55%	7.69%	4.00%	7.41%	0.00%	0.60%	6.90%	0.00%	4.17%	5.00%	12.50%	5.77%	8.70%	5.00%	11.11%	0.00%	0.00%	3.85%	12.50%	8.00%	2.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	15.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	965	32	49	44	52	41	39	20	17	16	26	14	32	17	43	30	41	33	31	30	36	58	5	42	37	8	16	2	4	6	20	15	2	3	4	4	1	0	1	2	0	1	0	3	4	0	1	0	0	4	5	0	0	0	1	3	3	0	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2	2	0	1	3	2	0	1	0	0	0	2	1	0	1	3	0	3	4	7	0	1	0	0	0	0	0	2	1	0	1	2	3	0	2	0	1	0	0	1	0	0	1	4	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		2.84%	2.86%	2.93%	3.36%	3.20%	3.48%	2.54%	1.87%	2.38%	2.17%	3.89%	3.29%	3.00%	2.84%	2.66%	2.44%	3.14%	2.18%	2.17%	2.58%	2.54%	3.50%	1.34%	3.83%	3.01%	2.88%	3.62%	1.83%	4.94%	1.82%	2.92%	2.31%	0.56%	3.41%	18.18%	6.45%	4.17%	0.00%	3.70%	9.52%	0.00%	4.35%	0.00%	11.54%	15.38%	0.00%	2.63%	0.00%	0.00%	12.90%	16.67%	0.00%	0.00%	0.00%	4.55%	12.50%	12.50%	0.00%	9.52%	3.70%	4.35%	4.76%	5.00%	4.35%	5.00%	0.81%	4.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	7.69%	0.00%	3.85%	4.62%	9.09%	0.00%	3.33%	0.00%	0.00%	0.00%	10.00%	3.33%	0.00%	3.33%	7.14%	0.00%	13.64%	14.29%	22.58%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	3.85%	0.00%	3.85%	8.00%	11.11%	0.00%	1.20%	0.00%	4.76%	0.00%	0.00%	4.17%	0.00%	0.00%	5.00%	14.81%	0.00%	0.00%	0.00%	0.00%	8.00%	1.49%	1.48%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	292	18	15	10	14	5	11	6	7	5	4	1	12	12	13	15	10	12	9	12	17	14	0	6	8	0	9	2	0	5	3	5	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.86%	1.61%	0.90%	0.76%	0.86%	0.42%	0.72%	0.56%	0.98%	0.68%	0.60%	0.23%	1.12%	2.00%	0.80%	1.22%	0.77%	0.79%	0.63%	1.03%	1.20%	0.84%	0.00%	0.55%	0.65%	0.00%	2.04%	1.83%	0.00%	1.52%	0.44%	0.77%	1.39%	0.00%	0.00%	3.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	3.23%	0.00%	0.00%	4.17%	0.00%	4.55%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.54%	0.00%	3.85%	0.00%	0.00%	4.35%	0.00%	0.00%	4.76%	0.00%	0.00%	3.33%	3.85%	0.00%	0.00%	0.00%	0.00%	3.57%	3.23%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.70%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	3.85%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	20349	710	908	730	1016	703	801	616	410	387	374	239	647	285	798	634	653	801	752	562	763	1141	313	866	978	236	251	72	45	189	463	434	229	72	14	40	22	12	20	15	22	18	11	12	12	17	25	18	18	18	21	11	14	13	10	10	13	23	13	17	11	16	18	15	12	112	18	10	18	24	16	12	15	15	11	23	13	45	14	11	12	24	15	46	10	20	13	22	35	12	13	13	17	14	17	17	10	12	13	19	13	18	18	20	16	10	13	133	19	10	23	12	10	33	20	7	13	20	16	19	15	14	57	123	21	16	12	23	26	25	23	23	25	24	29	15	29	27	26	19	15	19					
		59.92%	63.56%	54.34%	55.77%	62.45%	59.73%	52.22%	57.46%	57.34%	52.51%	55.90%	56.10%	60.64%	47.58%	49.38%	51.67%	50.04%	52.87%	52.55%	48.24%	53.81%	68.82%	83.69%	79.01%	79.45%	84.89%	56.79%	66.06%	55.56%	57.45%	67.59%	66.87%	63.61%	81.82%	63.64%	64.52%	91.67%	52.17%	74.07%	71.43%	84.62%	78.26%	61.11%	46.15%	46.15%	68.00%	65.79%	85.71%	81.82%	58.06%	70.00%	42.31%	58.33%	54.17%	45.45%	41.67%	54.17%	79.31%	61.90%	62.96%	47.83%	76.19%	90.00%	65.22%	60.00%	91.06%	85.71%	43.48%	78.26%	92.31%	76.19%	52.17%	71.43%	62.50%	42.31%	67.65%	50.00%	69.23%	63.64%	47.83%	40.00%	92.31%	71.43%	90.20%	50.00%	66.67%	50.00%	73.33%	83.33%	50.00%	59.09%	46.43%	54.84%	60.87%	68.00%	65.38%	47.62%	57.14%	59.09%	65.52%	54.17%	69.23%	81.82%	76.92%	64.00%	37.04%	68.42%	80.12%	65.52%	47.62%	95.83%	60.00%	41.67%	63.46%	86.96%	35.00%	48.15%	80.00%	66.67%	73.08%	62.50%	56.00%	85.07%	91.11%	80.77%	61.54%	52.17%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	57.69%	100.00%	100.00%	100.00%	100.00%	78.95%	100.00%					
22	. Хакамада Ирина Муцуовна	2998	100	160	120	131	146	161	114	81	90	74	38	94	98	147	123	135	165	155	130	149	112	19	30	32	9	33	4	14	22	49	67	47	2	0	3	1	3	0	0	0	1	2	2	4	1	3	1	0	3	0	1	4	1	2	2	2	0	1	1	2	1	0	3	0	2	1	4	3	0	0	0	1	1	1	2	5	2	2	5	1	1	2	0	2	1	2	1	0	5	1	4	0	2	0	0	3	2	4	5	0	1	1	0	3	1	3	6	2	1	0	2	0	5	0	0	0	0	0	1	1	2	3	1	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
		8.83%	8.95%	9.58%	9.17%	8.05%	12.40%	10.50%	10.63%	11.33%	12.21%	11.06%	8.92%	8.81%	16.36%	9.10%	10.02%	10.34%	10.89%	10.83%	11.16%	10.51%	6.76%	5.08%	2.74%	2.60%	3.24%	7.47%	3.67%	17.28%	6.69%	7.15%	10.32%	13.06%	2.27%	0.00%	4.84%	4.17%	13.04%	0.00%	0.00%	0.00%	4.35%	11.11%	7.69%	15.38%	4.00%	7.89%	4.76%	0.00%	9.68%	0.00%	3.85%	16.67%	4.17%	9.09%	8.33%	8.33%	0.00%	4.76%	3.70%	8.70%	4.76%	0.00%	13.04%	0.00%	1.63%	4.76%	17.39%	13.04%	0.00%	0.00%	0.00%	4.76%	4.17%	3.85%	5.88%	19.23%	3.08%	9.09%	21.74%	3.33%	3.85%	9.52%	0.00%	10.00%	3.33%	7.69%	3.33%	0.00%	20.83%	4.55%	14.29%	0.00%	8.70%	0.00%	0.00%	14.29%	9.52%	18.18%	17.24%	0.00%	3.85%	4.55%	0.00%	12.00%	3.70%	15.79%	3.61%	6.90%	4.76%	0.00%	10.00%	0.00%	9.62%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	4.17%	8.00%	4.48%	0.74%	3.85%	3.85%	8.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	4097	101	250	179	190	125	241	162	107	116	83	69	150	73	246	218	235	247	235	250	217	61	17	66	101	13	73	11	8	60	22	26	17	3	2	3	0	2	1	3	0	0	1	0	3	1	1	1	1	0	0	1	0	0	3	0	1	2	1	0	3	0	0	1	2	0	0	0	0	0	0	2	3	3	2	2	0	5	0	0	6	1	0	2	1	1	0	1	1	2	3	3	2	3	0	2	3	0	1	0	2	2	1	0	1	4	0	3	1	1	0	0	1	1	0	4	0	0	4	0	1	0	1	6	0	2	4	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0					
		12.06%	9.04%	14.96%	13.67%	11.68%	10.62%	15.71%	15.11%	14.97%	15.74%	12.41%	16.20%	14.06%	12.19%	15.22%	17.77%	18.01%	16.30%	16.42%	21.46%	15.30%	3.68%	4.55%	6.02%	8.20%	4.68%	16.52%	10.09%	9.88%	18.24%	3.21%	4.01%	4.72%	3.41%	9.09%	4.84%	0.00%	8.70%	3.70%	14.29%	0.00%	0.00%	5.56%	0.00%	11.54%	4.00%	2.63%	4.76%	4.55%	0.00%	0.00%	3.85%	0.00%	0.00%	13.64%	0.00%	4.17%	6.90%	4.76%	0.00%	13.04%	0.00%	0.00%	4.35%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.70%	14.29%	12.50%	7.69%	5.88%	0.00%	7.69%	0.00%	0.00%	20.00%	3.85%	0.00%	3.92%	5.00%	3.33%	0.00%	3.33%	2.38%	8.33%	13.64%	10.71%	6.45%	13.04%	0.00%	7.69%	14.29%	0.00%	4.55%	0.00%	8.33%	7.69%	4.55%	0.00%	4.00%	14.81%	0.00%	1.81%	3.45%	4.76%	0.00%	0.00%	4.17%	1.92%	0.00%	20.00%	0.00%	0.00%	16.67%	0.00%	4.17%	0.00%	1.49%	4.44%	0.00%	7.69%	17.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.54%	0.00%	0.00%	0.00%	0.00%	5.26%	0.00%					
																																																																																																																																																				
24	Против всех	2646	77	135	111	120	90	111	57	42	60	54	34	56	60	110	102	121	106	125	72	91	200	10	38	33	8	37	9	6	16	108	79	51	7	2	9	0	2	1	1	2	1	0	6	2	2	4	0	1	3	2	7	5	8	3	2	4	1	4	2	3	2	1	1	3	7	1	6	1	1	4	2	1	1	2	2	5	3	1	4	3	0	3	2	2	1	8	5	2	4	2	1	2	2	3	4	2	2	2	1	1	3	1	3	2	5	2	21	5	8	0	5	9	10	0	6	7	5	3	5	4	4	3	3	3	6	4	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0					
