Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Щучанская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК  1066	УИК  1067	УИК  1068	УИК  1069	УИК  1070	УИК  1071	УИК  1072	УИК  1073	УИК  1074	УИК  1075	УИК  1076	УИК  1077	УИК  1078	УИК  1079	УИК  1080	УИК  1081	УИК  1082	УИК  1083	УИК  1084	УИК  1085	УИК  1086	УИК  1087	УИК  1088	УИК  1089	УИК  1090	УИК  1091	УИК  1092	УИК  1093	УИК  1094	УИК  1095	УИК  1096	УИК  1097	УИК  1098	УИК  1099	УИК  1100	УИК  1101	УИК  1102	УИК  1103	УИК  1104	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116					
11	Число полученных открепительных  удостоверений	495	21	17	20	14	15	20	15	14	23	14	32	13	7	4	8	10	5	4	11	11	3	6	8	5	9	3	21	5	12	6	5	3	10	10	3	3	14	2	10	3	3	11	2	7	4	2	10	3	2	25	7					
12	Число выданных открепительных удостоверений	144	2	1	7	3	1	6	3	0	3	2	19	4	6	4	0	10	5	0	2	3	0	0	0	0	1	0	4	0	8	0	1	0	4	1	0	0	4	0	0	0	0	5	0	0	0	2	1	0	0	25	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	120	1	8	5	4	2	7	7	7	8	5	4	2	2	0	0	4	0	0	1	8	0	0	0	5	3	0	9	0	2	2	0	0	5	0	1	2	0	2	0	0	1	2	1	0	0	1	1	0	2	6	0					
14	Число неиспользованных открепительных удостоверений	351	19	16	13	11	14	14	12	14	20	12	13	9	1	0	8	0	0	4	9	8	3	6	8	5	8	3	17	5	4	6	4	3	6	9	3	3	10	2	10	3	3	6	2	7	4	0	9	3	2	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	. Глазьев Сергей Юрьевич	289	19	7	10	9	0	25	13	8	13	8	4	4	5	3	6	10	3	0	8	12	1	4	3	3	1	2	1	1	17	0	4	3	10	10	2	2	11	0	9	0	0	3	0	3	3	2	4	3	1	16	3					
		2.06%	3.89%	1.81%	2.09%	2.27%	0.00%	4.61%	3.55%	2.43%	2.40%	2.23%	0.44%	0.92%	1.96%	2.36%	2.17%	2.08%	1.59%	0.00%	2.27%	3.56%	0.92%	2.60%	1.35%	1.92%	0.36%	2.13%	0.17%	0.65%	4.43%	0.00%	3.01%	3.75%	3.61%	4.13%	1.64%	2.38%	2.60%	0.00%	2.98%	0.00%	0.00%	0.87%	0.00%	1.40%	2.34%	3.08%	1.41%	3.30%	1.61%	2.35%	1.52%					
19	. Малышкин Олег Александрович	410	16	6	12	7	12	7	11	9	20	16	16	10	12	1	7	11	7	0	1	9	4	0	9	8	10	4	8	1	14	2	3	8	2	11	4	1	22	9	1	15	2	8	0	12	5	4	7	7	4	23	12					
		2.93%	3.27%	1.55%	2.51%	1.76%	3.39%	1.29%	3.01%	2.74%	3.70%	4.47%	1.75%	2.30%	4.71%	0.79%	2.54%	2.29%	3.70%	0.00%	0.28%	2.67%	3.67%	0.00%	4.05%	5.13%	3.65%	4.26%	1.32%	0.65%	3.65%	1.36%	2.26%	10.00%	0.72%	4.55%	3.28%	1.19%	5.20%	23.68%	0.33%	16.13%	2.53%	2.31%	0.00%	5.61%	3.91%	6.15%	2.47%	7.69%	6.45%	3.38%	6.09%					
20	. Миронов Сергей Михайлович	102	2	3	9	3	2	3	1	6	5	4	2	3	3	0	5	1	1	0	2	2	3	0	1	3	1	0	4	0	2	0	0	5	6	1	1	1	2	0	2	0	0	0	0	0	0	0	3	0	0	8	2					
		0.73%	0.41%	0.78%	1.88%	0.76%	0.56%	0.55%	0.27%	1.82%	0.92%	1.12%	0.22%	0.69%	1.18%	0.00%	1.81%	0.21%	0.53%	0.00%	0.57%	0.59%	2.75%	0.00%	0.45%	1.92%	0.36%	0.00%	0.66%	0.00%	0.52%	0.00%	0.00%	6.25%	2.17%	0.41%	0.82%	1.19%	0.47%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.06%	0.00%	0.00%	1.18%	1.02%					
21	. Путин Владимир Владимирович	9451	304	238	314	261	255	355	244	208	377	224	811	245	174	68	181	356	128	59	196	242	80	96	145	108	209	66	443	122	177	93	99	47	214	154	92	66	295	25	259	63	49	218	37	163	95	39	148	57	30	411	111					
		67.45%	62.17%	61.50%	65.69%	65.74%	72.03%	65.50%	66.67%	63.22%	69.69%	62.57%	88.54%	56.32%	68.24%	53.54%	65.58%	74.17%	67.72%	55.66%	55.68%	71.81%	73.39%	62.34%	65.32%	69.23%	76.28%	70.21%	73.34%	79.22%	46.09%	63.27%	74.44%	58.75%	77.26%	63.64%	75.41%	78.57%	69.74%	65.79%	85.76%	67.74%	62.03%	63.01%	60.66%	76.17%	74.22%	60.00%	52.30%	62.64%	48.39%	60.44%	56.35%					
22	. Хакамада Ирина Муцуовна	233	11	8	7	12	3	6	10	4	6	13	13	5	3	3	4	13	3	2	2	4	0	1	5	4	4	0	9	0	7	0	0	1	3	7	4	1	10	0	6	0	1	3	0	0	2	3	4	5	0	20	1					
		1.66%	2.25%	2.07%	1.46%	3.02%	0.85%	1.11%	2.73%	1.22%	1.11%	3.63%	1.42%	1.15%	1.18%	2.36%	1.45%	2.71%	1.59%	1.89%	0.57%	1.19%	0.00%	0.65%	2.25%	2.56%	1.46%	0.00%	1.49%	0.00%	1.82%	0.00%	0.00%	1.25%	1.08%	2.89%	3.28%	1.19%	2.36%	0.00%	1.99%	0.00%	1.27%	0.87%	0.00%	0.00%	1.56%	4.62%	1.41%	5.49%	0.00%	2.94%	0.51%					
23	. Харитонов Николай Михайлович	3112	125	114	107	91	74	121	75	84	104	80	47	158	54	49	66	68	41	44	134	62	18	47	56	21	46	19	134	27	156	48	22	13	31	48	17	11	70	4	15	11	15	107	22	33	14	13	111	15	27	180	63					
		22.21%	25.56%	29.46%	22.38%	22.92%	20.90%	22.32%	20.49%	25.53%	19.22%	22.35%	5.13%	36.32%	21.18%	38.58%	23.91%	14.17%	21.69%	41.51%	38.07%	18.40%	16.51%	30.52%	25.23%	13.46%	16.79%	20.21%	22.19%	17.53%	40.62%	32.65%	16.54%	16.25%	11.19%	19.83%	13.93%	13.10%	16.55%	10.53%	4.97%	11.83%	18.99%	30.92%	36.07%	15.42%	10.94%	20.00%	39.22%	16.48%	43.55%	26.47%	31.98%					
																																																										
24	Против всех	283	7	9	14	11	6	19	7	6	9	12	12	7	4	2	4	12	5	1	6	5	2	6	2	8	2	3	3	2	5	3	4	0	7	9	1	2	7	0	3	3	7	7	2	3	7	4	4	2	0	13	4					
		2.02%	1.43%	2.33%	2.93%	2.77%	1.69%	3.51%	1.91%	1.82%	1.66%	3.35%	1.31%	1.61%	1.57%	1.57%	1.45%	2.50%	2.65%	0.94%	1.70%	1.48%	1.83%	3.90%	0.90%	5.13%	0.73%	3.19%	0.50%	1.30%	1.30%	2.04%	3.01%	0.00%	2.53%	3.72%	0.82%	2.38%	1.65%	0.00%	0.99%	3.23%	8.86%	2.02%	3.28%	1.40%	5.47%	6.15%	1.41%	2.20%	0.00%	1.91%	2.03%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
