Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																			
Дата голосования: 04.12.2011																																																																																																																																																			
																																																																																																																																																			
Наименование Избирательной комиссии:    Энгельсская																																																																																																																																																			
																																																																																																																																																			
Сводная таблица результатов выборов																																																																																																																																																			
																																																																																																																																																			
		Сумма	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	11705	34	52	20	38	127	61	56	27	33	33	34	73	117	161	195	95	253	239	229	194	35	77	88	100	99	102	21	80	103	114	77	100	3	112	115	246	121	85	15	230	72	155	190	167	109	102	142	139	115	159	160	142	177	148	123	112	91	59	97	14	95	105	88	72	59	65	130	82	111	153	119	139	70	135	146	50	163	40	120	96	120	70	73	17	81	43	45	83	57	50	50	63	66	78	75	71	109	84	70	76	63	21	36	9	66	25	21	22	76	99	99	124	22	43	6	8	36	26	143	94	6	56	47	152	77	53	71	51	20	26	17	51	2	0	7	15	25	17	39	48					
		7.97%	3.77%	2.59%	2.23%	3.10%	7.35%	5.78%	6.52%	1.62%	3.75%	3.28%	3.09%	7.04%	7.78%	14.41%	14.12%	10.98%	16.34%	14.64%	17.30%	13.81%	3.46%	7.56%	10.96%	17.30%	7.83%	7.76%	6.82%	6.20%	6.68%	8.84%	11.65%	6.02%	0.25%	9.94%	9.22%	14.91%	17.59%	13.51%	1.30%	16.48%	7.50%	10.82%	11.01%	12.02%	7.33%	7.55%	10.07%	9.61%	8.89%	11.16%	9.54%	7.35%	8.86%	7.60%	6.41%	7.98%	5.60%	7.01%	7.35%	1.10%	6.04%	8.85%	8.10%	7.89%	5.39%	4.64%	6.54%	5.13%	8.99%	8.71%	11.18%	10.62%	5.01%	12.76%	10.48%	9.58%	12.90%	14.04%	10.29%	6.01%	11.63%	11.04%	9.77%	1.48%	12.18%	3.89%	4.20%	13.76%	8.56%	7.16%	5.26%	6.49%	6.33%	7.57%	7.39%	9.42%	10.00%	11.51%	6.62%	6.94%	6.78%	4.60%	10.71%	8.57%	6.94%	3.70%	2.31%	3.09%	14.56%	9.69%	7.38%	6.32%	5.63%	6.57%	5.66%	3.01%	4.56%	7.85%	6.52%	7.08%	4.58%	4.93%	8.45%	9.72%	6.66%	7.25%	10.07%	6.56%	9.76%	9.74%	5.47%	12.91%	1.75%	0.00%	3.55%	4.48%	7.69%	2.44%	6.96%	5.99%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1023	5	11	7	6	9	2	2	8	2	5	12	7	10	12	17	16	18	25	20	14	7	10	8	11	17	5	1	2	9	7	4	13	0	3	14	16	4	6	0	17	17	12	10	14	3	13	15	10	17	12	15	14	11	20	14	12	5	1	5	5	4	13	2	11	8	6	11	8	15	10	12	14	6	10	12	5	14	1	5	0	19	5	5	1	7	3	2	8	7	5	2	6	9	4	7	2	10	6	7	12	8	2	2	1	1	5	1	6	6	13	4	11	3	4	0	3	3	4	9	7	0	3	2	13	7	7	2	1	1	2	0	0	0	1	0	1	6	0	0	3					
		0.70%	0.55%	0.55%	0.78%	0.49%	0.52%	0.19%	0.23%	0.48%	0.23%	0.50%	1.09%	0.68%	0.67%	1.07%	1.23%	1.85%	1.16%	1.53%	1.51%	0.99%	0.69%	0.98%	0.99%	1.90%	1.34%	0.38%	0.32%	0.16%	0.58%	0.54%	0.61%	0.78%	0.00%	0.27%	1.12%	0.97%	0.58%	0.95%	0.00%	1.22%	1.77%	0.84%	0.58%	1.01%	0.20%	0.96%	1.06%	0.69%	1.31%	0.84%	0.89%	0.72%	0.55%	1.03%	0.73%	0.85%	0.31%	0.12%	0.38%	0.39%	0.25%	1.10%	0.18%	1.21%	0.73%	0.43%	0.55%	0.50%	1.22%	0.57%	1.13%	1.07%	0.43%	0.95%	0.86%	0.96%	1.11%	0.35%	0.43%	0.00%	1.84%	0.79%	0.67%	0.09%	1.05%	0.27%	0.19%	1.33%	1.05%	0.72%	0.21%	0.62%	0.86%	0.39%	0.69%	0.27%	0.92%	0.82%	0.66%	1.10%	0.86%	0.44%	0.60%	0.95%	0.11%	0.74%	0.11%	0.84%	1.15%	1.27%	0.30%	0.56%	0.77%	0.61%	0.00%	1.13%	0.38%	1.21%	0.41%	0.53%	0.00%	0.26%	0.36%	0.83%	0.61%	0.96%	0.28%	0.13%	0.49%	0.75%	0.00%	0.00%	0.00%	1.09%	0.00%	0.30%	1.85%	0.00%	0.00%	0.37%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	24689	208	232	161	255	217	92	159	228	170	264	194	222	252	198	218	206	313	379	264	324	242	150	206	142	271	226	18	189	217	171	53	276	221	233	285	388	157	140	242	286	174	251	334	302	193	187	354	334	255	293	248	360	314	307	243	233	180	136	126	100	271	243	218	191	238	370	236	140	270	311	238	271	200	257	315	142	262	80	202	197	245	121	94	126	99	109	80	134	170	133	110	128	167	103	132	123	162	105	220	106	144	51	50	28	97	101	43	53	104	206	239	563	62	143	10	46	121	56	262	165	18	110	88	345	187	77	109	52	8	34	30	22	7	1	12	33	43	10	6	41					
		16.81%	23.03%	11.55%	17.97%	20.80%	12.56%	8.72%	18.51%	13.71%	19.30%	26.24%	17.64%	21.41%	16.77%	17.73%	15.79%	23.82%	20.22%	23.22%	19.94%	23.06%	23.89%	14.72%	25.65%	24.57%	21.44%	17.20%	5.84%	14.65%	14.07%	13.26%	8.02%	16.61%	18.17%	20.67%	22.85%	23.52%	22.82%	22.26%	21.04%	20.49%	18.13%	17.53%	19.36%	21.74%	12.97%	13.84%	25.11%	23.08%	19.71%	20.56%	14.79%	18.62%	15.72%	15.77%	12.67%	16.60%	11.07%	16.15%	9.55%	7.85%	17.24%	20.49%	20.07%	20.94%	21.74%	26.41%	11.88%	8.76%	21.88%	17.70%	22.37%	20.70%	14.32%	24.29%	22.61%	27.20%	20.73%	28.07%	17.32%	12.33%	23.74%	19.09%	12.58%	10.97%	14.89%	9.86%	7.47%	22.22%	25.53%	19.05%	11.58%	13.18%	16.03%	10.00%	13.00%	16.31%	14.86%	14.38%	20.81%	9.68%	15.50%	11.16%	14.88%	26.67%	10.20%	14.96%	4.74%	7.44%	19.92%	20.16%	17.82%	28.68%	15.86%	21.87%	9.43%	17.29%	15.32%	16.92%	11.95%	12.43%	13.74%	9.68%	15.83%	22.06%	16.18%	10.53%	15.46%	6.69%	3.90%	12.73%	9.65%	5.57%	6.14%	1.09%	6.09%	9.85%	13.23%	1.43%	1.07%	5.12%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3242	15	21	7	17	23	7	15	10	9	7	5	28	48	22	49	23	48	55	27	41	9	17	31	17	45	31	4	28	29	25	11	22	2	22	52	88	27	33	7	83	4	52	32	56	42	28	111	78	65	67	78	18	64	79	55	33	41	20	22	36	41	7	4	4	12	33	23	12	67	31	31	41	29	36	30	23	40	6	30	2	29	7	9	12	25	11	15	9	29	23	23	22	25	18	37	16	23	24	29	17	11	9	13	0	2	3	0	3	13	32	34	13	8	6	0	3	1	2	34	21	0	12	10	22	13	3	4	7	2	0	3	2	1	0	1	2	2	2	0	2					
		2.21%	1.66%	1.05%	0.78%	1.39%	1.33%	0.66%	1.75%	0.60%	1.02%	0.70%	0.45%	2.70%	3.19%	1.97%	3.55%	2.66%	3.10%	3.37%	2.04%	2.92%	0.89%	1.67%	3.86%	2.94%	3.56%	2.36%	1.30%	2.17%	1.88%	1.94%	1.66%	1.32%	0.16%	1.95%	4.17%	5.33%	3.92%	5.25%	0.61%	5.95%	0.42%	3.63%	1.86%	4.03%	2.82%	2.07%	7.87%	5.39%	5.02%	4.70%	4.65%	0.93%	3.20%	4.06%	2.87%	2.35%	2.52%	2.38%	1.67%	2.83%	2.61%	0.59%	0.37%	0.44%	1.10%	2.36%	1.16%	0.75%	5.43%	1.76%	2.91%	3.13%	2.08%	3.40%	2.15%	4.41%	3.16%	2.11%	2.57%	0.13%	2.81%	1.10%	1.20%	1.04%	3.76%	0.99%	1.40%	1.49%	4.35%	3.30%	2.42%	2.27%	2.40%	1.75%	3.65%	2.12%	2.11%	3.29%	2.74%	1.55%	1.18%	1.97%	3.87%	0.00%	0.21%	0.44%	0.00%	0.42%	2.49%	3.13%	2.54%	0.66%	2.05%	0.92%	0.00%	1.13%	0.13%	0.60%	1.55%	1.58%	0.00%	1.06%	1.80%	1.41%	1.12%	0.41%	0.57%	0.90%	0.98%	0.00%	0.96%	0.51%	0.88%	0.00%	0.51%	0.60%	0.62%	0.29%	0.00%	0.25%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	88634	523	1541	590	731	1169	804	542	1228	541	563	706	578	920	604	684	355	692	720	594	604	517	610	278	201	617	790	202	848	969	789	419	1075	746	558	565	600	273	246	720	519	666	766	1123	639	984	929	542	616	679	662	958	1346	1319	1308	1233	825	1181	558	991	1099	1005	784	734	613	687	850	1491	1254	573	988	472	687	950	413	698	238	688	121	610	1209	471	326	507	956	383	870	852	259	273	350	675	629	605	708	624	445	648	387	599	757	598	318	189	55	694	457	751	587	246	539	750	1065	240	299	75	172	542	195	1575	814	91	816	312	774	710	492	419	578	154	172	217	272	89	76	137	225	170	593	515	617					
		60.35%	57.92%	76.74%	65.85%	59.62%	67.65%	76.21%	63.10%	73.84%	61.41%	55.96%	64.18%	55.74%	61.21%	54.07%	49.53%	41.04%	44.70%	44.12%	44.86%	42.99%	51.04%	59.86%	34.62%	34.78%	48.81%	60.12%	65.58%	65.74%	62.84%	61.16%	63.39%	64.68%	61.35%	49.51%	45.31%	36.36%	39.68%	39.11%	62.61%	37.18%	69.38%	53.49%	65.10%	46.00%	66.13%	68.76%	38.44%	42.57%	52.47%	46.46%	57.13%	69.63%	66.05%	67.18%	64.29%	58.76%	72.63%	66.27%	75.08%	86.26%	63.93%	66.10%	67.59%	67.21%	62.74%	60.67%	75.04%	78.42%	46.43%	56.23%	44.36%	52.48%	68.00%	39.04%	50.11%	45.59%	54.43%	42.46%	52.32%	75.66%	45.64%	51.42%	67.87%	83.20%	57.59%	78.73%	79.55%	42.95%	40.99%	50.14%	71.05%	64.78%	58.06%	68.74%	61.48%	59.02%	59.45%	53.01%	56.67%	69.13%	64.37%	69.58%	56.25%	52.38%	72.98%	67.70%	82.71%	82.44%	47.13%	52.74%	55.93%	54.25%	61.38%	45.72%	70.75%	64.66%	68.61%	58.91%	71.85%	61.34%	69.47%	71.83%	56.12%	49.49%	61.42%	67.31%	59.43%	74.39%	75.12%	64.42%	69.77%	68.86%	78.07%	82.61%	69.54%	67.16%	52.31%	85.08%	91.96%	77.03%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	542	4	4	7	1	2	1	0	6	1	6	5	1	7	9	7	5	10	11	13	7	2	7	5	3	10	4	0	2	6	5	2	4	0	2	4	9	1	1	0	14	4	4	6	6	0	4	5	9	9	3	4	9	8	10	9	6	7	0	3	2	5	7	7	4	6	2	3	4	7	2	4	5	1	4	3	0	4	1	5	0	5	2	2	3	4	4	15	4	2	3	2	7	6	4	3	2	0	3	3	4	1	0	2	0	0	3	2	3	7	5	5	6	1	3	0	1	2	2	7	2	1	10	0	6	9	3	0	1	0	0	0	3	0	2	0	2	1	0	0	4					
		0.37%	0.44%	0.20%	0.78%	0.08%	0.12%	0.09%	0.00%	0.36%	0.11%	0.60%	0.45%	0.10%	0.47%	0.81%	0.51%	0.58%	0.65%	0.67%	0.98%	0.50%	0.20%	0.69%	0.62%	0.52%	0.79%	0.30%	0.00%	0.16%	0.39%	0.39%	0.30%	0.24%	0.00%	0.18%	0.32%	0.55%	0.15%	0.16%	0.00%	1.00%	0.42%	0.28%	0.35%	0.43%	0.00%	0.30%	0.35%	0.62%	0.70%	0.21%	0.24%	0.47%	0.40%	0.51%	0.47%	0.43%	0.43%	0.00%	0.23%	0.16%	0.32%	0.59%	0.64%	0.44%	0.55%	0.14%	0.15%	0.25%	0.57%	0.11%	0.38%	0.38%	0.07%	0.38%	0.22%	0.00%	0.32%	0.35%	0.43%	0.00%	0.48%	0.32%	0.27%	0.26%	0.60%	0.36%	1.40%	0.66%	0.30%	0.43%	0.21%	0.72%	0.58%	0.39%	0.30%	0.27%	0.00%	0.41%	0.28%	0.37%	0.11%	0.00%	0.60%	0.00%	0.00%	0.44%	0.22%	0.42%	1.34%	0.49%	0.37%	0.31%	0.26%	0.46%	0.00%	0.38%	0.25%	0.60%	0.32%	0.15%	0.76%	0.88%	0.00%	0.38%	0.78%	0.41%	0.00%	0.13%	0.00%	0.00%	0.00%	0.76%	0.00%	2.17%	0.00%	0.60%	0.31%	0.00%	0.00%	0.50%					
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
