Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Мантуровская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	17	0	4	4	1	0	2	0	1	1	1	1	1	1									
		1.10%	0.00%	3.05%	3.05%	0.79%	0.00%	1.67%	0.00%	0.75%	2.08%	0.79%	1.28%	1.79%	0.40%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	60	7	3	7	5	2	3	4	3	2	2	7	5	10									
		3.88%	5.30%	2.29%	5.34%	3.94%	1.77%	2.50%	3.81%	2.24%	4.17%	1.59%	8.97%	8.93%	4.05%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	37	5	6	4	4	4	2	4	1	0	3	2	1	1									
		2.39%	3.79%	4.58%	3.05%	3.15%	3.54%	1.67%	3.81%	0.75%	0.00%	2.38%	2.56%	1.79%	0.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	680	61	49	50	60	48	54	51	73	16	71	38	17	92									
		43.93%	46.21%	37.40%	38.17%	47.24%	42.48%	45.00%	48.57%	54.48%	33.33%	56.35%	48.72%	30.36%	37.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	6	2	1	0	0	0	1	0	1	0	0	0	0	1									
		0.39%	1.52%	0.76%	0.00%	0.00%	0.00%	0.83%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	0	0	1	1	0	0	0	0	0	0	0	0									
		0.13%	0.00%	0.00%	0.00%	0.79%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	289	30	13	11	20	17	22	15	21	10	23	11	20	76									
		18.67%	22.73%	9.92%	8.40%	15.75%	15.04%	18.33%	14.29%	15.67%	20.83%	18.25%	14.10%	35.71%	30.77%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	0	0	1	0	0	0	0	1	2	0	0	0	0									
		0.26%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.75%	4.17%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	6	1	0	0	2	1	0	1	0	1	0	0	0	0									
		0.39%	0.76%	0.00%	0.00%	1.57%	0.88%	0.00%	0.95%	0.00%	2.08%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	1	0	1	0	0	0	0	0	0	0	0	0	1									
		0.19%	0.76%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	16	4	2	2	1	1	0	0	3	1	0	0	0	2									
		1.03%	3.03%	1.53%	1.53%	0.79%	0.88%	0.00%	0.00%	2.24%	2.08%	0.00%	0.00%	0.00%	0.81%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	367	18	47	44	28	34	26	29	23	15	23	15	9	56									
		23.71%	13.64%	35.88%	33.59%	22.05%	30.09%	21.67%	27.62%	17.16%	31.25%	18.25%	19.23%	16.07%	22.67%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	0	0	2	0	1	1	0	0	0	1	0	0	0									
		0.32%	0.00%	0.00%	1.53%	0.00%	0.88%	0.83%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	27	1	3	2	1	1	3	0	5	0	2	3	2	4									
		1.74%	0.76%	2.29%	1.53%	0.79%	0.88%	2.50%	0.00%	3.73%	0.00%	1.59%	3.85%	3.57%	1.62%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
