Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																											
Дата голосования: 18.09.2016																																																																											
																																																																											
"Наименование Избирательной комиссии:    Владивосток, Ленинская"																																																																											
																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																											
																																																																											
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №580	УИК №5401	УИК №5402	УИК №5403	УИК №5404	УИК №5405	УИК №5406	УИК №5407									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	176	1	1	0	1	0	0	111	1	0	0	2	2	0	0	1	2	1	1	1	1	1	0	0	1	2	1	3	3	0	0	2	1	0	0	1	1	1	5	4	0	0	1	2	0	0	3	1	3	5	1	5	1	0	2	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1288	17	9	25	27	8	15	12	24	12	22	14	21	22	19	31	30	46	38	23	19	39	14	25	16	33	24	27	15	20	21	13	13	16	17	23	22	32	32	15	22	4	30	24	41	22	5	16	30	23	36	30	30	13	18	26	15	15	16	4	6	3	1	6	1									
		3.97%	3.72%	2.12%	4.85%	4.92%	2.89%	4.20%	1.63%	4.91%	6.28%	3.81%	3.33%	4.58%	4.82%	3.84%	3.73%	4.18%	5.98%	5.86%	3.76%	5.14%	4.94%	3.74%	4.77%	3.25%	3.50%	4.52%	4.05%	2.68%	3.34%	3.80%	3.51%	2.50%	3.33%	3.22%	3.66%	3.83%	4.48%	5.06%	2.65%	4.06%	1.08%	6.04%	4.17%	7.06%	6.32%	1.87%	4.36%	5.40%	3.95%	5.77%	4.44%	4.17%	3.22%	3.96%	3.29%	4.53%	1.73%	4.06%	0.99%	1.51%	4.62%	2.86%	4.29%	6.25%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	910	13	5	10	21	9	12	14	10	2	18	14	10	10	11	18	14	22	12	16	9	15	9	6	11	29	22	23	13	22	17	9	13	14	18	12	10	31	18	24	16	9	16	18	23	6	10	9	19	21	22	20	19	14	16	16	4	8	35	11	4	5	6	13	4									
		2.81%	2.84%	1.18%	1.94%	3.83%	3.25%	3.36%	1.90%	2.04%	1.05%	3.11%	3.33%	2.18%	2.19%	2.22%	2.16%	1.95%	2.86%	1.85%	2.62%	2.43%	1.90%	2.41%	1.15%	2.23%	3.08%	4.14%	3.45%	2.33%	3.68%	3.07%	2.43%	2.50%	2.92%	3.41%	1.91%	1.74%	4.34%	2.85%	4.24%	2.95%	2.43%	3.22%	3.13%	3.96%	1.72%	3.75%	2.45%	3.42%	3.60%	3.53%	2.96%	2.64%	3.47%	3.52%	2.02%	1.21%	0.92%	8.88%	2.73%	1.01%	7.69%	17.14%	9.29%	25.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1589	16	18	21	32	25	11	17	27	12	39	17	44	35	27	46	34	52	49	39	22	33	20	26	23	30	35	34	45	45	27	21	30	17	28	32	27	31	37	33	26	9	19	24	30	24	8	10	23	20	15	41	37	30	22	20	17	17	17	4	3	3	5	8	0									
		4.90%	3.50%	4.24%	4.08%	5.83%	9.03%	3.08%	2.31%	5.52%	6.28%	6.75%	4.04%	9.59%	7.68%	5.45%	5.53%	4.74%	6.76%	7.55%	6.38%	5.95%	4.18%	5.35%	4.96%	4.67%	3.18%	6.59%	5.11%	8.05%	7.53%	4.88%	5.68%	5.77%	3.54%	5.30%	5.09%	4.70%	4.34%	5.85%	5.83%	4.80%	2.43%	3.82%	4.17%	5.16%	6.90%	2.99%	2.72%	4.14%	3.43%	2.40%	6.07%	5.14%	7.43%	4.85%	2.53%	5.14%	1.96%	4.31%	0.99%	0.75%	4.62%	14.29%	5.71%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9281	128	127	99	110	60	93	257	123	58	136	109	97	103	116	205	182	190	136	158	89	247	97	135	129	310	125	161	141	133	146	94	143	122	135	169	155	166	161	136	174	187	115	143	132	79	71	101	136	149	157	183	178	88	111	307	91	363	233	363	359	21	9	49	1									
		28.64%	28.01%	29.88%	19.22%	20.04%	21.66%	26.05%	34.92%	25.15%	30.37%	23.53%	25.89%	21.13%	22.59%	23.43%	24.64%	25.35%	24.71%	20.96%	25.86%	24.05%	31.27%	25.94%	25.76%	26.17%	32.87%	23.54%	24.17%	25.22%	22.24%	26.40%	25.41%	27.50%	25.42%	25.57%	26.87%	26.96%	23.22%	25.47%	24.03%	32.10%	50.40%	23.14%	24.87%	22.72%	22.70%	26.59%	27.52%	24.46%	25.56%	25.16%	27.11%	24.72%	21.78%	24.45%	38.81%	27.49%	41.82%	59.14%	90.07%	90.20%	32.31%	25.71%	35.00%	6.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	409	4	6	4	3	3	6	10	5	0	9	8	6	3	6	6	6	9	11	12	4	9	7	4	5	12	2	14	2	10	3	10	7	4	8	6	6	7	5	8	6	0	3	12	13	2	2	2	7	8	13	9	8	7	8	11	11	11	10	7	0	2	1	6	0									
		1.26%	0.88%	1.41%	0.78%	0.55%	1.08%	1.68%	1.36%	1.02%	0.00%	1.56%	1.90%	1.31%	0.66%	1.21%	0.72%	0.84%	1.17%	1.69%	1.96%	1.08%	1.14%	1.87%	0.76%	1.01%	1.27%	0.38%	2.10%	0.36%	1.67%	0.54%	2.70%	1.35%	0.83%	1.52%	0.95%	1.04%	0.98%	0.79%	1.41%	1.11%	0.00%	0.60%	2.09%	2.24%	0.57%	0.75%	0.54%	1.26%	1.37%	2.08%	1.33%	1.11%	1.73%	1.76%	1.39%	3.32%	1.27%	2.54%	1.74%	0.00%	3.08%	2.86%	4.29%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	79	0	1	0	2	0	2	2	1	0	0	0	0	2	1	1	2	2	4	0	0	2	0	2	2	2	0	4	2	0	1	1	1	2	1	0	3	0	0	2	0	3	2	3	3	1	0	0	3	1	0	0	0	2	0	1	2	1	7	2	0	0	0	3	0									
		0.24%	0.00%	0.24%	0.00%	0.36%	0.00%	0.56%	0.27%	0.20%	0.00%	0.00%	0.00%	0.00%	0.44%	0.20%	0.12%	0.28%	0.26%	0.62%	0.00%	0.00%	0.25%	0.00%	0.38%	0.41%	0.21%	0.00%	0.60%	0.36%	0.00%	0.18%	0.27%	0.19%	0.42%	0.19%	0.00%	0.52%	0.00%	0.00%	0.35%	0.00%	0.81%	0.40%	0.52%	0.52%	0.29%	0.00%	0.00%	0.54%	0.17%	0.00%	0.00%	0.00%	0.50%	0.00%	0.13%	0.60%	0.12%	1.78%	0.50%	0.00%	0.00%	0.00%	2.14%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5404	77	77	59	77	64	47	123	88	32	65	53	57	64	75	136	127	109	133	100	86	129	52	70	80	147	75	92	87	95	91	60	86	87	73	104	101	107	98	85	103	90	84	95	99	59	43	71	92	123	119	145	97	74	77	207	46	297	38	9	19	18	8	17	6									
		16.68%	16.85%	18.12%	11.46%	14.03%	23.10%	13.17%	16.71%	17.99%	16.75%	11.25%	12.59%	12.42%	14.04%	15.15%	16.35%	17.69%	14.17%	20.49%	16.37%	23.24%	16.33%	13.90%	13.36%	16.23%	15.59%	14.12%	13.81%	15.56%	15.89%	16.46%	16.22%	16.54%	18.13%	13.83%	16.53%	17.57%	14.97%	15.51%	15.02%	19.00%	24.26%	16.90%	16.52%	17.04%	16.95%	16.10%	19.35%	16.55%	21.10%	19.07%	21.48%	13.47%	18.32%	16.96%	26.17%	13.90%	34.22%	9.64%	2.23%	4.77%	27.69%	22.86%	12.14%	37.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	578	7	10	22	9	3	8	8	11	2	6	5	15	5	12	23	15	13	6	14	13	14	3	6	12	17	15	13	8	27	13	8	18	14	10	5	7	7	12	15	9	2	14	6	16	2	4	4	7	6	12	12	11	9	5	6	10	9	2	0	0	0	0	1	0									
		1.78%	1.53%	2.35%	4.27%	1.64%	1.08%	2.24%	1.09%	2.25%	1.05%	1.04%	1.19%	3.27%	1.10%	2.42%	2.76%	2.09%	1.69%	0.92%	2.29%	3.51%	1.77%	0.80%	1.15%	2.43%	1.80%	2.82%	1.95%	1.43%	4.52%	2.35%	2.16%	3.46%	2.92%	1.89%	0.79%	1.22%	0.98%	1.90%	2.65%	1.66%	0.54%	2.82%	1.04%	2.75%	0.57%	1.50%	1.09%	1.26%	1.03%	1.92%	1.78%	1.53%	2.23%	1.10%	0.76%	3.02%	1.04%	0.51%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1140	17	26	41	25	10	20	37	14	6	27	20	23	12	36	26	26	9	24	32	9	37	15	20	22	19	13	35	24	14	9	14	22	10	22	25	20	14	26	19	21	3	24	19	16	14	3	12	17	26	27	20	35	20	12	18	11	14	2	1	1	1	0	3	0									
		3.52%	3.72%	6.12%	7.96%	4.55%	3.61%	5.60%	5.03%	2.86%	3.14%	4.67%	4.75%	5.01%	2.63%	7.27%	3.13%	3.62%	1.17%	3.70%	5.24%	2.43%	4.68%	4.01%	3.82%	4.46%	2.01%	2.45%	5.26%	4.29%	2.34%	1.63%	3.78%	4.23%	2.08%	4.17%	3.97%	3.48%	1.96%	4.11%	3.36%	3.87%	0.81%	4.83%	3.30%	2.75%	4.02%	1.12%	3.27%	3.06%	4.46%	4.33%	2.96%	4.86%	4.95%	2.64%	2.28%	3.32%	1.61%	0.51%	0.25%	0.25%	1.54%	0.00%	2.14%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	57	1	1	2	0	0	1	2	0	1	0	2	0	0	2	1	3	2	0	0	0	1	2	1	0	1	0	1	1	0	4	1	1	2	1	0	0	0	1	3	1	1	1	0	1	0	0	1	2	1	3	1	1	0	0	0	0	3	0	0	1	1	0	1	0									
		0.18%	0.22%	0.24%	0.39%	0.00%	0.00%	0.28%	0.27%	0.00%	0.52%	0.00%	0.48%	0.00%	0.00%	0.40%	0.12%	0.42%	0.26%	0.00%	0.00%	0.00%	0.13%	0.53%	0.19%	0.00%	0.11%	0.00%	0.15%	0.18%	0.00%	0.72%	0.27%	0.19%	0.42%	0.19%	0.00%	0.00%	0.00%	0.16%	0.53%	0.18%	0.27%	0.20%	0.00%	0.17%	0.00%	0.00%	0.27%	0.36%	0.17%	0.48%	0.15%	0.14%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.25%	1.54%	0.00%	0.71%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1415	33	19	49	29	18	17	30	31	8	22	17	24	20	23	47	22	45	28	30	17	34	19	36	25	42	32	34	20	11	17	13	24	14	28	29	35	39	27	31	17	4	26	34	33	18	10	14	21	28	33	10	29	17	22	25	16	14	1	0	1	1	0	2	0									
		4.37%	7.22%	4.47%	9.51%	5.28%	6.50%	4.76%	4.08%	6.34%	4.19%	3.81%	4.04%	5.23%	4.39%	4.65%	5.65%	3.06%	5.85%	4.31%	4.91%	4.59%	4.30%	5.08%	6.87%	5.07%	4.45%	6.03%	5.11%	3.58%	1.84%	3.07%	3.51%	4.62%	2.92%	5.30%	4.61%	6.09%	5.45%	4.27%	5.48%	3.14%	1.08%	5.23%	5.91%	5.68%	5.17%	3.75%	3.81%	3.78%	4.80%	5.29%	1.48%	4.03%	4.21%	4.85%	3.16%	4.83%	1.61%	0.25%	0.00%	0.25%	1.54%	0.00%	1.43%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7034	107	81	147	140	50	98	162	116	43	160	120	111	119	124	215	195	193	144	117	62	168	95	132	110	218	134	178	141	167	148	104	99	113	129	151	119	201	159	128	91	32	103	134	111	84	62	93	134	117	123	125	171	95	107	95	82	40	14	1	4	5	3	7	3									
		21.71%	23.41%	19.06%	28.54%	25.50%	18.05%	27.45%	22.01%	23.72%	22.51%	27.68%	28.50%	24.18%	26.10%	25.05%	25.84%	27.16%	25.10%	22.19%	19.15%	16.76%	21.27%	25.40%	25.19%	22.31%	23.12%	25.24%	26.73%	25.22%	27.93%	26.76%	28.11%	19.04%	23.54%	24.43%	24.01%	20.70%	28.11%	25.16%	22.61%	16.79%	8.63%	20.72%	23.30%	19.10%	24.14%	23.22%	25.34%	24.10%	20.07%	19.71%	18.52%	23.75%	23.51%	23.57%	12.01%	24.77%	4.61%	3.55%	0.25%	1.01%	7.69%	8.57%	5.00%	18.75%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	141	2	0	2	5	0	1	7	2	3	4	2	2	2	3	0	2	2	1	2	4	3	1	1	2	4	2	3	7	0	1	0	3	1	3	2	2	2	3	2	3	2	2	3	2	0	0	2	7	5	0	2	5	2	4	3	2	6	0	0	0	1	0	2	0									
		0.44%	0.44%	0.00%	0.39%	0.91%	0.00%	0.28%	0.95%	0.41%	1.57%	0.69%	0.48%	0.44%	0.44%	0.61%	0.00%	0.28%	0.26%	0.15%	0.33%	1.08%	0.38%	0.27%	0.19%	0.41%	0.42%	0.38%	0.45%	1.25%	0.00%	0.18%	0.00%	0.58%	0.21%	0.57%	0.32%	0.35%	0.28%	0.47%	0.35%	0.55%	0.54%	0.40%	0.52%	0.34%	0.00%	0.00%	0.54%	1.26%	0.86%	0.00%	0.30%	0.69%	0.50%	0.88%	0.38%	0.60%	0.69%	0.00%	0.00%	0.00%	1.54%	0.00%	1.43%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2199	25	37	25	48	23	17	40	28	6	48	28	28	48	28	49	41	57	48	56	27	41	26	37	39	44	39	32	43	38	41	15	37	55	38	54	52	67	45	50	36	13	42	47	47	35	36	24	37	43	52	64	76	30	34	34	17	14	4	1	0	4	0	8	1									
		6.79%	5.47%	8.71%	4.85%	8.74%	8.30%	4.76%	5.43%	5.73%	3.14%	8.30%	6.65%	6.10%	10.53%	5.66%	5.89%	5.71%	7.41%	7.40%	9.17%	7.30%	5.19%	6.95%	7.06%	7.91%	4.67%	7.34%	4.80%	7.69%	6.35%	7.41%	4.05%	7.12%	11.46%	7.20%	8.59%	9.04%	9.37%	7.12%	8.83%	6.64%	3.50%	8.45%	8.17%	8.09%	10.06%	13.48%	6.54%	6.65%	7.38%	8.33%	9.48%	10.56%	7.43%	7.49%	4.30%	5.14%	1.61%	1.02%	0.25%	0.00%	6.15%	0.00%	5.71%	6.25%									
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
