Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
Наименование Избирательной комиссии:    Cемилукская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542	УИК №3543	УИК №3544	УИК №3545	УИК №3546	УИК №3547	УИК №3548	УИК №3549	УИК №3550	УИК №3551	УИК №3552	УИК №3553	УИК №3554	УИК №3555									
11	Число открепительных удостоверений, полученных участковыми избирательными комиссиями	677	52	17	5	18	12	25	22	25	45	0	26	5	25	10	15	5	7	18	8	10	10	5	0	10	11	3	5	2	24	10	10	8	3	15	21	20	10	10	10	19	10	4	6	10	7	15	3	2	5	10	9	10	4	13	13									
12	Число открепительных удостоверений, выданных избирателям на избирательных участках	586	31	17	5	18	12	25	19	17	38	0	19	3	25	10	15	4	5	15	8	9	6	5	0	10	11	1	5	2	24	10	10	5	1	14	21	20	10	2	5	19	9	4	6	10	7	15	3	0	0	10	9	7	4	13	13									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках	344	4	6	7	9	19	21	20	3	12	43	4	2	4	5	2	6	4	17	9	6	7	4	5	5	12	4	3	2	5	6	3	3	0	1	0	3	8	2	5	3	7	3	2	1	5	1	2	1	2	2	7	11	4	4	8									
14	Число погашенных неиспользованных открепительных удостоверений	91	21	0	0	0	0	0	3	8	7	0	7	2	0	0	0	1	2	3	0	1	4	0	0	0	0	2	0	0	0	0	0	3	2	1	0	0	0	8	5	0	1	0	0	0	0	0	0	2	5	0	0	3	0	0	0									
15	Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
18	1.Политическая партия «Аграрная партия России»	670	32	9	4	13	24	15	16	36	32	5	8	18	10	7	7	2	17	31	16	18	22	9	1	6	10	5	31	12	8	4	4	0	2	4	9	10	22	9	8	34	8	1	5	3	6	12	4	4	5	12	24	8	2	28	18									
		2.06%	2.37%	1.13%	1.15%	1.55%	1.76%	1.13%	1.32%	2.97%	1.79%	1.71%	1.06%	5.81%	3.38%	1.38%	2.48%	1.13%	3.15%	2.89%	3.29%	1.70%	2.04%	2.37%	1.04%	1.87%	1.42%	2.60%	6.24%	3.72%	1.93%	1.37%	2.17%	0.00%	0.66%	1.53%	1.53%	1.64%	3.29%	2.68%	2.29%	2.97%	0.78%	0.55%	1.54%	1.96%	1.53%	4.00%	1.54%	1.77%	2.75%	1.42%	2.36%	1.07%	0.85%	3.27%	1.95%									
19	2.Всероссийская политическая партия «Гражданская Сила»	226	15	11	2	7	9	15	22	13	29	3	9	1	0	5	0	1	6	11	2	3	4	0	0	0	2	1	1	0	3	3	0	0	1	0	0	1	0	2	1	3	2	2	1	0	0	1	1	0	0	5	7	3	0	13	5									
		0.69%	1.11%	1.38%	0.57%	0.84%	0.66%	1.13%	1.82%	1.07%	1.62%	1.03%	1.19%	0.32%	0.00%	0.99%	0.00%	0.56%	1.11%	1.03%	0.41%	0.28%	0.37%	0.00%	0.00%	0.00%	0.28%	0.52%	0.20%	0.00%	0.72%	1.03%	0.00%	0.00%	0.33%	0.00%	0.00%	0.16%	0.00%	0.60%	0.29%	0.26%	0.20%	1.09%	0.31%	0.00%	0.00%	0.33%	0.39%	0.00%	0.00%	0.59%	0.69%	0.40%	0.00%	1.52%	0.54%									
20	3.Политическая партия «Демократическая партия России»	44	1	1	1	0	1	2	1	4	5	0	0	0	0	0	1	1	0	3	0	2	0	2	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	2	1	1	0	1	0	0	0	0	0	1	3	3	0	0	2									
		0.14%	0.07%	0.13%	0.29%	0.00%	0.07%	0.15%	0.08%	0.33%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.56%	0.00%	0.28%	0.00%	0.19%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.20%	0.31%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.17%	0.10%	0.55%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.29%	0.40%	0.00%	0.00%	0.22%									
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5562	228	181	43	201	266	280	303	254	344	40	141	25	19	65	26	32	82	182	89	183	169	36	17	32	105	18	82	43	44	35	17	8	33	27	42	57	81	46	32	213	145	13	50	22	110	56	24	27	25	163	217	137	41	195	216									
		17.09%	16.89%	22.74%	12.36%	24.01%	19.46%	21.16%	25.04%	20.96%	19.24%	13.70%	18.63%	8.06%	6.42%	12.82%	9.22%	18.08%	15.21%	16.99%	18.28%	17.28%	15.69%	9.47%	17.71%	9.97%	14.91%	9.38%	16.50%	13.31%	10.60%	12.03%	9.24%	6.35%	10.82%	10.34%	7.12%	9.34%	12.13%	13.69%	9.14%	18.60%	14.19%	7.10%	15.43%	14.38%	28.13%	18.67%	9.27%	11.95%	13.74%	19.29%	21.32%	18.29%	17.37%	22.75%	23.45%									
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	80	1	3	2	3	7	6	4	3	3	1	4	0	0	1	0	1	0	2	0	4	1	0	0	0	1	0	1	3	0	0	1	0	0	0	2	1	0	1	0	3	1	0	0	0	2	0	1	3	0	1	2	1	2	3	5									
		0.25%	0.07%	0.38%	0.57%	0.36%	0.51%	0.45%	0.33%	0.25%	0.17%	0.34%	0.53%	0.00%	0.00%	0.20%	0.00%	0.56%	0.00%	0.19%	0.00%	0.38%	0.09%	0.00%	0.00%	0.00%	0.14%	0.00%	0.20%	0.93%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.34%	0.16%	0.00%	0.30%	0.00%	0.26%	0.10%	0.00%	0.00%	0.00%	0.51%	0.00%	0.39%	1.33%	0.00%	0.12%	0.20%	0.13%	0.85%	0.35%	0.54%									
23	6.Политическая партия «Партия социальной справедливости»	47	0	1	0	1	1	5	4	3	8	0	1	0	0	1	0	0	0	1	0	3	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	1	0	1	0	0	1	1	0	0	1	2									
		0.14%	0.00%	0.13%	0.00%	0.12%	0.07%	0.38%	0.33%	0.25%	0.45%	0.00%	0.13%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.09%	0.00%	0.28%	0.28%	0.00%	1.04%	0.00%	0.14%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.09%	0.20%	0.00%	0.31%	0.00%	0.26%	0.00%	0.39%	0.00%	0.00%	0.12%	0.10%	0.00%	0.00%	0.12%	0.22%									
24	7.Политическая партия «Либерально-демократическая партия России»	3565	193	101	50	114	174	180	146	163	229	34	100	30	32	87	47	23	49	110	46	77	126	31	2	56	66	16	39	20	31	17	34	4	30	17	54	55	64	28	39	95	56	5	34	20	36	22	17	11	26	99	100	104	33	98	95									
		10.95%	14.30%	12.69%	14.37%	13.62%	12.73%	13.61%	12.07%	13.45%	12.81%	11.64%	13.21%	9.68%	10.81%	17.16%	16.67%	12.99%	9.09%	10.27%	9.45%	7.27%	11.70%	8.16%	2.08%	17.45%	9.38%	8.33%	7.85%	6.19%	7.47%	5.84%	18.48%	3.17%	9.84%	6.51%	9.15%	9.02%	9.58%	8.33%	11.14%	8.30%	5.48%	2.73%	10.49%	13.07%	9.21%	7.33%	6.56%	4.87%	14.29%	11.72%	9.82%	13.89%	13.98%	11.44%	10.31%									
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2333	122	78	31	69	128	117	113	106	201	33	69	10	5	33	13	12	22	67	28	70	60	15	3	13	40	24	13	20	19	8	8	2	13	3	35	47	36	18	10	64	47	11	17	1	17	5	14	6	11	111	92	58	10	73	82									
		7.17%	9.04%	9.80%	8.91%	8.24%	9.36%	8.84%	9.34%	8.75%	11.24%	11.30%	9.11%	3.23%	1.69%	6.51%	4.61%	6.78%	4.08%	6.26%	5.75%	6.61%	5.57%	3.95%	3.13%	4.05%	5.68%	12.50%	2.62%	6.19%	4.58%	2.75%	4.35%	1.59%	4.26%	1.15%	5.93%	7.70%	5.39%	5.36%	2.86%	5.59%	4.60%	6.01%	5.25%	0.65%	4.35%	1.67%	5.41%	2.65%	6.04%	13.14%	9.04%	7.74%	4.24%	8.52%	8.90%									
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	210	10	5	4	10	8	11	14	9	17	2	9	1	0	0	2	0	0	9	2	2	4	0	0	1	2	3	0	3	5	2	2	1	3	1	4	1	4	2	2	14	11	1	1	0	3	1	0	0	2	4	5	1	2	6	4									
		0.65%	0.74%	0.63%	1.15%	1.19%	0.59%	0.83%	1.16%	0.74%	0.95%	0.68%	1.19%	0.32%	0.00%	0.00%	0.71%	0.00%	0.00%	0.84%	0.41%	0.19%	0.37%	0.00%	0.00%	0.31%	0.28%	1.56%	0.00%	0.93%	1.20%	0.69%	1.09%	0.79%	0.98%	0.38%	0.68%	0.16%	0.60%	0.60%	0.57%	1.22%	1.08%	0.55%	0.31%	0.00%	0.77%	0.33%	0.00%	0.00%	1.10%	0.47%	0.49%	0.13%	0.85%	0.70%	0.43%									
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	19400	726	378	205	411	714	677	570	599	898	167	402	224	229	304	183	104	357	617	292	691	680	286	72	212	470	124	327	217	300	220	116	109	220	206	442	432	460	228	254	710	738	148	208	106	216	202	195	174	113	439	552	424	142	428	482									
		59.61%	53.78%	47.49%	58.91%	49.10%	52.23%	51.17%	47.11%	49.42%	50.22%	57.19%	53.10%	72.26%	77.36%	59.96%	64.89%	58.76%	66.23%	57.61%	59.96%	65.25%	63.14%	75.26%	75.00%	66.04%	66.76%	64.58%	65.79%	67.18%	72.29%	75.60%	63.04%	86.51%	72.13%	78.93%	74.92%	70.82%	68.86%	67.86%	72.57%	62.01%	72.21%	80.87%	64.20%	69.28%	55.24%	67.33%	75.29%	76.99%	62.09%	51.95%	54.22%	56.61%	60.17%	49.94%	52.33%									
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	189	12	20	3	1	17	15	6	9	13	1	9	1	0	2	1	1	3	10	6	2	2	1	0	1	2	1	0	1	0	0	1	1	3	2	0	5	0	0	2	2	5	1	1	0	0	1	0	0	0	2	8	4	2	4	5									
		0.58%	0.89%	2.51%	0.86%	0.12%	1.24%	1.13%	0.50%	0.74%	0.73%	0.34%	1.19%	0.32%	0.00%	0.39%	0.35%	0.56%	0.56%	0.93%	1.23%	0.19%	0.19%	0.26%	0.00%	0.31%	0.28%	0.52%	0.00%	0.31%	0.00%	0.00%	0.54%	0.79%	0.98%	0.77%	0.00%	0.82%	0.00%	0.00%	0.57%	0.17%	0.49%	0.55%	0.31%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.24%	0.79%	0.53%	0.85%	0.47%	0.54%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
