Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Хабаровск, Индустриальная"																																																																																		
																																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																		
																																																																																		
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	506	9	4	8	13	13	0	3	1	9	7	11	4	5	4	13	1	11	8	6	11	8	5	7	4	7	13	2	8	5	5	4	10	5	3	13	0	5	26	16	3	22	13	6	13	12	7	14	5	6	3	4	1	4	13	5	9	7	5	10	2	4	0	3	11	6	3	2	0	2	4	4	2	6	5	3					
14	Число погашенных открепительных удостоверений	579	7	4	10	8	0	4	10	6	3	12	9	6	9	6	1	1	10	5	9	6	8	0	10	7	10	12	6	12	10	14	7	0	16	6	9	14	7	16	6	11	0	8	8	4	10	14	10	13	3	14	12	11	6	11	10	8	9	8	14	0	10	4	6	11	11	5	11	0	11	6	5	4	5	4	6					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																		
18	"1. ""ЕДИНЕНИЕ"""	586	10	4	9	6	1	6	8	1	5	9	10	12	6	5	6	2	13	3	7	11	13	5	9	12	14	11	2	12	3	3	6	0	7	14	5	8	12	11	13	5	1	8	5	10	9	8	5	2	13	7	5	10	7	15	4	13	5	7	2	1	9	12	12	16	9	5	2	4	8	17	17	8	24	7	0					
		0.86%	0.86%	0.61%	0.81%	0.58%	0.96%	1.6%	0.67%	0.14%	0.37%	0.88%	0.92%	0.98%	0.48%	0.41%	0.48%	0.81%	1.03%	0.36%	0.78%	1.06%	1.07%	0.44%	0.69%	1.10%	1.23%	0.87%	0.36%	1.33%	0.41%	0.56%	0.59%	0.0%	0.70%	1.55%	0.52%	0.78%	1.03%	1.34%	1.01%	0.54%	3.84%	0.72%	0.49%	0.83%	0.85%	0.78%	0.45%	0.25%	1.20%	0.82%	0.47%	0.86%	0.83%	1.27%	0.47%	1.38%	0.52%	0.58%	0.29%	3.33%	1.53%	1.09%	1.03%	1.38%	1.12%	1.93%	0.54%	1.70%	1.05%	1.34%	1.40%	0.72%	1.94%	1.40%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2411	63	52	52	70	1	9	48	27	74	25	63	35	42	26	56	6	47	33	39	44	73	32	46	43	23	39	14	27	20	16	19	0	29	23	39	33	40	29	52	36	1	51	37	47	39	32	43	31	33	33	27	41	37	43	48	37	31	31	13	2	14	28	37	26	30	6	7	2	22	37	32	22	31	14	1					
		3.56%	5.47%	7.97%	4.68%	6.88%	0.96%	2.4%	4.06%	3.78%	5.55%	2.46%	5.81%	2.88%	3.42%	2.15%	4.53%	2.43%	3.72%	4.02%	4.38%	4.25%	6.02%	2.82%	3.54%	3.95%	2.02%	3.10%	2.55%	3.01%	2.78%	3.01%	1.89%	0.0%	2.91%	2.55%	4.07%	3.23%	3.46%	3.54%	4.06%	3.92%	3.84%	4.59%	3.67%	3.94%	3.72%	3.14%	3.88%	3.98%	3.04%	3.88%	2.58%	3.54%	4.42%	3.64%	5.66%	3.92%	3.23%	2.60%	1.94%	6.66%	2.38%	2.55%	3.18%	2.25%	3.73%	2.31%	1.89%	0.85%	2.91%	2.93%	2.64%	1.99%	2.51%	2.81%	0.63%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2339	27	11	29	36	5	4	42	33	37	38	28	41	44	33	44	12	27	28	32	35	46	43	52	27	45	51	21	25	36	28	51	0	36	51	24	59	41	30	53	28	1	31	45	40	43	36	55	25	43	29	33	46	44	37	21	34	26	25	23	2	14	52	53	38	13	9	16	13	20	17	37	33	33	15	4					
		3.45%	2.34%	1.68%	2.61%	3.53%	4.80%	1.06%	3.55%	4.62%	2.77%	3.74%	2.58%	3.37%	3.58%	2.73%	3.56%	4.87%	2.14%	3.41%	3.59%	3.38%	3.79%	3.79%	4.00%	2.48%	3.96%	4.05%	3.83%	2.78%	5.01%	5.27%	5.09%	0.0%	3.62%	5.66%	2.50%	5.77%	3.55%	3.66%	4.14%	3.05%	3.84%	2.79%	4.46%	3.35%	4.10%	3.53%	4.96%	3.21%	3.97%	3.41%	3.16%	3.98%	5.26%	3.13%	2.47%	3.60%	2.71%	2.10%	3.44%	6.66%	2.38%	4.74%	4.56%	3.29%	1.61%	3.47%	4.33%	5.53%	2.64%	1.34%	3.06%	2.99%	2.67%	3.01%	2.54%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	5085	170	69	147	92	8	6	107	72	135	84	63	98	75	111	99	18	127	87	53	55	131	117	124	128	93	88	40	75	43	39	70	1	70	70	50	87	92	71	68	61	3	62	84	105	70	74	67	59	83	55	67	78	72	95	55	57	51	63	41	1	29	75	60	76	22	15	8	35	54	52	68	51	56	40	8					
		7.51%	14.76%	10.58%	13.24%	9.04%	7.69%	1.6%	9.06%	10.09%	10.13%	8.28%	5.81%	8.07%	6.10%	9.21%	8.01%	7.31%	10.07%	10.62%	5.95%	5.31%	10.81%	10.32%	9.54%	11.78%	8.20%	7.00%	7.29%	8.36%	5.98%	7.34%	6.99%	10.0%	7.04%	7.77%	5.21%	8.52%	7.97%	8.66%	5.32%	6.65%	11.53%	5.58%	8.34%	8.80%	6.68%	7.26%	6.05%	7.59%	7.67%	6.47%	6.42%	6.75%	8.61%	8.04%	6.48%	6.05%	5.32%	5.30%	6.14%	3.33%	4.94%	6.84%	5.17%	6.58%	2.73%	5.79%	2.16%	14.89%	7.14%	4.12%	5.62%	4.62%	4.54%	8.04%	5.09%					
22	"5. ""За Русь Святую"""	278	9	4	4	2	1	1	5	5	3	3	5	5	5	1	9	0	2	2	2	1	0	5	2	5	14	4	1	6	2	1	2	0	10	5	1	2	3	0	7	7	0	4	4	2	4	2	1	4	7	5	2	6	0	5	6	5	6	1	2	1	4	6	9	9	4	0	3	7	2	4	7	3	4	1	2					
		0.41%	0.78%	0.61%	0.36%	0.19%	0.96%	0.26%	0.42%	0.70%	0.22%	0.29%	0.46%	0.41%	0.40%	0.08%	0.72%	0.0%	0.15%	0.24%	0.22%	0.09%	0.0%	0.44%	0.15%	0.46%	1.23%	0.31%	0.18%	0.66%	0.27%	0.18%	0.19%	0.0%	1.00%	0.55%	0.10%	0.19%	0.25%	0.0%	0.54%	0.76%	0.0%	0.36%	0.39%	0.16%	0.38%	0.19%	0.09%	0.51%	0.64%	0.58%	0.19%	0.51%	0.0%	0.42%	0.70%	0.53%	0.62%	0.08%	0.29%	3.33%	0.68%	0.54%	0.77%	0.77%	0.49%	0.0%	0.81%	2.97%	0.26%	0.31%	0.57%	0.27%	0.32%	0.20%	1.27%					
23	"6. ""Объединенная Российская партия ""Русь"""	151	2	2	1	3	0	0	5	1	1	2	0	1	5	4	3	0	2	5	1	0	2	2	0	3	0	6	1	5	0	2	1	0	6	2	2	4	3	1	1	2	0	5	1	4	0	1	1	3	0	3	1	3	0	1	2	1	2	2	0	0	3	4	0	3	10	1	0	2	3	1	2	4	6	0	1					
		0.22%	0.17%	0.30%	0.09%	0.29%	0.0%	0.0%	0.42%	0.14%	0.07%	0.19%	0.0%	0.08%	0.40%	0.33%	0.24%	0.0%	0.15%	0.61%	0.11%	0.0%	0.16%	0.17%	0.0%	0.27%	0.0%	0.47%	0.18%	0.55%	0.0%	0.37%	0.09%	0.0%	0.60%	0.22%	0.20%	0.39%	0.25%	0.12%	0.07%	0.21%	0.0%	0.45%	0.09%	0.33%	0.0%	0.09%	0.09%	0.38%	0.0%	0.35%	0.09%	0.25%	0.0%	0.08%	0.23%	0.10%	0.20%	0.16%	0.0%	0.0%	0.51%	0.36%	0.0%	0.25%	1.24%	0.38%	0.0%	0.85%	0.39%	0.07%	0.16%	0.36%	0.48%	0.0%	0.63%					
24	"7. ""Новый курс - Автомобильная Россия"""	918	17	9	21	8	1	4	21	7	19	14	17	17	12	12	16	5	25	12	24	20	13	9	13	17	20	12	6	11	8	7	8	0	14	7	15	11	18	9	20	6	0	17	15	16	17	9	14	5	13	11	13	6	11	17	24	6	6	29	4	0	11	16	12	27	14	3	1	2	7	20	20	17	23	6	1					
		1.35%	1.47%	1.38%	1.89%	0.78%	0.96%	1.06%	1.77%	0.98%	1.42%	1.38%	1.56%	1.40%	0.97%	0.99%	1.29%	2.03%	1.98%	1.46%	2.69%	1.93%	1.07%	0.79%	1.00%	1.56%	1.76%	0.95%	1.09%	1.22%	1.11%	1.31%	0.79%	0.0%	1.40%	0.77%	1.56%	1.07%	1.55%	1.09%	1.56%	0.65%	0.0%	1.53%	1.48%	1.34%	1.62%	0.88%	1.26%	0.64%	1.20%	1.29%	1.24%	0.51%	1.31%	1.43%	2.83%	0.63%	0.62%	2.44%	0.59%	0.0%	1.87%	1.45%	1.03%	2.33%	1.74%	1.15%	0.27%	0.85%	0.92%	1.58%	1.65%	1.54%	1.86%	1.20%	0.63%					
25	"8. ""Народно-республиканская партия России"""	39	1	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	1	0	0	3	0	0	1	2	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	2	2	2	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0					
		0.05%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.07%	0.0%	0.0%	0.0%	0.16%	0.0%	0.08%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.26%	0.0%	0.0%	0.08%	0.15%	0.18%	0.0%	0.13%	0.0%	0.19%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.09%	0.09%	0.0%	0.0%	0.18%	0.23%	0.19%	0.08%	0.0%	0.08%	0.11%	0.10%	0.10%	0.08%	0.14%	0.0%	0.0%	0.0%	0.0%	0.08%	0.12%	0.0%	0.0%	0.42%	0.0%	0.07%	0.0%	0.0%	0.0%	0.20%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	358	3	3	4	7	1	5	7	1	10	4	6	4	6	6	10	0	7	5	7	2	7	7	3	6	10	8	3	2	2	3	5	0	5	3	5	6	7	3	10	4	0	3	4	8	10	6	7	7	3	2	5	3	2	2	5	6	6	7	2	1	1	5	3	9	5	1	1	0	3	7	14	11	8	4	0					
		0.52%	0.26%	0.46%	0.36%	0.68%	0.96%	1.33%	0.59%	0.14%	0.75%	0.39%	0.55%	0.32%	0.48%	0.49%	0.80%	0.0%	0.55%	0.61%	0.78%	0.19%	0.57%	0.61%	0.23%	0.55%	0.88%	0.63%	0.54%	0.22%	0.27%	0.56%	0.49%	0.0%	0.50%	0.33%	0.52%	0.58%	0.60%	0.36%	0.78%	0.43%	0.0%	0.27%	0.39%	0.67%	0.95%	0.58%	0.63%	0.90%	0.27%	0.23%	0.47%	0.25%	0.23%	0.16%	0.58%	0.63%	0.62%	0.58%	0.29%	3.33%	0.17%	0.45%	0.25%	0.77%	0.62%	0.38%	0.27%	0.0%	0.39%	0.55%	1.15%	0.99%	0.64%	0.80%	0.0%					
27	"10. ""Аграрная партия России"""	1090	17	7	18	23	2	3	20	23	21	32	21	25	21	21	18	4	22	14	11	17	23	21	10	20	12	25	5	13	12	9	19	0	19	12	11	11	17	13	18	12	0	19	20	19	13	9	17	17	10	16	19	18	9	22	9	15	23	16	14	0	12	13	16	18	7	3	11	1	14	12	27	19	22	4	4					
		1.61%	1.47%	1.07%	1.62%	2.26%	1.92%	0.8%	1.69%	3.22%	1.57%	3.15%	1.93%	2.05%	1.71%	1.74%	1.45%	1.62%	1.74%	1.70%	1.23%	1.64%	1.89%	1.85%	0.76%	1.84%	1.05%	1.98%	0.91%	1.44%	1.67%	1.69%	1.89%	0.0%	1.91%	1.33%	1.14%	1.07%	1.47%	1.58%	1.40%	1.30%	0.0%	1.71%	1.98%	1.59%	1.24%	0.88%	1.53%	2.18%	0.92%	1.88%	1.82%	1.55%	1.07%	1.86%	1.06%	1.59%	2.40%	1.34%	2.09%	0.0%	2.04%	1.18%	1.37%	1.55%	0.87%	1.15%	2.98%	0.42%	1.85%	0.95%	2.23%	1.72%	1.78%	0.80%	2.54%					
28	"11. ""Истинные патриоты России"""	101	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	3	1	0	0	0	0	1	0	3	1	2	1	2	1	1	2	0	1	1	2	1	0	0	0	2	0	1	0	3	1	1	0	0	1	2	0	1	2	5	1	0	0	1	0	0	42	4	0	2	0	0					
		0.14%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.08%	0.07%	0.0%	0.26%	0.07%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.30%	0.11%	0.20%	0.09%	0.17%	0.12%	0.07%	0.21%	0.0%	0.09%	0.09%	0.16%	0.09%	0.0%	0.0%	0.0%	0.18%	0.0%	0.09%	0.0%	0.35%	0.08%	0.11%	0.0%	0.0%	0.08%	0.29%	0.0%	0.17%	0.18%	0.43%	0.08%	0.0%	0.0%	0.27%	0.0%	0.0%	3.33%	0.33%	0.0%	0.16%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	342	5	1	4	2	0	2	5	4	6	1	5	4	6	7	6	1	7	3	0	4	8	3	2	6	4	6	8	3	3	1	12	0	10	3	5	7	3	1	7	4	0	4	7	4	5	8	7	3	5	4	5	3	3	3	4	4	9	7	6	0	3	4	10	6	6	2	3	1	7	8	14	1	12	2	3					
		0.50%	0.43%	0.15%	0.36%	0.19%	0.0%	0.53%	0.42%	0.56%	0.45%	0.09%	0.46%	0.32%	0.48%	0.58%	0.48%	0.40%	0.55%	0.36%	0.0%	0.38%	0.66%	0.26%	0.15%	0.55%	0.35%	0.47%	1.45%	0.33%	0.41%	0.18%	1.19%	0.0%	1.00%	0.33%	0.52%	0.68%	0.25%	0.12%	0.54%	0.43%	0.0%	0.36%	0.69%	0.33%	0.47%	0.78%	0.63%	0.38%	0.46%	0.47%	0.47%	0.25%	0.35%	0.25%	0.47%	0.42%	0.94%	0.58%	0.89%	0.0%	0.51%	0.36%	0.86%	0.51%	0.74%	0.77%	0.81%	0.42%	0.92%	0.63%	1.15%	0.09%	0.97%	0.40%	1.91%					
30	"13. ""Демократическая партия России"""	178	5	1	1	0	0	0	2	1	1	1	3	3	1	2	4	1	1	1	4	6	7	4	1	3	1	4	1	3	5	1	2	0	2	2	3	4	8	2	2	1	1	1	1	2	3	4	2	1	2	2	6	3	5	3	3	7	5	2	6	0	0	1	6	4	1	2	1	1	0	1	4	2	2	0	0					
		0.26%	0.43%	0.15%	0.09%	0.0%	0.0%	0.0%	0.16%	0.14%	0.07%	0.09%	0.27%	0.24%	0.08%	0.16%	0.32%	0.40%	0.07%	0.12%	0.44%	0.57%	0.57%	0.35%	0.07%	0.27%	0.08%	0.31%	0.18%	0.33%	0.69%	0.18%	0.19%	0.0%	0.20%	0.22%	0.31%	0.39%	0.69%	0.24%	0.15%	0.10%	3.84%	0.09%	0.09%	0.16%	0.28%	0.39%	0.18%	0.12%	0.18%	0.23%	0.57%	0.25%	0.59%	0.25%	0.35%	0.74%	0.52%	0.16%	0.89%	0.0%	0.0%	0.09%	0.51%	0.34%	0.12%	0.77%	0.27%	0.42%	0.0%	0.07%	0.33%	0.18%	0.16%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	122	1	1	0	1	0	0	0	0	1	1	0	5	0	5	4	1	2	3	1	3	7	4	0	1	1	0	0	3	2	2	2	0	0	0	2	2	3	0	3	0	0	5	1	2	0	1	4	1	0	0	2	2	4	0	2	2	0	2	4	0	0	3	3	0	3	2	0	1	0	1	6	4	2	4	0					
		0.18%	0.08%	0.15%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.07%	0.09%	0.0%	0.41%	0.0%	0.41%	0.32%	0.40%	0.15%	0.36%	0.11%	0.28%	0.57%	0.35%	0.0%	0.09%	0.08%	0.0%	0.0%	0.33%	0.27%	0.37%	0.19%	0.0%	0.0%	0.0%	0.20%	0.19%	0.25%	0.0%	0.23%	0.0%	0.0%	0.45%	0.09%	0.16%	0.0%	0.09%	0.36%	0.12%	0.0%	0.0%	0.19%	0.17%	0.47%	0.0%	0.23%	0.21%	0.0%	0.16%	0.59%	0.0%	0.0%	0.27%	0.25%	0.0%	0.37%	0.77%	0.0%	0.42%	0.0%	0.07%	0.49%	0.36%	0.16%	0.80%	0.0%					
32	"15. ""Партия СЛОН"""	198	3	0	5	4	0	0	5	9	11	4	9	4	2	0	2	1	3	1	1	4	2	4	6	1	2	5	0	1	0	1	2	0	5	2	0	3	0	4	1	1	0	5	0	3	3	0	4	0	4	1	1	6	1	1	7	4	2	2	0	0	1	3	0	4	3	1	0	0	1	7	18	6	2	0	0					
		0.29%	0.26%	0.0%	0.45%	0.39%	0.0%	0.0%	0.42%	1.26%	0.82%	0.39%	0.83%	0.32%	0.16%	0.0%	0.16%	0.40%	0.23%	0.12%	0.11%	0.38%	0.16%	0.35%	0.46%	0.09%	0.17%	0.39%	0.0%	0.11%	0.0%	0.18%	0.19%	0.0%	0.50%	0.22%	0.0%	0.29%	0.0%	0.48%	0.07%	0.10%	0.0%	0.45%	0.0%	0.25%	0.28%	0.0%	0.36%	0.0%	0.36%	0.11%	0.09%	0.51%	0.11%	0.08%	0.82%	0.42%	0.20%	0.16%	0.0%	0.0%	0.17%	0.27%	0.0%	0.34%	0.37%	0.38%	0.0%	0.0%	0.13%	0.55%	1.48%	0.54%	0.16%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5298	107	53	107	133	5	18	128	71	134	74	101	116	78	127	116	30	128	58	72	72	85	116	124	82	119	98	26	66	35	34	72	0	61	52	83	70	85	42	96	92	2	87	53	89	68	78	87	40	74	57	72	69	51	97	44	60	66	75	49	1	35	77	79	79	44	12	35	11	103	93	45	138	109	49	4					
		7.82%	9.29%	8.12%	9.63%	13.07%	4.80%	4.8%	10.84%	9.95%	10.06%	7.29%	9.32%	9.55%	6.35%	10.53%	9.39%	12.19%	10.15%	7.08%	8.08%	6.95%	7.01%	10.23%	9.54%	7.55%	10.49%	7.79%	4.74%	7.35%	4.87%	6.40%	7.19%	0.0%	6.13%	5.77%	8.66%	6.85%	7.36%	5.12%	7.51%	10.03%	7.69%	7.83%	5.26%	7.46%	6.49%	7.65%	7.85%	5.14%	6.83%	6.70%	6.90%	5.97%	6.10%	8.21%	5.18%	6.36%	6.89%	6.31%	7.34%	3.33%	5.96%	7.02%	6.81%	6.84%	5.47%	4.63%	9.48%	4.68%	13.62%	7.38%	3.72%	12.51%	8.84%	9.85%	2.54%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	109	1	2	4	0	1	0	0	0	3	3	3	1	0	2	2	0	0	3	1	0	2	0	1	4	3	0	1	4	2	0	1	0	1	4	2	0	0	0	2	0	0	0	6	0	4	2	1	0	2	0	1	0	0	2	0	3	0	1	0	0	2	1	4	1	1	1	1	3	1	5	7	3	3	1	0					
