Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Навашинская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  1277	УИК  1278	УИК  1279	УИК  1280	УИК  1281	УИК  1282	УИК  1283	УИК  1284	УИК  1285	УИК  1286	УИК  1287	УИК  1288	УИК  1289	УИК  1290	УИК  1291	УИК  1292	УИК  1293	УИК  1294	УИК  1295	УИК  1296	УИК  1297	УИК  1298	УИК  1299	УИК  1300	УИК  2493					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	151	12	9	7	13	6	8	16	4	7	4	4	11	4	1	3	8	5	9	3	6	3	1	3	4	0					
		1.30%	1.03%	0.85%	0.53%	1.11%	0.51%	1.80%	1.66%	0.59%	3.66%	1.50%	7.54%	3.17%	2.27%	0.72%	1.92%	4.14%	4.54%	1.96%	1.25%	5.35%	1.28%	0.60%	1.61%	0.86%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	197	28	20	36	26	11	5	20	11	4	3	1	7	1	2	2	1	0	6	4	1	2	2	2	2	0					
		1.70%	2.40%	1.90%	2.73%	2.22%	0.94%	1.12%	2.07%	1.62%	2.09%	1.12%	1.88%	2.02%	0.56%	1.44%	1.28%	0.51%	0.0%	1.31%	1.66%	0.89%	0.85%	1.20%	1.07%	0.43%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	333	28	33	44	36	31	5	43	24	7	8	1	5	2	4	6	6	3	13	8	1	5	6	3	10	1					
		2.88%	2.40%	3.13%	3.34%	3.08%	2.66%	1.12%	4.46%	3.55%	3.66%	3.00%	1.88%	1.44%	1.13%	2.89%	3.84%	3.10%	2.72%	2.83%	3.33%	0.89%	2.13%	3.61%	1.61%	2.15%	0.90%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	266	50	29	40	42	27	12	18	9	2	4	1	3	2	0	2	2	2	7	3	0	4	0	2	4	1					
		2.30%	4.29%	2.75%	3.04%	3.59%	2.31%	2.70%	1.87%	1.33%	1.04%	1.50%	1.88%	0.86%	1.13%	0.0%	1.28%	1.03%	1.81%	1.52%	1.25%	0.0%	1.70%	0.0%	1.07%	0.86%	0.90%					
22	"5. ""За Русь Святую"""	88	5	12	10	8	7	3	6	6	0	1	1	0	0	3	1	1	1	2	5	0	5	0	2	7	2					
		0.76%	0.42%	1.14%	0.76%	0.68%	0.60%	0.67%	0.62%	0.88%	0.0%	0.37%	1.88%	0.0%	0.0%	2.17%	0.64%	0.51%	0.90%	0.43%	2.08%	0.0%	2.13%	0.0%	1.07%	1.50%	1.81%					
23	"6. ""Объединенная Российская партия ""Русь"""	29	1	1	1	0	1	2	1	1	0	3	0	1	0	1	0	0	1	3	0	1	2	2	2	5	0					
		0.25%	0.08%	0.09%	0.07%	0.0%	0.08%	0.45%	0.10%	0.14%	0.0%	1.12%	0.0%	0.28%	0.0%	0.72%	0.0%	0.0%	0.90%	0.65%	0.0%	0.89%	0.85%	1.20%	1.07%	1.07%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	79	9	8	8	8	9	1	8	9	1	2	0	4	0	0	0	2	0	2	1	2	0	1	1	3	0					
		0.68%	0.77%	0.76%	0.60%	0.68%	0.77%	0.22%	0.83%	1.33%	0.52%	0.75%	0.0%	1.15%	0.0%	0.0%	0.0%	1.03%	0.0%	0.43%	0.41%	1.78%	0.0%	0.60%	0.53%	0.64%	0.0%					
25	"8. ""Народно-республиканская партия России"""	30	3	1	1	1	4	1	2	2	1	1	1	4	0	0	0	1	0	1	1	0	0	1	2	2	0					
		0.25%	0.25%	0.09%	0.07%	0.08%	0.34%	0.22%	0.20%	0.29%	0.52%	0.37%	1.88%	1.15%	0.0%	0.0%	0.0%	0.51%	0.0%	0.21%	0.41%	0.0%	0.0%	0.60%	1.07%	0.43%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	40	8	7	4	4	3	0	0	4	2	0	0	1	0	0	1	0	0	2	0	1	0	0	0	3	0					
		0.34%	0.68%	0.66%	0.30%	0.34%	0.25%	0.0%	0.0%	0.59%	1.04%	0.0%	0.0%	0.28%	0.0%	0.0%	0.64%	0.0%	0.0%	0.43%	0.0%	0.89%	0.0%	0.0%	0.0%	0.64%	0.0%					
27	"10. ""Аграрная партия России"""	496	33	22	36	42	54	19	24	38	10	9	3	46	16	5	20	17	5	27	3	1	31	15	6	11	3					
		4.29%	2.83%	2.09%	2.73%	3.59%	4.63%	4.28%	2.49%	5.62%	5.23%	3.38%	5.66%	13.29%	9.09%	3.62%	12.82%	8.80%	4.54%	5.89%	1.25%	0.89%	13.24%	9.03%	3.22%	2.37%	2.72%					
28	"11. ""Истинные патриоты России"""	13	0	1	0	0	0	3	1	0	2	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0					
		0.11%	0.0%	0.09%	0.0%	0.0%	0.0%	0.67%	0.10%	0.0%	1.04%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.51%	0.90%	0.21%	0.41%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	126	4	11	18	10	15	5	10	8	0	1	0	2	0	4	2	0	0	10	4	2	5	0	2	12	1					
		1.09%	0.34%	1.04%	1.36%	0.85%	1.28%	1.12%	1.03%	1.18%	0.0%	0.37%	0.0%	0.57%	0.0%	2.89%	1.28%	0.0%	0.0%	2.18%	1.66%	1.78%	2.13%	0.0%	1.07%	2.58%	0.90%					
30	"13. ""Демократическая партия России"""	23	3	0	2	1	4	2	1	2	0	1	0	1	1	0	0	0	2	1	0	1	1	0	0	0	0					
		0.19%	0.25%	0.0%	0.15%	0.08%	0.34%	0.45%	0.10%	0.29%	0.0%	0.37%	0.0%	0.28%	0.56%	0.0%	0.0%	0.0%	1.81%	0.21%	0.0%	0.89%	0.42%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	2	0	0	4	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	2	1	0					
		0.14%	0.17%	0.0%	0.0%	0.34%	0.0%	0.22%	0.10%	0.14%	0.0%	0.37%	0.0%	0.28%	0.0%	0.0%	0.64%	0.51%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	1.07%	0.21%	0.0%					
32	"15. ""Партия СЛОН"""	17	5	1	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0					
		0.14%	0.42%	0.09%	0.38%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.83%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	831	101	72	104	110	89	42	62	48	15	15	3	17	5	17	5	9	5	36	22	5	8	5	1	31	4					
		7.19%	8.66%	6.84%	7.90%	9.42%	7.64%	9.48%	6.44%	7.10%	7.85%	5.63%	5.66%	4.91%	2.84%	12.31%	3.20%	4.66%	4.54%	7.86%	9.16%	4.46%	3.41%	3.01%	0.53%	6.68%	3.63%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	35	1	0	3	4	2	2	4	7	1	0	0	0	1	0	1	0	1	2	0	1	1	3	0	1	0					
		0.30%	0.08%	0.0%	0.22%	0.34%	0.17%	0.45%	0.41%	1.03%	0.52%	0.0%	0.0%	0.0%	0.56%	0.0%	0.64%	0.0%	0.90%	0.43%	0.0%	0.89%	0.42%	1.80%	0.0%	0.21%	0.0%					
35	"18. ""ЛДПР"""	1160	123	76	124	138	115	50	109	63	16	17	12	33	32	27	12	10	3	53	26	9	20	14	15	55	8					
		10.04%	10.55%	7.22%	9.42%	11.82%	9.87%	11.28%	11.33%	9.31%	8.37%	6.39%	22.64%	9.53%	18.18%	19.56%	7.69%	5.18%	2.72%	11.57%	10.83%	8.03%	8.54%	8.43%	8.06%	11.85%	7.27%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	277	25	27	34	32	28	8	33	15	3	5	2	2	4	1	5	1	3	10	5	4	4	7	4	13	2					
		2.39%	2.14%	2.56%	2.58%	2.74%	2.40%	1.80%	3.43%	2.21%	1.57%	1.87%	3.77%	0.57%	2.27%	0.72%	3.20%	0.51%	2.72%	2.18%	2.08%	3.57%	1.70%	4.21%	2.15%	2.80%	1.81%					
37	"20. ""Политическая партия ""Единая Россия"""	4648	412	429	476	413	440	185	403	247	75	149	19	141	71	44	74	97	45	197	120	48	110	73	106	199	75					
		40.26%	35.36%	40.77%	36.19%	35.38%	37.80%	41.76%	41.89%	36.53%	39.26%	56.01%	35.84%	40.75%	40.34%	31.88%	47.43%	50.25%	40.90%	43.01%	50.0%	42.85%	47.00%	43.97%	56.98%	42.88%	68.18%					
38	"21. ""Российская Конституционно-демократическая партия"""	30	2	2	1	3	3	2	2	2	1	0	0	0	0	0	0	1	0	1	0	0	1	2	0	6	1					
		0.25%	0.17%	0.19%	0.07%	0.25%	0.25%	0.45%	0.20%	0.29%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.21%	0.0%	0.0%	0.42%	1.20%	0.0%	1.29%	0.90%					
39	"22. ""Развитие предпринимательства"""	42	3	3	13	6	2	1	1	0	1	2	0	2	1	0	0	1	0	0	0	0	1	0	0	3	2					
		0.36%	0.25%	0.28%	0.98%	0.51%	0.17%	0.22%	0.10%	0.0%	0.52%	0.75%	0.0%	0.57%	0.56%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.64%	1.81%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1851	215	212	247	191	226	63	130	126	38	24	4	46	20	16	13	25	18	53	20	22	25	28	22	60	7					
		16.03%	18.45%	20.15%	18.78%	16.36%	19.41%	14.22%	13.51%	18.63%	19.89%	9.02%	7.54%	13.29%	11.36%	11.59%	8.33%	12.95%	16.36%	11.57%	8.33%	19.64%	10.68%	16.86%	11.82%	12.93%	6.36%					
																																
41	Против всех	555	79	63	91	63	75	14	50	27	5	10	0	9	5	12	5	2	6	4	4	2	4	4	4	17	0					
		4.80%	6.78%	5.98%	6.92%	5.39%	6.44%	3.16%	5.19%	3.99%	2.61%	3.75%	0.0%	2.60%	2.84%	8.69%	3.20%	1.03%	5.45%	0.87%	1.66%	1.78%	1.70%	2.40%	2.15%	3.66%	0.0%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
