Выборы Президента Российской Федерации																																																																
																																																																
"Наименование Избирательной комиссии:    Нижний Новгород, Автозаводская северная"																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК  1328	УИК  1360	УИК  1361	УИК  1362	УИК  1364	УИК  1366	УИК  1367	УИК  1368	УИК  1369	УИК  1370	УИК  1371	УИК  1372	УИК  1373	УИК  1374	УИК  1375	УИК  1376	УИК  1377	УИК  1378	УИК  1379	УИК  1380	УИК  1381	УИК  1382	УИК  1383	УИК  1384	УИК  1385	УИК  1386	УИК  1387	УИК  1388	УИК  1389	УИК  1390	УИК  1391	УИК  1392	УИК  1393	УИК  1394	УИК  1395	УИК  1396	УИК  1397	УИК  1398	УИК  1399	УИК  1400	УИК  1401	УИК  1402	УИК  1403	УИК  1404	УИК  1405	УИК  1406	УИК  1407	УИК  1408	УИК  1409	УИК  1410	УИК  1411	УИК  1412	УИК  1413	УИК  1414	УИК  1415	УИК  1416	УИК  1417					
21	. Путин Владимир Владимирович	47290	874	665	728	668	712	800	879	955	689	611	715	712	583	597	915	811	820	1010	878	1023	913	751	967	773	916	811	812	928	898	1016	801	834	909	912	712	838	873	832	966	759	628	662	748	694	803	1053	884	732	854	965	914	704	963	958	856	1132	874					
		69.20%	68.33%	66.57%	72.15%	62.14%	66.23%	67.06%	68.56%	67.44%	68.83%	61.65%	65.12%	68.73%	61.24%	68.62%	68.23%	69.55%	68.91%	66.62%	67.18%	67.21%	68.60%	66.05%	69.27%	64.31%	71.67%	68.67%	68.24%	67.15%	69.18%	68.10%	70.32%	70.03%	70.08%	75.00%	68.66%	71.50%	66.09%	69.28%	68.17%	70.67%	72.18%	63.78%	74.65%	70.46%	70.13%	69.92%	71.99%	73.42%	71.23%	71.59%	75.66%	71.62%	77.23%	73.69%	71.39%	74.77%	67.18%					
22	. Хакамада Ирина Муцуовна	4559	110	90	75	120	122	93	85	99	67	116	90	64	104	66	117	75	67	114	90	149	82	76	93	76	76	87	88	98	68	104	65	66	81	59	45	55	81	65	77	48	50	71	39	77	68	90	62	68	73	71	39	65	74	81	61	83	84					
		6.67%	8.60%	9.01%	7.43%	11.16%	11.35%	7.80%	6.63%	6.99%	6.69%	11.71%	8.20%	6.18%	10.92%	7.59%	8.72%	6.43%	5.63%	7.52%	6.89%	9.79%	6.16%	6.68%	6.66%	6.32%	5.95%	7.37%	7.39%	7.09%	5.24%	6.97%	5.71%	5.54%	6.25%	4.85%	4.34%	4.69%	6.13%	5.41%	5.43%	4.47%	5.75%	6.84%	3.89%	7.82%	5.94%	5.98%	5.05%	6.82%	6.09%	5.27%	3.23%	6.61%	5.93%	6.23%	5.09%	5.48%	6.46%					
23	. Харитонов Николай Михайлович	7951	134	112	79	154	116	135	152	179	129	109	116	121	133	102	147	144	159	188	163	148	156	167	163	188	137	117	140	191	158	180	154	153	175	107	152	166	189	165	187	120	111	159	88	107	134	173	132	107	136	135	118	89	76	95	119	126	161					
		11.63%	10.48%	11.21%	7.83%	14.33%	10.79%	11.32%	11.86%	12.64%	12.89%	11.00%	10.56%	11.68%	13.97%	11.72%	10.96%	12.35%	13.36%	12.40%	12.47%	9.72%	11.72%	14.69%	11.68%	15.64%	10.72%	9.91%	11.76%	13.82%	12.17%	12.06%	13.52%	12.85%	13.49%	8.80%	14.66%	14.16%	14.31%	13.74%	13.20%	11.17%	12.76%	15.32%	8.78%	10.86%	11.70%	11.49%	10.75%	10.73%	11.34%	10.01%	9.77%	9.05%	6.09%	7.31%	9.92%	8.32%	12.38%					
																																																																
24	Против всех	3380	60	52	54	56	55	70	67	80	43	69	68	47	51	39	83	40	58	80	67	86	68	56	60	68	56	70	49	72	72	83	45	50	47	64	46	35	65	50	61	49	31	60	52	41	47	82	70	29	57	62	55	56	55	66	53	88	85					
		4.95%	4.69%	5.21%	5.35%	5.21%	5.12%	5.87%	5.23%	5.65%	4.30%	6.96%	6.19%	4.54%	5.36%	4.48%	6.19%	3.43%	4.87%	5.28%	5.13%	5.65%	5.11%	4.93%	4.30%	5.66%	4.38%	5.93%	4.12%	5.21%	5.55%	5.56%	3.95%	4.20%	3.62%	5.26%	4.44%	2.99%	4.92%	4.16%	4.30%	4.56%	3.56%	5.78%	5.19%	4.16%	4.10%	5.44%	5.70%	2.91%	4.75%	4.60%	4.55%	5.70%	4.41%	5.08%	4.42%	5.81%	6.53%					
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
