Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																				
Дата голосования: 18.09.2016																																																																																																																				
																																																																																																																				
Наименование Избирательной комиссии:    Шахтинская городская																																																																																																																				
																																																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																				
																																																																																																																				
		Сумма	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2582									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1590	10	10	15	10	15	10	10	15	15	15	15	15	15	10	20	15	15	15	30	25	10	15	10	10	10	10	10	20	30	15	10	10	10	10	15	10	10	20	10	25	10	10	30	20	25	20	10	15	20	10	10	15	10	15	10	15	15	10	20	10	25	10	25	10	25	30	25	10	10	10	15	10	15	15	20	15	10	10	10	15	20	30	15	25	30	20	25	25	15	10	10	10	15	10	15	25	30	15	20	20	20	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1330	10	9	11	5	14	4	10	15	13	13	13	14	11	9	16	11	13	13	22	17	6	12	10	6	10	10	5	17	25	15	5	6	7	6	15	10	8	20	10	16	6	6	22	17	18	12	10	14	14	10	6	13	10	15	7	11	15	10	19	6	20	7	24	8	21	22	25	7	10	10	11	5	10	12	15	13	10	6	5	15	20	22	14	25	21	20	25	25	12	10	10	6	15	8	15	24	30	15	17	20	17	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	813	6	3	7	4	12	4	9	5	6	16	16	5	2	4	12	15	11	5	14	17	5	13	11	19	8	5	6	10	5	14	4	1	9	6	3	4	5	1	1	5	7	0	4	3	8	3	2	6	5	5	7	13	7	17	15	8	2	3	5	11	12	14	7	6	12	6	7	12	7	8	2	2	5	6	3	5	8	3	4	7	10	7	5	12	13	13	2	9	6	3	8	4	4	8	11	13	18	12	6	4	5	26	9	6	24									
14	Число погашенных неиспользованных открепительных удостоверений	260	0	1	4	5	1	6	0	0	2	2	2	1	4	1	4	4	2	2	8	8	4	3	0	4	0	0	5	3	5	0	5	4	3	4	0	0	2	0	0	9	4	4	8	3	7	8	0	1	6	0	4	2	0	0	3	4	0	0	1	4	5	3	1	2	4	8	0	3	0	0	4	5	5	3	5	2	0	4	5	0	0	8	1	0	9	0	0	0	3	0	0	4	0	2	0	1	0	0	3	0	3	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	220	0	2	3	1	0	4	4	1	2	4	1	3	1	1	0	1	0	3	4	2	0	5	0	0	3	0	3	3	5	3	0	0	2	1	4	2	4	3	3	2	0	4	9	4	8	3	2	3	3	5	2	3	2	1	5	2	2	2	2	3	4	4	0	3	1	3	2	4	1	1	1	0	3	0	2	4	0	0	0	1	2	2	2	5	3	1	2	1	1	1	2	2	2	1	1	3	4	2	1	2	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	939	3	11	15	5	7	10	14	16	20	7	23	25	15	10	16	16	14	13	4	15	8	12	6	3	12	12	8	24	18	6	4	7	5	9	20	0	8	2	10	10	3	9	8	7	2	7	10	8	7	6	9	22	8	10	0	3	6	7	7	11	18	9	14	5	9	5	13	3	5	8	0	3	7	8	8	3	6	3	9	8	5	10	5	13	11	12	9	11	8	1	12	6	12	4	12	13	0	11	10	15	13	2	1	4	2									
		1.46%	0.35%	1.34%	2.38%	1.32%	1.72%	1.32%	1.51%	2.63%	3.34%	1.30%	3.02%	3.61%	3.91%	2.14%	3.16%	2.83%	2.38%	1.74%	0.91%	3.69%	1.33%	2.52%	1.63%	0.51%	1.98%	1.94%	1.71%	3.84%	1.32%	1.08%	1.14%	1.89%	1.49%	0.69%	2.32%	0.00%	0.92%	0.26%	1.10%	1.56%	0.94%	1.56%	1.06%	0.75%	0.19%	1.21%	0.77%	1.13%	2.08%	1.94%	2.18%	2.92%	1.43%	1.95%	0.00%	0.70%	0.94%	1.07%	1.06%	2.11%	1.71%	1.13%	2.26%	0.94%	1.55%	0.47%	0.95%	1.06%	0.87%	1.43%	0.00%	0.49%	1.42%	1.58%	1.80%	0.60%	1.42%	0.98%	4.07%	2.02%	1.64%	1.28%	1.41%	1.33%	1.43%	1.70%	0.87%	1.04%	1.91%	0.18%	2.36%	1.44%	2.20%	1.02%	1.80%	1.72%	0.00%	1.75%	1.55%	2.20%	2.58%	2.78%	0.84%	0.89%	0.58%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1177	8	20	11	10	14	7	19	13	19	7	21	13	10	10	10	10	7	12	8	11	4	8	9	8	16	8	6	16	18	16	6	11	4	13	17	0	18	11	7	16	3	10	20	5	8	3	11	10	7	8	12	10	12	13	5	7	12	7	8	9	21	13	16	11	21	6	7	9	15	9	9	13	11	21	15	10	4	8	11	5	4	15	4	25	19	17	12	18	12	9	6	7	16	14	25	15	13	20	19	9	13	3	7	6	2									
		1.83%	0.93%	2.44%	1.75%	2.64%	3.44%	0.93%	2.05%	2.14%	3.17%	1.30%	2.76%	1.88%	2.60%	2.14%	1.98%	1.77%	1.19%	1.61%	1.82%	2.70%	0.67%	1.68%	2.45%	1.36%	2.64%	1.29%	1.28%	2.56%	1.32%	2.87%	1.71%	2.96%	1.19%	0.99%	1.97%	0.00%	2.07%	1.41%	0.77%	2.49%	0.94%	1.73%	2.66%	0.54%	0.76%	0.52%	0.85%	1.41%	2.08%	2.59%	2.91%	1.33%	2.14%	2.53%	0.87%	1.64%	1.88%	1.07%	1.21%	1.73%	2.00%	1.64%	2.58%	2.06%	3.63%	0.56%	0.51%	3.18%	2.62%	1.60%	1.61%	2.11%	2.23%	4.14%	3.38%	1.98%	0.95%	2.61%	4.98%	1.26%	1.31%	1.93%	1.13%	2.55%	2.47%	2.41%	1.16%	1.70%	2.87%	1.64%	1.18%	1.68%	2.94%	3.58%	3.75%	1.98%	1.39%	3.18%	2.94%	1.32%	2.58%	4.17%	5.88%	1.33%	0.58%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1150	4	8	5	14	12	20	9	15	9	11	23	24	7	18	18	17	18	14	9	11	7	8	13	4	25	9	9	8	20	16	12	2	10	12	22	0	13	9	13	7	1	15	17	11	1	3	11	11	8	2	9	17	4	18	5	4	10	5	19	10	17	10	17	15	20	8	16	8	12	7	10	10	6	12	9	7	7	10	4	12	4	17	10	21	17	13	9	13	4	7	11	8	5	17	8	18	4	10	14	19	19	2	4	7	6									
		1.78%	0.46%	0.97%	0.79%	3.69%	2.95%	2.65%	0.97%	2.47%	1.50%	2.04%	3.02%	3.47%	1.82%	3.85%	3.56%	3.01%	3.06%	1.88%	2.05%	2.70%	1.17%	1.68%	3.53%	0.68%	4.12%	1.45%	1.93%	1.28%	1.47%	2.87%	3.42%	0.54%	2.99%	0.91%	2.55%	0.00%	1.49%	1.16%	1.43%	1.09%	0.31%	2.60%	2.26%	1.18%	0.09%	0.52%	0.85%	1.56%	2.38%	0.65%	2.18%	2.25%	0.71%	3.50%	0.87%	0.94%	1.57%	0.76%	2.87%	1.92%	1.62%	1.26%	2.75%	2.81%	3.45%	0.75%	1.16%	2.83%	2.09%	1.25%	1.79%	1.62%	1.22%	2.37%	2.03%	1.39%	1.65%	3.26%	1.81%	3.02%	1.31%	2.18%	2.82%	2.14%	2.21%	1.85%	0.87%	1.23%	0.96%	1.28%	2.16%	1.92%	0.92%	4.35%	1.20%	2.37%	0.43%	1.59%	2.17%	2.79%	3.78%	2.78%	3.36%	1.56%	1.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	36014	674	496	271	136	146	548	642	277	243	231	298	297	140	181	178	235	235	397	194	160	451	220	153	363	247	410	280	315	906	263	184	189	142	1017	534	367	509	590	660	410	236	416	398	639	867	339	780	382	147	106	142	280	374	219	460	190	374	383	354	339	697	539	260	236	256	635	1036	132	288	253	358	343	268	215	185	353	286	150	95	160	130	420	126	463	308	354	810	697	188	364	287	210	257	171	246	341	616	255	270	275	187	42	46	302	290									
		55.85%	78.10%	60.41%	43.08%	35.88%	35.87%	72.58%	69.11%	45.56%	40.57%	42.94%	39.16%	42.92%	36.46%	38.76%	35.18%	41.59%	39.90%	53.22%	44.19%	39.31%	75.17%	46.22%	41.58%	61.63%	40.69%	66.24%	59.96%	50.40%	66.67%	47.13%	52.42%	50.94%	42.39%	77.52%	61.88%	60.07%	58.51%	75.84%	72.77%	63.76%	74.21%	72.10%	52.93%	68.64%	82.34%	58.45%	60.28%	54.03%	43.75%	34.30%	34.38%	37.14%	66.67%	42.61%	80.28%	44.60%	58.71%	58.38%	53.47%	65.07%	66.38%	67.97%	42.00%	44.28%	44.21%	59.57%	75.35%	46.64%	50.26%	45.10%	64.16%	55.68%	54.36%	42.41%	41.67%	70.04%	67.61%	48.86%	42.99%	40.30%	42.62%	53.92%	35.59%	47.20%	40.05%	50.28%	78.49%	65.88%	44.98%	66.30%	56.39%	50.48%	47.16%	43.73%	36.94%	44.99%	66.09%	40.54%	41.80%	40.38%	37.18%	58.33%	38.66%	67.11%	84.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	403	1	1	2	2	4	2	3	7	5	7	11	13	3	4	6	8	6	3	7	7	3	5	3	2	8	1	2	4	6	4	3	2	3	2	6	0	2	3	5	2	1	1	2	4	0	3	4	8	2	1	2	9	3	4	1	5	7	2	8	2	4	2	6	7	7	1	5	0	7	4	1	4	1	3	6	2	3	1	2	4	1	10	0	7	1	8	5	7	1	3	7	0	2	1	5	11	1	8	5	6	3	1	0	2	1									
		0.63%	0.12%	0.12%	0.32%	0.53%	0.98%	0.26%	0.32%	1.15%	0.83%	1.30%	1.45%	1.88%	0.78%	0.86%	1.19%	1.42%	1.02%	0.40%	1.59%	1.72%	0.50%	1.05%	0.82%	0.34%	1.32%	0.16%	0.43%	0.64%	0.44%	0.72%	0.85%	0.54%	0.90%	0.15%	0.70%	0.00%	0.23%	0.39%	0.55%	0.31%	0.31%	0.17%	0.27%	0.43%	0.00%	0.52%	0.31%	1.13%	0.60%	0.32%	0.48%	1.19%	0.53%	0.78%	0.17%	1.17%	1.10%	0.30%	1.21%	0.38%	0.38%	0.25%	0.97%	1.31%	1.21%	0.09%	0.36%	0.00%	1.22%	0.71%	0.18%	0.65%	0.20%	0.59%	1.35%	0.40%	0.71%	0.33%	0.90%	1.01%	0.33%	1.28%	0.00%	0.71%	0.13%	1.14%	0.48%	0.66%	0.24%	0.55%	1.38%	0.00%	0.37%	0.26%	0.75%	1.45%	0.11%	1.27%	0.77%	0.88%	0.60%	1.39%	0.00%	0.44%	0.29%									
24	"6. Политическая партия ""Гражданская Платформа"""	100	1	0	1	0	1	0	1	0	3	3	1	3	1	1	2	0	2	1	2	1	0	2	1	1	3	2	0	0	2	1	1	1	1	0	0	0	1	0	0	0	0	0	3	0	0	0	3	0	3	1	2	0	2	1	1	2	2	1	0	0	3	2	1	1	1	1	2	0	2	1	0	5	0	4	1	2	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	2	0	0	1	1	2	0	0	0	0	0									
		0.16%	0.12%	0.00%	0.16%	0.00%	0.25%	0.00%	0.11%	0.00%	0.50%	0.56%	0.13%	0.43%	0.26%	0.21%	0.40%	0.00%	0.34%	0.13%	0.46%	0.25%	0.00%	0.42%	0.27%	0.17%	0.49%	0.32%	0.00%	0.00%	0.15%	0.18%	0.28%	0.27%	0.30%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.23%	0.00%	0.89%	0.32%	0.48%	0.00%	0.36%	0.19%	0.17%	0.47%	0.31%	0.15%	0.00%	0.00%	0.29%	0.25%	0.16%	0.19%	0.17%	0.09%	0.15%	0.00%	0.35%	0.18%	0.00%	0.81%	0.00%	0.79%	0.23%	0.40%	0.00%	0.00%	0.00%	0.25%	0.00%	0.13%	0.28%	0.10%	0.13%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.30%	0.00%	0.00%	0.16%	0.15%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	10368	88	128	136	103	98	94	104	108	105	113	111	126	104	76	113	95	115	100	70	76	75	96	66	88	134	74	75	123	201	124	79	87	83	117	121	99	160	57	70	94	26	50	159	96	91	95	142	125	62	81	108	132	75	96	53	105	76	83	135	72	130	102	131	117	92	115	131	53	126	127	89	118	97	101	87	55	50	74	43	85	74	124	84	180	174	107	63	142	100	87	82	95	109	87	123	148	125	122	122	124	106	8	34	52	25									
		16.08%	10.20%	15.59%	21.62%	27.18%	24.08%	12.45%	11.19%	17.76%	17.53%	21.00%	14.59%	18.21%	27.08%	16.27%	22.33%	16.81%	19.52%	13.40%	15.95%	18.67%	12.50%	20.17%	17.93%	14.94%	22.08%	11.95%	16.06%	19.68%	14.79%	22.22%	22.51%	23.45%	24.78%	8.92%	14.02%	16.20%	18.39%	7.33%	7.72%	14.62%	8.18%	8.67%	21.14%	10.31%	8.64%	16.38%	10.97%	17.68%	18.45%	26.21%	26.15%	17.51%	13.37%	18.68%	9.25%	24.65%	11.93%	12.65%	20.39%	13.82%	12.38%	12.86%	21.16%	21.95%	15.89%	10.79%	9.53%	18.73%	21.99%	22.64%	15.95%	19.16%	19.68%	19.92%	19.59%	10.91%	11.82%	24.10%	19.46%	21.41%	24.26%	15.92%	23.73%	18.35%	22.63%	15.20%	6.10%	13.42%	23.92%	15.85%	16.11%	22.84%	20.00%	22.25%	18.47%	19.53%	13.41%	19.40%	18.89%	18.21%	21.07%	11.11%	28.57%	11.56%	7.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	416	0	6	5	2	3	2	6	7	4	1	9	9	3	2	9	10	6	5	5	6	1	5	5	3	3	1	1	4	1	3	1	0	3	14	1	0	4	5	5	3	0	0	4	8	2	2	7	3	7	4	5	11	2	6	0	7	4	5	5	5	6	3	6	8	3	0	2	8	5	4	1	6	1	7	1	3	1	0	1	0	0	4	2	5	11	6	2	4	1	4	9	1	2	0	10	10	2	5	7	5	5	0	1	4	0									
		0.65%	0.00%	0.73%	0.79%	0.53%	0.74%	0.26%	0.65%	1.15%	0.67%	0.19%	1.18%	1.30%	0.78%	0.43%	1.78%	1.77%	1.02%	0.67%	1.14%	1.47%	0.17%	1.05%	1.36%	0.51%	0.49%	0.16%	0.21%	0.64%	0.07%	0.54%	0.28%	0.00%	0.90%	1.07%	0.12%	0.00%	0.46%	0.64%	0.55%	0.47%	0.00%	0.00%	0.53%	0.86%	0.19%	0.34%	0.54%	0.42%	2.08%	1.29%	1.21%	1.46%	0.36%	1.17%	0.00%	1.64%	0.63%	0.76%	0.76%	0.96%	0.57%	0.38%	0.97%	1.50%	0.52%	0.00%	0.15%	2.83%	0.87%	0.71%	0.18%	0.97%	0.20%	1.38%	0.23%	0.60%	0.24%	0.00%	0.45%	0.00%	0.00%	0.51%	0.56%	0.51%	1.43%	0.85%	0.19%	0.38%	0.24%	0.73%	1.77%	0.24%	0.37%	0.00%	1.50%	1.32%	0.21%	0.79%	1.08%	0.73%	0.99%	0.00%	0.84%	0.89%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	497	3	7	3	6	8	0	4	9	9	3	18	4	8	10	14	7	8	8	6	8	0	4	9	6	5	5	6	9	13	6	2	1	3	2	2	0	6	4	2	2	2	1	1	2	2	2	9	4	7	2	4	14	3	11	2	1	10	3	3	0	3	1	8	6	9	2	8	0	6	6	4	2	1	2	1	2	1	1	3	3	8	4	5	12	6	3	6	11	4	1	2	2	1	4	8	6	3	5	7	8	6	1	0	2	0									
		0.77%	0.35%	0.85%	0.48%	1.58%	1.97%	0.00%	0.43%	1.48%	1.50%	0.56%	2.37%	0.58%	2.08%	2.14%	2.77%	1.24%	1.36%	1.07%	1.37%	1.97%	0.00%	0.84%	2.45%	1.02%	0.82%	0.81%	1.28%	1.44%	0.96%	1.08%	0.57%	0.27%	0.90%	0.15%	0.23%	0.00%	0.69%	0.51%	0.22%	0.31%	0.63%	0.17%	0.13%	0.21%	0.19%	0.34%	0.70%	0.57%	2.08%	0.65%	0.97%	1.86%	0.53%	2.14%	0.35%	0.23%	1.57%	0.46%	0.45%	0.00%	0.29%	0.13%	1.29%	1.13%	1.55%	0.19%	0.58%	0.00%	1.05%	1.07%	0.72%	0.32%	0.20%	0.39%	0.23%	0.40%	0.24%	0.33%	1.36%	0.76%	2.62%	0.51%	1.41%	1.22%	0.78%	0.43%	0.58%	1.04%	0.96%	0.18%	0.39%	0.48%	0.18%	1.02%	1.20%	0.79%	0.32%	0.79%	1.08%	1.17%	1.19%	1.39%	0.00%	0.44%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	55	1	2	0	0	2	0	1	1	0	0	0	1	0	0	0	4	2	2	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	2	0	2	0	0	0	0	4	1	0	1	0	4	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1									
