Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
"Наименование Избирательной комиссии:    Ульяновск, Засвияжская N1"																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №3701	УИК №3702	УИК №3703	УИК №3704	УИК №3705	УИК №3706	УИК №3707	УИК №3708	УИК №3709	УИК №3710	УИК №3711	УИК №3712	УИК №3713	УИК №3714	УИК №3715	УИК №3716	УИК №3717	УИК №3718	УИК №3719	УИК №3720	УИК №3721	УИК №3722	УИК №3723	УИК №3724	УИК №3725	УИК №3726	УИК №3727	УИК №3728	УИК №3729	УИК №3730	УИК №3731	УИК №3732	УИК №3733	УИК №3734	УИК №3735	УИК №3736	УИК №3737	УИК №3738	УИК №3739	УИК №3740	УИК №3741	УИК №3742	УИК №3743	УИК №3744	УИК №3745	УИК №3746	УИК №3747									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1431	30	30	30	30	20	30	30	40	35	40	40	30	20	30	30	20	30	30	30	30	40	30	40	20	30	35	30	30	40	41	30	30	40	30	30	40	30	40	30	30	40	40	30	20	20	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	816	21	12	16	17	8	12	18	18	32	23	23	18	9	10	13	9	24	22	20	21	16	18	29	18	18	29	14	17	20	39	22	9	30	17	10	15	18	33	18	14	16	11	10	12	13	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	810	22	32	8	6	6	0	19	21	15	15	18	16	24	10	16	10	8	9	19	3	13	9	12	5	14	13	49	32	18	6	11	11	18	12	17	12	12	14	9	12	17	8	4	7	15	9	174									
14	Число погашенных неиспользованных открепительных удостоверений	615	9	18	14	13	12	18	12	22	3	17	17	12	11	20	17	11	6	8	10	9	24	12	11	2	12	6	16	13	20	2	8	21	10	13	20	25	12	7	12	16	24	29	20	8	7	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	69	1	0	2	0	1	2	0	1	2	2	1	0	1	0	1	0	0	2	1	2	0	3	2	4	2	2	2	2	1	1	2	4	6	0	0	5	0	1	3	3	5	0	1	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	465	6	12	13	7	4	9	12	18	14	9	17	12	5	11	11	5	11	7	15	7	18	5	14	4	14	2	12	10	7	16	11	7	11	8	11	15	14	10	10	8	8	7	11	11	8	2	6									
		1.43%	0.79%	1.38%	1.65%	0.94%	0.79%	1.27%	2.08%	2.38%	1.55%	0.98%	1.76%	1.59%	0.75%	1.63%	1.66%	1.22%	1.31%	0.85%	2.22%	1.10%	1.80%	0.79%	2.07%	1.01%	2.71%	0.32%	1.74%	1.82%	0.89%	1.68%	1.57%	1.30%	1.35%	1.30%	1.79%	2.37%	1.89%	1.36%	1.28%	1.40%	1.02%	0.80%	1.91%	2.04%	1.43%	0.90%	0.89%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1063	31	33	24	17	13	10	9	25	24	31	48	25	30	22	23	19	26	31	20	18	26	23	26	12	9	21	21	19	23	29	21	15	34	16	21	25	28	23	32	20	29	27	21	20	19	8	16									
		3.28%	4.10%	3.81%	3.05%	2.28%	2.56%	1.41%	1.56%	3.30%	2.65%	3.39%	4.97%	3.32%	4.52%	3.26%	3.47%	4.63%	3.10%	3.75%	2.96%	2.83%	2.61%	3.62%	3.85%	3.02%	1.74%	3.35%	3.04%	3.45%	2.91%	3.04%	3.00%	2.78%	4.18%	2.61%	3.42%	3.95%	3.78%	3.13%	4.08%	3.50%	3.70%	3.08%	3.65%	3.71%	3.41%	3.62%	2.37%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	831	15	25	20	26	16	20	19	15	18	22	32	23	16	30	18	9	28	15	10	13	22	12	18	8	16	9	13	18	14	28	19	6	27	32	10	14	18	16	18	10	22	21	17	15	19	4	15									
		2.56%	1.98%	2.88%	2.54%	3.49%	3.16%	2.83%	3.29%	1.98%	1.99%	2.41%	3.32%	3.05%	2.41%	4.44%	2.71%	2.20%	3.34%	1.82%	1.48%	2.04%	2.20%	1.89%	2.66%	2.02%	3.10%	1.44%	1.88%	3.27%	1.77%	2.94%	2.71%	1.11%	3.32%	5.21%	1.63%	2.21%	2.43%	2.18%	2.30%	1.75%	2.81%	2.39%	2.95%	2.78%	3.41%	1.81%	2.23%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11677	323	366	270	278	183	249	220	267	313	291	279	237	231	223	224	133	309	279	210	199	357	216	214	144	205	246	252	195	284	399	270	218	322	211	232	241	266	281	266	221	288	325	190	189	175	83	303									
		36.00%	42.67%	42.21%	34.35%	37.32%	36.09%	35.22%	38.13%	35.27%	34.59%	31.84%	28.91%	31.43%	34.84%	33.04%	33.79%	32.44%	36.83%	33.78%	31.07%	31.29%	35.77%	33.96%	31.66%	36.27%	39.73%	39.30%	36.52%	35.45%	35.95%	41.87%	38.57%	40.37%	39.61%	34.36%	37.79%	38.07%	35.95%	38.23%	33.93%	38.64%	36.78%	37.06%	32.99%	35.06%	31.36%	37.56%	44.96%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	249	6	8	5	5	7	2	8	7	3	9	12	4	3	2	5	5	4	12	14	2	14	3	7	5	1	5	8	4	5	7	7	2	3	4	5	5	3	4	4	2	7	4	3	4	3	0	7									
		0.77%	0.79%	0.92%	0.64%	0.67%	1.38%	0.28%	1.39%	0.92%	0.33%	0.98%	1.24%	0.53%	0.45%	0.30%	0.75%	1.22%	0.48%	1.45%	2.07%	0.31%	1.40%	0.47%	1.04%	1.26%	0.19%	0.80%	1.16%	0.73%	0.63%	0.73%	1.00%	0.37%	0.37%	0.65%	0.81%	0.79%	0.41%	0.54%	0.51%	0.35%	0.89%	0.46%	0.52%	0.74%	0.54%	0.00%	1.04%									
24	"6. Политическая партия ""Гражданская Платформа"""	82	1	1	1	3	0	4	16	3	1	2	1	2	3	3	1	1	1	1	0	2	2	1	1	1	1	0	2	1	1	2	4	0	2	2	0	3	1	0	1	2	1	1	3	0	0	0	3									
		0.25%	0.13%	0.12%	0.13%	0.40%	0.00%	0.57%	2.77%	0.40%	0.11%	0.22%	0.10%	0.27%	0.45%	0.44%	0.15%	0.24%	0.12%	0.12%	0.00%	0.31%	0.20%	0.16%	0.15%	0.25%	0.19%	0.00%	0.29%	0.18%	0.13%	0.21%	0.57%	0.00%	0.25%	0.33%	0.00%	0.47%	0.14%	0.00%	0.13%	0.35%	0.13%	0.11%	0.52%	0.00%	0.00%	0.00%	0.45%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6141	118	132	128	127	83	135	115	156	160	186	182	142	154	127	110	68	140	167	132	123	204	131	117	77	103	112	103	99	166	164	123	117	145	131	107	134	137	141	162	128	162	203	118	97	94	39	142									
		18.93%	15.59%	15.22%	16.28%	17.05%	16.37%	19.09%	19.93%	20.61%	17.68%	20.35%	18.86%	18.83%	23.23%	18.81%	16.59%	16.59%	16.69%	20.22%	19.53%	19.34%	20.44%	20.60%	17.31%	19.40%	19.96%	17.89%	14.93%	18.00%	21.01%	17.21%	17.57%	21.67%	17.84%	21.34%	17.43%	21.17%	18.51%	19.18%	20.66%	22.38%	20.69%	23.15%	20.49%	17.99%	16.85%	17.65%	21.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	261	5	6	3	8	5	5	6	7	11	8	7	8	5	4	6	2	13	11	9	4	6	9	9	2	2	4	12	4	5	1	2	1	9	2	6	7	8	2	8	1	7	1	8	1	2	3	6									
		0.80%	0.66%	0.69%	0.38%	1.07%	0.99%	0.71%	1.04%	0.92%	1.22%	0.88%	0.73%	1.06%	0.75%	0.59%	0.90%	0.49%	1.55%	1.33%	1.33%	0.63%	0.60%	1.42%	1.33%	0.50%	0.39%	0.64%	1.74%	0.73%	0.63%	0.10%	0.29%	0.19%	1.11%	0.33%	0.98%	1.11%	1.08%	0.27%	1.02%	0.17%	0.89%	0.11%	1.39%	0.19%	0.36%	1.36%	0.89%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	959	23	33	31	21	16	15	16	32	27	29	31	19	9	17	20	16	25	21	13	17	31	15	28	20	9	15	13	11	24	39	20	19	24	16	15	23	17	23	31	22	18	23	24	15	12	8	13									
		2.96%	3.04%	3.81%	3.94%	2.82%	3.16%	2.12%	2.77%	4.23%	2.98%	3.17%	3.21%	2.52%	1.36%	2.52%	3.02%	3.90%	2.98%	2.54%	1.92%	2.67%	3.11%	2.36%	4.14%	5.04%	1.74%	2.40%	1.88%	2.00%	3.04%	4.09%	2.86%	3.52%	2.95%	2.61%	2.44%	3.63%	2.30%	3.13%	3.95%	3.85%	2.30%	2.62%	4.17%	2.78%	2.15%	3.62%	1.93%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	35	1	0	0	0	0	1	1	0	0	0	3	1	0	0	1	2	1	1	1	0	0	0	0	2	1	2	1	1	1	0	0	1	1	0	2	1	0	0	2	0	1	1	0	3	1	0	1									
		0.11%	0.13%	0.00%	0.00%	0.00%	0.00%	0.14%	0.17%	0.00%	0.00%	0.00%	0.31%	0.13%	0.00%	0.00%	0.15%	0.49%	0.12%	0.12%	0.15%	0.00%	0.00%	0.00%	0.00%	0.50%	0.19%	0.32%	0.14%	0.18%	0.13%	0.00%	0.00%	0.19%	0.12%	0.00%	0.33%	0.16%	0.00%	0.00%	0.26%	0.00%	0.13%	0.11%	0.00%	0.56%	0.18%	0.00%	0.15%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	579	7	17	25	16	11	19	12	13	23	17	17	14	14	11	9	11	20	22	12	12	19	8	10	12	18	17	13	8	10	14	8	7	10	14	9	6	12	10	12	10	7	5	4	8	12	3	11									
		1.79%	0.92%	1.96%	3.18%	2.15%	2.17%	2.69%	2.08%	1.72%	2.54%	1.86%	1.76%	1.86%	2.11%	1.63%	1.36%	2.68%	2.38%	2.66%	1.78%	1.89%	1.90%	1.26%	1.48%	3.02%	3.49%	2.72%	1.88%	1.45%	1.27%	1.47%	1.14%	1.30%	1.23%	2.28%	1.47%	0.95%	1.62%	1.36%	1.53%	1.75%	0.89%	0.57%	0.69%	1.48%	2.15%	1.36%	1.63%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7434	149	182	197	173	120	172	116	166	226	239	261	174	137	159	162	107	200	190	180	182	210	170	171	73	101	145	164	142	190	180	162	111	170	143	154	117	176	162	170	103	163	190	142	117	166	50	100									
		22.92%	19.68%	20.99%	25.06%	23.22%	23.67%	24.33%	20.10%	21.93%	24.97%	26.15%	27.05%	23.08%	20.66%	23.56%	24.43%	26.10%	23.84%	23.00%	26.63%	28.62%	21.04%	26.73%	25.30%	18.39%	19.57%	23.16%	23.77%	25.82%	24.05%	18.89%	23.14%	20.56%	20.91%	23.29%	25.08%	18.48%	23.78%	22.04%	21.68%	18.01%	20.82%	21.66%	24.65%	21.71%	29.75%	22.62%	14.84%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	160	4	4	3	4	3	4	2	3	5	5	2	5	3	4	3	2	5	3	5	3	5	3	3	3	3	1	5	0	7	0	4	2	6	2	4	5	5	4	6	2	3	0	0	2	5	2	6									
		0.49%	0.53%	0.46%	0.38%	0.54%	0.59%	0.57%	0.35%	0.40%	0.55%	0.55%	0.21%	0.66%	0.45%	0.59%	0.45%	0.49%	0.60%	0.36%	0.74%	0.47%	0.50%	0.47%	0.44%	0.76%	0.58%	0.16%	0.72%	0.00%	0.89%	0.00%	0.57%	0.37%	0.74%	0.33%	0.65%	0.79%	0.68%	0.54%	0.77%	0.35%	0.38%	0.00%	0.00%	0.37%	0.90%	0.90%	0.89%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1797	44	36	46	44	32	54	18	35	64	50	47	75	37	42	47	19	38	45	38	44	80	31	43	24	22	31	61	23	32	47	37	28	37	15	19	27	35	41	42	28	48	62	30	40	26	13	20									
		5.54%	5.81%	4.15%	5.85%	5.91%	6.31%	7.64%	3.12%	4.62%	7.07%	5.47%	4.87%	9.95%	5.58%	6.22%	7.09%	4.63%	4.53%	5.45%	5.62%	6.92%	8.02%	4.87%	6.36%	6.05%	4.26%	4.95%	8.84%	4.18%	4.05%	4.93%	5.29%	5.19%	4.55%	2.44%	3.09%	4.27%	4.73%	5.58%	5.36%	4.90%	6.13%	7.07%	5.21%	7.42%	4.66%	5.88%	2.97%									
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
