Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																																													
																																																																																													
Наименование Избирательной комиссии:    Сургутская городская																																																																																													
																																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																													
																																																																																													
		Сумма	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	572	3	3	2	3	9	1	13	4	27	9	5	1	13	6	8	18	9	9	12	2	6	4	1	7	10	7	4	0	12	6	2	1	4	6	7	3	9	6	10	2	7	10	13	4	6	6	6	12	5	3	3	4	3	4	0	3	10	5	7	7	1	5	14	3	15	9	11	6	5	5	6	5	14	3	2	4	5	6	4	7	16	10	7	11	2	14					
14	Число погашенных открепительных удостоверений	1522	29	28	28	23	17	26	23	23	27	28	28	26	19	22	20	21	17	12	23	16	5	20	25	20	17	10	19	23	20	12	16	16	20	17	12	16	14	21	24	9	13	12	16	17	16	17	16	8	20	13	17	21	26	10	10	17	10	14	19	14	17	16	20	16	13	15	14	19	7	19	16	10	15	15	18	22	13	13	15	17	18	15	7	21	25	28					
15	Число открепительных удостоверений выданных ТИК	20	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																													
18	"1. ""ЕДИНЕНИЕ"""	859	5	10	6	10	13	9	9	18	8	5	5	2	23	14	11	9	8	13	10	8	5	6	5	8	13	17	11	9	11	11	11	5	14	14	10	6	11	11	11	7	23	9	13	8	11	14	11	9	6	16	3	1	4	5	14	6	18	10	7	7	10	6	14	14	16	7	12	6	14	7	9	11	13	15	18	4	13	11	10	8	12	15	10	12	4	1					
		0.89%	2.09%	1.30%	1.27%	0.88%	1.08%	1.07%	0.76%	1.45%	2.02%	1.07%	0.81%	0.68%	1.56%	1.06%	0.77%	0.69%	0.70%	1.11%	1.08%	0.64%	0.39%	0.50%	1.00%	0.70%	1.39%	1.19%	1.06%	1.31%	0.76%	0.80%	0.89%	0.48%	1.24%	1.11%	1.23%	0.50%	0.90%	0.78%	1.19%	0.49%	1.51%	0.60%	0.97%	0.59%	0.92%	1.34%	0.93%	0.69%	0.58%	1.25%	0.34%	0.09%	0.72%	0.43%	1.12%	0.50%	1.31%	0.86%	0.68%	0.70%	0.68%	0.51%	1.22%	1.08%	1.18%	0.47%	1.05%	0.40%	0.90%	0.78%	0.69%	0.86%	1.01%	1.08%	1.45%	0.35%	1.02%	0.86%	0.71%	0.64%	0.89%	1.43%	0.82%	1.23%	0.75%	0.25%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	4179	11	17	15	49	62	23	33	37	14	18	16	6	77	62	78	57	49	55	53	60	51	52	20	66	45	79	64	34	86	68	45	41	53	62	49	62	47	70	71	58	63	74	59	49	42	43	37	50	34	53	19	42	22	44	51	67	52	53	40	49	72	67	35	68	47	79	51	54	67	31	58	46	82	67	66	50	43	49	47	51	54	43	45	31	9	9					
		4.35%	4.60%	2.21%	3.19%	4.35%	5.16%	2.75%	2.79%	2.99%	3.53%	3.87%	2.59%	2.04%	5.24%	4.70%	5.47%	4.40%	4.32%	4.70%	5.76%	4.86%	4.02%	4.37%	4.02%	5.84%	4.81%	5.55%	6.21%	4.95%	6.00%	4.97%	3.64%	3.99%	4.70%	4.92%	6.06%	5.17%	3.85%	5.00%	7.71%	4.06%	4.14%	4.97%	4.42%	3.62%	3.52%	4.13%	3.15%	3.88%	3.29%	4.15%	2.15%	3.96%	3.97%	3.86%	4.08%	5.59%	3.80%	4.57%	3.90%	4.95%	4.92%	5.78%	3.06%	5.27%	3.48%	5.41%	4.50%	3.60%	4.35%	3.47%	4.46%	3.60%	6.37%	4.85%	5.33%	4.37%	3.38%	3.86%	3.34%	4.08%	4.01%	4.10%	3.69%	3.18%	1.70%	2.31%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3247	22	23	13	30	37	24	50	41	11	9	26	13	47	30	44	45	44	38	38	39	39	30	14	55	33	69	33	27	46	55	52	31	38	52	33	30	33	38	24	39	44	51	43	69	31	33	31	40	27	38	25	24	17	38	63	52	51	29	41	30	74	39	56	54	47	71	34	54	64	31	32	42	43	48	45	40	32	37	39	31	36	24	45	43	4	10					
		3.38%	9.20%	2.99%	2.76%	2.66%	3.08%	2.87%	4.24%	3.31%	2.77%	1.93%	4.21%	4.42%	3.19%	2.27%	3.08%	3.47%	3.88%	3.25%	4.13%	3.16%	3.07%	2.52%	2.81%	4.87%	3.52%	4.84%	3.20%	3.93%	3.21%	4.02%	4.21%	3.01%	3.37%	4.13%	4.08%	2.50%	2.70%	2.71%	2.60%	2.73%	2.89%	3.42%	3.22%	5.10%	2.60%	3.17%	2.64%	3.10%	2.61%	2.97%	2.84%	2.26%	3.07%	3.33%	5.04%	4.34%	3.73%	2.50%	4.0%	3.03%	5.06%	3.36%	4.89%	4.19%	3.48%	4.86%	3.00%	3.60%	4.15%	3.47%	2.46%	3.29%	3.34%	3.47%	3.63%	3.50%	2.51%	2.91%	2.77%	2.48%	2.67%	2.29%	3.69%	4.41%	0.75%	2.57%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4116	7	16	16	39	44	24	57	37	13	26	6	0	58	69	76	54	65	44	20	75	65	55	22	47	35	65	52	35	87	59	64	47	51	41	32	58	67	72	59	68	71	66	68	45	49	19	70	56	44	48	35	50	19	44	42	62	63	50	45	54	68	60	45	48	59	60	62	91	62	38	45	32	57	51	57	62	51	42	71	40	71	34	37	18	18	10					
		4.29%	2.92%	2.08%	3.40%	3.46%	3.66%	2.87%	4.83%	2.99%	3.28%	5.60%	0.97%	0.0%	3.94%	5.23%	5.33%	4.17%	5.73%	3.76%	2.17%	6.07%	5.12%	4.62%	4.42%	4.16%	3.74%	4.56%	5.05%	5.10%	6.07%	4.31%	5.19%	4.57%	4.52%	3.25%	3.96%	4.84%	5.49%	5.14%	6.41%	4.76%	4.67%	4.43%	5.10%	3.32%	4.11%	1.82%	5.96%	4.34%	4.26%	3.75%	3.97%	4.71%	3.43%	3.86%	3.36%	5.17%	4.60%	4.31%	4.39%	5.46%	4.65%	5.17%	3.93%	3.72%	4.37%	4.11%	5.47%	6.07%	4.02%	4.26%	3.46%	2.50%	4.43%	3.69%	4.60%	5.42%	4.01%	3.31%	5.05%	3.20%	5.28%	3.24%	3.04%	1.84%	3.40%	2.57%					
22	"5. ""За Русь Святую"""	416	3	7	0	9	3	1	4	4	0	3	10	1	14	2	6	4	4	6	5	5	2	8	5	4	6	6	8	1	5	7	4	2	7	4	4	5	11	6	5	2	7	12	4	5	4	3	14	6	4	6	6	3	0	2	3	8	4	4	3	1	8	4	7	6	2	9	2	5	2	4	7	4	4	6	9	2	2	1	6	5	5	8	5	3	4	4					
		0.43%	1.25%	0.91%	0.0%	0.79%	0.25%	0.11%	0.33%	0.32%	0.0%	0.64%	1.62%	0.34%	0.95%	0.15%	0.42%	0.30%	0.35%	0.51%	0.54%	0.40%	0.15%	0.67%	1.00%	0.35%	0.64%	0.42%	0.77%	0.14%	0.34%	0.51%	0.32%	0.19%	0.62%	0.31%	0.49%	0.41%	0.90%	0.42%	0.54%	0.14%	0.46%	0.80%	0.30%	0.36%	0.33%	0.28%	1.19%	0.46%	0.38%	0.46%	0.68%	0.28%	0.0%	0.17%	0.24%	0.66%	0.29%	0.34%	0.29%	0.10%	0.54%	0.34%	0.61%	0.46%	0.14%	0.61%	0.17%	0.33%	0.12%	0.44%	0.53%	0.31%	0.31%	0.43%	0.72%	0.17%	0.15%	0.07%	0.42%	0.40%	0.37%	0.76%	0.41%	0.30%	0.75%	1.02%					
23	"6. ""Объединенная Российская партия ""Русь"""	325	0	2	3	4	3	1	4	4	3	1	2	1	2	2	6	3	7	4	5	3	5	10	1	4	7	7	2	1	5	5	5	5	3	5	2	3	6	0	1	9	9	6	3	8	1	5	2	8	7	4	0	3	5	0	5	1	7	6	4	0	3	4	4	3	1	6	2	2	2	2	7	6	2	3	10	8	2	1	5	3	4	4	7	0	1	3					
		0.33%	0.0%	0.26%	0.63%	0.35%	0.25%	0.11%	0.33%	0.32%	0.75%	0.21%	0.32%	0.34%	0.13%	0.15%	0.42%	0.23%	0.61%	0.34%	0.54%	0.24%	0.39%	0.84%	0.20%	0.35%	0.74%	0.49%	0.19%	0.14%	0.34%	0.36%	0.40%	0.48%	0.26%	0.39%	0.24%	0.25%	0.49%	0.0%	0.10%	0.63%	0.59%	0.40%	0.22%	0.59%	0.08%	0.48%	0.17%	0.62%	0.67%	0.31%	0.0%	0.28%	0.90%	0.0%	0.4%	0.08%	0.51%	0.51%	0.39%	0.0%	0.20%	0.34%	0.34%	0.23%	0.07%	0.41%	0.17%	0.13%	0.12%	0.22%	0.53%	0.47%	0.15%	0.21%	0.80%	0.70%	0.15%	0.07%	0.35%	0.24%	0.29%	0.38%	0.57%	0.0%	0.18%	0.77%					
24	"7. ""Новый курс - Автомобильная Россия"""	892	1	5	9	10	13	12	7	6	4	5	8	2	17	12	13	14	18	7	9	15	10	17	3	15	7	10	12	6	16	13	11	4	6	19	8	8	18	20	6	15	13	11	8	21	9	7	7	11	10	15	7	10	3	5	11	7	14	10	6	5	12	10	7	12	15	10	6	9	23	8	8	8	9	20	11	13	15	12	13	11	13	15	10	10	3	8					
		0.93%	0.41%	0.65%	1.91%	0.88%	1.08%	1.43%	0.59%	0.48%	1.01%	1.07%	1.29%	0.68%	1.15%	0.91%	0.91%	1.08%	1.58%	0.59%	0.97%	1.21%	0.78%	1.43%	0.60%	1.32%	0.74%	0.70%	1.16%	0.87%	1.11%	0.95%	0.89%	0.38%	0.53%	1.51%	0.99%	0.66%	1.47%	1.42%	0.65%	1.05%	0.85%	0.73%	0.60%	1.55%	0.75%	0.67%	0.59%	0.85%	0.96%	1.17%	0.79%	0.94%	0.54%	0.43%	0.88%	0.58%	1.02%	0.86%	0.58%	0.50%	0.82%	0.86%	0.61%	0.93%	1.11%	0.68%	0.52%	0.60%	1.49%	0.89%	0.61%	0.62%	0.69%	1.44%	0.88%	1.13%	1.18%	0.94%	0.92%	0.88%	0.96%	1.43%	0.82%	1.02%	0.56%	2.05%					
25	"8. ""Народно-республиканская партия России"""	43	0	2	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	0	2	0	0	0	1	1	3	0	2	0	0	1	0	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	3	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0					
		0.04%	0.0%	0.26%	0.0%	0.0%	0.08%	0.11%	0.0%	0.08%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.08%	0.0%	0.08%	0.0%	0.14%	0.0%	0.0%	0.0%	0.07%	0.08%	0.29%	0.0%	0.15%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.08%	0.0%	0.17%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.08%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.06%	0.11%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.10%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	529	1	5	1	5	7	4	6	3	2	1	3	1	6	7	8	6	6	4	9	4	5	5	5	9	5	6	7	4	10	9	9	7	7	7	2	3	8	8	3	3	11	11	10	7	5	6	7	3	6	5	7	2	4	8	4	11	15	7	6	9	9	10	12	7	2	5	5	9	10	4	5	10	4	5	8	5	13	6	5	7	7	8	9	3	0	6					
		0.55%	0.41%	0.65%	0.21%	0.44%	0.58%	0.47%	0.50%	0.24%	0.50%	0.21%	0.48%	0.34%	0.40%	0.53%	0.56%	0.46%	0.52%	0.34%	0.97%	0.32%	0.39%	0.42%	1.00%	0.79%	0.53%	0.42%	0.68%	0.58%	0.69%	0.65%	0.72%	0.68%	0.62%	0.55%	0.24%	0.25%	0.65%	0.57%	0.32%	0.21%	0.72%	0.73%	0.75%	0.51%	0.41%	0.57%	0.59%	0.23%	0.58%	0.39%	0.79%	0.18%	0.72%	0.70%	0.32%	0.91%	1.09%	0.60%	0.58%	0.91%	0.61%	0.86%	1.04%	0.54%	0.14%	0.34%	0.44%	0.60%	0.64%	0.44%	0.38%	0.78%	0.31%	0.36%	0.64%	0.43%	1.02%	0.47%	0.35%	0.56%	0.52%	0.76%	0.73%	0.30%	0.0%	1.54%					
27	"10. ""Аграрная партия России"""	1442	3	8	6	25	18	13	14	13	7	8	4	4	23	19	31	22	22	17	16	18	17	14	14	14	13	16	18	11	21	28	17	17	25	15	13	12	23	17	13	19	30	17	17	16	18	11	19	15	18	30	11	18	8	19	25	15	29	18	20	19	22	23	13	12	32	25	15	31	22	20	8	9	9	18	21	11	15	23	21	21	15	15	12	12	11	5					
		1.50%	1.25%	1.04%	1.27%	2.22%	1.5%	1.55%	1.18%	1.05%	1.76%	1.72%	0.64%	1.36%	1.56%	1.44%	2.17%	1.70%	1.94%	1.45%	1.74%	1.45%	1.34%	1.17%	2.81%	1.24%	1.39%	1.12%	1.74%	1.60%	1.46%	2.04%	1.37%	1.65%	2.21%	1.19%	1.60%	1.00%	1.88%	1.21%	1.41%	1.33%	1.97%	1.14%	1.27%	1.18%	1.51%	1.05%	1.61%	1.16%	1.74%	2.34%	1.25%	1.69%	1.44%	1.66%	2.0%	1.25%	2.12%	1.55%	1.95%	1.92%	1.50%	1.98%	1.13%	0.93%	2.37%	1.71%	1.32%	2.06%	1.42%	2.24%	0.61%	0.70%	0.69%	1.30%	1.69%	0.96%	1.18%	1.81%	1.49%	1.68%	1.11%	1.43%	0.98%	1.23%	2.08%	1.28%					
28	"11. ""Истинные патриоты России"""	225	0	20	0	0	2	3	4	4	0	2	2	3	1	4	1	3	2	1	5	2	5	4	1	2	2	3	3	0	1	4	1	4	2	0	1	0	2	4	2	8	3	0	2	0	5	5	4	7	1	1	3	2	2	3	2	2	2	1	1	3	2	1	0	7	4	2	1	3	1	0	0	1	1	2	5	3	4	0	5	5	13	0	5	0	0	3					
		0.23%	0.0%	2.60%	0.0%	0.0%	0.16%	0.35%	0.33%	0.32%	0.0%	0.43%	0.32%	1.02%	0.06%	0.30%	0.07%	0.23%	0.17%	0.08%	0.54%	0.16%	0.39%	0.33%	0.20%	0.17%	0.21%	0.21%	0.29%	0.0%	0.06%	0.29%	0.08%	0.38%	0.17%	0.0%	0.12%	0.0%	0.16%	0.28%	0.21%	0.56%	0.19%	0.0%	0.15%	0.0%	0.41%	0.48%	0.34%	0.54%	0.09%	0.07%	0.34%	0.18%	0.36%	0.26%	0.16%	0.16%	0.14%	0.08%	0.09%	0.30%	0.13%	0.08%	0.0%	0.54%	0.29%	0.13%	0.08%	0.20%	0.06%	0.0%	0.0%	0.07%	0.07%	0.14%	0.40%	0.26%	0.31%	0.0%	0.35%	0.40%	0.96%	0.0%	0.41%	0.0%	0.0%	0.77%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	789	1	8	2	16	8	11	8	9	5	2	8	1	6	13	9	15	7	11	10	15	11	11	4	6	6	10	7	7	7	16	9	3	13	9	17	12	8	9	6	9	12	9	14	16	5	8	3	9	3	9	8	4	3	9	11	16	11	16	8	10	5	15	15	16	14	8	12	14	14	14	6	11	8	15	5	8	16	3	7	13	4	5	15	12	2	3					
		0.82%	0.41%	1.04%	0.42%	1.42%	0.66%	1.31%	0.67%	0.72%	1.26%	0.43%	1.29%	0.34%	0.40%	0.98%	0.63%	1.15%	0.61%	0.94%	1.08%	1.21%	0.86%	0.92%	0.80%	0.53%	0.64%	0.70%	0.68%	1.02%	0.48%	1.16%	0.72%	0.29%	1.15%	0.71%	2.10%	1.00%	0.65%	0.64%	0.65%	0.63%	0.78%	0.60%	1.05%	1.18%	0.41%	0.76%	0.25%	0.69%	0.29%	0.70%	0.90%	0.37%	0.54%	0.79%	0.88%	1.33%	0.80%	1.38%	0.78%	1.01%	0.34%	1.29%	1.31%	1.24%	1.03%	0.54%	1.05%	0.93%	0.90%	1.56%	0.46%	0.86%	0.62%	1.08%	0.40%	0.70%	1.25%	0.23%	0.49%	1.04%	0.29%	0.47%	1.23%	1.23%	0.37%	0.77%					
30	"13. ""Демократическая партия России"""	211	0	3	4	1	5	1	5	2	1	3	2	1	2	6	4	3	2	2	1	2	2	2	3	5	2	5	0	1	1	1	4	3	1	4	2	2	7	2	1	2	1	0	3	6	1	1	4	3	0	1	4	5	1	3	0	3	0	0	4	0	1	2	3	6	7	0	4	8	7	2	2	2	3	3	5	2	2	1	1	2	2	2	0	3	0	1					
		0.22%	0.0%	0.39%	0.85%	0.08%	0.41%	0.11%	0.42%	0.16%	0.25%	0.64%	0.32%	0.34%	0.13%	0.45%	0.28%	0.23%	0.17%	0.17%	0.10%	0.16%	0.15%	0.16%	0.60%	0.44%	0.21%	0.35%	0.0%	0.14%	0.06%	0.07%	0.32%	0.29%	0.08%	0.31%	0.24%	0.16%	0.57%	0.14%	0.10%	0.14%	0.06%	0.0%	0.22%	0.44%	0.08%	0.09%	0.34%	0.23%	0.0%	0.07%	0.45%	0.47%	0.18%	0.26%	0.0%	0.25%	0.0%	0.0%	0.39%	0.0%	0.06%	0.17%	0.26%	0.46%	0.51%	0.0%	0.35%	0.53%	0.45%	0.22%	0.15%	0.15%	0.23%	0.21%	0.40%	0.17%	0.15%	0.07%	0.07%	0.16%	0.14%	0.19%	0.0%	0.30%	0.0%	0.25%					
31	"14. ""Великая Россия - Евразийский Союз"""	268	1	1	1	1	2	1	4	5	0	0	3	0	4	3	5	3	3	3	5	4	3	2	4	4	1	6	4	7	5	3	2	3	2	4	4	5	4	3	0	11	4	6	7	6	6	4	9	6	2	1	3	3	1	5	1	4	3	1	2	0	4	2	3	2	5	1	2	1	3	1	3	3	5	6	7	2	3	3	3	3	1	0	2	1	1	1					
